,Q1,Q2,Q3,Q4,Q5,SPY
2005-10-31,0.9971607631663063,0.9937865257063212,,0.9881022222015542,,0.9763491081783745
2005-11-30,1.0260823360933229,1.0522855442939707,,1.0515363611550368,,1.0192615852357818
2005-12-30,1.034349204093681,1.0588171363947172,0.9961238429103189,1.0710640077103857,1.0107510448255614,1.0173114193501887
2006-01-31,1.072960171091653,1.0975589493015727,1.0595860817743998,1.108530596867341,1.1042404176626046,1.0417412308514442
2006-02-28,1.0952976331495348,1.1224113262768858,1.0675064060017911,1.1086387231387804,1.1129560816542425,1.0477059409393414
2006-03-31,1.1105385742878824,1.1485631177410067,1.0937604871201834,1.137912295149073,1.1660996960735006,1.064996883957258
2006-04-28,1.1168289743399307,1.1743465203235584,1.1098118736656495,1.1252897377741575,1.1746907767733368,1.078449652248174
2006-05-31,1.1016543331913904,1.1434806360692884,1.0700855479361264,1.0822250164565226,1.1101444216466272,1.0459659077258203
2006-06-30,1.1234613240367926,1.1473389530301876,1.072033097857143,1.0851999692686007,1.104283282371027,1.0486940832318314
2006-07-31,1.1645180097366628,1.144040140123762,1.0404584949883124,1.0703240062495383,1.0644652451759093,1.0533907168135987
2006-08-31,1.206677972203892,1.1719277702613033,1.0502102792166308,1.0876628250575262,1.1167569309011283,1.07637826647553
2006-09-29,1.2186714171061515,1.202315626251919,1.0827551325159193,1.121078752624303,1.1695654688014319,1.1054420084788397
2006-10-31,1.2755791196813264,1.2471496917667608,1.1249218040397624,1.1480450995236038,1.242469842680403,1.1402816232835373
2006-11-30,1.3055654596203388,1.2869481876407982,1.1552069546173704,1.179100979351526,1.3003761435449879,1.1629562945883511
2006-12-29,1.3207510241301907,1.2971341371725567,1.161652950366007,1.1718457215654625,1.3002926461249178,1.178506840369062
2007-01-31,1.3632270966104774,1.3301203813052873,1.2043100414412484,1.2281070740935751,1.3424264562602357,1.1962319726370678
2007-02-28,1.3587495112069823,1.3275066625920662,1.1924901275056465,1.2281341636371377,1.3445398522457346,1.1727650947881274
2007-03-30,1.3780443646686789,1.337026614995635,1.1985894684593756,1.2359722435877407,1.3473625322379397,1.186355919061518
2007-04-30,1.416883638281306,1.3849138581461025,1.2482986200111792,1.2689342207601935,1.4179109445055718,1.2389064692105127
2007-05-31,1.4409074712256118,1.4411582262157334,1.2958870783758494,1.3307954919072191,1.4857583035548085,1.2809307284769176
2007-06-29,1.362938673428318,1.4257211185724035,1.2809417391990372,1.336198500618041,1.4965791764424081,1.2622021649216584
2007-07-31,1.2909071445450269,1.3933578744029274,1.249005976524623,1.281372365215675,1.4675210362987132,1.2226819335773262
2007-08-31,1.3471260929880853,1.40602206847692,1.2585064354222897,1.2807084381621598,1.5123945893410007,1.2383730835063052
2007-09-28,1.3811241331673771,1.4439638493987237,1.2966343595050596,1.331055339256435,1.6028254237003778,1.286315821852633
