t,o,h,l,c,v
1330,175.51,180.94,175.00,180.87,569796
1335,180.94,181.70,178.605,179.34,358339
1340,179.54,180.19,178.21,178.91,229191
1345,178.95,181.69,178.84,180.50,283541
1350,180.33,183.08,180.00,182.825,284563
1355,182.89,184.284,182.16,182.35,274758
1400,182.19,182.97,181.427,181.775,149109
1405,181.62,182.40,180.58,180.694,138539
1410,180.59,182.92,180.59,182.13,191336
1415,182.235,182.65,181.184,181.58,115749
1420,181.515,181.579,180.12,180.61,116059
1425,180.55,180.68,178.56,178.61,118457
1430,178.66,179.17,178.07,178.43,118546
1435,178.455,179.83,178.38,179.37,159202
1440,179.38,179.485,178.355,178.93,101385
1445,178.93,179.25,178.10,178.525,92254
1450,178.595,179.06,178.43,178.595,102131
1455,178.56,178.96,178.31,178.355,57255
1500,178.37,179.59,177.64,179.00,151053
1505,179.297,180.59,179.06,180.421,73881
1510,180.42,180.64,179.58,179.90,50700
1515,180.18,180.39,180.18,180.285,600
1520,180.22,180.50,179.72,180.045,51789
1525,180.09,180.40,179.91,180.40,33590
1530,180.385,180.65,179.905,180.18,73864
1535,180.18,180.53,179.99,180.195,43938
1540,180.155,180.44,180.00,180.36,36665
1545,180.40,180.72,180.15,180.28,56790
1550,180.16,181.22,179.952,181.08,57229
1555,181.04,181.17,180.13,180.335,47186
1600,180.34,180.34,179.28,179.63,38171
1605,179.63,179.79,179.10,179.50,44239
1610,179.52,179.52,178.058,178.23,84680
1615,178.305,178.40,176.70,176.98,116616
1620,176.76,177.51,176.71,177.11,96664
1625,177.19,177.45,176.30,177.15,426414
1630,177.15,177.28,175.78,175.98,109539
1635,175.948,176.71,175.76,176.485,477814
1640,176.42,176.99,176.20,176.66,49339
1645,176.714,177.25,176.403,176.94,46522
1650,176.90,176.90,176.15,176.26,42463
1655,176.335,176.90,176.335,176.84,38671
1700,176.815,176.878,176.46,176.79,40115
1705,176.705,177.076,176.65,176.98,39176
1710,176.98,178.41,176.965,178.35,54759
1715,178.31,178.56,176.40,176.795,67414
1720,176.795,177.03,175.72,175.73,69880
1725,175.755,175.89,175.50,175.745,65235
1730,175.64,175.85,175.23,175.629,36865
