t,o,h,l,c,v
1330,37.140000,37.490000,36.600000,37.080000,1094844
1335,37.070000,37.410000,36.890100,36.907000,572642
1340,36.911100,37.050000,36.730000,36.940000,388397
1345,36.930000,37.290000,36.610000,36.610100,383307
1350,36.620000,36.759900,36.120000,36.150000,617684
1355,36.150000,36.595000,36.105000,36.495000,557782
1400,36.510000,36.648500,36.150000,36.220000,346964
1405,36.230000,36.375500,36.040000,36.100000,321886
1410,36.100000,36.147700,35.720000,35.950000,598895
1415,35.959900,36.587000,35.940000,36.240000,516304
1420,36.240000,36.700000,36.190000,36.680000,371729
1425,36.680000,36.890000,36.580000,36.840000,478233
1430,36.845000,37.059900,36.710000,36.840000,393799
1435,36.838900,37.149800,36.770000,37.145000,237256
1440,37.149000,37.200000,37.030000,37.060000,229255
1445,37.060000,37.060000,36.775000,36.805000,152059
1450,36.800000,36.875000,36.625000,36.790000,163324
1455,36.805000,36.880000,36.690000,36.830000,156399
1500,36.820000,36.840000,36.590000,36.610000,191577
1505,36.600000,36.780000,36.580000,36.700000,182720
1510,36.700000,36.870000,36.671500,36.840000,145928
1515,36.845000,36.889400,36.730000,36.809900,127146
1520,36.805000,37.235000,36.795000,37.120000,238984
1525,37.105000,37.385000,37.075000,37.241000,390517
1530,37.250000,37.470000,37.200400,37.436200,338883
1535,37.435000,37.490000,37.250000,37.279900,240668
1540,37.260000,37.335000,37.190000,37.225000,163109
1545,37.225000,37.250000,37.120000,37.125000,88473
1550,37.130000,37.245000,37.080000,37.100000,130051
1555,37.106200,37.280000,37.100000,37.229000,86313
1600,37.225000,37.640000,37.150000,37.635900,252466
1605,37.635000,37.685000,37.460000,37.465000,263102
1610,37.465000,37.550000,37.420100,37.500000,108557
1615,37.495000,37.630000,37.470000,37.599900,100290
1620,37.595000,37.635000,37.510000,37.535000,150046
1625,37.530000,37.560000,37.500000,37.535000,115235
1630,37.530000,37.530000,37.370000,37.480000,115403
1635,37.485000,37.545000,37.400000,37.508500,122988
1640,37.505000,37.570000,37.492300,37.557900,80867
1645,37.555000,37.610000,37.485000,37.540000,101114
1650,37.530000,37.530000,37.445000,37.470000,100299
1655,37.460000,37.465000,37.372000,37.380300,117167
1700,37.370000,37.480000,37.330000,37.380000,153271
1705,37.384000,37.395000,37.185000,37.190000,165978
1710,37.188100,37.280000,37.185000,37.225000,76291
1715,37.230000,37.390000,37.220000,37.231400,112857
1720,37.225000,37.225000,37.140000,37.189300,95244
1725,37.170000,37.240000,37.155200,37.205000,88563
1730,37.210000,37.260000,37.135600,37.154600,94198
1735,37.150000,37.240000,37.135000,37.235000,78728
1740,37.235000,37.295000,37.215000,37.265000,68179
1745,37.260000,37.440000,37.260000,37.430000,106757
1750,37.425000,37.460100,37.410000,37.460100,82396
1755,37.459900,37.490000,37.390000,37.410000,95755
1800,37.400000,37.500000,37.320000,37.330000,91908
1805,37.320000,37.460000,37.150000,37.150000,129761
1810,37.150000,37.170000,36.900000,36.925000,209044
1815,36.920000,37.000000,36.810000,37.000000,138122
1820,36.990000,36.990000,36.780000,36.828000,124503
1825,36.825000,36.930000,36.805000,36.900000,77698
1830,36.895100,37.030000,36.895100,36.945000,118840
1835,36.940000,36.940000,36.815000,36.845000,140227
1840,36.840000,36.999900,36.840000,36.995000,126706
1845,37.000000,37.000000,36.835000,36.855000,125476
1850,36.860000,36.905000,36.825000,36.850000,57846
1855,36.850000,36.880000,36.770000,36.820100,115072
1900,36.820000,36.850000,36.640000,36.685000,209078
1905,36.680100,36.849900,36.660000,36.745000,264588
1910,36.750000,36.750000,36.670000,36.699700,131560
1915,36.695000,36.830000,36.695000,36.825000,88696
1920,36.829900,36.860000,36.700600,36.790000,123443
1925,36.795000,36.845000,36.730000,36.740000,108330
1930,36.740000,36.865000,36.710100,36.710300,139179
1935,36.715000,36.715000,36.500000,36.515000,379503
1940,36.510100,36.590000,36.471000,36.535000,174555
1945,36.530000,36.540000,36.465000,36.475000,183258
1950,36.470000,36.600000,36.424000,36.525000,334311
1955,36.525000,36.640000,36.480200,36.570000,836632
