t,o,h,l,c,v
1330,10.216000,10.280000,9.960000,10.125000,1725566
1335,10.130000,10.420000,10.125000,10.340100,1459452
1340,10.343400,10.710000,10.290000,10.665000,2148096
1345,10.665000,10.700000,10.470000,10.565000,1790829
1350,10.565000,10.630000,10.250000,10.291400,955619
1355,10.300000,10.430000,10.300000,10.395000,615416
1400,10.390000,10.560000,10.385000,10.490000,856494
1405,10.480000,10.565000,10.470000,10.540100,528809
1410,10.540000,10.670000,10.525000,10.565000,590646
1415,10.485000,10.520000,10.480000,10.515000,22421
1420,10.450000,10.580000,10.420000,10.565100,492391
1425,10.570000,10.590000,10.460100,10.465000,321621
1430,10.465000,10.495000,10.430000,10.435000,332626
1435,10.431700,10.555000,10.430000,10.515000,338596
1440,10.560000,10.579900,10.490000,10.500000,453310
1445,10.505000,10.530000,10.420000,10.430000,371939
1450,10.425000,10.499900,10.410200,10.445000,345138
1455,10.450000,10.629500,10.440000,10.625000,498936
1500,10.623100,10.899800,10.620000,10.877900,1274565
1505,10.880000,10.890000,10.705000,10.740000,1142789
1510,10.745100,10.766000,10.640000,10.725000,955318
1515,10.725000,10.740000,10.640100,10.682200,614566
1520,10.685000,10.690000,10.680000,10.685000,92936
1525,10.650000,10.720000,10.640100,10.705000,624797
1530,10.705000,10.760000,10.620500,10.640000,685302
1535,10.645000,10.645000,10.545000,10.572600,417029
1540,10.575000,10.620000,10.570000,10.590000,314588
1545,10.590000,10.615500,10.560000,10.600000,362872
1550,10.593700,10.725000,10.580000,10.685000,385655
1555,10.690000,10.699900,10.675000,10.675000,11333
1600,10.680000,10.700000,10.550000,10.550000,576840
1605,10.555000,10.600000,10.510000,10.543700,265924
1610,10.544500,10.579900,10.500100,10.500100,215184
1615,10.545000,10.600000,10.535000,10.580000,513370
1620,10.589900,10.609900,10.550000,10.570000,385035
1625,10.575000,10.620000,10.555000,10.610000,302560
1630,10.615000,10.615000,10.550000,10.570100,533215
1635,10.580000,10.650000,10.530000,10.645000,682262
1640,10.645000,10.780000,10.645000,10.760000,828094
1645,10.770000,10.840000,10.720000,10.815000,1048044
1650,10.810100,10.830000,10.790100,10.815000,658797
1655,10.810000,10.900000,10.790000,10.895000,829135
1700,10.895000,10.900000,10.800100,10.835000,645594
1705,10.830000,10.860000,10.755000,10.755000,639813
1710,10.760000,10.770000,10.730000,10.759900,438793
1715,10.755000,10.775000,10.710000,10.740000,364337
1720,10.745000,10.800000,10.712300,10.778500,347883
1725,10.780000,10.845000,10.779900,10.825000,575328
1730,10.830000,10.850000,10.765000,10.785000,476798
1735,10.785000,10.820000,10.765000,10.770000,460618
1740,10.775000,10.805000,10.760000,10.800100,325046
1745,10.805000,10.809900,10.795000,10.800000,24016
1750,10.850100,10.859900,10.845000,10.859800,32703
1755,10.845000,10.879900,10.830000,10.840000,352889
1800,10.840000,10.900000,10.840000,10.884200,541547
1805,10.880000,10.895000,10.830000,10.835000,431811
1810,10.835000,10.890000,10.820000,10.875000,445888
1815,10.875000,10.890000,10.820000,10.845000,493426
1820,10.845000,10.910000,10.825000,10.895000,665138
1825,10.899900,10.930000,10.890000,10.915100,464397
1830,10.915000,10.920000,10.760000,10.765000,704713
1835,10.780000,10.780000,10.770100,10.780000,25850
1840,10.750000,10.800000,10.710000,10.795000,540349
1845,10.790000,10.870000,10.790000,10.849900,514631
1850,10.845000,10.880000,10.835000,10.845000,452235
1855,10.850000,10.868100,10.830000,10.830100,380080
1900,10.830000,10.870000,10.820000,10.865000,481053
1905,10.865000,10.920000,10.845000,10.890000,482565
1910,10.880000,10.920000,10.880000,10.885000,371271
1915,10.885000,10.920000,10.870000,10.875000,274766
1920,10.880000,10.930000,10.810000,10.925000,534607
1925,10.925000,10.960000,10.920000,10.940100,499806
1930,10.945000,11.030000,10.920000,11.015000,837451
1935,11.015000,11.090000,10.990000,11.065000,527733
1940,11.065000,11.110000,11.000000,11.000000,734051
1945,11.005000,11.030000,10.940000,11.025000,858563
1950,11.025000,11.155000,11.010000,11.135000,1551903
1955,11.130000,11.190000,11.115000,11.150000,1822051
