t,o,h,l,c,v
1330,225.200000,225.479900,219.120000,222.235000,2096462
1335,222.353000,228.040000,220.160100,227.630100,1405086
1340,227.630000,228.880000,224.700500,225.180000,946393
1345,225.095000,225.273800,222.700000,222.790000,640069
1350,223.120000,223.120000,220.900000,221.399200,681320
1355,221.395000,222.930000,221.100000,222.718100,556252
1400,222.580000,224.260000,221.920000,224.100000,530453
1405,221.880000,222.460000,221.600000,221.635000,99159
1410,221.690000,222.880000,221.640100,222.420000,287328
1415,222.447900,224.800000,222.447900,224.255000,432660
1420,224.310000,225.220000,223.870000,224.345100,332898
1425,224.475000,225.300000,223.010000,224.925000,322743
1430,224.946800,225.230000,223.880000,224.720000,300303
1435,224.720000,226.678700,223.610000,226.100000,418916
1440,226.050000,226.500000,224.700000,224.890000,272990
1445,224.900000,225.089900,223.110100,223.387700,251435
1450,223.415000,224.070000,222.080000,222.170000,315134
1455,222.130000,222.640000,221.800500,222.300000,289208
1500,222.375000,222.590000,221.690000,222.520000,271511
1505,222.650000,222.685000,222.244500,222.244500,28933
1510,222.250000,222.669900,221.700000,221.725000,270054
1515,221.715000,222.480000,221.310000,222.300000,209224
1520,222.280000,222.730000,221.710000,222.220000,131562
1525,222.219900,222.610000,221.740000,222.610000,180046
1530,222.610000,222.700000,222.030100,222.070000,158464
1535,222.030000,222.150000,221.330000,221.550000,210161
1540,221.570000,221.619300,220.800000,220.904200,236884
1545,220.900000,221.040000,219.700000,219.792000,360483
1550,219.837800,219.877200,218.435000,219.390000,489371
1555,219.370000,219.420000,217.550000,217.620000,455773
1600,217.550000,217.779900,216.150000,217.100000,462562
1605,216.950000,218.070000,216.700000,218.031400,351429
1610,217.980000,218.007100,217.000000,217.420000,271889
1615,217.380000,217.680000,216.800000,217.057400,281097
1620,217.055000,217.280000,216.250000,216.770000,296463
1625,216.690000,216.932500,216.380000,216.850000,203441
1630,216.760000,217.320000,216.600100,216.625000,187472
1635,216.650000,217.450000,216.588000,217.090000,170646
1640,217.000000,217.140000,216.250000,216.935000,159055
1645,216.980000,217.929100,216.890000,217.780000,236121
1650,217.770000,217.990000,217.250000,217.425000,175694
1655,217.755000,217.800800,217.545000,217.545000,58339
1700,217.540000,218.320100,216.801800,217.915000,224228
1705,217.923400,217.923400,216.600000,217.220000,191750
1710,217.230000,217.620000,216.800100,217.420000,128678
1715,217.422600,217.480000,216.910000,216.970000,87223
1720,216.970000,217.190000,216.500000,217.120000,209814
1725,217.170000,217.247400,216.701900,216.875000,104935
1730,216.845000,217.780000,216.820000,217.620000,161084
1735,217.660000,217.860000,216.650000,216.650000,152725
1740,216.725000,217.810600,216.690000,217.575000,97510
1745,217.570000,218.189900,217.320100,218.135000,113584
1750,218.135000,218.470000,217.730000,218.400000,131238
1755,217.685400,217.685400,217.400000,217.500100,52388
1800,217.510000,217.730000,217.210000,217.458700,111654
1805,217.415000,217.710000,217.350100,217.435000,80588
1810,217.370900,217.930000,216.810000,216.897700,142017
1815,216.900000,217.365800,216.800000,217.262000,143303
1820,217.330000,217.350000,216.750000,216.925000,107687
1825,216.900000,216.979900,216.500000,216.514600,49471
1830,216.500000,216.580000,216.000000,216.380000,254310
1835,216.401300,216.900000,216.270000,216.337000,111954
1840,216.291500,216.852000,216.285000,216.820000,98480
1845,216.820000,216.870000,216.000000,216.160000,146073
1850,216.150000,216.150000,215.550000,216.050000,207478
1855,216.050000,216.340000,215.720100,215.790000,213215
1900,215.790000,216.350000,215.620000,216.058300,125498
1905,216.043200,216.520000,215.940000,216.250000,150706
1910,216.284400,216.488700,216.020000,216.470000,114110
1915,216.450000,216.640000,216.080000,216.535000,115036
1920,216.499900,216.840000,216.270100,216.760000,122785
1925,216.788100,217.798600,216.570000,217.650000,206568
1930,217.650000,218.115000,217.400500,217.620000,223212
1935,217.565000,217.679200,217.130000,217.390000,147719
1940,217.400000,218.310000,217.390000,218.225000,234406
1945,218.199000,218.410000,217.710000,218.188000,315313
1950,218.270000,218.790000,217.643600,218.270000,384394
1955,218.215000,218.300000,216.200000,216.595000,1175058
