t,o,h,l,c,v
1330,21.480000,22.250000,21.010000,21.383000,493488
1335,21.395000,21.605000,21.300000,21.480000,215782
1340,21.490000,21.750000,21.410000,21.645000,418914
1345,21.630000,21.745000,21.460000,21.485000,208437
1350,21.510000,21.560000,21.322800,21.390000,112667
1355,21.390000,21.430000,21.160000,21.225000,122662
1400,21.215000,21.240000,20.850000,21.010000,185726
1405,20.940000,20.940000,20.870000,20.920000,7456
1410,20.895000,21.330000,20.860000,21.280000,289995
1415,21.290000,21.310000,21.180000,21.230000,161546
1420,21.240000,21.250000,21.090000,21.140000,54658
1425,21.130000,21.130000,20.990000,21.010000,35092
1430,21.010000,21.130000,20.980000,21.110000,44029
1435,21.110100,21.140000,21.040000,21.055000,54150
1440,21.056200,21.115000,21.045000,21.080000,40581
1445,21.078800,21.125000,20.980000,21.100000,73896
1450,21.105000,21.170000,20.980000,21.010000,90381
1455,21.005000,21.060000,20.940000,21.045000,63408
1500,21.040000,21.058800,20.930000,21.010000,46216
1505,21.010000,21.125000,21.000000,21.005000,121368
1510,21.005000,21.130000,20.990000,21.120000,37003
1515,21.140000,21.210000,21.120000,21.160000,36472
1520,21.065000,21.070000,20.960000,21.040000,15791
1525,21.055000,21.105000,21.010000,21.100000,107207
1530,21.105000,21.235000,21.080000,21.205000,119920
1535,21.200000,21.215000,21.135000,21.175000,40933
1540,21.170100,21.235000,21.110000,21.150100,92432
1545,21.155000,21.185000,21.090000,21.105000,57068
1550,21.105000,21.115000,20.954900,20.970000,41254
1555,20.980000,20.980000,20.855000,20.880000,95179
1600,20.885000,20.900000,20.795000,20.830200,71207
1605,20.830000,20.865000,20.805000,20.835000,40129
1610,20.840000,20.905000,20.830000,20.880000,51302
1615,20.874500,20.880000,20.720000,20.740000,45210
1620,20.740000,20.780000,20.710000,20.760000,29947
1625,20.755000,20.810000,20.750100,20.750100,17511
1630,20.750000,20.878800,20.745000,20.840000,32484
1635,20.840000,20.920000,20.835000,20.880000,49078
1640,20.875000,20.935000,20.850000,20.880000,37808
1645,20.885000,20.990000,20.885000,20.955000,37119
1650,20.950000,20.955000,20.885000,20.885000,17428
1655,20.885000,20.950000,20.875000,20.925000,23816
1700,20.920000,21.020000,20.915000,20.960100,95357
1705,20.966200,20.990000,20.930000,20.955000,36313
1710,20.955000,21.020000,20.955000,20.990000,69498
1715,20.997700,21.030000,20.980000,21.010000,104041
1720,21.015000,21.023800,20.960000,20.975000,46693
1725,20.979900,20.995000,20.950800,20.955000,28902
1730,20.965000,20.970000,20.925000,20.970000,34436
1735,20.965000,21.240000,20.955000,21.200000,115186
1740,21.200000,21.260000,21.090000,21.110100,77367
1745,21.115000,21.180000,21.101300,21.150000,41199
1750,21.160000,21.199900,21.130100,21.182600,28704
1755,21.180100,21.180100,21.130000,21.145000,18919
1800,21.141400,21.149900,21.030000,21.095000,30943
1805,21.090000,21.180000,21.050500,21.180000,21856
1810,21.180000,21.190000,21.140000,21.160000,36073
1815,21.160000,21.245000,21.150000,21.225000,24407
1820,21.225000,21.250000,21.185000,21.225000,29082
1825,21.280000,21.290000,21.260000,21.265000,14067
1830,21.265000,21.280000,21.195000,21.195000,46162
1835,21.190000,21.190000,21.100000,21.170000,47774
1840,21.175000,21.190000,21.040000,21.060000,69514
1845,21.060000,21.095000,21.045000,21.085000,20059
1850,21.085000,21.085000,21.040000,21.065000,23999
1855,21.065000,21.105000,21.045000,21.070000,39363
1900,21.062500,21.100000,21.035000,21.080000,22152
1905,21.080000,21.125000,21.060000,21.115000,34808
1910,21.120000,21.185000,21.095000,21.120000,41713
1915,21.115000,21.160000,21.115000,21.150000,39279
1920,21.155000,21.280000,21.155000,21.275000,55060
1925,21.280000,21.380000,21.235000,21.285000,62101
1930,21.280000,21.345000,21.250000,21.315000,69686
1935,21.375000,21.475000,21.370000,21.440000,108936
1940,21.440000,21.535000,21.415000,21.520000,135464
1945,21.515000,21.520000,21.430000,21.505000,182154
1950,21.500000,21.555000,21.485000,21.535000,173372
1955,21.535000,21.625000,21.470000,21.565000,393067
