d,o,h,l,c,v
2024-08-01,19.720000,19.980000,17.845000,18.140000,38813770
2024-08-02,17.710000,18.470000,17.085000,17.190000,38866863
2024-08-05,13.930000,16.950000,13.660200,16.950000,45550551
2024-08-06,17.380000,17.580000,16.055000,17.250000,29049141
2024-08-07,17.735000,17.800000,15.740000,15.840000,28804038
2024-08-08,16.550000,17.670000,16.100000,17.390000,34023058
2024-08-09,17.390000,17.460000,16.710000,17.030000,22114122
2024-08-12,16.030000,16.200000,15.000000,15.110000,52147507
2024-08-13,15.010000,15.980000,14.750000,15.490000,41943356
2024-08-14,15.780000,15.795000,14.910000,15.140000,29611393
2024-08-15,15.200000,16.280000,15.190000,15.460000,34757630
2024-08-16,15.565000,16.490000,15.390000,16.240000,36335456
2024-08-19,16.385000,16.800000,15.960000,16.440000,25446324
2024-08-20,16.840000,17.120000,16.030000,16.420000,34991510
2024-08-21,16.550000,17.650000,16.400000,17.630000,38065366
2024-08-22,17.605000,17.730000,16.750000,16.860000,30867667
2024-08-23,17.159900,18.730000,16.820000,18.690000,46172414
2024-08-26,18.565000,18.840000,17.830000,18.560000,29703641
2024-08-27,18.084000,18.170000,17.130100,17.750000,33185188
2024-08-28,17.210000,17.545000,16.700000,17.130000,24596645
2024-08-29,17.550000,18.450000,16.860000,16.990000,41675096
2024-08-30,17.230000,17.276200,16.490000,16.700000,31089257
2024-09-03,16.500000,16.520000,15.030000,15.260000,30074458
2024-09-04,14.930000,15.450000,14.720000,14.880000,24012974
2024-09-05,14.840000,15.090000,13.740000,13.840000,31903170
2024-09-06,14.300000,14.360000,13.165000,13.370000,29409836
2024-09-09,13.800000,14.750000,13.671400,14.620000,30047122
2024-09-10,14.750000,15.960000,14.360000,15.940000,35512325
2024-09-11,15.440000,16.195000,14.880000,15.790000,35427821
2024-09-12,15.810000,16.050000,15.380000,15.800000,27260754
2024-09-13,15.850000,16.720000,15.660000,16.120000,34828701
2024-09-16,15.700000,16.210000,15.360000,15.870000,23786856
2024-09-17,16.230000,16.589900,15.561900,15.870000,33344289
2024-09-18,15.830000,16.580000,15.170000,15.340000,35338456
2024-09-19,16.380000,16.508500,15.430000,15.450000,42715669
2024-09-20,15.420000,15.610000,14.970000,15.540000,30712875
2024-09-23,15.550000,16.300000,15.360000,16.070000,24601494
2024-09-24,16.130000,16.550000,15.620000,16.410000,36047273
2024-09-25,16.350000,16.858900,16.023600,16.140000,32695401
2024-09-26,16.700000,18.250000,16.500000,17.520000,60450688
2024-09-27,17.915000,17.920000,16.845000,17.290000,41237575
2024-09-30,16.610000,16.710000,16.080000,16.220000,30892853
2024-10-01,16.130000,16.190000,14.665000,15.070000,36592279
2024-10-02,15.020000,15.530000,14.845000,15.210000,26569568
2024-10-03,15.040000,15.480000,14.790000,15.470000,26987016
2024-10-04,15.810000,16.640000,15.550000,16.310000,32311379
2024-10-07,16.435000,16.720000,15.520000,15.990000,30753995
2024-10-08,15.750000,16.370000,15.650000,15.830000,25109172
2024-10-09,15.780000,16.149400,15.350000,15.440000,26085317
2024-10-10,15.390000,15.500000,15.060000,15.230000,20941160
2024-10-11,15.430000,16.230000,15.310000,16.080000,36454615
2024-10-14,16.790000,17.960000,16.340000,16.980000,65860574
2024-10-15,17.050000,17.940000,16.630100,16.920000,50534294
2024-10-16,17.500000,18.190000,16.960000,18.080000,53156452
2024-10-17,17.970000,18.490000,17.100000,18.010000,43533656
2024-10-18,18.370000,19.100000,18.260000,18.880000,47505605
2024-10-21,18.700000,18.770000,17.860000,18.710000,42646367
2024-10-22,18.340000,19.140000,18.110000,18.970000,32372976
2024-10-23,18.600000,18.750000,17.330000,18.070000,44412115
2024-10-24,18.476000,18.990000,17.730100,18.220000,48745946
2024-10-25,18.200000,18.320000,16.950000,17.060000,56106487
2024-10-28,17.720000,19.190000,17.620000,18.940000,60624082
2024-10-29,19.390000,19.940000,18.710000,18.940000,65540400
2024-10-30,18.350000,19.120000,18.010000,18.280000,33488459
2024-10-31,18.150000,18.240000,16.450000,16.770000,39712981
2024-11-01,16.930000,17.369900,16.100000,16.110000,32711048
2024-11-04,15.870000,15.940000,15.310000,15.500000,29692103
2024-11-05,15.960000,16.355000,15.700000,16.240000,32554806
2024-11-06,17.610000,19.600000,17.240000,19.320000,85571484
2024-11-07,18.900000,19.549700,18.745000,19.310000,49751241
2024-11-08,19.110000,19.430000,18.570000,19.250000,47164431
2024-11-11,22.300000,25.465000,21.800000,25.010000,125540705
2024-11-12,24.100000,25.380600,23.460000,25.230000,87663857
2024-11-13,24.320000,26.190000,21.430000,21.700000,94879654
2024-11-14,22.480000,22.900000,20.180000,20.790000,46982988
2024-11-15,21.270000,21.300000,20.010000,21.070000,42768842
2024-11-18,19.830000,21.160000,17.720000,18.105000,122312745
2024-11-19,18.300000,20.650000,18.270000,19.860000,88677438
