d,o,h,l,c,v
2024-08-01,117.530000,120.160000,106.810400,109.210000,523462326
2024-08-02,103.760000,108.720000,101.370000,107.270000,482027464
2024-08-05,92.060000,103.410000,90.690000,100.450000,552842375
2024-08-06,103.840000,107.710000,100.550000,104.250000,409012089
2024-08-07,107.810000,108.800000,98.690000,98.910000,411440423
2024-08-08,102.000000,105.500000,97.520000,104.970000,391910023
2024-08-09,105.640000,106.600000,103.430000,104.750000,290844157
2024-08-12,106.320000,111.070000,106.260000,109.020000,325559870
2024-08-13,112.440000,116.230000,111.580000,116.140000,312646660
2024-08-14,118.530000,118.600000,114.070000,118.080000,339246407
2024-08-15,118.760000,123.240000,117.470000,122.860000,318086673
2024-08-16,121.940000,125.000000,121.180000,124.580000,302589872
2024-08-19,124.280000,130.000000,123.420000,130.000000,318333577
2024-08-20,128.400000,129.880000,125.890000,127.250000,300087415
2024-08-21,127.315000,129.350000,126.660000,128.500000,257883572
2024-08-22,130.020000,130.750000,123.100000,123.740000,376189076
2024-08-23,125.860000,129.600000,125.220000,129.370000,323230332
2024-08-26,129.570000,131.260000,124.370000,126.460000,331964672
2024-08-27,125.050000,129.200000,123.880000,128.300000,303134573
2024-08-28,128.120000,128.330000,122.640000,125.610000,448101115
2024-08-29,121.355000,124.430000,116.710000,117.590000,453023305
2024-08-30,119.530000,121.750000,117.220000,119.370000,333751583
2024-09-03,116.010000,116.210000,107.290000,108.000000,477155100
2024-09-04,105.410000,113.270000,104.120000,106.210000,372470291
2024-09-05,104.985000,109.650000,104.760000,107.210000,306850696
2024-09-06,108.040000,108.150000,100.950000,102.830000,413638098
2024-09-09,104.880000,106.550000,103.690000,106.470000,273912015
2024-09-10,107.810000,109.400000,104.950000,108.100000,268283736
2024-09-11,109.390000,117.190000,107.420000,116.910000,441422370
2024-09-12,116.840000,120.790000,115.380000,119.140000,367100496
2024-09-13,119.080000,119.955000,117.600000,119.100000,238358328
2024-09-16,116.790000,118.180000,114.360000,116.780000,248772308
2024-09-17,118.170000,118.800000,114.830000,115.590000,231925876
2024-09-18,115.890000,117.700000,113.220000,113.370000,310318937
2024-09-19,117.350000,119.660000,117.250000,117.870000,293506438
2024-09-20,117.060000,118.618100,115.390100,116.000000,382462428
2024-09-23,116.550000,116.990000,114.860000,116.260000,206228490
2024-09-24,116.515000,121.800000,115.380000,120.870000,354966772
2024-09-25,122.020000,124.940000,121.610000,123.510000,284692948
2024-09-26,126.800000,127.665000,121.800000,124.040000,302582868
2024-09-27,123.970000,124.030000,119.260000,121.400000,271009175
2024-09-30,118.310000,121.500000,118.150000,121.440000,227053651
2024-10-01,121.765000,122.435100,115.790000,117.000000,302094485
2024-10-02,116.440000,119.380000,115.140000,118.850000,221845887
2024-10-03,120.920000,124.360000,120.340100,122.850000,277117973
2024-10-04,124.940000,125.040000,121.830000,124.920000,244465552
2024-10-07,124.990000,130.640000,124.950000,127.720000,346250233
2024-10-08,130.260000,133.480000,129.420000,132.890000,285722485
2024-10-09,134.110000,134.520000,131.380000,132.650000,246191612
2024-10-10,131.910000,135.000000,131.000000,134.810000,242311337
2024-10-11,134.010000,135.780000,133.660000,134.800000,170209474
2024-10-14,136.470000,139.600000,136.300000,138.070000,232347668
2024-10-15,137.870000,138.570000,128.740000,131.600000,377831021
2024-10-16,133.980000,136.620000,131.580000,135.720000,264879720
2024-10-17,139.340000,140.890000,136.870000,136.930000,306435921
