d,o,h,l,c,v
2024-08-01,139.290000,140.390000,135.770000,137.510000,5906808
2024-08-02,132.770000,134.300000,131.800000,133.280000,8251585
2024-08-05,127.890000,129.970000,126.663900,127.860000,10354987
2024-08-06,130.540000,131.037500,128.080000,128.210000,8373891
2024-08-07,128.920000,130.300000,125.750000,125.900000,8617652
2024-08-08,128.000000,129.820000,127.650000,128.960000,6243219
2024-08-09,128.400000,132.370000,128.340000,132.060000,5597278
2024-08-12,132.250000,132.710000,131.210000,132.580000,5600826
2024-08-13,132.970000,134.540000,132.810000,134.260000,4324038
2024-08-14,134.040000,135.970000,134.010000,135.600000,4044630
2024-08-15,136.930000,137.250000,135.720000,136.930000,4698128
2024-08-16,136.790000,137.820000,136.390000,137.470000,4893787
2024-08-19,137.530000,137.950000,136.455000,137.920000,3641585
2024-08-20,137.820000,139.790000,137.820000,139.170000,3738261
2024-08-21,138.800000,140.300000,138.550000,140.200000,3776768
2024-08-22,140.700000,141.080000,137.650000,138.080000,5162189
2024-08-23,138.730000,139.790000,137.260000,139.190000,4544571
2024-08-26,139.390000,139.400000,138.190000,138.900000,2729605
2024-08-27,137.850000,139.500000,137.740000,138.480000,3872342
2024-08-28,138.830000,138.950000,136.910000,137.880000,3022639
2024-08-29,139.140000,141.160000,138.850000,139.420000,4588361
2024-08-30,140.330000,141.720000,140.095000,141.290000,7980679
2024-09-03,140.450000,142.200000,138.830000,139.500000,6831174
2024-09-04,138.440000,141.100900,137.950000,140.750000,6243325
2024-09-05,141.400000,143.280000,140.305000,142.610000,8733246
2024-09-06,143.790000,143.940000,139.400000,141.810000,11154796
2024-09-09,142.490000,143.300000,139.510000,139.890000,20233428
2024-09-10,154.230000,160.520000,153.120000,155.890000,37374210
2024-09-11,156.780000,159.440000,154.840100,157.180000,12630122
2024-09-12,159.040000,162.340000,157.900000,161.380000,16352048
2024-09-13,173.700000,173.935000,161.000000,162.030000,25727805
2024-09-16,164.990000,173.990000,164.510000,170.330000,27384374
