row,call_entry,call_exit,put_entry,put_exit
113,4.43,5.40,4.45,0.36
127,10.28,36.30,10.20,0.01
134,1.77,4.75,1.55,0.01
120,0.89,0.18,0.75,0.50
183,11.35,0.08,12.35,33.95
61,37.23,84.25,35.13,0.13
169,1.90,0.11,1.68,2.74
251,6.18,14.18,5.10,0.02
106,5.83,0.08,5.93,15.65
237,4.23,4.18,3.90,1.23
7,10.60,0.07,8.58,25.18
34,26.55,13.80,24.23,1.78
41,17.28,12.83,19.08,2.39
148,8.58,15.60,9.45,0.43
244,7.43,0.07,9.45,19.23
0,6.15,2.73,5.80,4.13
86,1.30,0.37,1.20,0.92
141,5.63,1.94,6.63,4.65
155,1.60,0.35,1.40,3.48
162,2.31,0.09,3.23,8.38
176,0.67,0.24,0.42,0.35
197,2.41,0.03,2.61,9.55
265,3.45,0.03,3.85,12.70
27,6.20,0.09,7.45,16.23
48,5.10,0.12,5.30,8.10
224,4.65,0.65,3.15,2.01
258,2.85,0.06,3.08,5.63
99,7.13,0.14,5.35,5.78
190,24.70,30.55,21.03,0.70
20,7.90,0.61,8.85,11.40
204,2.21,0.02,3.18,7.78
217,9.80,14.48,6.93,0.89
14,5.68,0.07,6.20,12.10
68,14.88,0.40,12.23,10.03
55,9.65,16.43,9.98,1.44
211,29.50,1.07,25.20,61.08
74,7.13,1.04,8.43,6.83
80,17.15,0.03,18.05,62.48
93,5.88,0.34,4.95,7.60
231,3.08,0.13,3.10,4.25
114,8.98,12.35,9.20,3.50
135,3.15,1.73,2.88,2.20
128,17.38,16.08,17.95,6.55
121,0.70,1.18,1.03,0.15
170,1.78,0.46,2.29,1.74
184,14.40,0.12,14.68,129.95
62,44.85,32.90,39.25,13.83
252,6.30,12.20,5.68,0.36
42,13.48,15.58,12.93,2.13
238,4.83,10.40,4.78,0.37
107,4.13,9.85,4.65,0.24
198,2.10,1.22,3.14,0.51
28,5.68,4.30,6.33,2.22
87,1.39,0.30,0.88,1.23
177,0.49,0.87,0.43,0.06
266,2.65,1.91,2.69,0.58
142,7.30,6.60,5.75,1.51
245,9.05,6.40,6.70,2.23
8,7.65,30.43,10.05,0.07
35,18.23,23.18,21.30,0.89
100,5.05,0.02,4.90,12.73
149,5.47,1.86,10.05,6.18
191,22.15,0.10,23.75,105.53
1,6.10,1.04,5.55,8.13
21,7.23,3.53,7.13,3.45
156,2.98,2.77,2.24,1.51
163,2.46,3.10,4.15,2.61
49,3.85,2.80,4.23,1.40
225,3.25,10.13,3.03,0.02
259,3.15,0.43,3.38,2.74
205,2.22,0.53,2.43,0.94
218,7.15,3.30,7.65,5.83
15,4.55,4.50,4.60,0.28
69,10.73,0.38,9.45,8.50
212,20.25,33.83,20.55,3.12
56,11.10,1.51,10.88,13.90
75,6.18,22.28,7.08,0.04
81,16.23,0.57,16.90,22.98
94,5.38,0.90,4.90,1.84
232,2.51,9.18,3.62,0.03
115,4.55,1.41,5.70,4.98
136,2.00,0.05,1.57,4.15
122,0.91,0.40,0.76,0.37
129,11.18,7.63,13.18,4.13
171,2.12,9.80,1.88,0.01
253,9.23,0.55,6.85,4.88
63,46.08,3.05,44.50,68.98
108,5.00,0.01,5.13,27.98
29,5.58,3.03,5.20,0.73
43,11.08,0.11,12.93,29.73
88,0.95,0.05,1.32,2.32
185,12.53,0.45,10.18,18.58
199,2.16,0.46,2.05,1.91
239,5.05,0.33,6.18,11.83
267,3.13,0.08,2.84,6.83
143,7.65,3.83,4.40,2.79
9,9.13,19.18,9.60,0.26
36,21.30,79.38,20.58,0.12
101,4.30,0.04,4.95,12.75
150,7.08,9.20,7.53,1.76
2,5.88,1.51,5.50,6.55
22,7.45,0.19,8.00,20.25
157,1.85,0.58,1.98,2.92
164,2.31,1.47,2.95,2.50
178,0.37,0.79,0.79,0.06
246,8.90,4.08,9.70,4.65
50,6.85,0.21,7.43,12.00
226,4.45,0.43,2.93,2.16
260,3.50,1.43,2.95,1.09
192,25.68,0.05,24.58,104.33
219,8.13,12.68,7.65,0.67
206,2.71,0.04,2.14,4.03
16,5.53,0.57,6.43,2.84
70,10.90,0.16,9.23,10.65
57,11.45,31.00,10.10,0.66
76,11.50,86.48,12.18,0.03
82,21.13,6.48,19.78,6.88
95,7.85,0.96,8.65,6.70
213,19.60,1.94,20.48,30.05
233,3.05,4.33,3.33,0.07
116,5.40,1.04,7.20,8.88
130,19.00,4.93,15.38,18.75
137,1.75,5.58,1.81,0.06
172,3.58,2.02,2.64,1.05
123,1.04,2.38,0.95,0.07
254,7.03,5.13,8.78,3.21
64,40.88,0.24,48.53,132.75
109,6.20,0.14,5.10,9.28
44,14.33,12.05,15.38,2.90
89,2.31,1.53,2.13,1.23
186,11.93,8.18,10.50,4.65
268,3.15,3.58,2.86,0.50
144,7.63,1.97,5.08,5.63
240,5.73,0.41,4.73,9.13
247,13.75,61.40,13.65,0.01
10,14.58,0.38,12.00,14.30
30,8.93,7.43,8.90,0.85
37,26.70,0.08,24.30,84.10
151,8.03,3.83,8.33,4.48
193,21.38,30.23,23.30,1.06
200,1.71,0.34,2.11,1.09
3,6.48,3.78,4.93,3.13
23,9.15,21.90,8.58,0.29
158,1.82,1.16,2.02,1.69
165,3.38,6.03,2.11,0.40
179,0.37,0.11,0.97,1.16
261,3.40,0.31,3.50,5.45
51,9.33,8.95,9.05,2.70
102,5.05,0.14,5.75,6.50
227,3.85,0.04,4.10,9.35
220,6.60,0.17,8.48,23.15
17,6.40,0.67,7.03,6.95
207,2.80,7.13,2.19,0.05
71,9.83,10.50,8.33,0.19
77,12.28,0.09,11.43,23.80
83,11.33,6.78,12.68,1.21
58,18.53,0.70,16.50,45.28
214,17.78,10.30,17.38,10.50
96,10.40,23.70,9.60,0.14
234,2.62,0.04,2.77,7.20
117,5.58,0.29,5.98,13.95
124,0.63,0.04,1.18,2.54
138,1.73,0.04,2.17,5.23
131,15.70,39.33,17.48,0.29
65,3.68,0.46,3.50,2.07
173,3.93,2.19,3.19,1.38
255,6.98,0.08,8.35,24.45
90,3.15,0.11,2.82,9.03
187,11.45,0.08,9.73,67.18
241,6.48,2.04,5.38,4.68
110,6.88,18.63,8.45,0.14
11,13.75,0.08,11.95,47.15
38,22.53,68.40,24.83,0.06
45,12.58,0.92,11.90,14.30
152,9.48,24.38,7.83,0.36
248,17.73,20.15,19.18,0.88
4,6.00,3.45,8.73,4.90
145,7.58,1.12,6.03,8.68
159,2.94,2.91,2.35,1.41
166,3.75,7.45,2.39,0.36
228,4.13,0.14,3.23,7.45
180,0.35,0.04,0.65,1.35
201,3.08,3.39,2.64,0.59
269,2.65,0.02,2.25,11.05
52,9.85,0.08,10.00,42.28
194,35.38,103.35,36.23,0.35
262,2.86,0.22,2.87,4.50
31,9.88,2.44,11.68,5.98
103,4.50,0.02,4.85,14.00
24,11.53,0.88,10.23,12.93
208,3.28,0.40,3.65,2.48
221,9.15,11.40,7.13,1.71
59,10.85,13.70,13.45,0.97
215,18.58,22.43,20.98,8.78
78,7.20,13.60,7.63,0.58
84,11.98,0.81,11.78,20.75
97,19.15,2.15,17.30,17.63
235,2.09,0.01,2.22,8.35
132,19.80,5.68,22.00,24.33
118,4.48,1.39,5.88,5.05
139,1.69,0.03,2.10,5.00
174,4.48,3.78,3.85,1.29
125,1.02,1.44,0.66,0.13
66,4.68,0.12,3.90,9.75
188,8.98,21.75,10.28,0.57
256,7.03,0.50,8.05,19.00
242,11.73,14.28,0.33,0.07
46,9.23,0.42,11.70,16.63
111,9.75,44.35,11.25,0.05
91,4.15,15.78,4.38,0.24
146,5.28,24.78,5.70,0.07
12,13.60,0.19,13.83,17.40
25,9.20,2.53,10.90,2.46
32,9.75,34.78,9.45,0.02
39,25.38,0.12,25.15,58.43
104,6.90,24.23,5.80,0.03
153,9.65,0.10,8.40,20.75
195,27.50,86.50,25.83,0.20
202,3.01,0.58,2.16,1.36
249,22.85,80.93,20.88,0.06
5,7.28,10.98,5.75,0.73
160,3.28,1.81,3.55,3.73
167,4.90,2.38,3.68,4.00
181,0.60,0.51,0.49,0.25
270,2.55,0.09,2.15,3.50
53,15.70,66.88,15.23,0.27
229,3.65,8.33,3.13,0.02
263,2.62,6.48,2.67,0.03
222,7.53,5.60,7.20,3.25
19,7.10,1.12,6.08,4.03
209,3.48,0.04,2.54,8.50
73,7.90,1.50,7.65,2.75
216,20.98,2.40,19.25,41.03
60,20.95,0.07,21.83,61.33
79,13.60,0.17,12.95,18.70
85,10.83,0.54,12.23,16.25
98,57.23,167.35,59.68,1.45
236,2.08,2.23,1.99,0.04
119,5.55,9.20,5.80,1.04
126,0.81,1.02,1.27,0.36
133,25.10,98.10,23.08,0.50
140,1.99,0.25,2.35,2.84
175,3.60,0.45,4.90,8.33
189,12.15,6.30,13.95,3.03
257,10.08,0.60,9.63,14.00
67,3.90,0.19,3.45,5.20
33,11.50,0.08,8.78,22.20
47,10.63,0.06,11.45,55.35
112,13.33,1.02,13.98,10.80
92,8.25,1.95,7.98,9.58
243,5.35,9.98,5.88,0.75
271,2.47,2.51,2.52,0.18
147,5.53,7.70,8.10,5.58
