d,o,c
2009-01-02,0.423125,0.457188
2009-01-05,0.451719,0.457234
2009-01-06,0.466094,0.466563
2009-01-07,0.452188,0.440469
2009-01-08,0.437344,0.450000
2009-01-09,0.425938,0.425938
2009-01-12,0.430938,0.414063
2009-01-13,0.414531,0.413594
2009-01-14,0.403281,0.388750
2009-01-15,0.387031,0.400156
2009-01-16,0.413125,0.410156
2009-01-20,0.406250,0.371078
2009-01-21,0.382009,0.399531
2009-01-22,0.383281,0.391094
2009-01-23,0.377813,0.392656
2009-01-26,0.395313,0.398594
2009-01-27,0.399844,0.405156
2009-01-28,0.419063,0.432188
2009-01-29,0.422344,0.411406
2009-01-30,0.417656,0.395781
2009-02-02,0.388594,0.406094
2009-02-03,0.407486,0.419063
2009-02-04,0.420781,0.419375
2009-02-05,0.407500,0.438438
2009-02-06,0.442656,0.460781
2009-02-09,0.462188,0.465938
2009-02-10,0.459219,0.430938
2009-02-11,0.431094,0.427813
2009-02-12,0.417500,0.437500
2009-02-13,0.434375,0.432813
2009-02-17,0.405938,0.400000
2009-02-18,0.404375,0.398906
2009-02-19,0.404219,0.387500
2009-02-20,0.378281,0.388594
2009-02-23,0.393750,0.361875
2009-02-24,0.365781,0.384375
2009-02-25,0.381875,0.380000
2009-02-26,0.384688,0.359375
2009-02-27,0.351719,0.351875
2009-03-02,0.341875,0.329688
2009-03-03,0.335313,0.329063
2009-03-04,0.338438,0.345781
2009-03-05,0.338594,0.325781
2009-03-06,0.329531,0.320781
2009-03-09,0.314063,0.306297
2009-03-10,0.318906,0.343594
2009-03-11,0.352969,0.353906
2009-03-12,0.354219,0.377813
2009-03-13,0.379063,0.380625
2009-03-16,0.384375,0.366719
2009-03-17,0.371563,0.394375
2009-03-18,0.392188,0.404375
2009-03-19,0.417031,0.404266
2009-03-20,0.405313,0.392469
2009-03-23,0.410781,0.438750
2009-03-24,0.431563,0.423281
2009-03-25,0.429375,0.426094
2009-03-26,0.438219,0.452852
2009-03-27,0.442344,0.434688
2009-03-30,0.420156,0.412656
