d,o,c
2015-09-25,60150.000000,63850.000000
2015-09-28,64662.500000,69425.000000
2015-09-29,68800.000000,70250.000000
2015-09-30,67350.000000,65675.000000
2015-10-01,65125.000000,64750.000000
2015-10-02,67350.000000,61200.000000
2015-10-05,60000.000000,58575.000000
2015-10-06,59000.000000,59300.000000
2015-10-07,58300.000000,58400.000000
2015-10-08,59075.000000,57675.000000
2015-10-09,57500.000000,56850.000000
2015-10-12,56600.000000,56500.000000
2015-10-13,57400.000000,57600.000000
2015-10-14,57525.000000,57800.000000
2015-10-15,57125.000000,54975.000000
2015-10-16,54575.000000,54175.000000
2015-10-19,54500.000000,53300.000000
2015-10-20,53625.000000,54150.000000
2015-10-21,53275.000000,55050.000000
2015-10-22,53625.000000,51775.000000
2015-10-23,47600.000000,47450.000000
2015-10-26,47575.000000,47325.000000
2015-10-27,47700.000000,46950.000000
2015-10-28,46775.000000,45900.000000
2015-10-29,46500.000000,46125.000000
2015-10-30,46025.000000,46625.000000
2015-11-02,46350.000000,45125.000000
2015-11-03,45375.000000,44625.000000
2015-11-04,44175.000000,44575.000000
2015-11-05,44425.000000,45000.000000
2015-11-06,45250.000000,44875.000000
2015-11-09,45375.000000,46275.000000
2015-11-10,47150.000000,46700.000000
2015-11-11,46225.000000,46825.000000
2015-11-12,47500.000000,48250.000000
2015-11-13,48800.000000,51025.000000
2015-11-16,51200.000000,48900.000000
2015-11-17,48575.000000,48800.000000
2015-11-18,48150.000000,45875.000000
2015-11-19,45875.000000,45900.000000
2015-11-20,45200.000000,44925.000000
2015-11-23,44937.500000,45300.000000
2015-11-24,46225.000000,45375.000000
2015-11-25,45200.000000,45325.000000
2015-11-27,45000.000000,45025.000000
2015-11-30,44750.000000,45425.000000
2015-12-01,44900.000000,44075.000000
2015-12-02,44000.000000,44875.000000
2015-12-03,44500.000000,47175.000000
2015-12-04,46750.000000,43875.000000
2015-12-07,43775.000000,44450.000000
2015-12-08,45800.000000,44375.000000
2015-12-09,45050.000000,46425.000000
2015-12-10,46125.000000,45800.000000
2015-12-11,47362.500000,48925.000000
2015-12-14,48825.000000,47875.000000
2015-12-15,46550.250000,47025.000000
2015-12-16,46000.000000,44950.000000
2015-12-17,44350.000000,46375.000000
2015-12-18,47350.000000,49500.000000
2015-12-21,48187.500000,47900.000000
2015-12-22,47200.000000,47050.000000
2015-12-23,46300.000000,45975.000000
2015-12-24,45925.000000,45925.000000
2015-12-28,46349.750000,46025.000000
2015-12-29,45275.000000,43950.000000
2015-12-30,44025.000000,45100.000000
2015-12-31,45500.000000,46625.000000
2016-01-04,49850.000000,49550.000000
2016-01-05,49025.000000,50050.000000
2016-01-06,52550.000000,51450.000000
