d,c
2009-01-02,23.020000
2009-01-05,23.130000
2009-01-06,24.220000
2009-01-07,24.230000
2009-01-08,24.290000
2009-01-09,24.010000
2009-01-12,23.760000
2009-01-13,22.100000
2009-01-14,21.110000
2009-01-15,20.830000
2009-01-16,21.060000
2009-01-20,19.390000
2009-01-21,20.960000
2009-01-22,19.320000
2009-01-23,19.700000
2009-01-26,19.930000
2009-01-27,20.110000
2009-01-28,20.890000
2009-01-29,20.050000
2009-01-30,19.310000
2009-02-02,19.580000
2009-02-03,19.700000
2009-02-04,19.880000
2009-02-05,20.910000
2009-02-06,21.700000
2009-02-09,21.420000
2009-02-10,20.480000
2009-02-11,20.310000
2009-02-12,21.220000
2009-02-13,21.100000
2009-02-17,20.400000
2009-02-18,20.390000
2009-02-19,19.540000
2009-02-20,18.040000
2009-02-23,17.090000
2009-02-24,18.170000
2009-02-25,17.640000
2009-02-26,16.700000
2009-02-27,16.700000
2009-03-02,16.040000
2009-03-03,15.980000
2009-03-04,16.320000
2009-03-05,16.920000
2009-03-06,17.160000
2009-03-09,16.780000
2009-03-10,18.520000
2009-03-11,18.630000
2009-03-12,19.430000
2009-03-13,18.680000
2009-03-16,18.450000
2009-03-17,19.130000
2009-03-18,21.350000
2009-03-19,21.240000
2009-03-20,20.460000
2009-03-23,22.690000
2009-03-24,21.860000
2009-03-25,22.100000
2009-03-26,22.940000
2009-03-27,21.840000
2009-03-30,20.820000
2009-03-31,21.390000
2009-04-01,21.960000
2009-04-02,23.280000
2009-04-03,24.160000
2009-04-06,23.200000
2009-04-07,22.960000
2009-04-08,23.920000
2009-04-09,24.870000
2009-04-13,24.720000
2009-04-14,24.010000
2009-04-15,23.640000
2009-04-16,24.380000
2009-04-17,24.700000
2009-04-20,23.460000
2009-04-21,23.750000
2009-04-22,24.160000
2009-04-23,24.480000
2009-04-24,26.420000
2009-04-27,26.140000
2009-04-28,25.700000
2009-04-29,26.750000
2009-04-30,27.350000
2009-05-01,27.460000
2009-05-04,26.690000
2009-05-05,26.890000
2009-05-06,26.350000
2009-05-07,25.630000
2009-05-08,25.420000
2009-05-11,26.150000
2009-05-12,25.990000
2009-05-13,25.170000
2009-05-14,25.930000
2009-05-15,25.920000
2009-05-18,26.480000
2009-05-19,26.560000
2009-05-20,26.390000
2009-05-21,26.070000
2009-05-22,26.480000
2009-05-26,27.890000
2009-05-27,27.250000
2009-05-28,27.540000
2009-05-29,28.180000
2009-06-01,29.360000
2009-06-02,29.590000
2009-06-03,29.060000
2009-06-04,29.440000
2009-06-05,29.980000
2009-06-08,29.170000
2009-06-09,29.770000
2009-06-10,30.170000
2009-06-11,30.400000
2009-06-12,30.150000
2009-06-15,28.820000
2009-06-16,28.170000
2009-06-17,28.680000
2009-06-18,28.720000
2009-06-19,29.330000
2009-06-22,27.310000
2009-06-23,27.710000
2009-06-24,27.740000
2009-06-25,28.520000
2009-06-26,28.000000
2009-06-29,28.620000
2009-06-30,28.300000
2009-07-01,28.660000
2009-07-02,27.640000
2009-07-06,27.160000
2009-07-07,26.340000
2009-07-08,26.470000
2009-07-09,27.420000
2009-07-10,27.580000
2009-07-13,28.370000
2009-07-14,28.300000
2009-07-15,29.850000
2009-07-16,30.870000
2009-07-17,31.020000
2009-07-20,31.210000
2009-07-21,31.260000
2009-07-22,31.340000
2009-07-23,32.310000
2009-07-24,32.630000
2009-07-27,32.610000
2009-07-28,32.330000
2009-07-29,32.060000
2009-07-30,32.280000
2009-07-31,32.420000
2009-08-03,32.680000
2009-08-04,33.000000
2009-08-05,32.010000
2009-08-06,32.420000
2009-08-07,33.220000
2009-08-10,32.820000
2009-08-11,31.920000
2009-08-12,33.040000
2009-08-13,33.430000
2009-08-14,32.270000
2009-08-17,31.210000
2009-08-18,31.720000
2009-08-19,31.720000
2009-08-20,32.100000
2009-08-21,32.840000
2009-08-24,32.730000
2009-08-25,32.670000
2009-08-26,32.510000
2009-08-27,32.460000
2009-08-28,31.730000
2009-08-31,31.420000
2009-09-01,31.100000
2009-09-02,31.000000
2009-09-03,31.490000
2009-09-04,32.050000
2009-09-08,32.510000
2009-09-09,32.800000
2009-09-10,34.020000
2009-09-11,34.650000
2009-09-14,35.190000
2009-09-15,35.620000
2009-09-16,33.350000
2009-09-17,32.840000
2009-09-18,32.950000
2009-09-21,32.850000
2009-09-22,33.110000
2009-09-23,32.710000
2009-09-24,32.320000
2009-09-25,32.030000
2009-09-28,32.930000
2009-09-29,32.680000
2009-09-30,33.040000
2009-10-01,32.180000
2009-10-02,32.350000
2009-10-05,32.550000
2009-10-06,33.510000
2009-10-07,33.260000
2009-10-08,34.330000
2009-10-09,34.640000
2009-10-12,34.360000
2009-10-13,34.620000
2009-10-14,35.430000
2009-10-15,35.750000
2009-10-16,35.670000
2009-10-19,35.650000
2009-10-20,35.410000
2009-10-21,34.810000
2009-10-22,35.170000
2009-10-23,34.780000
2009-10-26,34.450000
2009-10-27,33.950000
2009-10-28,32.830000
2009-10-29,33.540000
2009-10-30,32.940000
2009-11-02,32.870000
2009-11-03,33.010000
2009-11-04,33.860000
2009-11-05,34.700000
2009-11-06,34.650000
2009-11-09,36.450000
2009-11-10,36.600000
2009-11-11,35.920000
2009-11-12,35.610000
2009-11-13,36.510000
2009-11-16,36.810000
2009-11-17,36.900000
2009-11-18,36.590000
2009-11-19,36.110000
2009-11-20,35.810000
2009-11-23,36.440000
2009-11-24,35.950000
2009-11-25,36.170000
2009-11-27,35.380000
2009-11-30,35.080000
2009-12-01,36.400000
2009-12-02,36.500000
2009-12-03,36.000000
2009-12-04,36.500000
2009-12-07,36.370000
2009-12-08,36.080000
2009-12-09,35.850000
2009-12-10,35.800000
2009-12-11,35.380000
2009-12-14,35.780000
2009-12-15,36.360000
2009-12-16,37.860000
2009-12-17,37.010000
2009-12-18,37.340000
2009-12-21,37.280000
2009-12-22,37.340000
2009-12-23,36.930000
2009-12-24,37.170000
2009-12-28,37.190000
2009-12-29,37.210000
2009-12-30,37.180000
2009-12-31,36.780000
2010-01-04,37.090000
2010-01-05,37.690000
2010-01-06,37.620000
2010-01-07,36.890000
2010-01-08,36.690000
2010-01-11,36.210000
2010-01-12,35.660000
2010-01-13,36.280000
2010-01-14,35.900000
2010-01-15,35.870000
2010-01-19,36.950000
2010-01-20,36.490000
2010-01-21,35.820000
2010-01-22,34.380000
2010-01-25,34.160000
2010-01-26,33.940000
2010-01-27,33.140000
2010-01-28,32.890000
2010-01-29,32.300000
2010-02-01,32.480000
2010-02-02,32.980000
2010-02-03,32.980000
2010-02-04,32.240000
2010-02-05,32.770000
2010-02-08,32.050000
2010-02-09,32.310000
2010-02-10,32.760000
2010-02-11,32.640000
2010-02-12,31.450000
2010-02-16,31.810000
2010-02-17,32.330000
2010-02-18,33.240000
2010-02-19,33.880000
2010-02-22,33.700000
2010-02-23,33.440000
2010-02-24,34.550000
2010-02-25,34.560000
2010-02-26,34.650000
2010-03-01,34.890000
2010-03-02,34.740000
2010-03-03,34.820000
2010-03-04,34.940000
2010-03-05,35.160000
2010-03-08,35.060000
2010-03-09,35.120000
2010-03-10,35.150000
2010-03-11,35.220000
2010-03-12,35.160000
2010-03-15,35.490000
2010-03-16,35.020000
2010-03-17,35.490000
2010-03-18,35.750000
2010-03-19,34.670000
2010-03-22,34.950000
2010-03-23,35.220000
2010-03-24,36.510000
2010-03-25,35.870000
2010-03-26,35.510000
2010-03-29,35.740000
2010-03-30,35.680000
2010-03-31,35.370000
2010-04-01,35.740000
2010-04-05,35.990000
2010-04-06,35.700000
2010-04-07,35.060000
2010-04-08,34.940000
2010-04-09,35.470000
2010-04-12,35.020000
2010-04-13,34.750000
2010-04-14,35.020000
2010-04-15,34.390000
2010-04-16,34.000000
2010-04-19,33.820000
2010-04-20,34.930000
2010-04-21,34.920000
2010-04-22,35.970000
2010-04-23,36.250000
2010-04-26,36.150000
2010-04-27,35.340000
2010-04-28,35.470000
2010-04-29,34.960000
2010-04-30,33.600000
2010-05-03,33.590000
2010-05-04,33.140000
2010-05-05,32.960000
2010-05-06,32.490000
2010-05-07,32.420000
2010-05-10,34.280000
2010-05-11,33.800000
2010-05-12,34.800000
2010-05-13,34.410000
2010-05-14,33.720000
2010-05-17,33.810000
2010-05-18,33.280000
2010-05-19,32.880000
2010-05-20,31.740000
2010-05-21,32.180000
2010-05-24,31.630000
2010-05-25,31.550000
2010-05-26,30.930000
2010-05-27,32.200000
2010-05-28,32.080000
2010-06-01,32.130000
2010-06-02,32.940000
2010-06-03,32.900000
2010-06-04,31.592500
2010-06-07,31.060000
2010-06-08,31.000000
2010-06-09,30.730000
2010-06-10,31.720000
2010-06-11,31.730000
2010-06-14,31.700000
2010-06-15,32.510000
2010-06-16,32.440000
2010-06-17,33.120000
2010-06-18,33.520000
2010-06-21,33.130000
2010-06-22,32.762500
2010-06-23,30.380000
2010-06-24,30.260000
2010-06-25,29.850000
2010-06-28,28.720000
2010-06-29,26.900000
2010-06-30,26.430000
2010-07-01,26.660000
2010-07-02,26.730000
2010-07-06,26.340000
2010-07-07,26.790000
2010-07-08,26.850000
2010-07-09,27.200000
2010-07-12,27.090000
2010-07-13,28.110000
2010-07-14,28.030000
2010-07-15,28.220000
2010-07-16,27.390000
2010-07-19,27.670000
2010-07-20,27.870000
2010-07-21,27.670000
2010-07-22,28.580000
2010-07-23,29.230000
2010-07-26,29.170000
2010-07-27,29.220000
2010-07-28,28.690000
2010-07-29,28.700000
2010-07-30,28.720000
2010-08-02,29.600000
2010-08-03,29.120000
2010-08-04,29.700000
2010-08-05,29.440000
2010-08-06,29.230000
2010-08-09,29.520000
2010-08-10,29.170000
2010-08-11,28.250000
2010-08-12,28.080000
2010-08-13,28.010000
2010-08-16,27.360000
2010-08-17,27.955000
2010-08-18,28.100000
2010-08-19,27.690000
2010-08-20,27.920000
2010-08-23,27.820000
2010-08-24,27.930000
2010-08-25,27.480000
2010-08-26,27.380000
2010-08-27,27.980000
2010-08-30,27.790000
2010-08-31,27.700000
2010-09-01,28.850000
2010-09-02,29.420000
2010-09-03,29.490000
2010-09-07,29.170000
2010-09-08,29.310000
2010-09-09,32.860000
2010-09-10,32.200000
2010-09-13,32.240000
2010-09-14,32.475000
2010-09-15,32.760000
2010-09-16,32.850000
2010-09-17,32.780000
2010-09-20,33.109900
2010-09-21,32.940000
2010-09-22,26.670000
2010-09-23,26.410000
2010-09-24,26.877500
2010-09-27,26.880000
2010-09-28,26.280000
2010-09-29,26.040000
2010-09-30,26.150000
2010-10-01,26.270000
2010-10-04,25.600000
2010-10-05,25.770000
2010-10-06,25.730000
2010-10-07,28.690000
2010-10-08,26.990000
2010-10-11,27.250000
2010-10-12,27.660000
2010-10-13,27.710000
2010-10-14,27.490000
2010-10-15,28.080000
2010-10-18,28.060000
2010-10-19,27.580000
2010-10-20,28.210000
2010-10-21,27.700000
2010-10-22,28.210000
2010-10-25,28.200000
2010-10-26,28.140000
2010-10-27,28.170000
2010-10-28,28.100000
2010-10-29,28.150000
2010-11-01,28.220000
2010-11-02,29.020000
2010-11-03,28.800000
2010-11-04,29.460000
2010-11-05,29.140000
2010-11-08,29.290000
2010-11-09,29.490000
2010-11-10,29.790000
2010-11-11,29.940000
2010-11-12,29.540000
2010-11-15,29.510000
2010-11-16,29.020000
2010-11-17,28.900000
2010-11-18,28.680000
2010-11-19,28.860000
2010-11-22,29.180000
2010-11-23,28.190000
2010-11-24,28.400000
2010-11-26,28.720000
2010-11-29,28.360000
2010-11-30,27.800000
2010-12-01,28.370000
2010-12-02,29.100000
2010-12-03,29.140000
2010-12-06,29.230000
2010-12-07,29.020000
2010-12-08,29.210000
2010-12-09,28.600000
2010-12-10,28.710000
2010-12-13,27.810000
2010-12-14,28.150000
2010-12-15,27.720000
2010-12-16,28.520000
2010-12-17,28.790000
2010-12-20,29.177500
2010-12-21,30.930000
2010-12-22,30.647500
2010-12-23,30.850000
2010-12-27,30.950000
2010-12-28,30.920000
2010-12-29,30.970000
2010-12-30,30.570000
2010-12-31,30.780000
2011-01-04,31.510000
2011-01-05,32.220000
2011-01-06,32.270000
2011-01-07,32.040000
2011-01-10,32.960000
2011-01-11,32.980000
2011-01-12,33.572500
2011-01-13,33.380000
2011-01-14,33.790000
2011-01-18,34.180000
2011-01-19,33.910000
2011-01-20,33.490000
2011-01-21,33.270000
2011-01-24,34.030000
2011-01-25,33.560000
2011-01-26,33.520000
2011-01-27,33.850000
2011-01-28,32.490000
2011-01-31,33.050000
2011-02-01,33.510000
2011-02-02,33.430000
2011-02-03,33.530000
2011-02-04,33.360000
2011-02-07,33.560000
2011-02-08,33.570000
2011-02-09,33.010000
2011-02-10,33.570000
2011-02-11,33.670000
2011-02-14,33.860000
2011-02-15,33.940000
2011-02-16,34.690000
2011-02-17,34.980000
2011-02-18,35.390000
2011-02-22,33.740000
2011-02-23,33.380000
2011-02-24,33.450000
2011-02-25,34.630000
2011-02-28,34.500000
2011-03-01,33.970000
2011-03-02,34.480000
2011-03-03,35.050000
2011-03-04,35.270000
2011-03-07,34.720000
2011-03-08,35.290000
2011-03-09,35.130000
2011-03-10,34.860000
2011-03-11,34.610000
2011-03-14,34.080000
2011-03-15,33.040000
2011-03-16,32.090000
2011-03-17,31.835000
2011-03-18,31.990000
2011-03-21,32.340000
2011-03-22,32.880000
2011-03-23,31.680000
2011-03-24,32.590000
2011-03-25,32.640000
2011-03-28,32.430000
2011-03-29,32.620000
2011-03-30,32.950000
2011-03-31,33.160000
2011-04-01,34.160000
2011-04-04,34.370000
2011-04-05,34.180000
2011-04-06,34.240000
