d,c
2009-01-02,34.120000
2009-01-05,34.050000
2009-01-06,33.310000
2009-01-07,32.760000
2009-01-08,32.840000
2009-01-09,32.660000
2009-01-12,32.580000
2009-01-13,32.190000
2009-01-14,31.590000
2009-01-15,31.790000
2009-01-16,32.470000
2009-01-20,31.730000
2009-01-21,32.600000
2009-01-22,32.450000
2009-01-23,33.090000
2009-01-26,33.710000
2009-01-27,34.250000
2009-01-28,34.920000
2009-01-29,34.650000
2009-01-30,33.250000
2009-02-02,33.130000
2009-02-03,33.250000
2009-02-04,33.550000
2009-02-05,33.810000
2009-02-06,33.700000
2009-02-09,33.620000
2009-02-10,32.900000
2009-02-11,32.330000
2009-02-12,32.290000
2009-02-13,32.000000
2009-02-17,26.440000
2009-02-18,26.600000
2009-02-19,26.620000
2009-02-20,25.730000
2009-02-23,24.990000
2009-02-24,25.490000
2009-02-25,25.130000
2009-02-26,24.450000
2009-02-27,23.780000
2009-03-02,22.200000
2009-03-03,21.190000
2009-03-04,21.610000
2009-03-05,20.580000
2009-03-06,20.970000
2009-03-09,19.760000
2009-03-10,20.060000
2009-03-11,19.780000
2009-03-12,20.010000
2009-03-13,20.160000
2009-03-16,20.650000
2009-03-17,21.420000
2009-03-18,22.110000
2009-03-19,21.990000
2009-03-20,21.990000
2009-03-23,23.150000
2009-03-24,23.110000
2009-03-25,23.240000
2009-03-26,23.840000
2009-03-27,23.310000
2009-03-30,22.760000
2009-03-31,23.190000
2009-04-01,23.420000
2009-04-02,23.520000
2009-04-03,23.270000
2009-04-06,23.170000
2009-04-07,22.750000
2009-04-08,22.680000
2009-04-09,22.910000
2009-04-13,22.640000
2009-04-14,22.270000
2009-04-15,22.140000
2009-04-16,22.200000
2009-04-17,22.490000
2009-04-20,22.200000
2009-04-21,22.400000
2009-04-22,22.080000
2009-04-23,22.070000
2009-04-24,22.150000
2009-04-27,22.500000
2009-04-28,22.420000
2009-04-29,22.860000
2009-04-30,23.020000
2009-05-01,23.950000
2009-05-04,24.180000
2009-05-05,23.940000
2009-05-06,24.090000
2009-05-07,24.260000
2009-05-08,24.650000
2009-05-11,24.270000
2009-05-12,24.460000
2009-05-13,24.050000
2009-05-14,24.020000
2009-05-15,23.210000
2009-05-18,23.190000
2009-05-19,23.350000
2009-05-20,23.090000
2009-05-21,22.640000
2009-05-22,22.790000
2009-05-26,23.500000
2009-05-27,22.850000
2009-05-28,23.420000
2009-05-29,23.260000
2009-06-01,24.350000
2009-06-02,24.290000
2009-06-03,24.030000
2009-06-04,24.170000
2009-06-05,24.080000
2009-06-08,23.680000
2009-06-09,23.480000
2009-06-10,23.640000
2009-06-11,24.220000
2009-06-12,24.410000
2009-06-15,24.090000
2009-06-16,24.030000
2009-06-17,23.950000
2009-06-18,24.480000
2009-06-19,24.070000
2009-06-22,24.100000
2009-06-23,23.910000
2009-06-24,24.170000
2009-06-25,24.840000
2009-06-26,24.530000
2009-06-29,24.940000
2009-06-30,24.890000
2009-07-01,25.390000
2009-07-02,24.230000
2009-07-06,24.370000
2009-07-07,23.640000
2009-07-08,23.440000
2009-07-09,23.430000
2009-07-10,23.360000
2009-07-13,23.700000
2009-07-14,23.960000
2009-07-15,24.560000
2009-07-16,24.610000
2009-07-17,24.170000
2009-07-20,24.490000
2009-07-21,24.770000
2009-07-22,24.600000
2009-07-23,25.220000
2009-07-24,25.760000
2009-07-27,25.830000
2009-07-28,25.620000
2009-07-29,25.460000
2009-07-30,25.730000
2009-07-31,25.430000
2009-08-03,25.510000
2009-08-04,25.630000
2009-08-05,25.760000
2009-08-06,26.230000
2009-08-07,26.410000
2009-08-10,26.490000
2009-08-11,26.370000
2009-08-12,26.270000
2009-08-13,26.350000
2009-08-14,26.410000
2009-08-17,26.070000
2009-08-18,26.210000
2009-08-19,26.310000
2009-08-20,26.460000
2009-08-21,27.050000
2009-08-24,27.200000
2009-08-25,27.290000
2009-08-26,27.460000
2009-08-27,27.530000
