d,c
2009-01-02,14.075556
2009-01-05,13.693333
2009-01-06,13.831111
2009-01-07,13.653333
2009-01-08,13.755556
2009-01-09,13.431111
2009-01-12,12.946667
2009-01-13,13.102222
2009-01-14,13.208889
2009-01-15,14.111111
2009-01-16,14.444445
2009-01-20,14.044445
2009-01-21,14.555556
2009-01-22,14.146667
2009-01-23,14.102222
2009-01-26,14.017778
2009-01-27,13.986667
2009-01-28,14.368889
2009-01-29,14.142222
2009-01-30,14.204445
2009-02-02,14.408889
2009-02-03,14.315556
2009-02-04,14.080000
2009-02-05,14.315556
2009-02-06,14.706667
2009-02-09,14.475556
2009-02-10,14.026667
2009-02-11,14.115556
2009-02-12,14.048889
2009-02-13,14.120000
2009-02-17,13.524445
2009-02-18,13.511111
2009-02-19,13.133333
2009-02-20,12.613333
2009-02-23,12.013333
2009-02-24,12.311111
2009-02-25,12.128889
2009-02-26,11.880000
2009-02-27,11.760000
2009-03-02,10.960000
2009-03-03,11.231111
2009-03-04,12.266667
2009-03-05,12.182222
2009-03-06,12.137778
2009-03-09,11.866667
2009-03-10,12.506667
2009-03-11,12.688889
2009-03-12,13.195556
2009-03-13,12.968889
2009-03-16,13.102222
2009-03-17,13.382222
2009-03-18,13.582222
2009-03-19,13.542222
2009-03-20,13.364445
2009-03-23,14.302222
2009-03-24,14.000000
2009-03-25,13.924445
2009-03-26,14.528889
2009-03-27,14.186667
2009-03-30,13.751111
2009-03-31,13.897778
2009-04-01,14.128889
2009-04-02,14.715556
2009-04-03,14.880000
2009-04-06,14.826667
2009-04-07,14.288889
2009-04-08,14.293333
2009-04-09,15.057778
2009-04-13,14.857778
2009-04-14,14.755556
2009-04-15,14.911111
2009-04-16,15.760000
2009-04-17,15.871111
2009-04-20,15.017778
2009-04-21,14.031111
2009-04-22,14.528889
2009-04-23,14.537778
2009-04-24,14.613333
2009-04-27,14.493333
2009-04-28,14.142222
2009-04-29,14.217778
2009-04-30,14.315556
2009-05-01,14.231111
2009-05-04,14.426667
2009-05-05,14.275556
2009-05-06,14.426667
2009-05-07,14.546667
2009-05-08,14.697778
2009-05-11,14.097778
2009-05-12,13.911111
2009-05-13,13.377778
2009-05-14,13.386667
2009-05-15,13.328889
2009-05-18,13.417778
2009-05-19,13.542222
2009-05-20,13.764445
2009-05-21,13.297778
2009-05-22,13.431111
2009-05-26,14.120000
2009-05-27,13.702222
2009-05-28,13.795556
2009-05-29,13.977778
2009-06-01,14.777778
2009-06-02,14.800000
2009-06-03,14.791111
2009-06-04,15.106667
2009-06-05,15.368889
2009-06-08,15.124445
2009-06-09,15.506667
2009-06-10,15.666667
2009-06-11,15.706667
2009-06-12,15.640000
2009-06-15,15.231111
2009-06-16,15.088889
2009-06-17,15.222222
2009-06-18,15.111111
2009-06-19,15.128889
2009-06-22,14.693333
2009-06-23,14.573333
2009-06-24,14.960000
2009-06-25,15.404445
2009-06-26,15.293333
2009-06-29,15.395556
2009-06-30,15.368889
2009-07-01,15.760000
2009-07-02,15.133333
2009-07-06,15.168889
2009-07-07,14.760000
2009-07-08,14.653333
2009-07-09,14.555556
2009-07-10,14.600000
2009-07-13,14.977778
2009-07-14,15.200000
2009-07-15,15.564445
2009-07-16,15.711111
2009-07-17,15.817778
2009-07-20,16.124445
2009-07-21,16.386667
2009-07-22,16.386667
2009-07-23,16.733333
2009-07-24,17.071111
2009-07-27,16.906667
2009-07-28,14.822222
2009-07-29,14.324445
2009-07-30,14.391111
2009-07-31,14.382222
2009-08-03,14.364445
