d,c
2009-01-02,24.000000
2009-01-05,24.140000
2009-01-06,25.100000
2009-01-07,23.000000
2009-01-08,23.800000
2009-01-09,22.800000
2009-01-12,20.940000
2009-01-13,21.600000
2009-01-14,20.080000
2009-01-15,19.970000
2009-01-16,21.310000
2009-01-20,17.580000
2009-01-21,20.510000
2009-01-22,19.180000
2009-01-23,19.460000
2009-01-26,19.920000
2009-01-27,20.480000
2009-01-28,22.120000
2009-01-29,21.240000
2009-01-30,20.150000
2009-02-02,21.340000
2009-02-03,20.830000
2009-02-04,20.780000
2009-02-05,21.870000
2009-02-06,21.680000
2009-02-09,21.830000
2009-02-10,19.870000
2009-02-11,20.810000
2009-02-12,20.940000
2009-02-13,20.460000
2009-02-17,18.040000
2009-02-18,18.610000
2009-02-19,17.090000
2009-02-20,17.150000
2009-02-23,15.990000
2009-02-24,17.750000
2009-02-25,16.880000
2009-02-26,16.700000
2009-02-27,15.940000
2009-03-02,14.990000
2009-03-03,14.570000
2009-03-04,15.470000
2009-03-05,14.210000
2009-03-06,14.200000
2009-03-09,13.800000
2009-03-10,15.690000
2009-03-11,16.670000
2009-03-12,17.740000
2009-03-13,17.910000
2009-03-16,16.870000
2009-03-17,18.280000
2009-03-18,20.170000
2009-03-19,19.390000
2009-03-20,18.730000
2009-03-23,21.860000
2009-03-24,20.600000
2009-03-25,21.300000
2009-03-26,21.500000
2009-03-27,20.710000
2009-03-30,18.890000
2009-03-31,20.490000
2009-04-01,21.000000
2009-04-02,21.770000
2009-04-03,22.840000
2009-04-06,22.110000
2009-04-07,20.630000
2009-04-08,22.010000
2009-04-09,24.180000
2009-04-13,24.310000
2009-04-14,22.150000
2009-04-15,23.510000
2009-04-16,24.620000
2009-04-17,24.860000
2009-04-20,23.770000
2009-04-21,24.200000
2009-04-22,25.350000
2009-04-23,26.170000
2009-04-24,26.440000
2009-04-27,25.880000
2009-04-28,24.860000
2009-04-29,26.320000
2009-04-30,26.350000
2009-05-01,26.450000
2009-05-04,26.860000
2009-05-05,26.230000
2009-05-06,27.600000
2009-05-07,26.900000
2009-05-08,29.020000
2009-05-11,26.110000
2009-05-12,25.660000
2009-05-13,24.460000
2009-05-14,25.060000
2009-05-15,25.170000
2009-05-18,27.440000
2009-05-19,28.940000
2009-05-20,28.060000
2009-05-21,28.370000
2009-05-22,28.730000
2009-05-26,29.720000
2009-05-27,28.650000
2009-05-28,29.480000
2009-05-29,30.200000
2009-06-01,30.930000
2009-06-02,29.970000
2009-06-03,29.390000
2009-06-04,30.550000
2009-06-05,29.650000
2009-06-08,28.540000
2009-06-09,28.390000
2009-06-10,26.330000
2009-06-11,25.690000
2009-06-12,24.320000
2009-06-15,24.780000
2009-06-16,24.410000
2009-06-17,23.850000
