d,c
2011-11-17,18.555650
2011-11-18,18.268572
2011-11-21,17.659620
2011-11-22,17.311647
2011-11-23,17.076765
2011-11-25,17.094164
2011-11-28,17.433437
2011-11-29,17.389941
2011-11-30,18.129383
2011-12-01,18.103285
2011-12-02,18.590447
2011-12-05,18.938420
2011-12-06,19.251595
2011-12-07,19.138504
2011-12-08,18.868825
2011-12-09,18.921021
2011-12-12,18.712237
2011-12-13,18.538251
2011-12-14,17.955396
2011-12-15,18.233775
2011-12-16,18.242474
2011-12-19,18.259873
2011-12-20,18.703538
2011-12-21,18.616545
2011-12-22,18.955818
2011-12-23,19.086308
2011-12-27,18.834028
2011-12-28,18.433859
2011-12-29,18.633943
2011-12-30,18.738335
2012-01-03,19.347288
2012-01-04,19.608267
2012-01-05,19.260294
2012-01-06,19.616967
2012-01-09,19.756156
2012-01-10,20.730480
2012-01-11,20.834871
2012-01-12,21.478621
2012-01-13,21.574314
2012-01-17,21.191544
2012-01-18,21.313334
2012-01-19,21.809195
2012-01-20,21.835293
2012-01-23,22.165867
2012-01-24,22.452945
2012-01-25,22.409448
2012-01-26,22.574735
2012-01-27,23.627353
2012-01-30,23.557759
2012-01-31,23.340276
2012-02-01,24.871356
2012-02-02,25.201930
2012-02-03,26.750409
2012-02-06,26.550325
2012-02-07,26.167555
2012-02-08,26.010967
2012-02-09,25.923974
2012-02-10,26.132757
2012-02-13,26.106659
2012-02-14,25.280224
2012-02-15,25.558602
2012-02-16,26.376338
2012-02-17,27.220172
2012-02-21,26.906997
2012-02-22,26.985291
2012-02-23,26.967892
2012-02-24,27.307165
2012-02-27,27.220172
2012-02-28,27.733432
2012-02-29,27.837824
2012-03-01,27.837824
2012-03-02,28.124902
2012-03-05,27.524648
2012-03-06,26.080561
2012-03-07,26.106659
2012-03-08,27.576844
2012-03-09,27.689936
2012-03-12,27.768229
2012-03-13,27.794327
2012-03-14,27.646439
2012-03-15,27.594243
2012-03-16,27.837824
2012-03-19,27.446355
2012-03-20,27.089682
2012-03-21,27.194074
2012-03-22,26.941794
2012-03-23,26.941794
2012-03-26,27.803027
2012-03-27,27.759530
2012-03-28,27.455054
2012-03-29,27.637740
2012-03-30,27.489851
2012-04-02,27.446355
2012-04-03,27.202774
2012-04-04,27.515949
2012-04-05,27.629040
2012-04-09,27.202774
2012-04-10,26.828703
2012-04-11,27.394159
2012-04-12,27.637740
2012-04-13,27.707334
2012-04-16,27.829125
2012-04-17,27.933517
2012-04-18,28.011810
2012-04-19,27.716034
2012-04-20,27.724733
2012-04-23,27.402858
2012-04-24,26.289345
2012-04-25,26.837402
2012-04-26,26.637318
2012-04-27,27.059235
2012-04-30,26.698213
2012-05-01,26.846102
2012-05-02,26.741710
2012-05-03,26.489429
2012-05-04,25.549903
2012-05-07,25.793484
2012-05-08,24.793062
2012-05-09,24.819160
2012-05-10,25.045342
2012-05-11,24.984447
2012-05-14,24.366795
2012-05-15,24.018823
2012-05-16,24.340697
2012-05-17,23.914431
2012-05-18,23.714346
2012-05-21,24.358096
2012-05-22,24.523383
2012-05-23,24.384194
2012-05-24,24.097116
2012-05-25,24.749565
2012-05-29,25.958771
2012-05-30,25.097538
2012-05-31,25.254126
2012-06-01,24.566880
2012-06-04,24.123214
2012-06-05,24.592978
2012-06-06,25.228028
2012-06-07,24.819160
2012-06-08,25.010545
2012-06-11,24.793062
2012-06-12,25.114937
2012-06-13,24.880055
2012-06-14,24.740866
2012-06-15,24.827859
2012-06-18,25.149734
2012-06-19,25.315021
2012-06-20,24.862657
2012-06-21,23.984025
2012-06-22,23.505563
2012-06-25,22.400749
2012-06-26,22.539938
2012-06-27,22.392050
2012-06-28,22.122371
2012-06-29,22.183266
2012-07-02,22.000580
2012-07-03,22.887911
2012-07-05,23.322877
2012-07-06,22.966205
2012-07-09,23.192387
2012-07-10,23.079296
2012-07-11,22.731323
2012-07-12,22.844414
2012-07-13,23.375073
2012-07-16,23.166289
2012-07-17,23.488164
2012-07-18,23.670850
2012-07-19,23.662150
2012-07-20,23.470765
2012-07-23,23.392471
2012-07-24,23.061897
2012-07-25,23.235884
2012-07-26,23.444667
2012-07-27,24.166711
2012-07-30,24.349397
2012-07-31,24.697369
2012-08-01,24.340697
2012-08-02,23.914431
2012-08-03,24.645174
2012-08-06,25.245427
2012-08-07,25.262825
2012-08-08,24.958349
2012-08-09,25.175832
2012-08-10,24.827859
2012-08-13,24.975748
2012-08-14,24.906153
2012-08-15,24.775663
2012-08-16,25.549903
2012-08-17,25.662994
2012-08-20,25.567301
2012-08-21,25.489008
2012-08-22,25.436812
2012-08-23,25.341119
2012-08-24,25.384616
2012-08-27,25.715190
2012-08-28,26.559024
2012-08-29,26.271946
2012-08-30,25.915274
2012-08-31,26.350240
2012-09-04,26.097960
2012-09-05,26.097960
2012-09-06,26.846102
2012-09-07,27.098382
2012-09-10,26.854801
2012-09-11,27.054885
2012-09-12,26.950493
2012-09-13,26.759108
2012-09-14,27.681236
2012-09-17,27.507250
2012-09-18,27.611642
2012-09-19,27.855223
2012-09-20,27.855223
2012-09-21,27.646439
2012-09-24,27.542047
2012-09-25,27.289767
2012-09-26,27.263669
2012-09-27,27.194074
2012-09-28,26.967892
2012-10-01,27.228872
2012-10-02,27.437655
2012-10-03,27.455054
2012-10-04,28.011810
2012-10-05,28.272790
2012-10-08,28.072706
2012-10-09,27.733432
2012-10-10,27.394159
2012-10-11,27.863922
2012-10-12,27.907419
2012-10-15,28.255391
2012-10-16,28.498972
2012-10-17,28.272790
2012-10-18,28.237993
2012-10-19,27.768229
2012-10-22,28.133601
2012-10-23,27.307165
2012-10-24,27.263669
2012-10-25,27.341963
2012-10-26,26.532926
2012-10-31,27.350662
2012-11-01,28.324986
2012-11-02,28.585966
2012-11-05,28.011810
2012-11-06,28.585966
2012-11-07,27.907419
2012-11-08,27.568145
2012-11-09,28.055307
2012-11-12,28.237993
2012-11-13,28.003111
2012-11-14,27.776929
2012-11-15,27.559446
2012-11-16,27.959614
2012-11-19,29.029631
2012-11-20,29.055729
2012-11-21,29.229715
2012-11-23,29.621185
2012-11-26,29.020932
2012-11-27,29.081827
2012-11-28,29.229715
2012-11-29,29.551590
2012-11-30,29.568989
2012-12-03,29.142722
2012-12-04,29.490695
2012-12-05,29.464597
2012-12-06,29.516793
2012-12-07,29.551590
2012-12-10,29.621185
2012-12-11,29.777772
2012-12-12,29.916961
2012-12-13,29.864766
2012-12-14,29.803870
2012-12-17,29.899563
2012-12-18,29.969157
2012-12-19,31.013076
2012-12-20,31.352349
2012-12-21,31.439342
2012-12-24,31.561133
2012-12-26,32.378869
2012-12-27,33.170507
2012-12-28,32.813835
2012-12-31,33.274899
2013-01-02,33.822956
2013-01-03,33.361892
2013-01-04,33.501081
2013-01-07,33.222703
2013-01-08,33.214004
2013-01-09,33.466284
2013-01-10,33.762061
2013-01-11,33.135710
2013-01-14,32.726842
2013-01-15,33.309696
2013-01-16,33.335794
2013-01-17,33.927348
2013-01-18,33.770760
2013-01-22,33.796858
2013-01-23,33.622872
2013-01-24,33.814257
2013-01-25,34.162230
2013-01-28,34.623294
2013-01-29,34.440608
2013-01-30,33.822956
2013-01-31,33.631571
2013-02-01,34.118733
2013-02-04,33.762061
2013-02-05,34.223125
2013-02-06,33.579375
2013-02-07,33.327095
2013-02-08,33.509781
2013-02-11,34.092635
2013-02-12,34.631993
2013-02-13,34.753783
2013-02-14,34.771182
2013-02-15,34.779881
2013-02-19,34.588496
2013-02-20,33.744662
2013-02-21,32.979122
2013-02-22,33.379291
2013-02-25,33.170507
2013-02-26,34.562398
2013-02-27,36.363158
2013-02-28,36.406654
2013-03-01,36.711130
2013-03-04,36.772026
2013-03-05,36.972110
2013-03-06,36.850320
2013-03-07,37.180894
2013-03-08,37.407076
2013-03-11,37.581062
2013-03-12,37.433174
2013-03-13,37.581062
2013-03-14,37.624559
2013-03-15,37.650657
2013-03-18,37.224390
2013-03-19,37.502769
2013-03-20,37.702853
2013-03-21,37.737650
2013-03-22,37.589762
2013-03-25,37.337481
2013-03-26,38.668477
2013-03-27,38.729373
2013-03-28,38.624981
2013-04-01,38.277008
2013-04-02,38.372701
2013-04-03,37.720252
2013-04-04,37.633258
2013-04-05,37.180894
2013-04-08,36.963411
2013-04-09,36.972110
2013-04-10,37.963832
2013-04-11,38.494491
2013-04-12,39.051247
2013-04-15,36.815522
2013-04-16,37.885539
2013-04-17,36.424053
2013-04-18,35.615016
2013-04-19,36.397955
2013-04-22,36.719830
2013-04-23,37.337481
2013-04-24,38.094322
2013-04-25,38.868562
2013-04-26,38.885960
2013-04-29,39.434018
2013-04-30,40.199558
2013-05-01,39.555808
2013-05-02,39.581906
2013-05-03,39.790690
2013-05-06,40.251754
2013-05-07,40.286551
2013-05-08,40.103865
2013-05-09,39.355724
2013-05-10,39.494913
2013-05-13,39.634102
2013-05-14,40.303950
2013-05-15,40.477936
2013-05-16,40.886804
2013-05-17,42.209101
2013-05-20,42.443982
2013-05-21,42.670165
2013-05-22,42.426584
2013-05-23,42.061212
2013-05-24,41.800233
2013-05-28,43.340012
2013-05-29,43.105131
2013-05-30,42.870249
2013-05-31,42.461381
2013-06-03,42.539675
2013-06-04,42.417884
2013-06-05,41.861128
2013-06-06,42.965941
2013-06-07,43.844573
2013-06-10,44.070755
2013-06-11,43.409607
2013-06-12,43.496600
2013-06-13,44.418728
2013-06-14,44.557917
2013-06-17,44.549218
2013-06-18,45.175569
2013-06-19,45.314758
2013-06-20,43.714083
2013-06-21,43.226921
2013-06-24,41.904624
2013-06-25,42.635367
2013-06-26,44.018559
2013-06-27,44.366532
2013-06-28,44.096853
2013-07-01,45.201667
2013-07-02,45.175569
2013-07-03,44.905890
2013-07-05,45.601835
2013-07-08,46.654453
2013-07-09,46.784943
2013-07-10,46.784943
2013-07-11,47.646176
2013-07-12,47.785365
2013-07-15,47.846260
2013-07-16,46.976328
2013-07-17,47.359098
2013-07-18,47.924554
2013-07-19,47.802763
2013-07-22,47.933253
2013-07-23,47.524385
2013-07-24,48.272527
2013-07-25,48.307324
2013-07-26,48.472611
2013-07-29,48.020246
2013-07-30,48.124638
2013-07-31,46.732747
2013-08-01,48.220331
2013-08-02,48.585702
2013-08-05,48.637898
2013-08-06,48.394317
2013-08-07,47.767966
2013-08-08,48.324723
2013-08-09,48.333422
2013-08-12,48.437814
2013-08-13,49.412138
2013-08-14,48.324723
2013-08-15,47.150314
2013-08-16,47.811463
2013-08-19,47.593980
2013-08-20,47.611378
2013-08-21,47.350399
2013-08-22,47.602679
2013-08-23,48.333422
2013-08-26,48.403016
2013-08-27,46.915433
2013-08-28,48.115939
2013-08-29,48.289925
2013-08-30,47.863659
2013-09-03,48.698793
2013-09-04,49.307746
2013-09-05,49.994992
2013-09-06,49.151158
2013-09-09,49.185955
2013-09-10,49.934097
2013-09-11,50.151580
2013-09-12,49.203354
2013-09-13,49.499131
2013-09-16,49.603523
2013-09-17,49.655719
2013-09-18,49.899300
2013-09-19,50.551749
2013-09-20,50.456056
2013-09-23,49.855803
2013-09-24,50.438657
2013-09-25,50.168978
2013-09-26,50.777931
2013-09-27,50.838826
2013-09-30,50.821427
2013-10-01,51.178100
2013-10-02,50.638742
2013-10-03,50.055887
2013-10-04,50.464755
2013-10-07,50.255972
2013-10-08,48.611800
2013-10-09,48.637898
2013-10-10,50.212475
2013-10-11,49.855803
2013-10-14,49.916698
2013-10-15,49.499131
2013-10-16,51.378184
2013-10-17,52.230717
2013-10-18,52.195920
2013-10-21,51.752255
2013-10-22,51.682660
2013-10-23,50.369063
2013-10-24,50.664840
2013-10-25,50.482154
2013-10-28,49.603523
2013-10-29,49.229452
2013-10-30,49.212053
2013-10-31,49.760110
2013-11-01,50.029789
2013-11-04,50.456056
2013-11-05,47.854959
2013-11-06,48.594402
2013-11-07,46.993727
2013-11-08,48.211631
2013-11-11,47.672274
2013-11-12,47.994148
2013-11-13,48.603101
2013-11-14,49.542627
2013-11-15,50.525651
2013-11-18,50.168978
2013-11-19,48.881479
2013-11-20,49.499131
2013-11-21,50.334266
2013-11-22,50.351664
2013-11-25,50.160279
2013-11-26,50.195076
2013-11-27,50.482154
2013-11-29,50.934519
2013-12-02,50.273370
2013-12-03,49.777509
2013-12-04,49.994992
2013-12-05,50.003691
2013-12-06,50.838826
2013-12-09,50.664840
2013-12-10,51.430380
2013-12-11,50.151580
2013-12-12,50.342965
2013-12-13,50.978015
2013-12-16,51.874045
2013-12-17,52.030633
2013-12-18,52.309011
2013-12-19,51.299890
2013-12-20,50.760532
2013-12-23,51.708758
2013-12-24,52.187221
2013-12-26,52.239417
2013-12-27,52.048032
2013-12-30,52.056731
2013-12-31,52.309011
2014-01-02,51.691359
2014-01-03,51.560870
2014-01-06,51.569569
2014-01-07,52.491697
2014-01-08,52.857068
2014-01-09,52.735278
2014-01-10,53.474720
2014-01-13,52.369906
2014-01-14,53.918385
2014-01-15,54.292456
2014-01-16,54.127169
2014-01-17,54.544736
2014-01-21,54.805716
2014-01-22,55.023199
2014-01-23,54.196764
2014-01-24,52.126325
2014-01-27,51.839248
2014-01-28,52.230717
2014-01-29,52.048032
2014-01-30,53.048453
2014-01-31,52.970159
2014-02-03,51.439079
2014-02-04,52.204619
2014-02-05,53.039754
2014-02-06,53.544315
2014-02-07,54.292456
2014-02-10,54.440345
2014-02-11,54.779618
2014-02-12,55.753942
2014-02-13,55.823536
2014-02-14,55.780040
2014-02-18,56.528181
2014-02-19,56.676070
2014-02-20,57.163232
2014-02-21,57.337218
2014-02-24,57.859177
2014-02-25,57.798282
2014-02-26,58.128856
2014-02-27,57.946171
2014-02-28,57.911373
2014-03-03,57.650394
2014-03-04,58.128856
2014-03-05,57.250225
2014-03-06,58.250647
2014-03-07,57.963569
2014-03-10,58.163654
2014-03-11,58.955292
2014-03-12,58.433332
2014-03-13,57.206728
2014-03-14,56.519482
2014-03-17,57.867877
2014-03-18,58.729109
2014-03-19,58.415934
2014-03-20,58.729109
2014-03-21,57.972268
2014-03-24,57.632995
2014-03-25,56.919651
2014-03-26,56.876154
2014-03-27,57.128434
2014-03-28,58.059262
2014-03-31,59.033586
2014-04-01,60.460274
2014-04-02,60.990933
2014-04-03,60.660358
2014-04-04,58.990089
2014-04-07,57.345917
2014-04-08,57.511205
2014-04-09,59.407656
2014-04-10,57.963569
2014-04-11,56.458587
2014-04-14,57.084938
2014-04-15,57.119735
2014-04-16,57.328519
2014-04-17,58.459430
2014-04-21,59.016187
2014-04-22,59.877420
2014-04-23,59.807825
2014-04-24,59.451153
2014-04-25,57.833079
2014-04-28,57.258924
2014-04-29,57.615596
2014-04-30,58.146255
2014-05-01,58.372437
2014-05-02,59.050984
2014-05-05,59.094481
2014-05-06,58.520326
2014-05-07,58.737809
2014-05-08,57.980968
2014-05-09,58.146255
2014-05-12,58.624717
2014-05-13,58.685613
2014-05-14,58.259346
2014-05-15,57.380715
2014-05-16,57.432911
2014-05-19,58.041863
2014-05-20,58.181052
2014-05-21,58.746508
2014-05-22,59.042285
2014-05-23,60.895240
2014-05-27,61.243213
2014-05-28,60.399379
2014-05-29,60.207994
2014-05-30,60.077504
2014-06-02,59.886119
2014-06-03,60.625561
2014-06-04,60.912639
2014-06-05,61.338905
2014-06-06,61.538990
2014-06-09,61.104024
2014-06-10,60.851743
2014-06-11,60.234092
2014-06-12,58.589920
2014-06-13,59.146677
2014-06-16,58.903096
2014-06-17,58.816103
2014-06-18,59.111879
2014-06-19,58.616018
2014-06-20,58.616018
2014-06-23,58.146255
2014-06-24,58.763907
2014-06-25,59.155376
2014-06-26,59.294565
2014-06-27,59.590342
2014-06-30,59.799126
2014-07-01,60.738652
2014-07-02,60.782149
2014-07-03,61.086625
2014-07-07,60.547267
2014-07-08,60.364581
2014-07-09,60.677757
2014-07-10,60.434176
2014-07-11,60.512470
2014-07-14,60.677757
2014-07-15,60.503771
2014-07-16,60.086203
2014-07-17,59.268467
2014-07-18,59.686035
2014-07-21,59.433754
2014-07-22,59.981811
2014-07-23,59.807825
2014-07-24,59.694734
2014-07-25,59.842622
2014-07-28,59.990511
2014-07-29,59.111879
2014-07-30,58.790005
2014-07-31,58.111458
2014-08-01,58.181052
2014-08-04,58.998788
2014-08-05,59.538146
2014-08-06,59.164075
2014-08-07,58.555123
2014-08-08,59.564244
2014-08-11,59.172775
2014-08-12,58.990089
2014-08-13,59.320663
2014-08-14,60.034007
2014-08-15,59.720832
2014-08-18,60.312386
2014-08-19,60.712554
2014-08-20,61.408500
2014-08-21,61.460696
2014-08-22,61.443297
2014-08-25,61.538990
2014-08-26,60.903939
2014-08-27,60.460274
2014-08-28,60.312386
2014-08-29,60.529869
2014-09-02,61.164919
2014-09-03,60.903939
2014-09-04,61.112723
2014-09-05,61.312807
2014-09-08,62.121844
2014-09-09,61.973956
2014-09-10,61.643382
2014-09-11,61.304108
2014-09-12,61.043128
2014-09-15,60.094903
2014-09-16,58.494228
2014-09-17,57.911373
2014-09-18,57.319819
2014-09-19,56.928350
2014-09-22,56.554279
2014-09-23,55.945327
2014-09-24,56.162810
2014-09-25,55.893131
2014-09-26,55.788739
2014-09-29,54.631730
2014-09-30,53.361629
2014-10-01,53.222440
2014-10-02,54.388149
2014-10-03,55.023199
2014-10-06,55.214584
2014-10-07,54.553436
2014-10-08,54.892709
2014-10-09,53.727000
2014-10-10,52.500396
2014-10-13,50.717036
2014-10-14,53.474720
2014-10-15,53.570413
2014-10-16,54.231561
2014-10-17,54.884010
2014-10-20,55.249381
2014-10-21,56.502083
2014-10-22,56.041019
2014-10-23,57.154532
2014-10-24,58.094059
2014-10-27,58.181052
2014-10-28,59.903518
2014-10-29,58.911795
2014-10-30,58.929194
2014-10-31,60.007909
2014-11-03,60.103602
2014-11-04,59.538146
2014-11-05,60.843044
2014-11-06,61.269311
2014-11-07,60.538568
2014-11-10,60.782149
2014-11-11,61.104024
2014-11-12,61.286709
2014-11-13,61.512892
2014-11-14,61.486794
2014-11-17,61.634682
2014-11-18,62.408922
2014-11-19,61.852165
2014-11-20,61.886962
2014-11-21,62.522013
2014-11-24,63.339749
2014-11-25,62.530712
2014-11-26,62.443719
2014-11-28,63.461539
2014-12-01,63.418043
2014-12-02,63.687722
2014-12-03,64.496758
2014-12-04,63.844309
2014-12-05,63.844309
2014-12-08,63.278854
2014-12-09,63.365847
2014-12-10,61.678179
2014-12-11,61.904361
2014-12-12,60.695156
2014-12-15,60.982233
2014-12-16,60.442875
2014-12-17,61.765172
2014-12-18,63.096168
2014-12-19,63.948701
2014-12-22,64.122688
2014-12-23,64.261877
2014-12-24,63.896505
2014-12-26,64.044394
2014-12-29,64.192282
2014-12-30,63.783414
2014-12-31,63.261455
2015-01-02,63.148364
2015-01-05,60.390679
2015-01-06,60.007909
2015-01-07,60.486372
2015-01-08,61.973956
2015-01-09,61.034429
2015-01-12,59.929615
2015-01-13,58.850900
2015-01-14,58.407234
2015-01-15,58.407234
2015-01-16,57.928772
2015-01-20,58.694312
2015-01-21,59.703433
2015-01-22,60.242791
2015-01-23,60.608162
2015-01-26,60.521169
2015-01-27,60.721254
2015-01-28,59.303264
2015-01-29,60.173196
2015-01-30,59.790426
2015-02-02,61.599885
2015-02-03,63.278854
2015-02-04,63.287553
2015-02-05,66.010440
2015-02-06,67.123953
2015-02-09,67.167450
2015-02-10,68.367956
2015-02-11,67.776402
2015-02-12,67.906892
2015-02-13,68.463648
2015-02-17,68.289662
2015-02-18,68.237466
2015-02-19,69.081300
2015-02-20,68.959510
2015-02-23,68.898614
2015-02-24,68.585439
2015-02-25,69.464070
2015-02-26,68.776824
2015-02-27,68.585439
2015-03-02,69.716350
2015-03-03,69.611959
2015-03-04,70.273107
2015-03-05,69.707651
2015-03-06,68.802922
2015-03-09,68.707229
2015-03-10,67.541520
2015-03-11,66.880372
2015-03-12,67.802500
2015-03-13,66.810778
2015-03-16,68.098277
2015-03-17,68.037382
2015-03-18,68.872516
2015-03-19,68.881216
2015-03-20,69.559763
2015-03-23,69.455371
2015-03-24,68.916013
2015-03-25,67.384933
2015-03-26,66.889071
2015-03-27,67.411031
2015-03-30,68.907314
2015-03-31,69.368378
2015-04-01,68.594138
2015-04-02,70.621080
2015-04-06,72.900302
2015-04-07,72.099964
2015-04-08,72.387042
2015-04-09,73.274372
2015-04-10,73.691940
2015-04-13,73.048190
2015-04-14,73.178680
2015-04-15,72.856805
2015-04-16,73.091687
2015-04-17,72.439238
2015-04-20,72.491434
2015-04-21,72.230454
2015-04-22,72.099964
2015-04-23,72.369643
2015-04-24,72.648021
2015-04-27,71.960775
2015-04-28,71.925978
2015-04-29,71.273529
2015-04-30,72.204356
2015-05-01,73.370065
2015-05-04,74.848949
2015-05-05,73.187379
2015-05-06,73.509254
2015-05-07,72.943798
2015-05-08,74.231298
2015-05-11,73.805031
2015-05-12,74.483578
2015-05-13,74.257396
2015-05-14,75.292615
2015-05-15,75.901567
2015-05-18,75.858070
2015-05-19,75.849371
2015-05-20,75.553594
2015-05-21,75.936364
2015-05-22,75.701483
2015-05-26,74.970740
2015-05-27,75.831972
2015-05-28,76.206043
2015-05-29,75.666685
2015-06-01,75.536196
2015-06-02,76.119050
2015-06-03,76.858492
2015-06-04,75.718881
2015-06-05,75.962462
2015-06-08,75.544895
2015-06-09,75.310013
2015-06-10,76.814996
2015-06-11,76.345232
2015-06-12,76.179945
2015-06-15,75.953763
2015-06-16,76.266938
2015-06-17,77.284759
2015-06-18,77.467445
2015-06-19,77.563137
2015-06-22,77.276060
2015-06-23,77.023779
2015-06-24,76.484421
2015-06-25,77.197766
2015-06-26,77.084675
2015-06-29,73.535352
2015-06-30,74.022514
2015-07-01,74.814152
2015-07-02,74.805453
2015-07-06,73.778933
2015-07-07,73.109085
2015-07-08,68.054780
2015-07-09,67.802500
2015-07-10,68.898614
2015-07-13,69.585861
2015-07-14,69.785945
2015-07-15,70.220911
2015-07-16,66.810778
2015-07-17,67.802500
2015-07-20,67.915591
2015-07-21,68.185270
2015-07-22,67.419730
2015-07-23,67.698108
2015-07-24,67.297940
2015-07-27,65.566775
2015-07-28,67.289240
2015-07-29,68.202669
2015-07-30,67.419730
2015-07-31,67.924291
2015-08-03,67.123953
2015-08-04,67.698108
2015-08-05,67.411031
2015-08-06,67.306639
2015-08-07,68.889915
2015-08-10,70.603681
2015-08-11,67.602416
2015-08-12,66.401910
2015-08-13,67.010862
2015-08-14,66.306217
2015-08-17,67.611115
2015-08-18,67.724206
2015-08-19,66.984764
2015-08-20,64.905627
2015-08-21,62.695999
2015-08-24,61.347605
2015-08-25,61.095324
2015-08-26,63.913904
2015-08-27,65.270998
2015-08-28,65.549376
2015-08-31,65.697265
2015-09-01,62.661202
2015-09-02,63.313651
2015-09-03,63.731218
2015-09-04,62.643803
2015-09-08,65.723363
2015-09-09,65.827754
2015-09-10,65.453684
2015-09-11,66.462805
2015-09-14,66.401910
2015-09-15,67.150051
2015-09-16,69.281384
2015-09-17,68.907314
2015-09-18,67.550220
2015-09-21,67.184848
2015-09-22,64.757738
2015-09-23,64.461961
2015-09-24,63.400644
2015-09-25,63.731218
2015-09-28,61.217115
2015-09-29,63.452840
2015-09-30,66.149629
2015-10-01,67.367534
2015-10-02,67.837297
2015-10-05,68.402753
2015-10-06,67.906892
2015-10-07,69.368378
2015-10-08,70.377499
2015-10-09,71.238731
2015-10-12,71.143039
2015-10-13,69.455371
2015-10-14,69.733749
2015-10-15,70.307904
2015-10-16,70.551485
2015-10-19,70.960353
2015-10-20,71.569306
2015-10-21,71.256130
2015-10-22,73.552751
2015-10-23,73.996416
2015-10-26,73.970318
