d,c
2009-01-02,58.600000
2009-01-05,59.280000
2009-01-06,65.810000
2009-01-07,65.010000
2009-01-08,66.000000
2009-01-09,64.000000
2009-01-12,58.380000
2009-01-13,59.430000
2009-01-14,56.360000
2009-01-15,56.210000
2009-01-16,58.400000
2009-01-20,53.150000
2009-01-21,59.830000
2009-01-22,58.010000
2009-01-23,59.900000
2009-01-26,60.250000
2009-01-27,61.180000
2009-01-28,65.970000
2009-01-29,61.520000
2009-01-30,59.340000
2009-02-02,59.830000
2009-02-03,58.720000
2009-02-04,57.370000
2009-02-05,56.740000
2009-02-06,58.740000
2009-02-09,60.200000
2009-02-10,54.120000
2009-02-11,54.520000
2009-02-12,52.320000
2009-02-13,50.260000
2009-02-17,45.930000
2009-02-18,45.940000
2009-02-19,42.550000
2009-02-20,45.050000
2009-02-23,40.730000
2009-02-24,44.440000
2009-02-25,43.760000
2009-02-26,40.820000
2009-02-27,39.960000
2009-03-02,36.200000
2009-03-03,35.450000
2009-03-04,35.910000
2009-03-05,33.370000
2009-03-06,32.830000
2009-03-09,32.670000
2009-03-10,37.800000
2009-03-11,38.320000
2009-03-12,41.240000
2009-03-13,41.070000
2009-03-16,37.950000
2009-03-17,40.310000
2009-03-18,41.770000
2009-03-19,37.350000
2009-03-20,32.820000
2009-03-23,37.300000
2009-03-24,35.040000
2009-03-25,36.320000
2009-03-26,37.560000
2009-03-27,36.810000
2009-03-30,34.020000
2009-03-31,36.400000
2009-04-01,36.330000
2009-04-02,38.410000
2009-04-03,41.760000
2009-04-06,37.200000
2009-04-07,33.710000
2009-04-08,34.010000
2009-04-09,38.180000
2009-04-13,39.460000
2009-04-14,37.080000
2009-04-15,39.360000
2009-04-16,41.320000
2009-04-17,42.730000
2009-04-20,39.520000
2009-04-21,36.000000
2009-04-22,32.420000
2009-04-23,34.420000
2009-04-24,36.750000
2009-04-27,35.460000
2009-04-28,35.600000
2009-04-29,36.920000
2009-04-30,36.480000
2009-05-01,34.590000
2009-05-04,38.090000
2009-05-05,36.740000
2009-05-06,37.950000
2009-05-07,34.620000
2009-05-08,36.790000
2009-05-11,34.840000
2009-05-12,33.610000
2009-05-13,30.710000
2009-05-14,32.110000
2009-05-15,31.580000
2009-05-18,34.220000
2009-05-19,34.170000
2009-05-20,34.290000
2009-05-21,33.820000
2009-05-22,32.060000
2009-05-26,35.190000
2009-05-27,34.500000
2009-05-28,34.580000
2009-05-29,35.900000
2009-06-01,37.740000
2009-06-02,37.570000
2009-06-03,38.160000
2009-06-04,39.980000
2009-06-05,40.400000
2009-06-08,40.110000
2009-06-09,39.660000
2009-06-10,38.600000
2009-06-11,38.770000
2009-06-12,39.440000
2009-06-15,36.980000
2009-06-16,36.200000
2009-06-17,35.720000
2009-06-18,35.550000
2009-06-19,35.740000
2009-06-22,33.360000
2009-06-23,34.040000
2009-06-24,34.680000
2009-06-25,34.520000
2009-06-26,35.180000
2009-06-29,35.680000
2009-06-30,35.790000
