d,c
2009-01-02,21.120000
2009-01-05,20.490000
2009-01-06,20.490000
2009-01-07,20.020000
2009-01-08,20.190000
2009-01-09,20.710000
2009-01-12,19.840000
2009-01-13,20.080000
2009-01-14,19.900000
2009-01-15,20.340000
2009-01-16,20.450000
2009-01-20,20.360000
2009-01-21,20.790000
2009-01-22,20.700000
2009-01-23,20.780000
2009-01-26,20.850000
2009-01-27,21.270000
2009-01-28,21.360000
2009-01-29,21.140000
2009-01-30,21.180000
2009-02-02,20.760000
2009-02-03,21.060000
2009-02-04,20.710000
2009-02-05,20.900000
2009-02-06,21.030000
2009-02-09,21.480000
2009-02-10,21.240000
2009-02-11,21.130000
2009-02-12,21.050000
2009-02-13,20.640000
2009-02-17,20.830000
2009-02-18,20.570000
2009-02-19,20.750000
2009-02-20,20.700000
2009-02-23,20.210000
2009-02-24,19.750000
2009-02-25,19.210000
2009-02-26,18.500000
2009-02-27,18.550000
2009-03-02,17.830000
2009-03-03,16.830000
2009-03-04,17.180000
2009-03-05,16.960000
2009-03-06,16.820000
2009-03-09,16.660000
2009-03-10,16.530000
2009-03-11,16.710000
2009-03-12,16.610000
2009-03-13,18.160000
2009-03-16,19.010000
2009-03-17,18.250000
2009-03-18,18.630000
2009-03-19,18.300000
2009-03-20,18.390000
2009-03-23,18.050000
2009-03-24,18.090000
2009-03-25,18.380000
2009-03-26,18.510000
2009-03-27,18.550000
2009-03-30,18.500000
2009-03-31,19.240000
2009-04-01,18.270000
2009-04-02,18.180000
2009-04-03,18.340000
2009-04-06,18.240000
2009-04-07,18.170000
2009-04-08,18.400000
2009-04-09,18.240000
2009-04-13,17.690000
2009-04-14,17.600000
2009-04-15,17.800000
2009-04-16,18.630000
2009-04-17,18.790000
2009-04-20,18.490000
2009-04-21,18.470000
2009-04-22,18.100000
2009-04-23,18.070000
2009-04-24,18.000000
2009-04-27,18.410000
2009-04-28,18.220000
2009-04-29,18.420000
2009-04-30,18.000000
2009-05-01,17.590000
2009-05-04,17.610000
2009-05-05,17.660000
2009-05-06,18.160000
2009-05-07,18.340000
2009-05-08,18.550000
2009-05-11,18.490000
2009-05-12,18.100000
2009-05-13,17.910000
2009-05-14,17.670000
2009-05-15,17.120000
2009-05-18,17.200000
2009-05-19,17.280000
2009-05-20,17.260000
2009-05-21,17.130000
2009-05-22,17.070000
2009-05-26,17.490000
2009-05-27,16.950000
2009-05-28,17.230000
2009-05-29,17.280000
2009-06-01,16.800000
2009-06-02,17.060000
2009-06-03,17.230000
2009-06-04,17.490000
2009-06-05,17.430000
2009-06-08,17.760000
2009-06-09,18.000000
2009-06-10,18.310000
2009-06-11,18.620000
2009-06-12,18.680000
2009-06-15,18.480000
