d,c
2009-01-02,140.570000
2009-01-05,137.730000
2009-01-06,139.200000
2009-01-07,135.440000
2009-01-08,135.860000
2009-01-09,133.060000
2009-01-12,128.770000
2009-01-13,129.160000
2009-01-14,127.060000
2009-01-15,131.290000
2009-01-16,132.610000
2009-01-20,128.980000
2009-01-21,133.030000
2009-01-22,133.080000
2009-01-23,133.150000
2009-01-26,132.610000
2009-01-27,133.880000
2009-01-28,137.270000
2009-01-29,136.000000
2009-01-30,132.890000
2009-02-02,134.300000
2009-02-03,139.080000
2009-02-04,137.000000
2009-02-05,139.860000
2009-02-06,143.960000
2009-02-09,142.460000
2009-02-10,139.520000
2009-02-11,138.860000
2009-02-12,139.760000
2009-02-13,136.700000
2009-02-17,131.740000
2009-02-18,133.110000
2009-02-19,142.580000
2009-02-20,146.390000
2009-02-23,141.880000
2009-02-24,145.620000
2009-02-25,143.880000
2009-02-26,141.080000
2009-02-27,142.230000
2009-03-02,140.030000
2009-03-03,150.940000
2009-03-04,154.290000
2009-03-05,152.450000
2009-03-06,152.760000
2009-03-09,150.000000
2009-03-10,157.660000
2009-03-11,158.510000
2009-03-12,161.000000
2009-03-13,160.510000
2009-03-16,158.500000
2009-03-17,161.450000
2009-03-18,162.310000
2009-03-19,160.820000
2009-03-20,160.030000
2009-03-23,158.720000
2009-03-24,158.050000
2009-03-25,162.190000
2009-03-26,166.200000
2009-03-27,164.190000
2009-03-30,163.400000
2009-03-31,162.620000
2009-04-01,166.820000
2009-04-02,158.240000
2009-04-03,160.300000
2009-04-06,160.880000
2009-04-07,155.470000
2009-04-08,159.180000
2009-04-09,161.720000
2009-04-13,158.010000
2009-04-14,158.930000
2009-04-15,161.090000
2009-04-16,165.930000
2009-04-17,166.380000
2009-04-20,165.360000
2009-04-21,165.090000
2009-04-22,164.440000
2009-04-23,164.470000
2009-04-24,161.680000
2009-04-27,164.160000
2009-04-28,165.190000
2009-04-29,163.930000
2009-04-30,166.390000
2009-05-01,162.270000
2009-05-04,163.210000
2009-05-05,161.570000
2009-05-06,163.300000
2009-05-07,163.020000
2009-05-08,157.470000
2009-05-11,158.990000
2009-05-12,156.980000
2009-05-13,154.480000
2009-05-14,156.670000
2009-05-15,158.010000
2009-05-18,158.710000
2009-05-19,161.280000
2009-05-20,157.100000
2009-05-21,154.540000
2009-05-22,155.650000
2009-05-26,162.840000
2009-05-27,155.040000
2009-05-28,150.560000
2009-05-29,152.150000
2009-06-01,156.830000
2009-06-02,158.320000
2009-06-03,158.800000
2009-06-04,158.400000
2009-06-05,159.570000
2009-06-08,158.340000
2009-06-09,160.270000
2009-06-10,157.920000
2009-06-11,154.050000
2009-06-12,155.500000
2009-06-15,154.910000
2009-06-16,152.480000
2009-06-17,155.540000
2009-06-18,157.400000
2009-06-19,155.730000
2009-06-22,155.100000
2009-06-23,154.210000
2009-06-24,148.800000
2009-06-25,152.090000
2009-06-26,149.850000
2009-06-29,151.750000
2009-06-30,151.110000
2009-07-01,152.760000
2009-07-02,150.000000
2009-07-06,153.020000
2009-07-07,150.740000
2009-07-08,155.330000
2009-07-09,155.270000
2009-07-10,153.920000
2009-07-13,155.890000
2009-07-14,158.770000
2009-07-15,158.000000
2009-07-16,157.850000
2009-07-17,156.980000
2009-07-20,156.650000
2009-07-21,155.930000
2009-07-22,156.970000
2009-07-23,156.780000
2009-07-24,157.240000
2009-07-27,154.680000
2009-07-28,153.650000
2009-07-29,152.960000
2009-07-30,156.310000
2009-07-31,153.570000
2009-08-03,150.310000
2009-08-04,148.310000
2009-08-05,145.240000
2009-08-06,147.420000
2009-08-07,151.320000
2009-08-10,147.980000
2009-08-11,148.750000
2009-08-12,148.490000
2009-08-13,145.130000
2009-08-14,143.920000
2009-08-17,144.690000
2009-08-18,149.840000
2009-08-19,151.150000
2009-08-20,151.810000
2009-08-21,153.250000
2009-08-24,150.800000
2009-08-25,149.980000
2009-08-26,150.220000
2009-08-27,149.070000
2009-08-28,148.450000
2009-08-31,147.250000
2009-09-01,144.940000
2009-09-02,145.250000
2009-09-03,148.810000
2009-09-04,148.180000
2009-09-08,150.000000
2009-09-09,149.320000
2009-09-10,149.400000
2009-09-11,146.450000
2009-09-14,147.200000
2009-09-15,147.280000
2009-09-16,147.410000
2009-09-17,147.370000
2009-09-18,152.090000
2009-09-21,153.550000
2009-09-22,152.920000
2009-09-23,141.500000
2009-09-24,142.500000
2009-09-25,143.970000
2009-09-28,142.770000
2009-09-29,145.980000
2009-09-30,146.220000
2009-10-01,145.620000
2009-10-02,146.050000
2009-10-05,145.140000
2009-10-06,147.080000
2009-10-07,147.210000
2009-10-08,147.120000
2009-10-09,145.920000
2009-10-12,144.870000
2009-10-13,144.700000
2009-10-14,143.950000
2009-10-15,144.670000
2009-10-16,144.520000
2009-10-19,144.000000
2009-10-20,140.940000
2009-10-21,137.990000
2009-10-22,139.100000
2009-10-23,137.620000
2009-10-26,137.460000
2009-10-27,137.170000
2009-10-28,136.420000
2009-10-29,138.290000
2009-10-30,135.310000
2009-11-02,136.220000
2009-11-03,138.930000
2009-11-04,139.350000
2009-11-05,140.210000
2009-11-06,140.320000
2009-11-09,143.240000
2009-11-10,143.350000
2009-11-11,147.510000
2009-11-12,144.190000
2009-11-13,143.670000
2009-11-16,143.030000
2009-11-17,142.620000
2009-11-18,145.860000
2009-11-19,145.830000
2009-11-20,147.420000
2009-11-23,147.730000
2009-11-24,147.310000
2009-11-25,150.290000
2009-11-27,150.050000
2009-11-30,147.870000
2009-12-01,151.200000
2009-12-02,150.480000
2009-12-03,151.400000
2009-12-04,152.080000
2009-12-07,153.360000
2009-12-08,156.900000
2009-12-09,156.310000
2009-12-10,155.400000
2009-12-11,155.780000
2009-12-14,158.560000
2009-12-15,156.910000
2009-12-16,157.990000
2009-12-17,158.150000
2009-12-18,158.290000
2009-12-21,159.520000
2009-12-22,159.520000
2009-12-23,160.280000
2009-12-24,159.910000
2009-12-28,159.590000
2009-12-29,159.470000
2009-12-30,159.470000
2009-12-31,158.070000
2010-01-04,158.030000
2010-01-05,156.710000
2010-01-06,155.240000
2010-01-07,157.300000
2010-01-08,155.280000
2010-01-11,155.480000
2010-01-12,155.140000
2010-01-13,154.750000
2010-01-14,154.380000
2010-01-15,155.080000
2010-01-19,157.280000
2010-01-20,156.370000
2010-01-21,157.330000
2010-01-22,155.870000
2010-01-25,156.440000
2010-01-26,158.340000
2010-01-27,156.380000
2010-01-28,155.420000
2010-01-29,155.030000
2010-02-01,156.500000
2010-02-02,157.580000
2010-02-03,157.090000
2010-02-04,154.400000
2010-02-05,155.380000
2010-02-08,156.940000
2010-02-09,159.050000
2010-02-10,158.500000
2010-02-11,158.650000
2010-02-12,160.850000
2010-02-16,164.870000
2010-02-17,165.620000
2010-02-18,163.190000
2010-02-19,163.670000
2010-02-22,163.070000
2010-02-23,164.240000
2010-02-24,164.960000
2010-02-25,166.080000
2010-02-26,165.930000
2010-03-01,166.000000
2010-03-02,164.740000
2010-03-03,164.570000
2010-03-04,167.620000
2010-03-05,168.790000
2010-03-08,168.150000
2010-03-09,167.860000
2010-03-10,168.090000
2010-03-11,168.660000
2010-03-12,168.890000
2010-03-15,169.000000
2010-03-16,169.170000
2010-03-17,172.000000
2010-03-18,172.210000
2010-03-19,172.280000
2010-03-22,174.190000
2010-03-23,175.050000
2010-03-24,173.570000
2010-03-25,173.930000
2010-03-26,174.220000
2010-03-29,173.230000
2010-03-30,173.580000
2010-03-31,173.090000
2010-04-01,174.880000
2010-04-05,173.530000
2010-04-06,173.970000
2010-04-07,176.000000
2010-04-08,175.050000
2010-04-09,175.290000
2010-04-12,175.420000
2010-04-13,175.440000
2010-04-14,179.800000
2010-04-15,181.050000
2010-04-16,180.110000
2010-04-19,180.000000
2010-04-20,179.760000
2010-04-21,181.000000
2010-04-22,182.240000
2010-04-23,184.050000
2010-04-26,185.130000
2010-04-27,182.030000
2010-04-28,180.260000
2010-04-29,185.640000
2010-04-30,185.010000
2010-05-03,186.330000
2010-05-04,183.830000
2010-05-05,183.030000
2010-05-06,178.130000
2010-05-07,176.080000
2010-05-10,183.150000
2010-05-11,183.860000
2010-05-12,185.220000
2010-05-13,180.950000
2010-05-14,180.310000
2010-05-17,183.720000
2010-05-18,180.800000
2010-05-19,182.040000
2010-05-20,179.660000
2010-05-21,183.470000
2010-05-24,184.250000
2010-05-25,194.570000
2010-05-26,190.180000
2010-05-27,192.000000
2010-05-28,190.880000
2010-06-01,191.460000
2010-06-02,192.650000
2010-06-03,192.930000
2010-06-04,188.890000
2010-06-07,186.090000
2010-06-08,188.890000
2010-06-09,188.590000
2010-06-10,187.720000
2010-06-11,189.300000
2010-06-14,190.660000
2010-06-15,194.230000
2010-06-16,195.410000
2010-06-17,195.130000
2010-06-18,195.310000
2010-06-21,194.850000
2010-06-22,192.850000
2010-06-23,196.230000
2010-06-24,195.640000
2010-06-25,196.130000
2010-06-28,196.210000
2010-06-29,195.530000
2010-06-30,193.220000
2010-07-01,194.720000
2010-07-02,195.010000
2010-07-06,194.660000
2010-07-07,197.110000
2010-07-08,198.100000
2010-07-09,200.120000
2010-07-12,202.690000
2010-07-13,205.430000
2010-07-14,204.960000
2010-07-15,204.910000
2010-07-16,202.250000
2010-07-19,203.850000
2010-07-20,207.500000
2010-07-21,206.290000
2010-07-22,206.940000
2010-07-23,207.000000
2010-07-26,212.060000
2010-07-27,209.960000
2010-07-28,210.370000
2010-07-29,208.770000
2010-07-30,211.570000
2010-08-02,211.850000
2010-08-03,206.830000
2010-08-04,205.760000
2010-08-05,205.850000
2010-08-06,207.390000
2010-08-09,207.270000
2010-08-10,206.830000
2010-08-11,204.560000
2010-08-12,206.500000
2010-08-13,207.860000
2010-08-16,207.000000
2010-08-17,210.070000
2010-08-18,212.400000
2010-08-19,211.000000
2010-08-20,213.070000
2010-08-23,213.610000
2010-08-24,209.880000
2010-08-25,210.500000
2010-08-26,211.460000
2010-08-27,214.760000
2010-08-30,211.030000
2010-08-31,209.780000
2010-09-01,214.090000
2010-09-02,216.940000
2010-09-03,218.450000
2010-09-07,218.550000
2010-09-08,220.240000
2010-09-09,217.260000
2010-09-10,217.900000
2010-09-13,216.750000
2010-09-14,218.270000
2010-09-15,219.300000
2010-09-16,218.890000
2010-09-17,220.880000
2010-09-20,220.140000
2010-09-21,217.020000
2010-09-22,222.100000
2010-09-23,222.640000
2010-09-24,225.730000
2010-09-27,225.740000
2010-09-28,228.200000
2010-09-29,230.560000
2010-09-30,228.910000
2010-10-01,228.830000
2010-10-04,230.630000
2010-10-05,233.330000
2010-10-06,233.000000
2010-10-07,233.000000
2010-10-08,232.810000
2010-10-11,232.830000
2010-10-12,232.950000
2010-10-13,232.550000
2010-10-14,233.000000
2010-10-15,232.960000
2010-10-18,232.800000
2010-10-19,229.470000
2010-10-20,231.900000
2010-10-21,231.370000
2010-10-22,234.720000
2010-10-25,235.120000
2010-10-26,236.500000
2010-10-27,235.850000
2010-10-28,236.800000
2010-10-29,237.630000
2010-11-01,235.640000
2010-11-02,237.990000
2010-11-03,238.000000
2010-11-04,239.240000
2010-11-05,239.870000
2010-11-08,242.850000
2010-11-09,243.000000
2010-11-10,248.950000
2010-11-11,252.090000
2010-11-12,250.680000
2010-11-15,251.390000
2010-11-16,249.000000
2010-11-17,249.230000
2010-11-18,251.170000
2010-11-19,251.200000
2010-11-22,255.650000
2010-11-23,254.910000
2010-11-24,259.140000
2010-11-26,259.480000
2010-11-29,257.800000
2010-11-30,259.410000
2010-12-01,260.560000
2010-12-02,263.200000
2010-12-03,265.200000
2010-12-06,261.910000
2010-12-07,260.150000
2010-12-08,262.570000
2010-12-09,263.900000
2010-12-10,264.860000
2010-12-13,264.500000
2010-12-14,262.660000
2010-12-15,262.550000
2010-12-16,269.110000
2010-12-17,269.990000
2010-12-20,272.770000
2010-12-21,272.190000
2010-12-22,272.060000
2010-12-23,271.900000
2010-12-27,270.920000
2010-12-28,272.470000
2010-12-29,273.640000
2010-12-30,275.500000
2010-12-31,272.590000
2011-01-04,258.360000
2011-01-05,255.200000
2011-01-06,249.550000
2011-01-07,250.670000
2011-01-10,252.740000
2011-01-11,251.520000
2011-01-12,251.160000
2011-01-13,251.930000
2011-01-14,252.620000
2011-01-18,250.590000
2011-01-19,249.990000
2011-01-20,252.560000
2011-01-21,252.130000
2011-01-24,251.490000
2011-01-25,248.700000
2011-01-26,250.070000
2011-01-27,256.100000
2011-01-28,251.060000
2011-01-31,253.530000
2011-02-01,255.000000
2011-02-02,251.760000
2011-02-03,255.010000
2011-02-04,258.700000
2011-02-07,258.030000
2011-02-08,259.830000
2011-02-09,261.760000
2011-02-10,259.640000
2011-02-11,260.880000
2011-02-14,260.820000
2011-02-15,260.810000
2011-02-16,262.780000
2011-02-17,255.570000
2011-02-18,255.640000
2011-02-22,252.590000
2011-02-23,250.640000
2011-02-24,253.250000
2011-02-25,255.390000
2011-02-28,257.950000
2011-03-01,263.520000
2011-03-02,262.840000
2011-03-03,266.530000
2011-03-04,265.420000
2011-03-07,263.250000
2011-03-08,267.960000
2011-03-09,268.210000
2011-03-10,266.710000
2011-03-11,265.930000
2011-03-14,264.810000
2011-03-15,263.140000
2011-03-16,261.310000
2011-03-17,261.950000
2011-03-18,262.980000
2011-03-21,264.090000
2011-03-22,264.720000
2011-03-23,270.060000
2011-03-24,272.110000
2011-03-25,275.490000
2011-03-28,270.930000
2011-03-29,273.440000
2011-03-30,273.940000
2011-03-31,273.560000
2011-04-01,274.670000
2011-04-04,274.280000
2011-04-05,276.640000
2011-04-06,276.590000
2011-04-07,275.840000
2011-04-08,276.260000
2011-04-11,272.930000
2011-04-12,277.770000
2011-04-13,279.760000
2011-04-14,278.850000
2011-04-15,280.080000
2011-04-18,279.320000
2011-04-19,278.280000
2011-04-20,283.960000
2011-04-21,284.850000
2011-04-25,282.500000
2011-04-26,282.070000
2011-04-27,281.500000
2011-04-28,282.480000
2011-04-29,282.380000
2011-05-02,281.180000
2011-05-03,283.440000
2011-05-04,283.350000
2011-05-05,285.280000
2011-05-06,281.560000
2011-05-09,284.640000
2011-05-10,286.410000
2011-05-11,286.380000
2011-05-12,287.890000
2011-05-13,286.300000
2011-05-16,283.650000
2011-05-17,281.480000
2011-05-18,282.500000
2011-05-19,277.150000
2011-05-20,276.600000
2011-05-23,276.780000
2011-05-24,293.300000
2011-05-25,297.980000
2011-05-26,296.610000
2011-05-27,296.710000
2011-05-31,294.000000
2011-06-01,293.110000
2011-06-02,289.650000
2011-06-03,285.480000
2011-06-06,285.640000
2011-06-07,284.500000
2011-06-08,288.530000
2011-06-09,291.940000
2011-06-10,290.200000
2011-06-13,288.880000
2011-06-14,289.870000
2011-06-15,289.550000
2011-06-16,289.780000
2011-06-17,291.710000
2011-06-20,292.240000
2011-06-21,292.430000
2011-06-22,292.870000
2011-06-23,292.610000
2011-06-24,291.600000
2011-06-27,292.840000
2011-06-28,292.900000
2011-06-29,291.320000
2011-06-30,294.850000
2011-07-01,297.620000
2011-07-05,297.140000
2011-07-06,297.750000
2011-07-07,298.380000
2011-07-08,298.280000
2011-07-11,295.500000
2011-07-12,297.590000
2011-07-13,296.940000
2011-07-14,297.880000
2011-07-15,297.280000
2011-07-18,295.360000
2011-07-19,298.330000
2011-07-20,295.590000
2011-07-21,295.520000
2011-07-22,295.850000
2011-07-25,294.940000
2011-07-26,295.160000
2011-07-27,289.150000
2011-07-28,285.840000
2011-07-29,285.450000
2011-08-01,282.250000
2011-08-02,276.710000
2011-08-03,281.500000
2011-08-04,273.290000
2011-08-05,278.740000
2011-08-08,268.510000
2011-08-09,280.100000
2011-08-10,274.820000
2011-08-11,281.890000
2011-08-12,287.610000
2011-08-15,287.400000
2011-08-16,288.270000
2011-08-17,288.480000
2011-08-18,289.160000
2011-08-19,291.420000
2011-08-22,295.700000
2011-08-23,299.310000
2011-08-24,304.100000
2011-08-25,298.430000
2011-08-26,301.300000
2011-08-29,307.140000
2011-08-30,308.530000
2011-08-31,307.000000
2011-09-01,312.050000
2011-09-02,310.850000
2011-09-06,313.830000
2011-09-07,316.670000
2011-09-08,316.100000
2011-09-09,314.490000
2011-09-12,316.180000
2011-09-13,319.480000
2011-09-14,324.380000
2011-09-15,325.770000
2011-09-16,331.250000
2011-09-19,331.950000
2011-09-20,327.750000
2011-09-21,322.790000
2011-09-22,316.130000
2011-09-23,321.700000
2011-09-26,327.120000
2011-09-27,326.000000
2011-09-28,321.940000
2011-09-29,317.580000
2011-09-30,319.190000
2011-10-03,311.880000
2011-10-04,320.000000
2011-10-05,317.420000
2011-10-06,322.370000
2011-10-07,324.020000
2011-10-10,331.700000
2011-10-11,327.610000
2011-10-12,327.660000
2011-10-13,326.560000
2011-10-14,328.120000
2011-10-17,327.000000
2011-10-18,326.030000
2011-10-19,324.990000
2011-10-20,326.950000
2011-10-21,327.500000
2011-10-24,330.190000
2011-10-25,327.930000
2011-10-26,327.790000
2011-10-27,330.640000
2011-10-28,327.820000
2011-10-31,323.590000
2011-11-01,325.670000
2011-11-02,324.440000
2011-11-03,324.660000
2011-11-04,325.000000
2011-11-07,327.110000
2011-11-08,333.790000
2011-11-09,325.640000
2011-11-10,330.710000
2011-11-11,337.660000
2011-11-14,336.230000
2011-11-15,337.150000
2011-11-16,332.040000
2011-11-17,328.320000
2011-11-18,329.400000
2011-11-21,325.330000
2011-11-22,320.820000
2011-11-23,318.060000
2011-11-25,322.960000
2011-11-28,319.510000
2011-11-29,323.430000
2011-11-30,328.380000
2011-12-01,335.300000
2011-12-02,330.220000
2011-12-05,338.970000
2011-12-06,337.810000
2011-12-07,333.860000
2011-12-08,329.670000
2011-12-09,329.820000
2011-12-12,330.890000
2011-12-13,326.100000
2011-12-14,324.320000
2011-12-15,327.320000
2011-12-16,326.000000
2011-12-19,324.960000
2011-12-20,325.290000
2011-12-21,330.000000
2011-12-22,329.000000
2011-12-23,330.300000
2011-12-27,330.250000
2011-12-28,328.220000
2011-12-29,326.250000
2011-12-30,324.970000
2012-01-03,319.790000
2012-01-04,326.960000
2012-01-05,333.850000
2012-01-06,338.040000
2012-01-09,339.500000
2012-01-10,340.140000
2012-01-11,341.870000
2012-01-12,342.980000
2012-01-13,344.440000
2012-01-17,345.000000
2012-01-18,346.280000
2012-01-19,346.500000
2012-01-20,347.000000
2012-01-23,347.010000
2012-01-24,346.750000
2012-01-25,348.580000
2012-01-26,347.910000
2012-01-27,347.580000
2012-01-30,347.670000
2012-01-31,347.880000
2012-02-01,352.990000
2012-02-02,349.170000
2012-02-03,353.180000
2012-02-06,350.760000
2012-02-07,350.480000
2012-02-08,349.150000
2012-02-09,354.040000
2012-02-10,354.100000
2012-02-13,358.460000
2012-02-14,360.110000
2012-02-15,356.120000
2012-02-16,357.960000
2012-02-17,360.210000
2012-02-21,359.660000
2012-02-22,358.950000
2012-02-23,358.500000
2012-02-24,359.800000
2012-02-27,366.090000
2012-02-28,376.410000
2012-02-29,374.480000
2012-03-01,378.440000
2012-03-02,378.450000
2012-03-05,385.220000
2012-03-06,385.230000
2012-03-07,383.740000
2012-03-08,380.500000
2012-03-09,382.230000
2012-03-12,380.830000
2012-03-13,379.630000
2012-03-14,379.920000
2012-03-15,379.000000
2012-03-16,378.870000
2012-03-19,377.360000
2012-03-20,377.800000
2012-03-21,375.420000
2012-03-22,378.130000
2012-03-23,378.660000
2012-03-26,379.000000
2012-03-27,379.580000
2012-03-28,376.360000
2012-03-29,374.340000
2012-03-30,371.800000
2012-04-02,378.720000
2012-04-03,381.890000
2012-04-04,382.400000
2012-04-05,383.800000
2012-04-09,383.500000
2012-04-10,375.870000
2012-04-11,377.050000
2012-04-12,378.730000
2012-04-13,380.970000
2012-04-16,380.800000
2012-04-17,379.170000
2012-04-18,379.500000
2012-04-19,380.000000
2012-04-20,381.730000
2012-04-23,382.000000
2012-04-24,379.360000
2012-04-25,382.830000
2012-04-26,393.720000
2012-04-27,397.450000
2012-04-30,396.160000
2012-05-01,395.410000
2012-05-02,396.440000
