d,c
2009-01-02,22.200000
2009-01-05,22.283333
2009-01-06,23.336666
2009-01-07,21.516666
2009-01-08,21.586666
2009-01-09,20.700000
2009-01-12,19.846666
2009-01-13,20.213333
2009-01-14,18.486666
2009-01-15,17.656666
2009-01-16,18.266666
2009-01-20,16.803333
2009-01-21,17.986666
2009-01-22,17.200000
2009-01-23,17.446666
2009-01-26,16.950000
2009-01-27,17.600000
2009-01-28,18.133333
2009-01-29,16.430000
2009-01-30,16.140000
2009-02-02,16.523333
2009-02-03,16.963333
2009-02-04,17.290000
2009-02-05,17.920000
2009-02-06,18.826666
2009-02-09,18.626666
2009-02-10,17.280000
2009-02-11,17.900000
2009-02-12,18.146666
2009-02-13,18.440000
2009-02-17,16.850000
2009-02-18,16.893333
2009-02-19,16.623333
2009-02-20,16.926666
2009-02-23,15.530000
2009-02-24,17.000000
2009-02-25,16.730000
2009-02-26,16.336667
2009-02-27,15.266667
2009-03-02,14.376667
2009-03-03,14.553333
2009-03-04,14.830000
2009-03-05,13.136667
2009-03-06,12.886667
2009-03-09,13.163333
2009-03-10,14.716667
2009-03-11,14.916667
2009-03-12,16.293333
2009-03-13,16.346667
2009-03-16,15.456667
2009-03-17,15.816667
2009-03-18,16.666666
2009-03-19,15.726667
2009-03-20,15.696667
2009-03-23,18.003333
2009-03-24,16.963333
2009-03-25,17.946666
2009-03-26,18.593333
2009-03-27,18.066666
2009-03-30,17.050000
2009-03-31,17.956666
2009-04-01,18.200000
2009-04-02,19.716666
2009-04-03,20.043333
2009-04-06,19.726666
2009-04-07,18.860000
2009-04-08,19.000000
2009-04-09,20.573333
2009-04-13,20.500000
2009-04-14,19.743333
2009-04-15,20.523333
2009-04-16,20.346666
2009-04-17,20.313333
2009-04-20,19.233333
2009-04-21,20.403333
2009-04-22,20.246666
2009-04-23,20.706666
2009-04-24,20.553333
2009-04-27,20.186666
2009-04-28,19.440000
2009-04-29,20.013333
2009-04-30,20.160000
2009-05-01,20.353333
2009-05-04,21.210000
2009-05-05,20.596666
2009-05-06,20.860000
2009-05-07,20.253333
2009-05-08,21.716666
2009-05-11,20.643333
2009-05-12,20.813333
2009-05-13,19.963333
2009-05-14,20.183333
2009-05-15,20.033333
2009-05-18,21.606666
2009-05-19,21.063333
2009-05-20,20.563333
2009-05-21,20.343333
2009-05-22,20.640000
2009-05-26,21.473333
2009-05-27,20.676666
2009-05-28,21.480000
2009-05-29,22.283333
2009-06-01,23.726666
2009-06-02,24.086666
2009-06-03,23.793333
2009-06-04,24.430000
2009-06-05,24.863333
2009-06-08,24.770000
2009-06-09,25.566666
2009-06-10,25.576666
2009-06-11,25.460000
2009-06-12,25.330000
2009-06-15,24.783333
2009-06-16,23.953333
2009-06-17,23.776666
2009-06-18,24.020000
2009-06-19,24.456666
2009-06-22,22.990000
2009-06-23,23.350000
2009-06-24,23.873333
2009-06-25,23.670000
2009-06-26,23.950000
2009-06-29,24.020000
2009-06-30,24.003333
2009-07-01,24.050000
2009-07-02,23.246666
2009-07-06,23.113333
2009-07-07,22.353333
2009-07-08,22.086666
2009-07-09,22.026666
2009-07-10,22.063333
2009-07-13,23.053333
2009-07-14,23.323333
2009-07-15,23.980000
2009-07-16,24.150000
2009-07-17,24.190000
2009-07-20,24.626666
2009-07-21,25.270000
2009-07-22,25.550000
2009-07-23,26.983333
2009-07-24,26.856666
2009-07-27,27.173333
2009-07-28,26.843333
2009-07-29,26.806666
2009-07-30,29.173333
2009-07-31,29.560000
2009-08-03,30.553333
2009-08-04,30.760000
2009-08-05,30.753333
2009-08-06,30.726666
2009-08-07,31.456666
2009-08-10,30.710000
2009-08-11,30.870000
2009-08-12,31.400000
2009-08-13,31.763333
2009-08-14,31.516666
2009-08-17,30.086666
2009-08-18,30.933333
2009-08-19,30.696666
2009-08-20,31.143333
2009-08-21,31.523333
2009-08-24,31.066666
2009-08-25,31.730000
2009-08-26,31.153333
2009-08-27,30.993333
2009-08-28,31.236666
2009-08-31,31.110000
2009-09-01,30.166666
2009-09-02,30.260000
2009-09-03,31.113333
2009-09-04,31.216666
2009-09-08,31.870000
2009-09-09,32.526666
2009-09-10,32.613333
2009-09-11,32.600000
2009-09-14,33.160000
2009-09-15,33.146666
2009-09-16,34.086666
2009-09-17,33.746666
2009-09-18,34.486666
2009-09-21,33.846666
2009-09-22,34.063333
2009-09-23,33.673333
2009-09-24,33.316666
2009-09-25,33.070000
2009-09-28,33.973333
2009-09-29,33.750000
2009-09-30,33.533333
2009-10-01,32.390000
2009-10-02,32.736666
2009-10-05,33.690000
2009-10-06,34.260000
2009-10-07,34.320000
2009-10-08,34.523333
2009-10-09,35.480000
2009-10-12,35.226666
2009-10-13,34.903333
2009-10-14,36.326666
2009-10-15,37.026666
2009-10-16,36.690000
2009-10-19,37.343333
2009-10-20,38.023333
2009-10-21,37.350000
2009-10-22,37.413333
2009-10-23,37.643333
2009-10-26,37.673333
2009-10-27,36.333333
2009-10-28,34.823333
2009-10-29,35.853333
2009-10-30,34.876666
2009-11-02,35.476666
2009-11-03,35.590000
2009-11-04,35.726666
2009-11-05,36.996666
2009-11-06,36.743333
2009-11-09,37.970000
2009-11-10,37.856666
2009-11-11,38.336666
2009-11-12,37.973333
2009-11-13,37.600000
2009-11-16,38.060000
2009-11-17,38.533333
2009-11-18,38.546666
2009-11-19,37.640000
2009-11-20,37.120000
2009-11-23,37.723333
2009-11-24,37.206666
2009-11-25,37.486666
2009-11-27,36.323333
2009-11-30,36.010000
2009-12-01,36.133333
2009-12-02,36.350000
2009-12-03,35.983333
2009-12-04,36.290000
2009-12-07,35.680000
2009-12-08,35.530000
2009-12-09,36.040000
2009-12-10,36.310000
2009-12-11,35.990000
2009-12-14,35.783333
2009-12-15,34.760000
2009-12-16,35.060000
2009-12-17,34.483333
2009-12-18,34.663333
2009-12-21,35.666666
2009-12-22,35.666666
2009-12-23,34.996666
2009-12-24,35.143333
2009-12-28,35.376666
2009-12-29,35.146666
2009-12-30,35.133333
2009-12-31,35.116666
2010-01-04,36.000000
2010-01-05,36.280000
2010-01-06,36.306666
2010-01-07,35.980000
2010-01-08,36.016666
2010-01-11,36.803333
2010-01-12,36.966666
2010-01-13,37.206666
2010-01-14,37.016666
2010-01-15,36.103333
2010-01-19,36.913333
2010-01-20,36.316666
2010-01-21,34.906666
2010-01-22,33.753333
2010-01-25,34.500000
2010-01-26,33.490000
2010-01-27,34.626666
2010-01-28,33.443333
2010-01-29,33.010000
2010-02-01,33.816666
2010-02-02,33.930000
2010-02-03,33.943333
2010-02-04,32.760000
2010-02-05,32.666666
2010-02-08,32.100000
2010-02-09,32.406666
2010-02-10,32.433333
2010-02-11,32.663333
2010-02-12,32.620000
2010-02-16,33.326666
2010-02-17,33.633333
2010-02-18,33.803333
2010-02-19,33.870000
2010-02-22,33.786666
2010-02-23,33.343333
2010-02-24,33.883333
2010-02-25,33.390000
2010-02-26,33.906666
2010-03-01,34.280000
2010-03-02,34.710000
2010-03-03,34.640000
2010-03-04,35.233333
2010-03-05,36.430000
2010-03-08,36.106666
2010-03-09,36.053333
2010-03-10,35.810000
2010-03-11,35.990000
2010-03-12,36.113333
