d,c
2009-01-02,53.170000
2009-01-05,54.740000
2009-01-06,55.730000
2009-01-07,54.490000
2009-01-08,51.770000
2009-01-09,51.420000
2009-01-12,48.310000
2009-01-13,48.170000
2009-01-14,41.610000
2009-01-15,41.610000
2009-01-16,43.830000
2009-01-20,42.100000
2009-01-21,44.500000
2009-01-22,44.790000
2009-01-23,46.280000
2009-01-26,44.950000
2009-01-27,45.400000
2009-01-28,46.530000
2009-01-29,45.530000
2009-01-30,42.940000
2009-02-02,42.290000
2009-02-03,42.030000
2009-02-04,42.590000
2009-02-05,49.070000
2009-02-06,49.950000
2009-02-09,51.870000
2009-02-10,49.910000
2009-02-11,50.130000
2009-02-12,50.960000
2009-02-13,51.770000
2009-02-17,48.040000
2009-02-18,48.790000
2009-02-19,48.100000
2009-02-20,48.030000
2009-02-23,47.160000
2009-02-24,48.360000
2009-02-25,48.120000
2009-02-26,46.380000
2009-02-27,46.880000
2009-03-02,42.580000
2009-03-03,44.490000
2009-03-04,47.010000
2009-03-05,46.780000
2009-03-06,47.880000
2009-03-09,48.080000
2009-03-10,51.340000
2009-03-11,50.220000
2009-03-12,51.490000
2009-03-13,52.250000
2009-03-16,55.050000
2009-03-17,55.840000
2009-03-18,55.790000
2009-03-19,57.370000
2009-03-20,56.460000
2009-03-23,58.960000
2009-03-24,58.850000
2009-03-25,58.690000
2009-03-26,59.330000
2009-03-27,59.100000
2009-03-30,55.100000
2009-03-31,56.650000
2009-04-01,57.940000
2009-04-02,58.200000
2009-04-03,59.020000
2009-04-06,58.110000
2009-04-07,55.790000
2009-04-08,55.870000
2009-04-09,57.120000
2009-04-13,57.220000
2009-04-14,56.010000
2009-04-15,55.920000
2009-04-16,57.630000
2009-04-17,57.330000
2009-04-20,54.070000
2009-04-21,53.860000
2009-04-22,54.500000
2009-04-23,47.460000
2009-04-24,48.080000
2009-04-27,46.730000
2009-04-28,46.580000
2009-04-29,47.420000
2009-04-30,48.010000
2009-05-01,48.840000
2009-05-04,50.560000
2009-05-05,49.400000
2009-05-06,50.710000
2009-05-07,51.740000
2009-05-08,55.360000
2009-05-11,54.510000
2009-05-12,56.690000
2009-05-13,55.390000
2009-05-14,56.260000
2009-05-15,55.620000
2009-05-18,57.730000
2009-05-19,58.710000
2009-05-20,60.390000
2009-05-21,59.350000
2009-05-22,62.360000
2009-05-26,61.730000
2009-05-27,61.070000
2009-05-28,61.210000
2009-05-29,63.270000
2009-06-01,65.520000
2009-06-02,67.890000
2009-06-03,64.110000
2009-06-04,65.390000
2009-06-05,64.240000
2009-06-08,63.160000
2009-06-09,65.410000
2009-06-10,66.300000
2009-06-11,66.670000
2009-06-12,66.400000
2009-06-15,63.740000
2009-06-16,62.040000
2009-06-17,59.790000
2009-06-18,60.580000
2009-06-19,60.870000
2009-06-22,57.930000
2009-06-23,59.100000
2009-06-24,61.060000
2009-06-25,61.020000
2009-06-26,61.840000
2009-06-29,61.840000
2009-06-30,60.250000
2009-07-01,61.590000
2009-07-02,60.070000
2009-07-06,58.960000
2009-07-07,56.080000
2009-07-08,54.440000
2009-07-09,55.800000
2009-07-10,56.490000
2009-07-13,59.180000
2009-07-14,60.120000
2009-07-15,63.550000
2009-07-16,65.050000
2009-07-17,64.950000
2009-07-20,65.860000
2009-07-21,65.770000
2009-07-22,65.440000
2009-07-23,67.530000
2009-07-24,70.060000
2009-07-27,70.550000
2009-07-28,70.780000
2009-07-29,67.680000
2009-07-30,69.440000
2009-07-31,69.970000
2009-08-03,71.810000
2009-08-04,71.820000
2009-08-05,71.550000
2009-08-06,72.410000
2009-08-07,71.870000
2009-08-10,70.840000
2009-08-11,66.040000
2009-08-12,66.670000
2009-08-13,66.030000
2009-08-14,67.030000
2009-08-17,62.920000
2009-08-18,64.300000
2009-08-19,65.120000
2009-08-20,65.640000
2009-08-21,66.300000
2009-08-24,67.190000
2009-08-25,66.820000
2009-08-26,67.210000
2009-08-27,68.590000
2009-08-28,68.750000
2009-08-31,67.010000
2009-09-01,65.170000
2009-09-02,65.030000
2009-09-03,65.630000
2009-09-04,66.190000
2009-09-08,67.650000
2009-09-09,67.030000
2009-09-10,66.610000
2009-09-11,65.620000
2009-09-14,63.970000
2009-09-15,64.420000
2009-09-16,64.250000
2009-09-17,63.300000
2009-09-18,62.500000
2009-09-21,62.810000
2009-09-22,63.430000
2009-09-23,62.350000
2009-09-24,60.840000
2009-09-25,61.070000
2009-09-28,61.010000
2009-09-29,61.880000
2009-09-30,62.610000
2009-10-01,60.960000
2009-10-02,61.500000
2009-10-05,61.350000
2009-10-06,61.520000
2009-10-07,61.880000
2009-10-08,64.110000
2009-10-09,64.010000
2009-10-12,64.290000
2009-10-13,64.790000
2009-10-14,65.250000
2009-10-15,66.120000
2009-10-16,66.340000
2009-10-19,68.510000
2009-10-20,67.460000
2009-10-21,66.900000
2009-10-22,64.580000
2009-10-23,63.540000
2009-10-26,62.590000
2009-10-27,61.390000
2009-10-28,59.360000
2009-10-29,60.420000
2009-10-30,57.060000
2009-11-02,57.130000
2009-11-03,58.480000
2009-11-04,58.230000
2009-11-05,58.940000
2009-11-06,57.110000
2009-11-09,58.000000
2009-11-10,58.550000
2009-11-11,58.290000
2009-11-12,57.170000
2009-11-13,58.270000
2009-11-16,58.980000
2009-11-17,58.890000
2009-11-18,62.600000
2009-11-19,63.410000
2009-11-20,63.310000
2009-11-23,63.680000
2009-11-24,62.680000
2009-11-25,63.020000
2009-11-27,61.810000
2009-11-30,61.900000
2009-12-01,64.480000
2009-12-02,64.870000
2009-12-03,64.900000
2009-12-04,65.400000
2009-12-07,65.080000
2009-12-08,63.240000
2009-12-09,63.460000
2009-12-10,62.390000
2009-12-11,62.240000
2009-12-14,61.580000
2009-12-15,63.050000
2009-12-16,63.770000
2009-12-17,62.740000
2009-12-18,61.860000
2009-12-21,61.880000
2009-12-22,61.820000
2009-12-23,61.970000
2009-12-24,63.000000
2009-12-28,63.310000
2009-12-29,63.520000
2009-12-30,63.990000
2009-12-31,63.830000
2010-01-04,64.650000
2010-01-05,66.880000
2010-01-06,69.050000
2010-01-07,70.930000
2010-01-08,71.290000
2010-01-11,70.280000
2010-01-12,68.610000
2010-01-13,68.130000
2010-01-14,68.070000
2010-01-15,69.850000
2010-01-19,69.000000
2010-01-20,67.750000
2010-01-21,64.080000
2010-01-22,62.880000
2010-01-25,62.670000
2010-01-26,62.020000
2010-01-27,61.490000
2010-01-28,60.070000
2010-01-29,58.790000
2010-02-01,59.670000
2010-02-02,61.390000
2010-02-03,60.500000
2010-02-04,58.550000
2010-02-05,58.750000
2010-02-08,56.900000
2010-02-09,57.860000
2010-02-10,58.060000
2010-02-11,58.760000
2010-02-12,58.660000
2010-02-16,59.700000
2010-02-17,61.240000
2010-02-18,61.210000
2010-02-19,61.310000
2010-02-22,61.500000
2010-02-23,60.130000
2010-02-24,60.050000
2010-02-25,60.400000
2010-02-26,59.590000
2010-03-01,60.260000
2010-03-02,61.410000
2010-03-03,61.570000
2010-03-04,60.890000
2010-03-05,63.270000
2010-03-08,62.200000
2010-03-09,62.370000
2010-03-10,61.850000
2010-03-11,60.940000
2010-03-12,60.840000
2010-03-15,60.480000
2010-03-16,60.010000
2010-03-17,61.680000
2010-03-18,61.990000
2010-03-19,62.010000
2010-03-22,63.160000
2010-03-23,65.340000
2010-03-24,64.380000
2010-03-25,63.760000
2010-03-26,63.840000
2010-03-29,63.530000
2010-03-30,63.250000
2010-03-31,61.630000
2010-04-01,61.850000
2010-04-05,61.000000
2010-04-06,60.180000
2010-04-07,59.780000
2010-04-08,59.220000
2010-04-09,60.350000
2010-04-12,61.630000
2010-04-13,59.810000
2010-04-14,60.670000
2010-04-15,60.410000
2010-04-16,59.940000
2010-04-19,59.740000
2010-04-20,59.730000
2010-04-21,58.460000
2010-04-22,58.440000
2010-04-23,58.730000
2010-04-26,58.050000
2010-04-27,56.330000
2010-04-28,57.280000
2010-04-29,53.500000
2010-04-30,52.950000
2010-05-03,53.620000
2010-05-04,52.320000
2010-05-05,51.250000
2010-05-06,50.760000
2010-05-07,51.480000
2010-05-10,51.900000
2010-05-11,51.240000
2010-05-12,54.750000
2010-05-13,51.730000
2010-05-14,50.730000
2010-05-17,50.490000
2010-05-18,51.020000
2010-05-19,50.010000
2010-05-20,48.070000
2010-05-21,47.840000
2010-05-24,47.520000
2010-05-25,47.190000
2010-05-26,47.960000
2010-05-27,49.390000
2010-05-28,48.760000
2010-06-01,48.140000
2010-06-02,49.150000
2010-06-03,49.090000
2010-06-04,48.600000
2010-06-07,47.450000
2010-06-08,47.760000
2010-06-09,50.250000
2010-06-10,50.940000
2010-06-11,52.230000
2010-06-14,52.260000
2010-06-15,54.370000
2010-06-16,53.330000
2010-06-17,53.610000
2010-06-18,53.240000
2010-06-21,54.040000
2010-06-22,52.760000
2010-06-23,52.720000
2010-06-24,51.280000
2010-06-25,52.290000
2010-06-28,51.960000
2010-06-29,49.390000
2010-06-30,49.190000
2010-07-01,49.810000
2010-07-02,49.780000
2010-07-06,50.060000
2010-07-07,52.180000
2010-07-08,53.180000
2010-07-09,53.940000
2010-07-12,53.580000
2010-07-13,53.960000
2010-07-14,54.060000
2010-07-15,54.000000
2010-07-16,51.980000
2010-07-19,52.060000
2010-07-20,53.410000
2010-07-21,53.620000
2010-07-22,53.950000
2010-07-23,55.080000
2010-07-26,55.100000
2010-07-27,55.830000
2010-07-28,53.970000
2010-07-29,46.290000
2010-07-30,49.650000
2010-08-02,52.140000
2010-08-03,51.570000
2010-08-04,51.610000
2010-08-05,54.480000
2010-08-06,55.660000
2010-08-09,54.970000
2010-08-10,54.920000
2010-08-11,53.210000
2010-08-12,54.410000
2010-08-13,54.190000
2010-08-16,54.000000
2010-08-17,54.810000
2010-08-18,54.760000
2010-08-19,54.070000
2010-08-20,53.640000
2010-08-23,53.120000
2010-08-24,51.950000
2010-08-25,52.050000
2010-08-26,51.130000
2010-08-27,52.840000
2010-08-30,52.000000
2010-08-31,53.000000
2010-09-01,53.880000
2010-09-02,55.650000
2010-09-03,55.650000
2010-09-07,54.860000
2010-09-08,55.930000
2010-09-09,56.700000
2010-09-10,57.040000
2010-09-13,58.100000
2010-09-14,56.090000
2010-09-15,56.650000
2010-09-16,57.090000
2010-09-17,57.460000
2010-09-20,57.500000
2010-09-21,56.660000
2010-09-22,58.630000
