d,c
2009-01-02,3.075600
2009-01-05,3.000000
2009-01-06,3.144800
2009-01-07,3.003200
2009-01-08,3.082400
2009-01-09,3.008000
2009-01-12,2.886400
2009-01-13,2.838000
2009-01-14,2.762000
2009-01-15,2.836000
2009-01-16,2.845200
2009-01-20,2.641600
2009-01-21,2.720000
2009-01-22,2.694800
2009-01-23,2.756800
2009-01-26,2.679600
2009-01-27,2.690000
2009-01-28,2.770800
2009-01-29,2.706000
2009-01-30,2.683600
2009-02-02,2.740000
2009-02-03,2.793200
2009-02-04,2.830400
2009-02-05,2.906800
2009-02-06,2.978800
2009-02-09,2.960400
2009-02-10,2.873200
2009-02-11,2.878800
2009-02-12,2.888400
2009-02-13,2.906400
2009-02-17,2.754800
2009-02-18,2.749600
2009-02-19,3.206400
2009-02-20,3.350000
2009-02-23,3.276000
2009-02-24,3.394000
2009-02-25,3.467200
2009-02-26,3.406400
2009-02-27,3.394400
2009-03-02,3.319600
2009-03-03,3.306000
2009-03-04,3.318400
2009-03-05,3.294800
2009-03-06,3.343600
2009-03-09,3.134400
2009-03-10,3.251200
2009-03-11,3.037600
2009-03-12,3.124000
2009-03-13,3.133600
2009-03-16,3.214000
2009-03-17,3.247200
2009-03-18,3.182000
2009-03-19,3.141600
2009-03-20,3.119600
2009-03-23,3.284400
2009-03-24,3.176000
2009-03-25,3.200000
2009-03-26,3.359200
2009-03-27,3.256800
2009-03-30,3.206800
2009-03-31,3.151200
2009-04-01,3.235200
2009-04-02,3.444000
2009-04-03,3.545200
2009-04-06,3.564800
2009-04-07,3.473200
2009-04-08,3.484000
2009-04-09,3.598400
2009-04-13,3.612000
2009-04-14,3.559200
2009-04-15,3.540800
2009-04-16,3.599200
2009-04-17,3.653200
2009-04-20,3.656000
2009-04-21,3.784000
2009-04-22,3.788800
2009-04-23,3.781200
2009-04-24,3.846400
2009-04-27,3.655600
2009-04-28,3.743200
2009-04-29,3.799600
2009-04-30,3.883600
2009-05-01,3.842000
2009-05-04,3.976000
2009-05-05,4.213200
2009-05-06,4.129600
2009-05-07,4.032000
2009-05-08,4.196000
2009-05-11,4.355200
2009-05-12,4.329200
2009-05-13,4.041200
2009-05-14,3.989600
2009-05-15,3.986400
2009-05-18,4.064000
2009-05-19,4.159600
2009-05-20,4.113600
2009-05-21,4.018000
2009-05-22,4.050000
2009-05-26,4.211200
2009-05-27,4.193200
2009-05-28,4.311200
2009-05-29,4.404400
2009-06-01,4.572000
2009-06-02,4.615600
2009-06-03,4.631600
2009-06-04,4.654800
2009-06-05,4.652800
2009-06-08,4.651200
2009-06-09,4.720000
2009-06-10,4.632400
2009-06-11,4.624400
2009-06-12,4.612400
2009-06-15,4.442000
2009-06-16,4.374000
2009-06-17,4.400000
2009-06-18,4.406000
2009-06-19,4.502400
2009-06-22,4.271600
2009-06-23,4.263200
2009-06-24,4.414800
2009-06-25,4.549200
2009-06-26,4.596800
2009-06-29,4.586000
2009-06-30,4.462000
2009-07-01,4.504800
2009-07-02,4.402800
2009-07-06,4.320000
2009-07-07,4.235200
2009-07-08,4.150000
2009-07-09,4.256000
2009-07-10,4.264400
2009-07-13,4.362400
2009-07-14,4.412800
2009-07-15,4.620400
2009-07-16,4.688000
2009-07-17,4.643200
2009-07-20,4.756400
2009-07-21,4.788800
2009-07-22,4.834000
2009-07-23,4.921200
2009-07-24,4.935600
2009-07-27,4.908800
2009-07-28,4.967200
2009-07-29,4.902000
2009-07-30,5.077600
2009-07-31,5.184800
2009-08-03,5.349200
2009-08-04,5.205200
2009-08-05,5.296800
2009-08-06,5.196400
2009-08-07,5.252800
2009-08-10,6.009600
2009-08-11,6.148800
2009-08-12,5.945600
2009-08-13,6.022800
2009-08-14,5.950400
2009-08-17,5.794000
2009-08-18,5.864800
2009-08-19,5.875200
2009-08-20,6.114800
2009-08-21,6.142320
2009-08-24,6.008400
2009-08-25,6.092800
2009-08-26,6.044400
2009-08-27,6.254400
2009-08-28,6.258800
2009-08-31,6.159200
2009-09-01,5.968400
2009-09-02,6.033200
2009-09-03,6.065200
2009-09-04,6.151600
2009-09-08,6.305600
2009-09-09,6.412800
2009-09-10,6.487200
2009-09-11,6.516000
2009-09-14,6.524800
2009-09-15,6.524000
2009-09-16,6.729600
2009-09-17,6.640000
2009-09-18,6.551200
2009-09-21,6.602000
2009-09-22,6.582000
2009-09-23,6.467200
2009-09-24,6.384800
2009-09-25,6.482800
2009-09-28,6.597200
2009-09-29,6.680000
2009-09-30,6.632800
2009-10-01,6.472400
2009-10-02,6.531200
2009-10-05,6.705600
2009-10-06,6.845200
2009-10-07,6.959600
2009-10-08,6.860400
2009-10-09,6.836400
2009-10-12,6.838000
2009-10-13,6.800000
2009-10-14,6.858000
2009-10-15,6.875200
2009-10-16,6.724800
2009-10-19,6.917600
2009-10-20,7.042800
2009-10-21,7.040000
2009-10-22,7.001200
2009-10-23,7.085600
2009-10-26,7.160000
2009-10-27,6.879200
2009-10-28,6.578800
2009-10-29,6.504800
2009-10-30,6.311600
2009-11-02,6.503200
2009-11-03,6.580000
2009-11-04,6.620800
2009-11-05,6.720400
2009-11-06,6.880000
2009-11-09,6.949200
2009-11-10,8.168800
2009-11-11,7.872000
2009-11-12,7.886000
2009-11-13,8.077200
2009-11-16,8.245600
2009-11-17,8.371600
2009-11-18,8.387200
2009-11-19,8.305600
2009-11-20,8.350000
2009-11-23,8.475600
2009-11-24,8.435200
2009-11-25,8.516000
2009-11-27,8.328400
2009-11-30,8.564800
2009-12-01,8.592000
2009-12-02,8.721200
2009-12-03,8.800400
2009-12-04,8.828800
2009-12-07,8.644800
2009-12-08,8.642400
2009-12-09,8.709600
2009-12-10,8.868800
2009-12-11,8.828000
2009-12-14,8.858400
2009-12-15,8.732400
2009-12-16,8.860000
2009-12-17,8.619200
2009-12-18,8.655600
2009-12-21,8.769200
2009-12-22,8.812400
2009-12-23,9.160000
2009-12-24,9.120000
2009-12-28,9.169600
2009-12-29,8.986800
2009-12-30,8.944400
2009-12-31,8.736400
2010-01-04,8.958400
2010-01-05,9.062400
2010-01-06,8.763200
2010-01-07,8.645200
2010-01-08,8.648400
2010-01-11,8.756400
2010-01-12,8.559200
2010-01-13,8.572000
2010-01-14,8.350800
2010-01-15,8.350800
2010-01-19,8.348000
2010-01-20,8.252400
2010-01-21,8.321600
2010-01-22,8.168000
2010-01-25,8.113600
2010-01-26,8.177600
2010-01-27,8.300800
2010-01-28,8.067200
2010-01-29,7.814000
2010-02-01,8.168000
2010-02-02,8.176800
2010-02-03,8.341200
2010-02-04,8.000400
2010-02-05,7.878400
2010-02-08,8.024800
2010-02-09,8.215200
2010-02-10,8.256000
2010-02-11,8.356000
2010-02-12,8.311200
2010-02-16,8.448400
2010-02-17,8.514800
2010-02-18,9.318000
2010-02-19,9.222800
2010-02-22,9.162800
2010-02-23,9.003600
2010-02-24,9.000800
2010-02-25,8.954800
2010-02-26,9.068400
2010-03-01,9.541600
2010-03-02,9.653600
2010-03-03,9.432800
2010-03-04,9.324800
2010-03-05,9.413600
2010-03-08,9.607200
2010-03-09,9.533200
2010-03-10,9.639600
2010-03-11,9.688400
2010-03-12,9.556400
2010-03-15,9.554400
2010-03-16,9.672400
2010-03-17,9.716800
2010-03-18,9.712400
2010-03-19,9.560400
2010-03-22,9.720800
2010-03-23,9.776400
2010-03-24,9.752000
2010-03-25,10.201200
2010-03-26,10.084400
2010-03-29,10.226800
2010-03-30,10.239600
2010-03-31,10.200000
2010-04-01,10.280000
2010-04-05,10.306000
2010-04-06,10.464000
2010-04-07,10.392400
2010-04-08,10.372400
2010-04-09,10.379600
2010-04-12,10.409200
2010-04-13,10.304000
2010-04-14,10.610400
2010-04-15,10.599200
2010-04-16,10.194400
2010-04-19,9.903200
2010-04-20,10.211200
2010-04-21,10.126000
2010-04-22,10.332400
2010-04-23,10.468000
2010-04-26,10.814400
2010-04-27,10.572000
2010-04-28,10.471200
2010-04-29,10.920000
2010-04-30,10.482000
2010-05-03,10.763200
2010-05-04,10.334800
2010-05-05,9.879200
2010-05-06,9.324000
2010-05-07,9.015600
2010-05-10,9.990000
2010-05-11,8.782800
2010-05-12,8.715200
2010-05-13,8.515600
2010-05-14,8.331200
2010-05-17,8.006000
2010-05-18,7.714400
2010-05-19,7.604400
2010-05-20,7.240000
2010-05-21,7.649600
2010-05-24,7.725600
2010-05-25,7.737600
2010-05-26,7.696800
2010-05-27,7.903600
2010-05-28,7.646400
2010-06-01,7.400400
2010-06-02,7.593200
2010-06-03,7.404400
2010-06-04,7.141600
2010-06-07,7.055600
2010-06-08,7.069200
2010-06-09,7.007600
2010-06-10,7.249600
2010-06-11,7.356400
2010-06-14,7.365600
2010-06-15,7.430800
2010-06-16,7.856400
2010-06-17,7.810400
2010-06-18,7.723600
2010-06-21,7.570000
2010-06-22,7.558000
2010-06-23,7.530000
2010-06-24,7.404400
2010-06-25,7.679600
2010-06-28,7.517200
2010-06-29,7.211600
2010-06-30,7.061600
2010-07-01,7.281200
2010-07-02,7.056400
2010-07-06,7.260000
2010-07-07,7.629200
2010-07-08,7.971200
2010-07-09,8.163600
2010-07-12,8.160000
2010-07-13,8.652800
2010-07-14,8.614000
2010-07-15,8.904400
2010-07-16,8.728400
2010-07-19,8.802000
2010-07-20,8.865600
2010-07-21,8.737200
2010-07-22,9.116800
2010-07-23,9.145600
2010-07-26,9.262000
2010-07-27,8.961200
2010-07-28,8.962800
2010-07-29,8.967600
2010-07-30,8.976000
2010-08-02,9.095200
2010-08-03,9.226800
2010-08-04,11.252000
2010-08-05,11.706800
2010-08-06,11.810000
2010-08-09,11.709200
2010-08-10,11.760400
2010-08-11,11.564000
2010-08-12,11.984000
2010-08-13,11.887600
2010-08-16,11.780800
2010-08-17,12.142800
2010-08-18,11.905200
2010-08-19,11.978800
2010-08-20,12.094400
2010-08-23,11.992800
2010-08-24,11.672000
2010-08-25,11.796000
2010-08-26,11.431600
2010-08-27,11.907200
2010-08-30,11.587200
2010-08-31,11.659200
2010-09-01,12.273600
2010-09-02,12.451200
2010-09-03,12.554000
2010-09-07,12.462000
2010-09-08,13.150800
2010-09-09,12.952000
2010-09-10,12.926000
2010-09-13,13.212000
2010-09-14,13.390800
2010-09-15,13.282400
2010-09-16,13.295200
2010-09-17,13.398000
2010-09-20,13.898600
2010-09-21,13.640800
2010-09-22,13.526000
2010-09-23,13.488000
2010-09-24,13.770800
2010-09-27,13.806400
2010-09-28,13.997200
2010-09-29,13.925200
2010-09-30,13.933600
2010-10-01,13.512800
2010-10-04,13.265600
2010-10-05,13.797600
2010-10-06,13.307600
2010-10-07,13.234400
2010-10-08,13.636000
2010-10-11,13.294000
2010-10-12,13.447200
2010-10-13,13.641600
2010-10-14,13.962400
2010-10-15,14.184000
2010-10-18,14.150400
2010-10-19,13.820400
2010-10-20,13.902800
2010-10-21,13.748000
2010-10-22,14.540000
2010-10-25,14.877200
2010-10-26,14.977600
2010-10-27,14.900000
2010-10-28,14.703200
2010-10-29,15.072400
2010-11-01,14.961600
2010-11-02,15.247600
2010-11-03,15.199600
2010-11-04,15.204800
2010-11-05,15.554800
2010-11-08,15.543200
2010-11-09,16.826000
2010-11-10,16.762800
2010-11-11,16.782800
2010-11-12,16.597200
2010-11-15,16.297200
2010-11-16,15.960000
2010-11-17,16.187200
2010-11-18,16.426000
2010-11-19,16.383600
2010-11-22,16.816800
2010-11-23,16.314000
2010-11-24,16.449600
2010-11-26,16.434800
2010-11-29,16.186400
2010-11-30,15.762000
2010-12-01,16.124000
2010-12-02,16.119600
2010-12-03,16.564400
2010-12-06,16.686400
2010-12-07,16.517200
2010-12-08,16.641200
2010-12-09,16.606000
2010-12-10,16.798800
2010-12-13,16.480000
2010-12-14,16.009600
2010-12-15,15.955200
2010-12-16,16.011200
2010-12-17,16.025600
2010-12-20,16.213200
2010-12-21,16.280000
2010-12-22,16.646800
2010-12-23,16.527600
2010-12-27,16.329600
2010-12-28,16.192000
2010-12-29,16.228000
2010-12-30,16.170800
2010-12-31,15.982000
2011-01-04,16.375200
2011-01-05,17.344000
2011-01-06,17.492800
2011-01-07,17.623600
2011-01-10,17.622400
2011-01-11,17.248400
2011-01-12,17.369600
2011-01-13,17.580400
2011-01-14,17.519600
2011-01-18,17.636400
2011-01-19,17.281200
2011-01-20,16.968800
2011-01-21,17.024000
2011-01-24,16.952000
2011-01-25,17.154400
2011-01-26,16.908000
2011-01-27,17.485600
2011-01-28,17.012400
2011-01-31,17.140800
2011-02-01,17.517200
2011-02-02,17.487600
2011-02-03,17.439600
2011-02-04,17.337200
2011-02-07,17.488000
2011-02-08,17.710000
2011-02-09,18.044400
2011-02-10,18.217200
2011-02-11,18.215400
2011-02-14,18.280400
2011-02-15,18.288000
2011-02-16,18.321600
2011-02-17,18.210800
2011-02-18,17.957200
2011-02-22,17.351200
