d,c
2009-01-02,139.120000
2009-01-05,138.780000
2009-01-06,139.840000
2009-01-07,130.790000
2009-01-08,133.130000
2009-01-09,127.300000
2009-01-12,123.530000
2009-01-13,126.990000
2009-01-14,119.600000
2009-01-15,116.670000
2009-01-16,117.160000
2009-01-20,103.440000
2009-01-21,108.500000
2009-01-22,107.270000
2009-01-23,111.850000
2009-01-26,107.050000
2009-01-27,108.390000
2009-01-28,119.500000
2009-01-29,108.330000
2009-01-30,108.800000
2009-02-02,110.460000
2009-02-03,109.260000
2009-02-04,113.810000
2009-02-05,116.280000
2009-02-06,122.490000
2009-02-09,118.820000
2009-02-10,113.950000
2009-02-11,114.060000
2009-02-12,113.980000
2009-02-13,111.610000
2009-02-17,105.400000
2009-02-18,106.550000
2009-02-19,102.940000
2009-02-20,103.070000
2009-02-23,97.870000
2009-02-24,107.050000
2009-02-25,105.570000
2009-02-26,100.740000
2009-02-27,96.810000
2009-03-02,92.320000
2009-03-03,90.570000
2009-03-04,96.340000
2009-03-05,91.420000
2009-03-06,92.400000
2009-03-09,90.900000
2009-03-10,100.500000
2009-03-11,105.310000
2009-03-12,111.200000
2009-03-13,108.000000
2009-03-16,103.900000
2009-03-17,109.690000
2009-03-18,121.990000
2009-03-19,113.790000
2009-03-20,113.960000
2009-03-23,133.960000
2009-03-24,128.440000
2009-03-25,132.550000
2009-03-26,136.690000
2009-03-27,127.490000
2009-03-30,124.890000
2009-03-31,130.040000
2009-04-01,130.690000
2009-04-02,136.410000
2009-04-03,138.000000
2009-04-06,136.370000
2009-04-07,128.580000
2009-04-08,129.020000
2009-04-09,138.040000
2009-04-13,139.370000
2009-04-14,132.190000
2009-04-15,139.000000
2009-04-16,136.600000
2009-04-17,135.920000
2009-04-20,123.590000
2009-04-21,138.790000
2009-04-22,136.180000
2009-04-23,147.720000
2009-04-24,151.160000
2009-04-27,149.460000
2009-04-28,146.840000
2009-04-29,151.030000
2009-04-30,146.520000
2009-05-01,148.420000
2009-05-04,157.990000
2009-05-05,157.690000
2009-05-06,155.640000
2009-05-07,144.480000
2009-05-08,148.350000
2009-05-11,142.050000
2009-05-12,143.030000
2009-05-13,138.060000
2009-05-14,140.030000
2009-05-15,140.810000
2009-05-18,144.310000
2009-05-19,139.680000
2009-05-20,137.160000
2009-05-21,141.750000
2009-05-22,147.720000
2009-05-26,154.930000
2009-05-27,149.110000
2009-05-28,153.330000
2009-05-29,159.500000
2009-06-01,164.990000
2009-06-02,167.450000
2009-06-03,164.530000
2009-06-04,165.150000
2009-06-05,163.740000
2009-06-08,169.360000
2009-06-09,182.140000
2009-06-10,178.520000
2009-06-11,182.600000
2009-06-12,176.560000
2009-06-15,169.640000
2009-06-16,169.450000
2009-06-17,167.250000
2009-06-18,170.360000
2009-06-19,174.960000
2009-06-22,167.290000
2009-06-23,167.810000
2009-06-24,173.470000
2009-06-25,175.300000
2009-06-26,177.880000
2009-06-29,175.950000
2009-06-30,175.420000
2009-07-01,172.850000
2009-07-02,167.650000
2009-07-06,166.230000
2009-07-07,162.170000
2009-07-08,161.390000
2009-07-09,166.290000
2009-07-10,166.160000
2009-07-13,172.100000
2009-07-14,172.710000
2009-07-15,180.070000
2009-07-16,179.120000
2009-07-17,179.790000
2009-07-20,184.820000
2009-07-21,184.140000
2009-07-22,185.510000
2009-07-23,197.900000
2009-07-24,192.180000
2009-07-27,190.000000
2009-07-28,190.160000
2009-07-29,189.240000
2009-07-30,191.360000
2009-07-31,190.540000
2009-08-03,195.620000
2009-08-04,198.600000
2009-08-05,200.630000
2009-08-06,197.890000
2009-08-07,202.460000
2009-08-10,198.770000
2009-08-11,198.760000
2009-08-12,201.080000
2009-08-13,198.590000
2009-08-14,197.770000
2009-08-17,188.960000
2009-08-18,196.170000
2009-08-19,196.640000
2009-08-20,206.230000
2009-08-21,207.500000
2009-08-24,204.800000
2009-08-25,202.360000
2009-08-26,199.200000
2009-08-27,200.250000
2009-08-28,201.550000
2009-08-31,199.570000
2009-09-01,194.120000
2009-09-02,192.380000
2009-09-03,197.140000
2009-09-04,195.450000
2009-09-08,199.360000
2009-09-09,202.010000
2009-09-10,201.680000
2009-09-11,201.770000
2009-09-14,201.230000
2009-09-15,200.670000
2009-09-16,206.960000
2009-09-17,202.430000
2009-09-18,207.190000
2009-09-21,204.320000
2009-09-22,208.200000
2009-09-23,211.030000
2009-09-24,206.250000
2009-09-25,203.750000
2009-09-28,213.920000
2009-09-29,214.120000
2009-09-30,216.820000
2009-10-01,208.800000
2009-10-02,206.930000
2009-10-05,213.100000
2009-10-06,213.110000
2009-10-07,213.500000
2009-10-08,213.860000
2009-10-09,216.550000
2009-10-12,217.730000
2009-10-13,213.790000
2009-10-14,226.060000
2009-10-15,226.160000
2009-10-16,225.550000
2009-10-19,230.430000
2009-10-20,236.600000
2009-10-21,233.810000
2009-10-22,233.800000
2009-10-23,231.200000
2009-10-26,227.990000
2009-10-27,221.900000
2009-10-28,221.620000
2009-10-29,225.260000
2009-10-30,216.490000
2009-11-02,220.710000
2009-11-03,221.030000
2009-11-04,220.350000
2009-11-05,226.610000
2009-11-06,227.510000
2009-11-09,235.500000
2009-11-10,232.080000
2009-11-11,233.260000
2009-11-12,231.250000
2009-11-13,233.100000
2009-11-16,238.950000
2009-11-17,239.010000
2009-11-18,235.800000
2009-11-19,231.120000
2009-11-20,225.660000
2009-11-23,228.390000
2009-11-24,229.190000
2009-11-25,230.350000
2009-11-27,221.190000
2009-11-30,227.080000
2009-12-01,226.740000
2009-12-02,227.710000
2009-12-03,225.000000
2009-12-04,223.490000
2009-12-07,221.530000
2009-12-08,223.870000
2009-12-09,227.000000
2009-12-10,227.530000
2009-12-11,226.010000
2009-12-14,226.170000
2009-12-15,226.920000
2009-12-16,234.550000
2009-12-17,234.900000
2009-12-18,238.810000
2009-12-21,240.800000
2009-12-22,239.350000
2009-12-23,238.680000
2009-12-24,239.650000
2009-12-28,239.370000
2009-12-29,238.900000
2009-12-30,237.270000
2009-12-31,232.200000
2010-01-04,238.580000
2010-01-05,239.610000
2010-01-06,234.670000
2010-01-07,237.250000
2010-01-08,238.920000
2010-01-11,242.810000
2010-01-12,238.470000
2010-01-13,239.420000
2010-01-14,237.900000
2010-01-15,238.090000
2010-01-19,240.010000
2010-01-20,238.260000
2010-01-21,230.240000
2010-01-22,225.000000
2010-01-25,226.460000
2010-01-26,224.710000
2010-01-27,226.770000
2010-01-28,219.640000
2010-01-29,213.820000
2010-02-01,216.570000
2010-02-02,216.000000
2010-02-03,220.640000
2010-02-04,211.250000
2010-02-05,208.790000
2010-02-08,204.660000
2010-02-09,208.880000
2010-02-10,211.130000
2010-02-11,207.300000
2010-02-12,207.160000
2010-02-16,210.410000
2010-02-17,213.090000
2010-02-18,213.730000
2010-02-19,215.510000
2010-02-22,217.230000
2010-02-23,214.870000
2010-02-24,218.360000
2010-02-25,218.300000
2010-02-26,218.800000
2010-03-01,218.000000
2010-03-02,216.410000
2010-03-03,216.080000
2010-03-04,215.840000
2010-03-05,219.830000
2010-03-08,218.120000
2010-03-09,216.970000
2010-03-10,215.700000
2010-03-11,210.410000
2010-03-12,210.000000
2010-03-15,212.170000
2010-03-16,212.350000
2010-03-17,222.800000
2010-03-18,225.660000
2010-03-19,224.350000
2010-03-22,225.700000
2010-03-23,227.000000
2010-03-24,225.000000
2010-03-25,225.410000
2010-03-26,219.270000
2010-03-29,220.050000
2010-03-30,219.130000
2010-03-31,217.760000
2010-04-01,211.050000
2010-04-05,206.000000
2010-04-06,198.550000
2010-04-07,199.020000
2010-04-08,204.560000
2010-04-09,206.110000
2010-04-12,205.800000
2010-04-13,206.900000
2010-04-14,211.380000
2010-04-15,206.700000
2010-04-16,200.750000
2010-04-19,202.610000
2010-04-20,203.180000
2010-04-21,201.200000
2010-04-22,207.790000
2010-04-23,211.020000
2010-04-26,192.950000
2010-04-27,185.500000
2010-04-28,184.440000
2010-04-29,190.390000
2010-04-30,184.000000
2010-05-03,185.760000
2010-05-04,177.680000
2010-05-05,174.800000
2010-05-06,171.620000
2010-05-07,172.120000
2010-05-10,176.570000
2010-05-11,170.990000
2010-05-12,173.970000
2010-05-13,172.370000
2010-05-14,169.720000
2010-05-17,171.000000
2010-05-18,168.490000
2010-05-19,167.950000
2010-05-20,160.100000
2010-05-21,166.470000
2010-05-24,161.960000
2010-05-25,162.440000
2010-05-26,164.040000
2010-05-27,172.390000
2010-05-28,167.880000
2010-06-01,163.200000
2010-06-02,164.770000
2010-06-03,163.840000
2010-06-04,159.490000
2010-06-07,157.500000
2010-06-08,156.490000
2010-06-09,154.910000
2010-06-10,156.980000
2010-06-11,159.140000
2010-06-14,158.770000
2010-06-15,163.280000
2010-06-16,161.520000
2010-06-17,159.370000
2010-06-18,158.770000
2010-06-21,157.920000
2010-06-22,155.840000
2010-06-23,155.050000
2010-06-24,150.740000
2010-06-25,152.340000
2010-06-28,152.140000
2010-06-29,145.600000
2010-06-30,143.400000
2010-07-01,140.320000
2010-07-02,142.790000
2010-07-06,145.210000
2010-07-07,148.480000
2010-07-08,152.250000
2010-07-09,154.970000
2010-07-12,154.150000
2010-07-13,156.900000
2010-07-14,155.250000
2010-07-15,153.990000
2010-07-16,149.140000
2010-07-19,148.130000
2010-07-20,149.360000
2010-07-21,143.330000
2010-07-22,151.210000
2010-07-23,154.490000
2010-07-26,159.650000
2010-07-27,157.580000
2010-07-28,157.000000
2010-07-29,158.240000
2010-07-30,157.490000
2010-08-02,162.850000
2010-08-03,160.840000
2010-08-04,160.430000
2010-08-05,160.520000
2010-08-06,157.160000
2010-08-09,159.650000
2010-08-10,159.410000
2010-08-11,152.950000
2010-08-12,149.500000
2010-08-13,151.580000
2010-08-16,150.820000
2010-08-17,151.900000
2010-08-18,150.480000
2010-08-19,147.330000
2010-08-20,145.400000
2010-08-23,143.150000
2010-08-24,141.390000
2010-08-25,141.200000
2010-08-26,139.440000
2010-08-27,141.150000
2010-08-30,142.170000
2010-08-31,141.950000
2010-09-01,146.570000
2010-09-02,149.300000
2010-09-03,151.550000
2010-09-07,150.780000
2010-09-08,151.940000
2010-09-09,150.740000
2010-09-10,151.160000
2010-09-13,150.690000
2010-09-14,159.550000
2010-09-15,164.900000
2010-09-16,162.540000
2010-09-17,165.050000
2010-09-20,171.680000
2010-09-21,167.750000
2010-09-22,165.740000
2010-09-23,161.670000
2010-09-24,167.230000
2010-09-27,165.900000
2010-09-28,168.670000
2010-09-29,168.760000
2010-09-30,170.250000
2010-10-01,171.340000
2010-10-04,170.910000
2010-10-05,171.310000
2010-10-06,171.350000
2010-10-07,170.950000
2010-10-08,174.500000
2010-10-11,177.240000
2010-10-12,178.610000
2010-10-13,179.240000
2010-10-14,177.750000
2010-10-15,175.740000
2010-10-18,176.500000
2010-10-19,174.630000
2010-10-20,169.510000
2010-10-21,166.260000
2010-10-22,167.560000
2010-10-25,168.390000
2010-10-26,168.620000
2010-10-27,168.500000
2010-10-28,168.130000
2010-10-29,170.990000
2010-11-01,171.850000
2010-11-02,173.040000
2010-11-03,165.660000
2010-11-04,169.010000
2010-11-05,173.150000
2010-11-08,169.090000
2010-11-09,164.510000
2010-11-10,168.480000
2010-11-11,171.200000
2010-11-12,173.070000
2010-11-15,173.080000
2010-11-16,167.280000
2010-11-17,168.930000
2010-11-18,169.150000
2010-11-19,168.980000
2010-11-22,166.870000
2010-11-23,163.030000
2010-11-24,165.890000
2010-11-26,164.600000
2010-11-29,163.100000
2010-11-30,163.000000
2010-12-01,167.620000
2010-12-02,171.850000
2010-12-03,172.350000
2010-12-06,171.480000
2010-12-07,171.390000
2010-12-08,173.700000
2010-12-09,179.820000
2010-12-10,183.050000
2010-12-13,181.880000
2010-12-14,182.660000
2010-12-15,180.900000
2010-12-16,183.110000
2010-12-17,187.200000
2010-12-20,188.500000
2010-12-21,192.510000
2010-12-22,190.960000
2010-12-23,188.670000
2010-12-27,189.260000
2010-12-28,189.410000
2010-12-29,190.820000
2010-12-30,188.020000
2010-12-31,190.580000
2011-01-04,190.040000
2011-01-05,192.000000
2011-01-06,189.930000
2011-01-07,188.360000
2011-01-10,191.170000
2011-01-11,193.420000
2011-01-12,193.840000
2011-01-13,195.810000
2011-01-14,199.060000
2011-01-18,196.520000
2011-01-19,191.560000
2011-01-20,190.870000
2011-01-21,193.070000
2011-01-24,193.580000
2011-01-25,198.010000
2011-01-26,199.960000
2011-01-27,201.730000
2011-01-28,194.280000
2011-01-31,198.020000
2011-02-01,201.230000
2011-02-02,197.640000
2011-02-03,196.820000
2011-02-04,194.350000
2011-02-07,196.000000
2011-02-08,199.370000
2011-02-09,199.620000
2011-02-10,200.710000
2011-02-11,203.420000
2011-02-14,205.010000
2011-02-15,205.660000
2011-02-16,205.340000
2011-02-17,204.590000
2011-02-18,206.670000
2011-02-22,198.410000
2011-02-23,195.130000
2011-02-24,201.200000
2011-02-25,203.920000
2011-02-28,203.990000
2011-03-01,201.430000
2011-03-02,198.850000
2011-03-03,207.060000
2011-03-04,201.890000
2011-03-07,198.240000
2011-03-08,198.830000
2011-03-09,196.900000
2011-03-10,190.380000
2011-03-11,189.980000
2011-03-14,188.430000
2011-03-15,185.700000
2011-03-16,179.770000
2011-03-17,183.960000
2011-03-18,184.550000
2011-03-21,186.000000
2011-03-22,185.030000
2011-03-23,183.700000
2011-03-24,185.550000
2011-03-25,188.240000
2011-03-28,187.470000
2011-03-29,186.500000
2011-03-30,198.840000
2011-03-31,201.010000
2011-04-01,202.430000
2011-04-04,200.990000
2011-04-05,199.480000
2011-04-06,199.220000
2011-04-07,197.990000
2011-04-08,196.100000
2011-04-11,195.950000
2011-04-12,194.780000
2011-04-13,194.680000
2011-04-14,193.380000
2011-04-15,193.240000
2011-04-18,190.550000
2011-04-19,192.030000
2011-04-20,193.720000
2011-04-21,198.880000
2011-04-25,197.130000
2011-04-26,198.930000
2011-04-27,199.900000
2011-04-28,198.000000
2011-04-29,195.940000
2011-05-02,195.530000
2011-05-03,194.070000
2011-05-04,194.010000
2011-05-05,191.470000
2011-05-06,195.740000
2011-05-09,196.670000
2011-05-10,198.000000
2011-05-11,194.520000
2011-05-12,195.880000
2011-05-13,194.240000
2011-05-16,191.950000
2011-05-17,190.540000
2011-05-18,193.250000
2011-05-19,198.100000
2011-05-20,197.510000
2011-05-23,194.740000
2011-05-24,193.050000
2011-05-25,195.410000
2011-05-26,197.540000
2011-05-27,200.670000
2011-05-31,205.560000
2011-06-01,199.350000
2011-06-02,199.580000
2011-06-03,193.630000
2011-06-06,187.850000
2011-06-07,189.640000
2011-06-08,189.690000
2011-06-09,192.320000
2011-06-10,185.820000
2011-06-13,188.930000
2011-06-14,192.560000
2011-06-15,186.320000
2011-06-16,188.130000
2011-06-17,187.340000
2011-06-20,189.400000
2011-06-21,190.730000
2011-06-22,189.140000
2011-06-23,187.370000
2011-06-24,184.390000
2011-06-27,187.070000
2011-06-28,189.260000
2011-06-29,191.890000
2011-06-30,191.810000
2011-07-01,196.420000
2011-07-05,194.510000
2011-07-06,195.550000
2011-07-07,198.490000
2011-07-08,195.450000
2011-07-11,186.380000
2011-07-12,183.690000
2011-07-13,185.050000
2011-07-14,182.270000
2011-07-15,184.540000
2011-07-18,180.250000
2011-07-19,183.690000
2011-07-20,184.500000
2011-07-21,187.720000
2011-07-22,187.920000
2011-07-25,186.000000
2011-07-26,184.420000
2011-07-27,176.840000
2011-07-28,175.070000
2011-07-29,178.460000
2011-08-01,178.360000
2011-08-02,174.490000
2011-08-03,173.450000
2011-08-04,163.250000
2011-08-05,161.580000
2011-08-08,145.250000
2011-08-09,156.540000
2011-08-10,148.060000
2011-08-11,161.980000
2011-08-12,161.070000
2011-08-15,165.140000
2011-08-16,161.160000
2011-08-17,161.180000
2011-08-18,152.280000
2011-08-19,151.330000
2011-08-22,152.170000
2011-08-23,159.410000
2011-08-24,163.730000
2011-08-25,158.640000
2011-08-26,160.990000
2011-08-29,168.180000
2011-08-30,167.000000
2011-08-31,164.750000
2011-09-01,162.680000
2011-09-02,156.040000
2011-09-06,152.410000
2011-09-07,158.910000
2011-09-08,155.860000
2011-09-09,151.070000
2011-09-12,151.300000
2011-09-13,151.220000
2011-09-14,152.300000
2011-09-15,159.180000
2011-09-16,160.880000
2011-09-19,156.250000
2011-09-20,155.580000
2011-09-21,147.220000
2011-09-22,144.750000
2011-09-23,147.630000
2011-09-26,150.350000
2011-09-27,152.490000
2011-09-28,148.550000
2011-09-29,151.660000
2011-09-30,148.010000
2011-10-03,141.770000
2011-10-04,147.200000
2011-10-05,150.490000
2011-10-06,151.670000
2011-10-07,147.780000
2011-10-10,155.250000
2011-10-11,153.060000
2011-10-12,156.000000
2011-10-13,153.650000
2011-10-14,155.910000
2011-10-17,150.730000
2011-10-18,156.300000
2011-10-19,148.920000
2011-10-20,152.160000
2011-10-21,154.320000
2011-10-24,157.480000
2011-10-25,150.380000
2011-10-26,154.370000
2011-10-27,163.670000
2011-10-28,169.780000
2011-10-31,157.790000
2011-11-01,150.000000
2011-11-02,155.520000
2011-11-03,159.260000
2011-11-04,157.600000
2011-11-07,160.050000
2011-11-08,163.160000
2011-11-09,153.230000
2011-11-10,159.880000
2011-11-11,164.330000
2011-11-14,163.120000
2011-11-15,165.880000
2011-11-16,161.330000
2011-11-17,159.600000
2011-11-18,159.260000
2011-11-21,156.610000
2011-11-22,155.810000
2011-11-23,151.490000
2011-11-25,151.270000
2011-11-28,159.830000
2011-11-29,161.030000
2011-11-30,170.665000
2011-12-01,167.410000
2011-12-02,169.020000
2011-12-05,176.310000
2011-12-06,173.460000
2011-12-07,174.370000
2011-12-08,167.500000
2011-12-09,172.680000
2011-12-12,169.480000
2011-12-13,167.750000
2011-12-14,166.940000
2011-12-15,167.840000
2011-12-16,170.330000
2011-12-19,165.600000
2011-12-20,173.140000
2011-12-21,173.350000
2011-12-22,175.490000
2011-12-23,178.410000
2011-12-27,177.840000
2011-12-28,176.440000
2011-12-29,179.400000
2011-12-30,178.240000
2012-01-03,181.270000
2012-01-04,179.960000
2012-01-05,179.330000
2012-01-06,179.130000
2012-01-09,179.250000
2012-01-10,183.090000
2012-01-11,183.870000
2012-01-12,187.060000
2012-01-13,186.570000
2012-01-17,187.460000
2012-01-18,187.800000
2012-01-19,187.540000
2012-01-20,182.820000
2012-01-23,185.560000
2012-01-24,189.020000
2012-01-25,188.240000
2012-01-26,187.860000
2012-01-27,187.490000
2012-01-30,183.220000
2012-01-31,182.000000
2012-02-01,183.000000
2012-02-02,183.770000
2012-02-03,188.640000
2012-02-06,190.180000
2012-02-07,189.470000
2012-02-08,190.250000
2012-02-09,190.190000
2012-02-10,190.000000
2012-02-13,192.450000
2012-02-14,191.520000
2012-02-15,189.880000
2012-02-16,193.120000
2012-02-17,196.190000
2012-02-21,194.530000
2012-02-22,193.510000
2012-02-23,197.130000
2012-02-24,196.000000
2012-02-27,197.710000
2012-02-28,198.330000
2012-02-29,199.000000
2012-03-01,198.500000
2012-03-02,198.250000
2012-03-05,195.240000
2012-03-06,193.170000
2012-03-07,196.720000
2012-03-08,195.550000
2012-03-09,196.910000
2012-03-12,194.880000
2012-03-13,203.000000
2012-03-14,200.670000
2012-03-15,205.080000
2012-03-16,205.600000
2012-03-19,205.090000
2012-03-20,203.300000
2012-03-21,201.340000
2012-03-22,198.520000
2012-03-23,201.110000
2012-03-26,205.190000
2012-03-27,203.580000
2012-03-28,202.730000
2012-03-29,199.590000
2012-03-30,204.900000
2012-04-02,206.290000
2012-04-03,206.570000
2012-04-04,203.820000
2012-04-05,205.980000
2012-04-09,202.740000
2012-04-10,198.600000
