d,c
2024-07-25,433.290000
2024-07-26,437.660000
2024-07-29,438.310000
2024-07-30,441.260000
2024-07-31,438.500000
2024-08-01,431.810000
2024-08-02,428.360000
2024-08-05,413.720000
2024-08-06,422.140000
2024-08-07,427.020000
2024-08-08,431.540000
2024-08-09,431.670000
2024-08-12,430.390000
2024-08-13,432.410000
2024-08-14,438.470000
2024-08-15,440.840000
2024-08-16,444.510000
2024-08-19,448.770000
2024-08-20,448.360000
2024-08-21,446.600000
2024-08-22,449.030000
2024-08-23,453.380000
2024-08-26,454.490000
2024-08-27,460.630000
2024-08-28,464.590000
2024-08-29,468.370000
2024-08-30,475.920000
2024-09-03,476.830000
2024-09-04,478.570000
2024-09-05,464.920000
2024-09-06,459.420000
2024-09-09,459.610000
2024-09-10,458.920000
2024-09-11,453.100000
2024-09-12,450.870000
2024-09-13,447.610000
2024-09-16,451.780000
2024-09-17,456.680000
2024-09-18,456.600000
2024-09-19,459.710000
2024-09-20,455.310000
2024-09-23,454.980000
2024-09-24,454.560000
2024-09-25,452.360000
2024-09-26,454.180000
2024-09-27,457.470000
2024-09-30,460.260000
2024-10-01,457.410000
2024-10-02,456.670000
2024-10-03,452.960000
2024-10-04,461.970000
2024-10-07,453.500000
2024-10-08,453.800000
2024-10-09,455.900000
2024-10-10,454.930000
2024-10-11,460.210000
2024-10-14,459.980000
2024-10-15,462.680000
2024-10-16,465.690000
2024-10-17,465.850000
2024-10-18,464.800000
2024-10-21,464.160000
2024-10-22,461.450000
2024-10-23,460.610000
2024-10-24,457.770000
2024-10-25,454.010000
2024-10-28,458.490000
2024-10-29,454.620000
2024-10-30,454.960000
2024-10-31,450.920000
2024-11-01,452.140000
2024-11-04,442.290000
2024-11-05,445.060000
2024-11-06,468.900000
2024-11-07,460.130000
2024-11-08,463.410000
2024-11-11,467.360000
2024-11-12,466.290000
2024-11-13,468.100000
2024-11-14,467.700000
2024-11-15,470.280000
2024-11-18,472.200000
2024-11-19,468.860000
2024-11-20,468.830000
2024-11-21,472.060000
2024-11-22,476.570000
2024-11-25,477.430000
2024-11-26,478.560000
2024-11-27,483.080000
2024-11-29,483.020000
2024-12-02,477.330000
2024-12-03,470.190000
2024-12-04,468.320000
2024-12-05,470.570000
2024-12-06,470.500000
2024-12-09,463.870000
2024-12-10,462.490000
2024-12-11,461.390000
2024-12-12,458.630000
2024-12-13,457.900000
2024-12-16,455.200000
2024-12-17,455.660000
2024-12-18,446.590000
2024-12-19,449.340000
2024-12-20,453.200000
2024-12-23,454.350000
2024-12-24,458.660000
2024-12-26,459.080000
2024-12-27,456.510000
2024-12-30,452.160000
2024-12-31,453.280000
2025-01-02,451.100000
2025-01-03,453.560000
2025-01-06,451.410000
2025-01-07,452.920000
2025-01-08,451.840000
2025-01-10,442.660000
2025-01-13,443.910000
2025-01-14,450.030000
2025-01-15,458.510000
2025-01-16,462.810000
2025-01-17,467.950000
2025-01-21,468.570000
2025-01-22,460.510000
2025-01-23,459.830000
2025-01-24,463.190000
2025-01-27,474.700000
2025-01-28,469.970000
2025-01-29,469.260000
2025-01-30,472.350000
2025-01-31,468.670000
2025-02-03,464.610000
2025-02-04,467.490000
2025-02-05,473.730000
2025-02-06,477.220000
2025-02-07,472.740000
2025-02-10,470.170000
2025-02-11,472.610000
2025-02-12,471.730000
2025-02-13,480.490000
2025-02-14,479.590000
2025-02-18,482.820000
2025-02-19,483.770000
2025-02-20,481.800000
2025-02-21,478.740000
2025-02-24,498.420000
2025-02-25,499.820000
2025-02-26,494.100000
2025-02-27,502.410000
2025-02-28,513.830000
2025-03-03,510.080000
2025-03-04,495.860000
2025-03-05,498.500000
2025-03-06,497.840000
2025-03-07,495.620000
2025-03-10,497.100000
2025-03-11,496.250000
2025-03-12,495.940000
2025-03-13,504.250000
2025-03-14,514.600000
2025-03-17,523.010000
2025-03-18,523.140000
2025-03-19,525.270000
2025-03-20,528.730000
2025-03-21,521.910000
2025-03-24,525.850000
2025-03-25,528.870000
2025-03-26,533.210000
2025-03-27,534.520000
2025-03-28,526.310000
2025-03-31,532.580000
2025-04-01,532.990000
2025-04-02,537.720000
2025-04-03,530.160000
2025-04-04,493.540000
2025-04-07,490.380000
2025-04-08,492.640000
2025-04-09,521.410000
2025-04-10,515.810000
2025-04-11,524.110000
2025-04-14,529.520000
2025-04-15,528.170000
2025-04-16,516.450000
2025-04-17,518.210000
2025-04-21,506.920000
2025-04-22,520.790000
2025-04-23,526.810000
2025-04-24,531.640000
2025-04-25,530.960000
2025-04-28,530.940000
2025-04-29,534.570000
2025-04-30,533.250000
2025-05-01,530.230000
2025-05-02,539.800000
2025-05-05,512.150000
2025-05-06,512.330000
2025-05-07,518.220000
2025-05-08,513.250000
2025-05-09,513.740000
2025-05-12,514.300000
2025-05-13,511.880000
2025-05-14,503.400000
2025-05-15,507.330000
2025-05-16,514.310000
2025-05-19,512.390000
2025-05-20,508.740000
2025-05-21,507.030000
2025-05-22,503.570000
2025-05-23,503.460000
2025-05-27,509.160000
2025-05-28,503.110000
2025-05-29,506.180000
2025-05-30,503.960000
2025-06-02,502.810000
2025-06-03,497.830000
2025-06-04,491.000000
2025-06-05,488.740000
2025-06-06,493.530000
2025-06-09,493.330000
2025-06-10,491.130000
2025-06-11,488.140000
2025-06-12,490.340000
2025-06-13,487.540000
2025-06-16,490.230000
2025-06-17,483.480000
2025-06-18,485.140000
2025-06-20,484.850000
2025-06-23,487.770000
2025-06-24,493.480000
2025-06-25,486.210000
2025-06-26,485.050000
2025-06-27,485.680000
2025-06-30,485.770000
2025-07-01,489.610000
2025-07-02,480.480000
2025-07-03,485.000000
