d,c
2009-01-02,10.205000
2009-01-05,10.440000
2009-01-06,10.695000
2009-01-07,10.465000
2009-01-08,10.525000
2009-01-09,10.445000
2009-01-12,10.280000
2009-01-13,10.560000
2009-01-14,10.150000
2009-01-15,10.185000
2009-01-16,10.305000
2009-01-20,10.005000
2009-01-21,10.180000
2009-01-22,9.805000
2009-01-23,9.830000
2009-01-26,9.430000
2009-01-27,9.720000
2009-01-28,10.040000
2009-01-29,9.625000
2009-01-30,9.565000
2009-02-02,9.830000
2009-02-03,9.785000
2009-02-04,9.060000
2009-02-05,9.200000
2009-02-06,9.380000
2009-02-09,9.400000
2009-02-10,9.095000
2009-02-11,9.210000
2009-02-12,9.395000
2009-02-13,9.305000
2009-02-17,9.240000
2009-02-18,9.150000
2009-02-19,8.725000
2009-02-20,8.545000
2009-02-23,8.225000
2009-02-24,8.670000
2009-02-25,8.425000
2009-02-26,8.260000
2009-02-27,8.435000
2009-03-02,8.240000
2009-03-03,8.055000
2009-03-04,8.235000
2009-03-05,8.015000
2009-03-06,7.985000
2009-03-09,7.825000
2009-03-10,8.135000
2009-03-11,7.900000
2009-03-12,8.205000
2009-03-13,8.495000
2009-03-16,8.140000
2009-03-17,8.535000
2009-03-18,8.845000
2009-03-19,8.595000
2009-03-20,8.625000
2009-03-23,9.225000
2009-03-24,9.040000
2009-03-25,9.320000
2009-03-26,9.390000
2009-03-27,9.320000
2009-03-30,9.215000
2009-03-31,9.455000
2009-04-01,9.240000
2009-04-02,9.450000
2009-04-03,9.445000
2009-04-06,9.290000
2009-04-07,9.120000
2009-04-08,9.255000
2009-04-09,9.355000
2009-04-13,9.675000
2009-04-14,9.400000
2009-04-15,9.650000
2009-04-16,9.505000
2009-04-17,9.575000
2009-04-20,9.270000
2009-04-21,9.510000
2009-04-22,9.350000
2009-04-23,9.200000
2009-04-24,9.130000
2009-04-27,9.125000
2009-04-28,9.205000
2009-04-29,9.745000
2009-04-30,9.730000
2009-05-01,9.475000
2009-05-04,9.290000
2009-05-05,9.095000
2009-05-06,9.190000
2009-05-07,9.150000
2009-05-08,9.550000
2009-05-11,9.380000
2009-05-12,9.335000
2009-05-13,9.250000
2009-05-14,9.340000
2009-05-15,9.320000
2009-05-18,9.505000
2009-05-19,9.280000
2009-05-20,9.250000
2009-05-21,9.390000
2009-05-22,9.285000
2009-05-26,9.485000
2009-05-27,9.260000
2009-05-28,9.400000
2009-05-29,9.640000
2009-06-01,9.780000
2009-06-02,9.925000
2009-06-03,9.880000
2009-06-04,9.945000
2009-06-05,9.875000
2009-06-08,9.900000
2009-06-09,9.905000
2009-06-10,9.985000
2009-06-11,9.970000
2009-06-12,9.890000
2009-06-15,9.810000
