d,c
2009-01-02,22.620000
2009-01-05,22.290000
2009-01-06,22.460000
2009-01-07,21.910000
2009-01-08,22.130000
2009-01-09,21.760000
2009-01-12,22.000000
2009-01-13,22.210000
2009-01-14,21.750000
2009-01-15,21.980000
2009-01-16,22.430000
2009-01-20,21.940000
2009-01-21,22.780000
2009-01-22,22.180000
2009-01-23,21.960000
2009-01-26,22.010000
2009-01-27,22.400000
2009-01-28,23.150000
2009-01-29,22.070000
2009-01-30,21.250000
2009-02-02,21.230000
2009-02-03,21.820000
2009-02-04,21.240000
2009-02-05,21.210000
2009-02-06,21.660000
2009-02-09,22.200000
2009-02-10,21.470000
2009-02-11,21.180000
2009-02-12,20.610000
2009-02-13,20.290000
2009-02-17,20.050000
2009-02-18,20.380000
2009-02-19,20.900000
2009-02-20,20.920000
2009-02-23,19.750000
2009-02-24,20.330000
2009-02-25,20.200000
2009-02-26,19.640000
2009-02-27,19.910000
2009-03-02,19.040000
2009-03-03,18.860000
2009-03-04,18.870000
2009-03-05,18.390000
2009-03-06,18.810000
2009-03-09,18.880000
2009-03-10,23.990000
2009-03-11,23.340000
2009-03-12,23.980000
2009-03-13,24.180000
2009-03-16,24.050000
2009-03-17,25.000000
2009-03-18,25.620000
2009-03-19,25.140000
2009-03-20,25.260000
2009-03-23,26.740000
2009-03-24,26.320000
2009-03-25,26.940000
2009-03-26,27.980000
2009-03-27,27.290000
2009-03-30,26.980000
2009-03-31,26.660000
2009-04-01,26.500000
2009-04-02,27.590000
2009-04-03,27.310000
2009-04-06,26.980000
2009-04-07,26.450000
2009-04-08,27.230000
2009-04-09,27.420000
2009-04-13,27.330000
2009-04-14,26.190000
2009-04-15,26.590000
2009-04-16,28.220000
2009-04-17,28.200000
2009-04-20,27.670000
2009-04-21,27.540000
2009-04-22,27.630000
2009-04-23,27.480000
2009-04-24,27.840000
2009-04-27,26.810000
2009-04-28,26.720000
2009-04-29,27.430000
2009-04-30,26.610000
2009-05-01,26.020000
2009-05-04,26.780000
2009-05-05,26.030000
2009-05-06,25.840000
2009-05-07,25.800000
2009-05-08,25.490000
2009-05-11,24.930000
2009-05-12,24.690000
2009-05-13,24.310000
2009-05-14,24.660000
2009-05-15,25.060000
2009-05-18,25.720000
2009-05-19,25.260000
2009-05-20,25.150000
2009-05-21,24.900000
2009-05-22,24.830000
2009-05-26,25.590000
2009-05-27,24.810000
2009-05-28,24.850000
2009-05-29,25.230000
2009-06-01,26.470000
2009-06-02,27.190000
2009-06-03,26.640000
2009-06-04,26.890000
2009-06-05,26.500000
2009-06-08,26.050000
2009-06-09,25.970000
2009-06-10,25.210000
2009-06-11,24.920000
2009-06-12,25.430000
2009-06-15,25.250000
2009-06-16,25.860000
2009-06-17,26.320000
2009-06-18,26.940000
2009-06-19,26.440000
2009-06-22,25.780000
2009-06-23,25.260000
2009-06-24,25.180000
2009-06-25,25.610000
2009-06-26,25.720000
2009-06-29,25.830000
2009-06-30,25.690000
2009-07-01,26.480000
2009-07-02,25.090000
2009-07-06,25.510000
2009-07-07,24.860000
2009-07-08,25.140000
2009-07-09,25.350000
2009-07-10,25.620000
2009-07-13,26.430000
2009-07-14,26.620000
2009-07-15,27.560000
2009-07-16,27.510000
2009-07-17,27.440000
2009-07-20,27.590000
2009-07-21,27.130000
2009-07-22,27.130000
2009-07-23,28.260000
2009-07-24,27.970000
2009-07-27,27.690000
2009-07-28,27.410000
2009-07-29,27.350000
2009-07-30,27.580000
2009-07-31,27.430000
2009-08-03,28.020000
2009-08-04,27.710000
2009-08-05,27.080000
2009-08-06,27.040000
2009-08-07,27.000000
2009-08-10,26.970000
2009-08-11,26.850000
2009-08-12,27.190000
2009-08-13,27.130000
2009-08-14,26.390000
2009-08-17,26.040000
2009-08-18,26.360000
2009-08-19,26.680000
2009-08-20,26.210000
2009-08-21,27.260000
2009-08-24,27.070000
2009-08-25,27.630000
2009-08-26,28.380000
2009-08-27,28.040000
2009-08-28,27.670000
2009-08-31,27.750000
2009-09-01,27.940000
2009-09-02,28.120000
2009-09-03,28.260000
2009-09-04,28.320000
2009-09-08,28.190000
