d,c
2009-01-02,25.550000
2009-01-05,25.080000
2009-01-06,25.220000
2009-01-07,24.210000
2009-01-08,24.130000
2009-01-09,23.610000
2009-01-12,22.490000
2009-01-13,22.700000
2009-01-14,21.720000
2009-01-15,20.950000
2009-01-16,21.110000
2009-01-20,19.110000
2009-01-21,19.880000
2009-01-22,19.440000
2009-01-23,19.380000
2009-01-26,19.040000
2009-01-27,19.580000
2009-01-28,19.970000
2009-01-29,18.600000
2009-01-30,18.190000
2009-02-02,18.010000
2009-02-03,18.890000
2009-02-04,18.480000
2009-02-05,19.330000
2009-02-06,20.700000
2009-02-09,21.450000
2009-02-10,21.210000
2009-02-11,21.640000
2009-02-12,21.200000
2009-02-13,20.870000
2009-02-17,20.020000
2009-02-18,19.720000
2009-02-19,19.390000
2009-02-20,19.400000
2009-02-23,18.570000
2009-02-24,20.250000
2009-02-25,19.790000
2009-02-26,19.990000
2009-02-27,19.560000
2009-03-02,18.210000
2009-03-03,18.100000
2009-03-04,19.520000
2009-03-05,18.100000
2009-03-06,17.300000
2009-03-09,16.980000
2009-03-10,19.180000
2009-03-11,19.670000
2009-03-12,20.740000
2009-03-13,20.540000
2009-03-16,20.500000
2009-03-17,21.580000
2009-03-18,22.070000
2009-03-19,22.390000
2009-03-20,21.300000
2009-03-23,23.310000
2009-03-24,22.830000
2009-03-25,22.710000
2009-03-26,23.140000
2009-03-27,22.170000
2009-03-30,20.920000
2009-03-31,21.600000
2009-04-01,23.040000
2009-04-02,24.190000
2009-04-03,25.520000
2009-04-06,24.750000
2009-04-07,23.500000
2009-04-08,23.990000
2009-04-09,25.600000
2009-04-13,26.200000
2009-04-14,25.280000
2009-04-15,25.820000
2009-04-16,27.410000
2009-04-17,27.250000
2009-04-20,25.250000
2009-04-21,25.570000
2009-04-22,26.590000
2009-04-23,27.720000
2009-04-24,28.430000
2009-04-27,24.590000
2009-04-28,25.550000
2009-04-29,26.530000
2009-04-30,26.880000
2009-05-01,26.140000
2009-05-04,29.570000
2009-05-05,29.320000
2009-05-06,29.470000
2009-05-07,28.130000
2009-05-08,27.870000
2009-05-11,27.260000
2009-05-12,26.860000
2009-05-13,25.280000
2009-05-14,25.560000
2009-05-15,25.000000
2009-05-18,26.490000
2009-05-19,26.540000
2009-05-20,25.050000
2009-05-21,24.680000
2009-05-22,24.950000
2009-05-26,25.910000
2009-05-27,24.800000
2009-05-28,24.390000
2009-05-29,25.440000
2009-06-01,26.680000
2009-06-02,26.800000
2009-06-03,26.240000
2009-06-04,25.990000
2009-06-05,25.560000
2009-06-08,25.000000
2009-06-09,25.030000
2009-06-10,23.850000
2009-06-11,23.730000
2009-06-12,24.170000
2009-06-15,23.160000
2009-06-16,22.530000
2009-06-17,23.050000
2009-06-18,24.770000
2009-06-19,26.600000
2009-06-22,24.560000
2009-06-23,24.540000
2009-06-24,25.480000
2009-06-25,25.740000
2009-06-26,25.350000
2009-06-29,26.090000
2009-06-30,25.770000
2009-07-01,26.270000
2009-07-02,25.350000
2009-07-06,25.440000
2009-07-07,24.930000
2009-07-08,24.510000
2009-07-09,25.280000
2009-07-10,24.680000
2009-07-13,25.070000
2009-07-14,25.490000
2009-07-15,27.260000
2009-07-16,27.240000
2009-07-17,26.340000
2009-07-20,27.680000
2009-07-21,27.630000
2009-07-22,27.810000
2009-07-23,28.550000
2009-07-24,28.500000
2009-07-27,28.240000
2009-07-28,28.430000
2009-07-29,27.290000
2009-07-30,28.160000
2009-07-31,27.990000
2009-08-03,29.000000
2009-08-04,29.420000
2009-08-05,28.960000
2009-08-06,28.910000
2009-08-07,30.350000
2009-08-10,29.870000
2009-08-11,29.510000
2009-08-12,30.470000
2009-08-13,30.340000
2009-08-14,29.850000
2009-08-17,28.250000
2009-08-18,28.860000
2009-08-19,29.380000
2009-08-20,30.130000
2009-08-21,30.880000
2009-08-24,30.690000
2009-08-25,31.060000
2009-08-26,30.510000
2009-08-27,30.060000
2009-08-28,30.340000
2009-08-31,29.250000
2009-09-01,28.610000
2009-09-02,28.510000
2009-09-03,29.330000
2009-09-04,29.350000
2009-09-08,30.840000
2009-09-09,31.880000
2009-09-10,32.230000
2009-09-11,32.650000
2009-09-14,32.440000
2009-09-15,32.940000
2009-09-16,33.220000
2009-09-17,32.860000
2009-09-18,32.260000
2009-09-21,32.000000
2009-09-22,33.520000
2009-09-23,33.120000
2009-09-24,33.950000
2009-09-25,33.010000
2009-09-28,33.620000
2009-09-29,33.500000
2009-09-30,33.280000
2009-10-01,32.730000
2009-10-02,32.450000
2009-10-05,32.560000
2009-10-06,32.630000
2009-10-07,32.560000
2009-10-08,33.260000
2009-10-09,32.650000
2009-10-12,32.650000
2009-10-13,32.630000
2009-10-14,33.320000
2009-10-15,33.370000
2009-10-16,33.070000
2009-10-19,33.340000
2009-10-20,33.150000
2009-10-21,32.090000
2009-10-22,33.010000
2009-10-23,32.030000
2009-10-26,30.590000
2009-10-27,30.230000
2009-10-28,29.180000
2009-10-29,30.680000
2009-10-30,29.120000
2009-11-02,29.480000
2009-11-03,29.310000
2009-11-04,29.750000
2009-11-05,30.820000
2009-11-06,30.570000
2009-11-09,31.920000
2009-11-10,31.690000
2009-11-11,31.600000
2009-11-12,31.380000
2009-11-13,32.280000
2009-11-16,32.960000
2009-11-17,32.740000
2009-11-18,32.750000
2009-11-19,31.880000
2009-11-20,32.090000
2009-11-23,32.290000
2009-11-24,32.110000
2009-11-25,33.030000
2009-11-27,32.020000
2009-11-30,32.030000
2009-12-01,32.130000
2009-12-02,32.710000
2009-12-03,32.650000
2009-12-04,32.860000
2009-12-07,32.410000
2009-12-08,31.830000
2009-12-09,31.340000
2009-12-10,32.190000
2009-12-11,32.430000
2009-12-14,33.700000
2009-12-15,33.880000
2009-12-16,33.820000
2009-12-17,33.360000
2009-12-18,32.220000
2009-12-21,32.370000
2009-12-22,32.730000
2009-12-23,32.530000
2009-12-24,32.480000
2009-12-28,32.250000
2009-12-29,32.320000
2009-12-30,32.100000
2009-12-31,31.690000
2010-01-04,32.060000
2010-01-05,32.370000
2010-01-06,31.790000
2010-01-07,32.140000
2010-01-08,33.220000
2010-01-11,33.420000
2010-01-12,32.880000
2010-01-13,34.050000
2010-01-14,35.070000
2010-01-15,34.230000
2010-01-19,35.010000
2010-01-20,34.310000
2010-01-21,34.210000
2010-01-22,33.300000
2010-01-25,33.560000
2010-01-26,33.740000
2010-01-27,33.880000
2010-01-28,34.410000
2010-01-29,33.330000
2010-02-01,34.140000
2010-02-02,34.590000
2010-02-03,34.590000
2010-02-04,32.900000
2010-02-05,32.530000
2010-02-08,33.160000
2010-02-09,32.800000
2010-02-10,32.610000
2010-02-11,33.180000
2010-02-12,32.820000
2010-02-16,33.480000
2010-02-17,34.010000
2010-02-18,33.780000
2010-02-19,33.890000
2010-02-22,34.110000
2010-02-23,33.670000
2010-02-24,35.800000
2010-02-25,35.660000
2010-02-26,35.960000
2010-03-01,36.100000
2010-03-02,35.750000
2010-03-03,35.710000
2010-03-04,36.150000
2010-03-05,37.040000
2010-03-08,36.940000
2010-03-09,36.940000
2010-03-10,37.170000
2010-03-11,37.250000
2010-03-12,37.490000
2010-03-15,37.150000
2010-03-16,37.120000
2010-03-17,37.600000
2010-03-18,37.660000
2010-03-19,37.620000
2010-03-22,37.910000
2010-03-23,38.810000
2010-03-24,38.460000
2010-03-25,38.540000
2010-03-26,38.800000
2010-03-29,38.980000
2010-03-30,39.190000
2010-03-31,38.880000
2010-04-01,39.240000
2010-04-05,39.390000
2010-04-06,39.330000
2010-04-07,38.300000
2010-04-08,38.590000
2010-04-09,38.980000
2010-04-12,38.820000
2010-04-13,38.860000
2010-04-14,39.160000
2010-04-15,39.480000
2010-04-16,38.970000
2010-04-19,38.900000
2010-04-20,39.920000
2010-04-21,40.230000
2010-04-22,41.600000
2010-04-23,42.770000
2010-04-26,43.850000
2010-04-27,42.430000
2010-04-28,41.590000
2010-04-29,43.160000
2010-04-30,41.700000
2010-05-03,42.420000
2010-05-04,40.600000
2010-05-05,39.600000
2010-05-06,38.030000
2010-05-07,36.680000
2010-05-10,39.210000
2010-05-11,38.880000
2010-05-12,40.080000
2010-05-13,38.900000
2010-05-14,37.570000
2010-05-17,38.120000
2010-05-18,37.420000
2010-05-19,37.020000
2010-05-20,35.120000
2010-05-21,35.610000
2010-05-24,35.360000
2010-05-25,35.220000
2010-05-26,34.960000
2010-05-27,36.780000
2010-05-28,36.230000
2010-06-01,35.670000
2010-06-02,37.040000
2010-06-03,37.170000
2010-06-04,35.295000
2010-06-07,34.560000
2010-06-08,34.960000
2010-06-09,34.710000
2010-06-10,36.330000
2010-06-11,36.310000
2010-06-14,36.370000
2010-06-15,37.430000
2010-06-16,36.750000
2010-06-17,36.000000
2010-06-18,35.410000
2010-06-21,34.740000
2010-06-22,33.190000
2010-06-23,33.310000
2010-06-24,32.350000
2010-06-25,32.580000
2010-06-28,32.100000
2010-06-29,30.140000
2010-06-30,30.240000
2010-07-01,31.310000
2010-07-02,30.620000
2010-07-06,30.490000
2010-07-07,31.560000
2010-07-08,31.580000
2010-07-09,32.120000
2010-07-12,31.670000
2010-07-13,32.820000
2010-07-14,32.750000
2010-07-15,32.800000
2010-07-16,31.410000
2010-07-19,31.400000
2010-07-20,31.710000
2010-07-21,31.430000
2010-07-22,33.670000
2010-07-23,34.190000
2010-07-26,35.150000
2010-07-27,34.520000
2010-07-28,34.630000
2010-07-29,34.400000
2010-07-30,34.680000
2010-08-02,35.520000
2010-08-03,35.390000
2010-08-04,35.980000
2010-08-05,35.840000
2010-08-06,35.630000
2010-08-09,35.160000
2010-08-10,34.320000
2010-08-11,32.880000
2010-08-12,32.620000
2010-08-13,32.510000
2010-08-16,32.470000
2010-08-17,33.110000
2010-08-18,33.040000
2010-08-19,32.160000
2010-08-20,31.790000
2010-08-23,31.520000
2010-08-24,30.440000
2010-08-25,30.650000
2010-08-26,30.560000
2010-08-27,31.460000
2010-08-30,30.840000
2010-08-31,31.180000
2010-09-01,32.900000
2010-09-02,33.810000
2010-09-03,34.670000
2010-09-07,33.870000
2010-09-08,34.570000
2010-09-09,35.180000
2010-09-10,35.280000
2010-09-13,35.830000
2010-09-14,35.890000
2010-09-15,35.600000
2010-09-16,35.520000
2010-09-17,35.920000
2010-09-20,37.060000
2010-09-21,37.570000
2010-09-22,37.050000
2010-09-23,36.750000
2010-09-24,37.790000
2010-09-27,38.020000
2010-09-28,38.340000
2010-09-29,38.780000
2010-09-30,38.185000
2010-10-01,38.390000
2010-10-04,38.090000
2010-10-05,39.860000
2010-10-06,39.950000
2010-10-07,40.120000
2010-10-08,40.280000
2010-10-11,40.110000
2010-10-12,40.180000
2010-10-13,40.190000
2010-10-14,39.650000
2010-10-15,39.330000
2010-10-18,39.690000
2010-10-19,39.230000
2010-10-20,39.710000
2010-10-21,39.930000
2010-10-22,40.140000
2010-10-25,40.500000
2010-10-26,43.080000
2010-10-27,42.470000
2010-10-28,43.070000
2010-10-29,43.170000
2010-11-01,43.260000
2010-11-02,43.340000
2010-11-03,43.570000
2010-11-04,44.560000
2010-11-05,44.700000
2010-11-08,43.950000
2010-11-09,43.370000
2010-11-10,43.500000
2010-11-11,42.820000
2010-11-12,42.540000
2010-11-15,42.120000
2010-11-16,41.320000
2010-11-17,41.610000
2010-11-18,42.090000
2010-11-19,41.920000
2010-11-22,42.100000
2010-11-23,40.940000
2010-11-24,42.490000
2010-11-26,41.760000
2010-11-29,41.140000
2010-11-30,41.310000
2010-12-01,42.570000
2010-12-02,43.220000
2010-12-03,43.290000
2010-12-06,42.990000
2010-12-07,43.000000
2010-12-08,43.550000
2010-12-09,43.740000
2010-12-10,43.970000
2010-12-13,43.380000
2010-12-14,42.800000
2010-12-15,42.150000
2010-12-16,42.540000
2010-12-17,42.510000
2010-12-20,43.250000
2010-12-21,45.180000
2010-12-22,46.590000
2010-12-23,46.300000
2010-12-27,45.960000
2010-12-28,45.980000
2010-12-29,46.120000
2010-12-30,45.920000
2010-12-31,46.110000
2011-01-04,47.090000
2011-01-05,47.550000
2011-01-06,47.270000
2011-01-07,47.140000
2011-01-10,46.370000
2011-01-11,46.290000
2011-01-12,47.310000
2011-01-13,47.020000
2011-01-14,47.850000
2011-01-18,47.090000
2011-01-19,46.260000
2011-01-20,46.030000
2011-01-21,46.120000
2011-01-24,46.210000
2011-01-25,46.220000
2011-01-26,47.290000
2011-01-27,46.260000
2011-01-28,44.610000
2011-01-31,44.710000
2011-02-01,45.760000
2011-02-02,45.700000
2011-02-03,45.550000
2011-02-04,45.790000
2011-02-07,46.410000
2011-02-08,46.830000
2011-02-09,46.950000
2011-02-10,47.090000
2011-02-11,47.630000
2011-02-14,46.850000
2011-02-15,46.850000
2011-02-16,46.950000
2011-02-17,45.960000
2011-02-18,45.700000
2011-02-22,42.090000
2011-02-23,42.040000
2011-02-24,41.910000
2011-02-25,42.780000
2011-02-28,42.670000
2011-03-01,40.080000
2011-03-02,40.600000
2011-03-03,41.090000
2011-03-04,40.360000
2011-03-07,39.930000
