d,c
2009-01-02,10.726000
2009-01-05,11.320000
2009-01-06,11.054000
2009-01-07,10.656000
2009-01-08,10.934000
2009-01-09,10.782000
2009-01-12,9.386000
2009-01-13,9.536000
2009-01-14,8.850000
2009-01-15,9.446000
2009-01-16,9.704000
2009-01-20,9.148000
2009-01-21,9.128000
2009-01-22,8.910000
2009-01-23,9.356000
2009-01-26,9.442000
2009-01-27,9.262000
2009-01-28,9.828000
2009-01-29,9.656000
2009-01-30,9.400000
2009-02-02,9.516000
2009-02-03,9.758000
2009-02-04,10.178000
2009-02-05,10.488000
2009-02-06,10.926000
2009-02-09,10.688000
2009-02-10,10.720000
2009-02-11,10.442000
2009-02-12,11.010000
2009-02-13,10.936000
2009-02-17,10.164000
2009-02-18,10.536000
2009-02-19,10.908000
2009-02-20,11.144000
2009-02-23,10.000000
2009-02-24,11.116000
2009-02-25,12.354000
2009-02-26,12.550000
2009-02-27,12.866000
2009-03-02,11.738000
2009-03-03,12.256000
2009-03-04,12.548000
2009-03-05,12.178000
2009-03-06,12.118000
2009-03-09,12.312000
2009-03-10,12.850000
2009-03-11,13.632000
2009-03-12,13.476000
2009-03-13,13.722000
2009-03-16,13.740000
2009-03-17,13.804000
2009-03-18,13.834000
2009-03-19,13.884000
2009-03-20,13.536000
2009-03-23,14.238000
2009-03-24,14.460000
2009-03-25,14.644000
2009-03-26,14.800000
2009-03-27,14.660000
2009-03-30,14.078000
2009-03-31,14.226000
2009-04-01,14.496000
2009-04-02,14.534000
2009-04-03,14.908000
2009-04-06,14.542000
2009-04-07,14.060000
2009-04-08,14.260000
2009-04-09,14.606000
2009-04-13,14.594000
2009-04-14,14.742000
2009-04-15,14.898000
2009-04-16,14.664000
2009-04-17,13.990000
2009-04-20,13.478000
2009-04-21,13.424000
2009-04-22,13.240000
2009-04-23,13.382000
2009-04-24,14.218000
2009-04-27,13.966000
2009-04-28,13.936000
2009-04-29,14.472000
2009-04-30,14.410000
2009-05-01,14.972000
2009-05-04,15.070000
2009-05-05,15.044000
2009-05-06,14.782000
2009-05-07,14.444000
2009-05-08,14.762000
2009-05-11,15.184000
2009-05-12,15.460000
2009-05-13,15.426000
2009-05-14,15.536000
2009-05-15,15.950000
2009-05-18,16.468000
2009-05-19,16.312000
2009-05-20,16.280000
2009-05-21,15.984000
2009-05-22,16.152000
2009-05-26,16.612000
2009-05-27,15.844000
2009-05-28,15.678000
2009-05-29,15.528000
2009-06-01,16.062000
2009-06-02,15.982000
2009-06-03,15.572000
2009-06-04,15.892000
2009-06-05,15.670000
2009-06-08,15.698000
2009-06-09,16.034000
2009-06-10,16.066000
2009-06-11,16.568000
2009-06-12,16.500000
2009-06-15,16.002000
2009-06-16,15.740000
2009-06-17,14.896000
2009-06-18,14.866000
2009-06-19,14.998000
2009-06-22,13.864000
2009-06-23,14.576000
2009-06-24,14.792000
2009-06-25,15.200000
2009-06-26,15.238000
2009-06-29,15.130000
2009-06-30,14.828000
2009-07-01,14.802000
2009-07-02,14.858000
2009-07-06,14.682000
2009-07-07,14.340000
2009-07-08,14.146000
2009-07-09,14.386000
2009-07-10,13.924000
2009-07-13,14.138000
2009-07-14,13.946000
2009-07-15,14.244000
2009-07-16,14.654000
2009-07-17,14.596000
2009-07-20,14.732000
2009-07-21,14.780000
2009-07-22,14.746000
2009-07-23,15.358000
2009-07-24,15.614000
2009-07-27,15.762000
2009-07-28,15.870000
2009-07-29,15.580000
2009-07-30,15.814000
2009-07-31,15.788000
2009-08-03,16.310000
2009-08-04,16.002000
2009-08-05,16.548000
2009-08-06,16.628000
2009-08-07,16.672000
2009-08-10,16.406000
2009-08-11,16.310000
2009-08-12,16.486000
2009-08-13,16.630000
2009-08-14,16.574000
