d,c
2009-01-02,56.370000
2009-01-05,56.230000
2009-01-06,55.530000
2009-01-07,54.620000
2009-01-08,54.440000
2009-01-09,52.900000
2009-01-12,52.670000
2009-01-13,52.530000
2009-01-14,51.410000
2009-01-15,50.930000
2009-01-16,51.360000
2009-01-20,50.300000
2009-01-21,51.030000
2009-01-22,51.520000
2009-01-23,49.570000
2009-01-26,48.510000
2009-01-27,48.910000
2009-01-28,49.830000
2009-01-29,50.450000
2009-01-30,50.150000
2009-02-02,50.430000
2009-02-03,51.820000
2009-02-04,52.700000
2009-02-05,53.130000
2009-02-06,54.070000
2009-02-09,53.820000
2009-02-10,51.940000
2009-02-11,52.430000
2009-02-12,52.010000
2009-02-13,51.980000
2009-02-17,49.870000
2009-02-18,49.990000
2009-02-19,50.270000
2009-02-20,49.710000
2009-02-23,48.470000
2009-02-24,49.410000
2009-02-25,49.150000
2009-02-26,48.220000
2009-02-27,48.600000
2009-03-02,47.340000
2009-03-03,47.200000
2009-03-04,47.510000
2009-03-05,46.040000
2009-03-06,46.780000
2009-03-09,45.900000
2009-03-10,47.790000
2009-03-11,48.140000
2009-03-12,49.580000
2009-03-13,50.450000
2009-03-16,50.760000
2009-03-17,51.420000
2009-03-18,51.620000
2009-03-19,49.720000
2009-03-20,49.450000
2009-03-23,51.380000
2009-03-24,50.980000
2009-03-25,51.230000
2009-03-26,52.100000
2009-03-27,51.700000
2009-03-30,50.970000
2009-03-31,51.480000
2009-04-01,51.870000
2009-04-02,53.410000
2009-04-03,53.310000
2009-04-06,53.420000
2009-04-07,52.380000
2009-04-08,53.850000
2009-04-09,54.080000
2009-04-13,53.140000
2009-04-14,52.950000
2009-04-15,53.810000
2009-04-16,55.180000
2009-04-17,55.900000
2009-04-20,55.600000
2009-04-21,55.820000
2009-04-22,55.960000
2009-04-23,55.680000
2009-04-24,56.030000
2009-04-27,55.730000
2009-04-28,55.660000
2009-04-29,55.950000
2009-04-30,56.050000
2009-05-01,55.300000
2009-05-04,54.220000
2009-05-05,53.940000
2009-05-06,53.340000
2009-05-07,52.740000
2009-05-08,52.420000
2009-05-11,52.150000
2009-05-12,52.000000
2009-05-13,51.400000
2009-05-14,50.440000
2009-05-15,51.110000
2009-05-18,52.080000
2009-05-19,52.370000
2009-05-20,52.430000
2009-05-21,51.490000
2009-05-22,51.110000
2009-05-26,52.030000
2009-05-27,51.320000
2009-05-28,51.590000
2009-05-29,52.440000
2009-06-01,52.580000
2009-06-02,53.380000
2009-06-03,53.070000
2009-06-04,52.840000
2009-06-05,52.940000
2009-06-08,53.770000
2009-06-09,53.670000
2009-06-10,53.490000
2009-06-11,53.650000
2009-06-12,56.390000
2009-06-15,55.980000
2009-06-16,55.560000
2009-06-17,56.320000
2009-06-18,56.680000
2009-06-19,56.070000
2009-06-22,55.960000
2009-06-23,55.290000
2009-06-24,55.460000
2009-06-25,56.330000
2009-06-26,55.910000
2009-06-29,56.530000
2009-06-30,55.830000
2009-07-01,56.590000
2009-07-02,55.970000
2009-07-06,56.810000
2009-07-07,56.330000
2009-07-08,56.410000
2009-07-09,56.370000
2009-07-10,56.300000
2009-07-13,57.370000
2009-07-14,57.410000
2009-07-15,57.770000
2009-07-16,57.830000
2009-07-17,58.090000
2009-07-20,58.610000
2009-07-21,58.740000
2009-07-22,59.300000
2009-07-23,59.770000
2009-07-24,59.660000
2009-07-27,59.530000
2009-07-28,60.100000
2009-07-29,60.260000
2009-07-30,60.790000
2009-07-31,61.010000
2009-08-03,59.000000
2009-08-04,58.750000
2009-08-05,58.040000
2009-08-06,57.030000
2009-08-07,57.880000
2009-08-10,57.540000
2009-08-11,57.630000
2009-08-12,58.000000
2009-08-13,58.040000
2009-08-14,57.680000
2009-08-17,57.220000
2009-08-18,57.200000
2009-08-19,57.740000
2009-08-20,58.180000
2009-08-21,58.690000
2009-08-24,58.490000
2009-08-25,58.980000
2009-08-26,59.260000
2009-08-27,59.080000
2009-08-28,58.820000
2009-08-31,59.090000
2009-09-01,58.380000
2009-09-02,58.160000
2009-09-03,58.170000
2009-09-04,58.590000
2009-09-08,58.880000
2009-09-09,58.350000
2009-09-10,58.790000
2009-09-11,57.660000
