d,c
2009-01-02,29.240000
2009-01-05,30.020000
2009-01-06,31.610000
2009-01-07,27.940000
2009-01-08,29.580000
2009-01-09,28.330000
2009-01-12,26.180000
2009-01-13,26.420000
2009-01-14,24.520000
2009-01-15,26.100000
2009-01-16,26.320000
2009-01-20,24.050000
2009-01-21,26.140000
2009-01-22,25.350000
2009-01-23,25.560000
2009-01-26,24.670000
2009-01-27,24.690000
2009-01-28,26.530000
2009-01-29,25.160000
2009-01-30,23.980000
2009-02-02,24.300000
2009-02-03,24.490000
2009-02-04,25.520000
2009-02-05,26.480000
2009-02-06,28.250000
2009-02-09,27.450000
2009-02-10,25.550000
2009-02-11,25.890000
2009-02-12,24.920000
2009-02-13,24.620000
2009-02-17,22.170000
2009-02-18,22.230000
2009-02-19,21.340000
2009-02-20,21.340000
2009-02-23,20.400000
2009-02-24,21.950000
2009-02-25,20.510000
2009-02-26,20.630000
2009-02-27,20.800000
2009-03-02,18.450000
2009-03-03,19.800000
2009-03-04,21.940000
2009-03-05,19.480000
2009-03-06,19.340000
2009-03-09,19.610000
2009-03-10,21.370000
2009-03-11,22.260000
2009-03-12,22.900000
2009-03-13,22.520000
2009-03-16,22.510000
2009-03-17,23.280000
2009-03-18,24.480000
2009-03-19,24.250000
2009-03-20,23.480000
2009-03-23,27.280000
2009-03-24,26.350000
2009-03-25,25.850000
2009-03-26,26.930000
2009-03-27,26.240000
2009-03-30,24.530000
2009-03-31,25.450000
2009-04-01,26.350000
2009-04-02,28.920000
2009-04-03,29.700000
2009-04-06,29.390000
2009-04-07,27.110000
2009-04-08,26.690000
2009-04-09,30.020000
2009-04-13,30.160000
2009-04-14,28.810000
2009-04-15,28.650000
2009-04-16,30.040000
2009-04-17,29.790000
2009-04-20,27.240000
2009-04-21,28.030000
2009-04-22,29.810000
2009-04-23,31.500000
2009-04-24,33.380000
2009-04-27,31.870000
2009-04-28,31.250000
2009-04-29,33.490000
2009-04-30,34.000000
2009-05-01,34.000000
2009-05-04,34.140000
2009-05-05,34.000000
2009-05-06,33.890000
2009-05-07,30.550000
2009-05-08,34.020000
2009-05-11,32.520000
2009-05-12,31.560000
2009-05-13,29.410000
2009-05-14,30.000000
2009-05-15,29.550000
2009-05-18,31.510000
2009-05-19,32.720000
2009-05-20,32.850000
2009-05-21,32.210000
2009-05-22,32.060000
2009-05-26,33.470000
2009-05-27,32.730000
2009-05-28,32.430000
2009-05-29,32.430000
2009-06-01,35.740000
2009-06-02,36.450000
2009-06-03,35.120000
2009-06-04,36.230000
2009-06-05,36.240000
2009-06-08,35.940000
2009-06-09,35.990000
2009-06-10,35.810000
2009-06-11,36.260000
2009-06-12,35.490000
2009-06-15,34.020000
2009-06-16,33.560000
2009-06-17,32.620000
2009-06-18,32.000000
2009-06-19,32.240000
2009-06-22,30.590000
2009-06-23,31.460000
2009-06-24,32.490000
2009-06-25,34.260000
2009-06-26,34.900000
2009-06-29,36.090000
2009-06-30,35.210000
2009-07-01,35.950000
2009-07-02,34.250000
2009-07-06,34.210000
2009-07-07,32.250000
2009-07-08,32.080000
2009-07-09,32.550000
2009-07-10,32.140000
2009-07-13,33.180000
2009-07-14,32.680000
2009-07-15,35.220000
2009-07-16,36.170000
2009-07-17,36.420000
2009-07-20,38.490000
2009-07-21,39.770000
2009-07-22,39.530000
2009-07-23,41.240000
2009-07-24,41.630000
2009-07-27,41.130000
2009-07-28,40.290000
2009-07-29,39.730000
2009-07-30,41.310000
2009-07-31,43.010000
2009-08-03,44.570000
2009-08-04,44.840000
2009-08-05,44.920000
2009-08-06,45.050000
2009-08-07,47.140000
2009-08-10,47.320000
2009-08-11,45.020000
2009-08-12,46.420000
2009-08-13,48.490000
2009-08-14,46.830000
2009-08-17,44.120000
2009-08-18,44.920000
2009-08-19,44.480000
2009-08-20,45.420000
2009-08-21,47.030000
2009-08-24,46.740000
2009-08-25,48.000000
2009-08-26,46.120000
2009-08-27,45.800000
2009-08-28,45.580000
2009-08-31,45.320000
2009-09-01,44.080000
2009-09-02,44.490000
2009-09-03,46.000000
2009-09-04,46.870000
2009-09-08,46.550000
2009-09-09,47.200000
2009-09-10,46.910000
2009-09-11,47.480000
2009-09-14,47.460000
2009-09-15,47.640000
2009-09-16,47.870000
2009-09-17,46.850000
2009-09-18,46.060000
2009-09-21,44.800000
2009-09-22,45.650000
2009-09-23,45.000000
2009-09-24,43.940000
2009-09-25,44.110000
2009-09-28,44.530000
2009-09-29,44.480000
2009-09-30,44.810000
2009-10-01,43.070000
2009-10-02,42.540000
2009-10-05,44.080000
2009-10-06,44.870000
2009-10-07,45.360000
2009-10-08,47.140000
2009-10-09,47.320000
2009-10-12,47.720000
2009-10-13,47.230000
2009-10-14,48.990000
2009-10-15,49.260000
2009-10-16,48.720000
2009-10-19,50.550000
2009-10-20,50.500000
2009-10-21,50.070000
2009-10-22,50.010000
2009-10-23,48.590000
2009-10-26,48.410000
2009-10-27,46.520000
2009-10-28,44.700000
2009-10-29,45.920000
2009-10-30,43.060000
2009-11-02,44.100000
2009-11-03,44.770000
2009-11-04,45.300000
2009-11-05,47.070000
2009-11-06,46.180000
2009-11-09,47.010000
2009-11-10,46.940000
2009-11-11,47.390000
2009-11-12,46.610000
2009-11-13,46.970000
2009-11-16,48.840000
2009-11-17,48.510000
2009-11-18,48.140000
2009-11-19,47.180000
2009-11-20,46.500000
2009-11-23,46.790000
2009-11-24,46.080000
2009-11-25,46.340000
2009-11-27,45.340000
2009-11-30,44.900000
2009-12-01,47.160000
2009-12-02,43.420000
2009-12-03,43.050000
2009-12-04,43.700000
2009-12-07,45.080000
2009-12-08,44.960000
2009-12-09,45.740000
2009-12-10,46.350000
2009-12-11,45.590000
2009-12-14,46.560000
2009-12-15,46.110000
2009-12-16,46.770000
2009-12-17,46.500000
2009-12-18,47.110000
2009-12-21,47.190000
2009-12-22,46.760000
2009-12-23,47.350000
2009-12-24,47.530000
2009-12-28,47.410000
2009-12-29,46.840000
2009-12-30,46.390000
2009-12-31,45.860000
2010-01-04,46.940000
2010-01-05,48.050000
2010-01-06,48.490000
2010-01-07,50.950000
2010-01-08,53.670000
