d,c
2024-03-21,305.800000
2024-03-22,303.260000
2024-03-25,307.660000
2024-03-26,304.180000
2024-03-27,305.520000
2024-03-28,308.540000
2024-04-01,305.900000
2024-04-02,310.370000
2024-04-03,316.140000
2024-04-04,304.830000
2024-04-05,306.200000
2024-04-08,306.860000
2024-04-09,304.590000
2024-04-10,303.790000
2024-04-11,305.720000
2024-04-12,299.910000
2024-04-15,296.290000
2024-04-16,298.730000
2024-04-17,296.270000
2024-04-18,295.640000
2024-04-19,294.290000
2024-04-22,300.900000
2024-04-23,306.610000
2024-04-24,307.420000
2024-04-25,302.080000
2024-04-26,303.800000
2024-04-29,305.090000
2024-04-30,302.140000
2024-05-01,296.250000
2024-05-02,298.940000
2024-05-03,299.290000
2024-05-06,302.600000
2024-05-07,304.720000
2024-05-08,304.500000
2024-05-09,283.220000
2024-05-10,283.440000
2024-05-13,287.510000
2024-05-14,283.300000
2024-05-15,279.060000
2024-05-16,282.860000
2024-05-17,279.530000
2024-05-20,278.940000
2024-05-21,273.110000
2024-05-22,272.770000
2024-05-23,269.950000
2024-05-24,267.930000
2024-05-28,263.160000
2024-05-29,264.010000
2024-05-30,266.430000
2024-05-31,267.670000
2024-06-03,258.350000
2024-06-04,257.920000
2024-06-05,258.420000
2024-06-06,261.500000
2024-06-07,259.010000
2024-06-10,259.190000
2024-06-11,256.620000
2024-06-12,253.670000
2024-06-13,252.000000
2024-06-14,249.660000
2024-06-17,252.100000
2024-06-18,252.450000
2024-06-20,262.450000
2024-06-21,267.150000
2024-06-24,269.670000
2024-06-25,270.320000
2024-06-26,270.340000
2024-06-27,269.240000
2024-06-28,266.410000
2024-07-01,266.260000
2024-07-02,268.260000
2024-07-03,267.390000
2024-07-05,270.480000
2024-07-08,271.560000
2024-07-09,269.470000
2024-07-10,273.220000
2024-07-11,280.420000
2024-07-12,286.520000
2024-07-15,289.630000
2024-07-16,293.610000
2024-07-17,297.520000
2024-07-18,293.970000
2024-07-19,291.230000
2024-07-22,290.350000
2024-07-23,289.380000
2024-07-24,285.980000
2024-07-25,285.560000
2024-07-26,292.170000
2024-07-29,293.590000
2024-07-30,297.640000
2024-07-31,291.820000
2024-08-01,284.900000
2024-08-02,274.900000
2024-08-05,265.910000
2024-08-06,270.970000
2024-08-07,270.280000
2024-08-08,286.330000
2024-08-09,284.040000
2024-08-12,278.250000
2024-08-13,284.130000
2024-08-14,288.000000
2024-08-15,292.750000
2024-08-16,293.090000
2024-08-19,294.820000
2024-08-20,289.140000
2024-08-21,294.310000
2024-08-22,297.180000
2024-08-23,297.960000
2024-08-26,300.890000
2024-08-27,303.570000
2024-08-28,303.800000
2024-08-29,311.020000
2024-08-30,315.550000
2024-09-03,314.370000
2024-09-04,311.990000
2024-09-05,304.790000
2024-09-06,302.970000
2024-09-09,307.400000
2024-09-10,309.410000
2024-09-11,306.770000
2024-09-12,305.810000
2024-09-13,307.430000
2024-09-16,307.630000
2024-09-17,306.880000
2024-09-18,307.710000
2024-09-19,312.780000
2024-09-20,307.210000
2024-09-23,311.860000
2024-09-24,308.670000
2024-09-25,304.720000
2024-09-26,306.570000
2024-09-27,311.240000
2024-09-30,312.760000
2024-10-01,314.850000
2024-10-02,316.650000
2024-10-03,318.950000
2024-10-04,331.000000
2024-10-07,333.020000
2024-10-08,337.060000
2024-10-09,334.100000
2024-10-10,335.870000
2024-10-11,339.320000
2024-10-14,338.870000
2024-10-15,342.540000
2024-10-16,344.920000
2024-10-17,350.410000
2024-10-18,353.510000
2024-10-21,348.790000
2024-10-22,348.970000
2024-10-23,354.380000
2024-10-24,343.890000
2024-10-25,340.720000
2024-10-28,338.920000
2024-10-29,332.020000
2024-10-30,331.880000
2024-10-31,329.720000
2024-11-01,329.810000
2024-11-04,329.670000
2024-11-05,330.810000
2024-11-06,348.970000
2024-11-07,346.500000
2024-11-08,366.010000
2024-11-11,373.150000
2024-11-12,374.480000
2024-11-13,370.770000
2024-11-14,370.280000
2024-11-15,363.360000
2024-11-18,364.570000
2024-11-19,368.190000
2024-11-20,369.240000
2024-11-21,375.460000
2024-11-22,379.870000
2024-11-25,381.540000
2024-11-26,382.140000
2024-11-27,380.620000
2024-11-29,381.180000
2024-12-02,382.990000
2024-12-03,374.580000
2024-12-04,371.000000
2024-12-05,367.580000
2024-12-06,365.760000
2024-12-09,361.720000
2024-12-10,357.240000
2024-12-11,365.000000
2024-12-12,361.550000
2024-12-13,357.070000
2024-12-16,357.720000
