d,c
2015-02-05,26.720000
2015-02-06,26.290000
2015-02-09,26.600000
2015-02-10,27.130000
2015-02-11,27.180000
2015-02-12,28.110000
2015-02-13,28.020000
2015-02-17,28.010000
2015-02-18,28.470000
2015-02-19,28.200000
2015-02-20,28.460000
2015-02-23,28.320000
2015-02-24,28.360000
2015-02-25,28.340000
2015-02-26,28.170000
2015-02-27,28.310000
2015-03-02,28.200000
2015-03-03,27.500000
2015-03-04,27.490000
2015-03-05,27.580000
2015-03-06,27.020000
2015-03-09,26.220000
2015-03-10,25.770000
2015-03-11,26.130000
2015-03-12,27.050000
2015-03-13,26.910000
2015-03-16,25.820000
2015-03-17,25.210000
2015-03-18,26.670000
2015-03-19,25.990000
2015-03-20,27.580000
2015-03-23,27.670000
2015-03-24,27.200000
2015-03-25,27.150000
2015-03-26,26.840000
2015-03-27,26.800000
2015-03-30,26.650000
2015-03-31,26.190000
2015-04-01,26.180000
2015-04-02,26.240000
2015-04-06,26.610000
2015-04-07,26.400000
2015-04-08,26.290000
2015-04-09,26.830000
2015-04-10,26.460000
2015-04-13,26.280000
2015-04-14,26.810000
2015-04-15,27.510000
2015-04-16,27.770000
2015-04-17,27.430000
2015-04-20,27.590000
2015-04-21,28.010000
2015-04-22,27.900000
2015-04-23,27.990000
2015-04-24,28.810000
2015-04-27,28.780000
2015-04-28,28.960000
2015-04-29,28.290000
2015-04-30,27.950000
2015-05-01,28.180000
2015-05-04,28.190000
2015-05-05,28.100000
2015-05-06,28.300000
2015-05-07,28.160000
2015-05-08,29.090000
2015-05-11,28.780000
2015-05-12,28.450000
2015-05-13,28.430000
2015-05-14,28.760000
2015-05-15,28.760000
2015-05-18,28.570000
2015-05-19,28.690000
2015-05-20,28.720000
2015-05-21,28.930000
2015-05-22,28.290000
2015-05-26,27.280000
2015-05-27,28.180000
2015-05-28,28.220000
2015-05-29,28.040000
2015-06-01,27.550000
2015-06-02,27.590000
2015-06-03,28.200000
2015-06-04,27.750000
2015-06-05,27.640000
2015-06-08,27.840000
2015-06-09,27.550000
2015-06-10,28.490000
2015-06-11,29.170000
2015-06-12,28.580000
2015-06-15,28.500000
2015-06-16,28.520000
2015-06-17,28.890000
2015-06-18,29.260000
2015-06-19,29.430000
2015-06-22,30.090000
2015-06-23,30.170000
2015-06-24,29.660000
2015-06-25,29.480000
2015-06-26,29.210000
2015-06-29,28.180000
2015-06-30,28.110000
2015-07-01,28.350000
2015-07-02,28.400000
2015-07-06,27.780000
2015-07-07,27.550000
2015-07-08,26.810000
2015-07-09,27.330000
2015-07-10,28.600000
2015-07-13,28.810000
2015-07-14,28.920000
2015-07-15,28.840000
2015-07-16,29.220000
2015-07-17,29.120000
2015-07-20,29.190000
2015-07-21,29.010000
2015-07-22,29.310000
2015-07-23,29.230000
2015-07-24,28.970000
2015-07-27,28.360000
2015-07-28,29.090000
2015-07-29,29.520000
2015-07-30,29.330000
