d,c
2009-01-02,26.890000
2009-01-05,26.440000
2009-01-06,26.000000
2009-01-07,24.820000
2009-01-08,24.070000
2009-01-09,23.620000
2009-01-12,23.680000
2009-01-13,24.540000
2009-01-14,25.640000
2009-01-15,26.520000
2009-01-16,26.380000
2009-01-20,25.510000
2009-01-21,26.580000
2009-01-22,25.990000
2009-01-23,25.100000
2009-01-26,24.700000
2009-01-27,26.220000
2009-01-28,26.620000
2009-01-29,26.400000
2009-01-30,24.410000
2009-02-02,25.000000
2009-02-03,25.560000
2009-02-04,26.170000
2009-02-05,26.690000
2009-02-06,26.920000
2009-02-09,26.420000
2009-02-10,27.560000
2009-02-11,27.190000
2009-02-12,27.500000
2009-02-13,27.850000
2009-02-17,27.410000
2009-02-18,26.860000
2009-02-19,26.530000
2009-02-20,26.300000
2009-02-23,25.640000
2009-02-24,26.170000
2009-02-25,25.440000
2009-02-26,24.260000
2009-02-27,24.800000
2009-03-02,23.360000
2009-03-03,23.150000
2009-03-04,25.050000
2009-03-05,24.870000
2009-03-06,25.120000
2009-03-09,24.280000
2009-03-10,25.890000
2009-03-11,25.840000
2009-03-12,27.050000
2009-03-13,28.430000
2009-03-16,27.650000
2009-03-17,27.320000
2009-03-18,27.900000
2009-03-19,27.510000
2009-03-20,27.410000
2009-03-23,28.900000
2009-03-24,28.650000
2009-03-25,28.930000
2009-03-26,29.040000
2009-03-27,28.220000
2009-03-30,27.160000
2009-03-31,27.210000
2009-04-01,27.260000
2009-04-02,27.720000
2009-04-03,27.500000
2009-04-06,28.450000
2009-04-07,28.030000
2009-04-08,28.700000
2009-04-09,29.210000
2009-04-13,28.870000
2009-04-14,28.690000
2009-04-15,28.960000
2009-04-16,29.220000
2009-04-17,29.590000
2009-04-20,27.020000
2009-04-21,26.500000
2009-04-22,25.010000
2009-04-23,25.380000
2009-04-24,25.680000
2009-04-27,25.610000
2009-04-28,26.270000
2009-04-29,27.000000
2009-04-30,27.650000
2009-05-01,27.340000
2009-05-04,28.030000
2009-05-05,27.830000
2009-05-06,28.130000
2009-05-07,27.690000
2009-05-08,28.290000
2009-05-11,27.850000
2009-05-12,28.250000
2009-05-13,27.590000
2009-05-14,28.230000
2009-05-15,28.010000
2009-05-18,28.730000
2009-05-19,29.200000
2009-05-20,29.780000
2009-05-21,29.460000
2009-05-22,29.740000
2009-05-26,30.370000
2009-05-27,30.120000
2009-05-28,30.870000
2009-05-29,31.430000
2009-06-01,31.400000
2009-06-02,31.780000
2009-06-03,31.410000
2009-06-04,31.690000
2009-06-05,31.710000
2009-06-08,31.040000
2009-06-09,31.110000
2009-06-10,30.930000
2009-06-11,31.000000
2009-06-12,31.250000
2009-06-15,30.650000
2009-06-16,30.090000
2009-06-17,30.560000
2009-06-18,31.500000
2009-06-19,32.260000
2009-06-22,32.190000
2009-06-23,31.760000
2009-06-24,32.180000
2009-06-25,32.910000
2009-06-26,33.200000
2009-06-29,33.030000
2009-06-30,33.750000
2009-07-01,33.570000
2009-07-02,32.890000
2009-07-06,32.060000
2009-07-07,31.630000
2009-07-08,31.070000
2009-07-09,31.000000
2009-07-10,31.000000
2009-07-13,31.010000
2009-07-14,31.580000
2009-07-15,31.710000
2009-07-16,31.740000
2009-07-17,31.270000
2009-07-20,31.620000
2009-07-21,32.120000
2009-07-22,30.370000
2009-07-23,30.940000
2009-07-24,31.330000
2009-07-27,31.250000
2009-07-28,32.170000
2009-07-29,31.720000
2009-07-30,33.290000
2009-07-31,33.070000
2009-08-03,33.530000
2009-08-04,34.550000
2009-08-05,31.340000
2009-08-06,31.680000
2009-08-07,32.260000
2009-08-10,32.710000
2009-08-11,32.520000
2009-08-12,33.590000
2009-08-13,34.460000
2009-08-14,33.930000
2009-08-17,33.170000
2009-08-18,33.180000
2009-08-19,34.130000
2009-08-20,34.730000
2009-08-21,35.390000
2009-08-24,35.110000
2009-08-25,34.950000
2009-08-26,35.120000
2009-08-27,35.090000
2009-08-28,34.790000
2009-08-31,34.490000
2009-09-01,34.000000
2009-09-02,34.050000
2009-09-03,33.990000
2009-09-04,34.740000
2009-09-08,35.050000
2009-09-09,35.800000
2009-09-10,36.700000
2009-09-11,36.880000
2009-09-14,37.140000
2009-09-15,36.160000
2009-09-16,37.320000
2009-09-17,37.120000
2009-09-18,36.640000
2009-09-21,36.150000
2009-09-22,36.600000
2009-09-23,36.460000
2009-09-24,36.040000
2009-09-25,36.300000
2009-09-28,36.560000
2009-09-29,37.090000
2009-09-30,36.980000
2009-10-01,36.400000
2009-10-02,35.830000
2009-10-05,36.840000
2009-10-06,38.000000
2009-10-07,38.330000
2009-10-08,39.230000
2009-10-09,39.000000
2009-10-12,38.610000
2009-10-13,38.400000
2009-10-14,38.740000
2009-10-15,38.890000
2009-10-16,38.090000
2009-10-19,38.260000
2009-10-20,37.720000
2009-10-21,38.550000
2009-10-22,40.090000
2009-10-23,38.990000
2009-10-26,38.010000
2009-10-27,37.500000
2009-10-28,36.750000
2009-10-29,37.300000
2009-10-30,36.520000
2009-11-02,36.760000
2009-11-03,37.100000
2009-11-04,34.070000
2009-11-05,34.530000
2009-11-06,34.390000
2009-11-09,33.690000
2009-11-10,33.100000
2009-11-11,32.860000
2009-11-12,32.560000
2009-11-13,32.640000
2009-11-16,32.330000
2009-11-17,32.400000
2009-11-18,32.330000
2009-11-19,32.280000
2009-11-20,32.440000
2009-11-23,32.590000
2009-11-24,32.400000
2009-11-25,32.840000
2009-11-27,32.590000
2009-11-30,32.150000
2009-12-01,32.780000
2009-12-02,33.330000
2009-12-03,33.060000
2009-12-04,32.880000
2009-12-07,32.600000
2009-12-08,31.960000
2009-12-09,31.650000
2009-12-10,31.830000
2009-12-11,31.200000
2009-12-14,32.430000
2009-12-15,32.510000
2009-12-16,32.020000
2009-12-17,31.370000
2009-12-18,31.470000
2009-12-21,32.000000
2009-12-22,32.460000
2009-12-23,32.740000
2009-12-24,32.960000
2009-12-28,33.300000
2009-12-29,33.700000
2009-12-30,33.830000
2009-12-31,33.690000
2010-01-04,33.570000
2010-01-05,33.760000
2010-01-06,33.310000
2010-01-07,34.620000
2010-01-08,34.390000
2010-01-11,34.740000
2010-01-12,36.000000
2010-01-13,38.210000
2010-01-14,37.440000
2010-01-15,37.400000
2010-01-19,37.960000
2010-01-20,37.320000
2010-01-21,37.170000
2010-01-22,36.460000
2010-01-25,36.570000
2010-01-26,36.820000
2010-01-27,37.370000
2010-01-28,36.480000
2010-01-29,36.340000
2010-02-01,36.370000
2010-02-02,37.120000
2010-02-03,36.840000
2010-02-04,35.450000
2010-02-05,35.650000
2010-02-08,35.690000
2010-02-09,36.160000
2010-02-10,35.820000
2010-02-11,36.130000
2010-02-12,36.470000
2010-02-16,36.960000
2010-02-17,37.280000
2010-02-18,37.600000
2010-02-19,37.430000
2010-02-22,37.110000
2010-02-23,36.790000
2010-02-24,37.730000
2010-02-25,37.800000
2010-02-26,37.920000
2010-03-01,38.150000
2010-03-02,38.490000
2010-03-03,39.260000
2010-03-04,38.850000
2010-03-05,39.040000
2010-03-08,38.780000
2010-03-09,37.960000
2010-03-10,37.580000
2010-03-11,38.970000
2010-03-12,38.870000
2010-03-15,38.350000
2010-03-16,38.230000
2010-03-17,38.180000
2010-03-18,38.150000
2010-03-19,38.360000
2010-03-22,38.790000
2010-03-23,39.220000
2010-03-24,39.430000
2010-03-25,39.510000
2010-03-26,39.200000
2010-03-29,39.470000
2010-03-30,39.570000
2010-03-31,39.310000
2010-04-01,40.040000
2010-04-05,40.240000
2010-04-06,40.110000
2010-04-07,39.700000
2010-04-08,39.490000
2010-04-09,41.560000
2010-04-12,40.150000
2010-04-13,40.130000
2010-04-14,40.520000
2010-04-15,40.950000
2010-04-16,40.520000
2010-04-19,40.050000
2010-04-20,40.470000
2010-04-21,40.440000
2010-04-22,39.810000
2010-04-23,39.770000
2010-04-26,33.550000
2010-04-27,33.740000
2010-04-28,34.190000
2010-04-29,34.280000
2010-04-30,33.480000
2010-05-03,33.160000
2010-05-04,32.330000
2010-05-05,32.200000
2010-05-06,31.010000
2010-05-07,30.440000
2010-05-10,31.010000
2010-05-11,31.410000
2010-05-12,32.650000
2010-05-13,32.900000
2010-05-14,31.900000
2010-05-17,32.500000
2010-05-18,32.390000
2010-05-19,32.440000
2010-05-20,31.990000
2010-05-21,32.300000
2010-05-24,31.680000
2010-05-25,31.620000
2010-05-26,31.940000
2010-05-27,33.320000
2010-05-28,33.540000
2010-06-01,33.360000
2010-06-02,33.980000
2010-06-03,34.480000
2010-06-04,32.960000
2010-06-07,32.440000
2010-06-08,33.700000
2010-06-09,35.050000
2010-06-10,35.100000
2010-06-11,35.990000
2010-06-14,35.810000
2010-06-15,36.660000
2010-06-16,35.550000
2010-06-17,36.370000
2010-06-18,36.850000
2010-06-21,36.550000
2010-06-22,35.510000
2010-06-23,35.000000
2010-06-24,34.620000
2010-06-25,35.440000
2010-06-28,35.000000
2010-06-29,33.970000
2010-06-30,34.210000
2010-07-01,33.740000
2010-07-02,33.430000
2010-07-06,33.530000
2010-07-07,34.330000
2010-07-08,34.700000
2010-07-09,34.820000
2010-07-12,34.500000
2010-07-13,35.600000
2010-07-14,35.030000
2010-07-15,34.950000
2010-07-16,34.120000
2010-07-19,34.080000
2010-07-20,34.220000
2010-07-21,33.810000
2010-07-22,34.230000
2010-07-23,34.500000
2010-07-26,35.360000
2010-07-27,34.430000
2010-07-28,33.900000
2010-07-29,31.950000
2010-07-30,31.080000
2010-08-02,29.870000
