d,c
2009-01-02,8.505000
2009-01-05,8.337500
2009-01-06,8.650000
2009-01-07,8.000000
2009-01-08,8.227500
2009-01-09,7.882500
2009-01-12,7.712500
2009-01-13,7.407500
2009-01-14,6.965000
2009-01-15,6.922500
2009-01-16,7.032500
2009-01-20,6.517500
2009-01-21,6.892500
2009-01-22,6.620000
2009-01-23,6.772500
2009-01-26,6.875000
2009-01-27,6.850000
2009-01-28,7.347500
2009-01-29,6.900000
2009-01-30,6.652500
2009-02-02,6.660000
2009-02-03,7.500000
2009-02-04,7.332500
2009-02-05,7.680000
2009-02-06,7.260000
2009-02-09,7.230000
2009-02-10,6.712500
2009-02-11,6.807500
2009-02-12,6.770000
2009-02-13,6.715000
2009-02-17,6.485000
2009-02-18,6.442500
2009-02-19,6.482500
2009-02-20,6.512500
2009-02-23,6.500000
2009-02-24,6.867500
2009-02-25,7.025000
2009-02-26,7.137500
2009-02-27,7.000000
2009-03-02,6.830000
2009-03-03,7.040000
2009-03-04,7.505000
2009-03-05,7.532500
2009-03-06,7.517500
2009-03-09,7.722500
2009-03-10,8.122500
2009-03-11,8.332500
2009-03-12,8.465000
2009-03-13,8.197500
2009-03-16,8.067500
2009-03-17,8.490000
2009-03-18,8.745000
2009-03-19,8.885000
2009-03-20,8.690000
2009-03-23,9.257500
2009-03-24,8.730000
2009-03-25,8.530000
2009-03-26,8.927500
2009-03-27,8.520000
2009-03-30,8.142500
2009-03-31,8.182500
2009-04-01,8.172500
2009-04-02,8.537500
2009-04-03,9.317500
2009-04-06,9.120000
2009-04-07,9.155000
2009-04-08,9.345000
2009-04-09,9.350000
2009-04-13,9.562500
2009-04-14,9.480000
2009-04-15,9.340000
2009-04-16,9.455000
2009-04-17,9.582500
2009-04-20,9.240000
2009-04-21,9.697500
2009-04-22,10.000000
2009-04-23,9.820000
2009-04-24,10.042500
2009-04-27,10.162500
2009-04-28,10.145000
2009-04-29,10.367500
2009-04-30,10.702500
2009-05-01,10.352500
2009-05-04,10.907500
2009-05-05,11.225000
2009-05-06,10.967500
2009-05-07,10.295000
2009-05-08,10.260000
2009-05-11,10.317500
2009-05-12,10.217500
2009-05-13,9.752500
2009-05-14,9.942500
2009-05-15,10.050000
2009-05-18,10.100000
2009-05-19,10.255000
2009-05-20,10.067500
2009-05-21,9.912500
2009-05-22,9.037500
2009-05-26,9.375000
2009-05-27,9.125000
2009-05-28,9.442500
2009-05-29,9.487500
2009-06-01,9.945000
2009-06-02,9.815000
2009-06-03,9.820000
2009-06-04,9.817500
2009-06-05,9.782500
2009-06-08,9.677500
2009-06-09,9.895000
2009-06-10,9.992500
2009-06-11,10.400000
2009-06-12,10.400000
2009-06-15,10.157500
2009-06-16,9.990000
2009-06-17,10.125000
2009-06-18,10.040000
2009-06-19,9.977500
2009-06-22,9.325000
2009-06-23,9.452500
2009-06-24,9.810000
2009-06-25,9.945000
2009-06-26,9.727500
2009-06-29,9.727500
2009-06-30,9.542500
2009-07-01,9.727500
2009-07-02,9.540000
2009-07-06,9.270000
2009-07-07,8.892500
2009-07-08,9.125000
2009-07-09,9.205000
2009-07-10,9.315000
2009-07-13,9.555000
2009-07-14,9.535000
2009-07-15,9.925000
2009-07-16,10.020000
2009-07-17,10.210000
2009-07-20,10.432500
2009-07-21,10.452500
2009-07-22,10.617500
2009-07-23,11.042500
2009-07-24,11.282500
2009-07-27,11.135000
2009-07-28,10.890000
2009-07-29,10.797500
2009-07-30,10.932500
2009-07-31,10.835000
2009-08-03,11.165000
2009-08-04,11.372500
2009-08-05,11.275000
2009-08-06,11.342500
2009-08-07,11.682500
2009-08-10,11.447500
