d,c
2009-01-02,16.960000
2009-01-05,17.110000
2009-01-06,17.790000
2009-01-07,17.320000
2009-01-08,17.540000
2009-01-09,16.700000
2009-01-12,16.400000
2009-01-13,16.450000
2009-01-14,15.740000
2009-01-15,15.810000
2009-01-16,15.820000
2009-01-20,15.010000
2009-01-21,15.700000
2009-01-22,15.370000
2009-01-23,15.890000
2009-01-26,16.300000
2009-01-27,16.730000
2009-01-28,16.880000
2009-01-29,15.930000
2009-01-30,14.970000
2009-02-02,15.310000
2009-02-03,15.620000
2009-02-04,15.840000
2009-02-05,16.350000
2009-02-06,17.040000
2009-02-09,16.850000
2009-02-10,16.050000
2009-02-11,16.170000
2009-02-12,16.200000
2009-02-13,16.100000
2009-02-17,15.290000
2009-02-18,15.370000
2009-02-19,15.040000
2009-02-20,15.080000
2009-02-23,14.360000
2009-02-24,14.990000
2009-02-25,14.770000
2009-02-26,14.490000
2009-02-27,14.570000
2009-03-02,14.320000
2009-03-03,14.390000
2009-03-04,15.250000
2009-03-05,14.550000
2009-03-06,14.180000
2009-03-09,13.620000
2009-03-10,14.635000
2009-03-11,15.020000
2009-03-12,15.510000
2009-03-13,15.510000
2009-03-16,15.450000
2009-03-17,16.140000
2009-03-18,16.500000
2009-03-19,16.230000
2009-03-20,15.910000
2009-03-23,16.980000
2009-03-24,16.680000
2009-03-25,16.570000
2009-03-26,17.310000
2009-03-27,16.950000
2009-03-30,16.310000
2009-03-31,16.770000
2009-04-01,17.460000
2009-04-02,18.140000
2009-04-03,18.160000
2009-04-06,17.530000
2009-04-07,16.850000
2009-04-08,17.130000
2009-04-09,17.820000
2009-04-13,17.890000
2009-04-14,17.930000
2009-04-15,17.560000
2009-04-16,18.080000
2009-04-17,17.990000
2009-04-20,17.310000
2009-04-21,17.690000
2009-04-22,17.440000
2009-04-23,17.620000
2009-04-24,18.420000
2009-04-27,18.370000
2009-04-28,18.670000
2009-04-29,19.250000
2009-04-30,19.320000
2009-05-01,19.580000
2009-05-04,19.500000
2009-05-05,19.630000
2009-05-06,19.610000
2009-05-07,18.950000
2009-05-08,18.730000
2009-05-11,18.610000
2009-05-12,18.720000
2009-05-13,18.050000
2009-05-14,18.090000
2009-05-15,17.920000
2009-05-18,18.720000
2009-05-19,18.880000
2009-05-20,18.600000
2009-05-21,18.100000
2009-05-22,17.900000
2009-05-26,18.490000
2009-05-27,18.220000
2009-05-28,18.510000
2009-05-29,18.500000
2009-06-01,19.500000
2009-06-02,19.610000
2009-06-03,19.360000
2009-06-04,19.670000
2009-06-05,19.870000
2009-06-08,19.870000
2009-06-09,20.080000
2009-06-10,19.950000
2009-06-11,20.100000
2009-06-12,19.910000
2009-06-15,19.360000
2009-06-16,19.080000
2009-06-17,19.200000
2009-06-18,18.990000
2009-06-19,18.920000
2009-06-22,18.410000
2009-06-23,18.570000
2009-06-24,18.610000
2009-06-25,19.030000
2009-06-26,18.910000
2009-06-29,18.990000
2009-06-30,18.650000
2009-07-01,18.800000
2009-07-02,18.500000
2009-07-06,18.530000
2009-07-07,18.240000
2009-07-08,18.130000
2009-07-09,18.170000
2009-07-10,18.340000
2009-07-13,18.570000
2009-07-14,18.730000
2009-07-15,19.810000
2009-07-16,20.120000
2009-07-17,20.510000
2009-07-20,21.150000
2009-07-21,21.590000
2009-07-22,21.450000
2009-07-23,21.900000
2009-07-24,21.880000
2009-07-27,21.840000
2009-07-28,21.930000
2009-07-29,21.720000
2009-07-30,21.980000
2009-07-31,22.010000
2009-08-03,22.571000
2009-08-04,22.440000
2009-08-05,22.170000
2009-08-06,22.308000
2009-08-07,22.190000
2009-08-10,21.640000
2009-08-11,21.170000
2009-08-12,21.430000
2009-08-13,21.510000
2009-08-14,21.310000
2009-08-17,20.730000
2009-08-18,21.010000
2009-08-19,21.240000
2009-08-20,21.890000
2009-08-21,22.190000
2009-08-24,22.060000
2009-08-25,22.000000
2009-08-26,21.930000
2009-08-27,21.880000
2009-08-28,22.000000
2009-08-31,21.600000
2009-09-01,21.170000
2009-09-02,21.550000
2009-09-03,21.490000
2009-09-04,21.840000
2009-09-08,21.920000
2009-09-09,22.230000
2009-09-10,23.010000
2009-09-11,23.090000
2009-09-14,22.790000
2009-09-15,22.980000
2009-09-16,23.360000
2009-09-17,23.394000
2009-09-18,23.400000
2009-09-21,23.630000
2009-09-22,23.410000
2009-09-23,22.800000
2009-09-24,22.650000
2009-09-25,22.620000
2009-09-28,23.610000
2009-09-29,23.300000
2009-09-30,23.540000
2009-10-01,23.090000
2009-10-02,22.670000
2009-10-05,22.940000
2009-10-06,23.350000
2009-10-07,23.610000
2009-10-08,23.670000
2009-10-09,24.030000
2009-10-12,23.784000
2009-10-13,23.890000
2009-10-14,24.380000
2009-10-15,24.366000
2009-10-16,24.020000
2009-10-19,24.250000
2009-10-20,24.110000
2009-10-21,23.960000
2009-10-22,24.180000
2009-10-23,24.170000
2009-10-26,23.700000
2009-10-27,23.540000
2009-10-28,23.020000
2009-10-29,23.520000
2009-10-30,22.810000
2009-11-02,23.000000
2009-11-03,22.910000
2009-11-04,23.290000
2009-11-05,23.930100
2009-11-06,23.820000
2009-11-09,23.990000
2009-11-10,23.650000
2009-11-11,23.920000
2009-11-12,23.400000
2009-11-13,23.710000
2009-11-16,23.870000
2009-11-17,24.090000
2009-11-18,24.000000
2009-11-19,23.680000
2009-11-20,23.460000
2009-11-23,23.900000
2009-11-24,23.740000
2009-11-25,23.740000
2009-11-27,23.380000
2009-11-30,23.400000
2009-12-01,23.920000
2009-12-02,23.870000
2009-12-03,23.830000
2009-12-04,24.160000
2009-12-07,24.210000
2009-12-08,23.810000
2009-12-09,23.860000
2009-12-10,23.940000
2009-12-11,23.768000
2009-12-14,23.840000
2009-12-15,23.480000
2009-12-16,23.450000
2009-12-17,23.180000
2009-12-18,23.330000
2009-12-21,23.640000
2009-12-22,23.750000
2009-12-23,23.780000
2009-12-24,23.960000
2009-12-28,24.080000
2009-12-29,24.100000
2009-12-30,24.180000
2009-12-31,23.940000
2010-01-04,24.690000
2010-01-05,24.580000
2010-01-06,24.420000
2010-01-07,24.530000
2010-01-08,24.660000
2010-01-11,24.590000
2010-01-12,24.200000
2010-01-13,24.640000
2010-01-14,24.950000
2010-01-15,24.400000
2010-01-19,24.850000
2010-01-20,24.410000
2010-01-21,23.980000
2010-01-22,22.970000
2010-01-25,22.990000
2010-01-26,22.900000
2010-01-27,23.150000
2010-01-28,22.520000
2010-01-29,22.470000
2010-02-01,22.730000
2010-02-02,23.020000
2010-02-03,23.070000
2010-02-04,23.160000
2010-02-05,23.700000
2010-02-08,23.499000
2010-02-09,23.890000
2010-02-10,23.760000
2010-02-11,23.930000
2010-02-12,23.760000
2010-02-16,24.000000
2010-02-17,24.070000
2010-02-18,24.280000
2010-02-19,24.360000
2010-02-22,24.300000
2010-02-23,24.050000
2010-02-24,24.340000
2010-02-25,24.330000
2010-02-26,24.330000
2010-03-01,24.600000
2010-03-02,24.610000
2010-03-03,24.840000
2010-03-04,24.950000
2010-03-05,25.210000
2010-03-08,26.130000
2010-03-09,26.130000
2010-03-10,25.872000
2010-03-11,25.970000
2010-03-12,25.880000
2010-03-15,26.080000
2010-03-16,26.150000
2010-03-17,26.260000
2010-03-18,26.340000
2010-03-19,26.150000
2010-03-22,26.280000
2010-03-23,26.640000
2010-03-24,26.450000
2010-03-25,26.430000
2010-03-26,26.469000
2010-03-29,26.510000
2010-03-30,26.650000
2010-03-31,26.030000
2010-04-01,25.830000
2010-04-05,26.170000
2010-04-06,26.220000
2010-04-07,26.340000
2010-04-08,26.280000
2010-04-09,26.600000
2010-04-12,26.530000
2010-04-13,26.440000
2010-04-14,26.880000
2010-04-15,27.210000
2010-04-16,26.980000
2010-04-19,27.070000
2010-04-20,27.180000
2010-04-21,27.240000
2010-04-22,27.320000
2010-04-23,27.470000
2010-04-26,27.570000
2010-04-27,27.010000
2010-04-28,27.038000
2010-04-29,27.530000
2010-04-30,26.930000
2010-05-03,27.540000
2010-05-04,26.557500
2010-05-05,26.550000
2010-05-06,25.488000
2010-05-07,24.710000
2010-05-10,26.130000
2010-05-11,25.960000
2010-05-12,26.740000
2010-05-13,25.530000
2010-05-14,24.940000
2010-05-17,24.870000
2010-05-18,24.362500
2010-05-19,24.260000
2010-05-20,23.310000
2010-05-21,23.460000
2010-05-24,23.370000
2010-05-25,23.310000
2010-05-26,22.890000
2010-05-27,23.670000
2010-05-28,23.160000
2010-06-01,23.000000
2010-06-02,23.350000
2010-06-03,23.720000
2010-06-04,22.955000
2010-06-07,22.760000
2010-06-08,22.955000
2010-06-09,22.780000
2010-06-10,22.772500
2010-06-11,22.907500
2010-06-14,22.755000
2010-06-15,23.330000
2010-06-16,23.290000
2010-06-17,23.169000
2010-06-18,23.490000
2010-06-21,23.340000
2010-06-22,22.970000
2010-06-23,22.860000
2010-06-24,22.570000
2010-06-25,22.182500
2010-06-28,22.420000
2010-06-29,21.620000
2010-06-30,21.310000
2010-07-01,21.260000
2010-07-02,21.130000
2010-07-06,21.340000
2010-07-07,22.480000
2010-07-08,22.550000
2010-07-09,22.700000
2010-07-12,22.860000
2010-07-13,23.090000
2010-07-14,23.740000
2010-07-15,23.920000
2010-07-16,22.750000
2010-07-19,22.730000
2010-07-20,23.050000
2010-07-21,22.560000
2010-07-22,23.270000
2010-07-23,23.350000
2010-07-26,23.610000
2010-07-27,23.300000
2010-07-28,23.390000
2010-07-29,23.210000
2010-07-30,23.070000
2010-08-02,23.800000
2010-08-03,23.820000
2010-08-04,24.140000
2010-08-05,24.170000
2010-08-06,24.070000
2010-08-09,24.770000
2010-08-10,24.310000
2010-08-11,23.730000
2010-08-12,21.360000
2010-08-13,21.360000
2010-08-16,21.910000
2010-08-17,22.050000
2010-08-18,22.410000
2010-08-19,22.220000
2010-08-20,22.230000
2010-08-23,21.680000
2010-08-24,21.130000
2010-08-25,21.210000
2010-08-26,20.700000
2010-08-27,20.810000
2010-08-30,20.320000
2010-08-31,19.985000
2010-09-01,20.260000
2010-09-02,20.520000
2010-09-03,21.040000
2010-09-07,20.580000
2010-09-08,20.640000
2010-09-09,20.610000
2010-09-10,20.620000
2010-09-13,21.260000
2010-09-14,21.450000
2010-09-15,21.590000
2010-09-16,21.930000
2010-09-17,21.862500
2010-09-20,21.749900
2010-09-21,21.640000
2010-09-22,21.670000
2010-09-23,21.530000
2010-09-24,22.090000
2010-09-27,22.110000
2010-09-28,21.862500
2010-09-29,21.870000
2010-09-30,21.900000
2010-10-01,21.910000
2010-10-04,21.760000
2010-10-05,21.985000
2010-10-06,22.300000
2010-10-07,22.390000
2010-10-08,22.480000
2010-10-11,22.470000
2010-10-12,22.620000
2010-10-13,23.180000
2010-10-14,23.070000
2010-10-15,23.360000
2010-10-18,23.295000
2010-10-19,22.970000
2010-10-20,23.400000
2010-10-21,23.260000
2010-10-22,23.480000
2010-10-25,23.610000
2010-10-26,23.395000
2010-10-27,23.290000
2010-10-28,23.190000
2010-10-29,22.860000
2010-11-01,22.920000
2010-11-02,23.170000
2010-11-03,23.710000
2010-11-04,24.210000
2010-11-05,24.260000
2010-11-08,24.390000
2010-11-09,24.350000
2010-11-10,24.490000
2010-11-11,20.520000
2010-11-12,20.150000
2010-11-15,19.950000
2010-11-16,19.435000
2010-11-17,19.405000
2010-11-18,19.610000
2010-11-19,19.610000
2010-11-22,19.560000
2010-11-23,19.200000
2010-11-24,19.460000
2010-11-26,19.540000
2010-11-29,19.440000
2010-11-30,19.160000
2010-12-01,19.320000
2010-12-02,19.220000
2010-12-03,19.070000
2010-12-06,19.427500
2010-12-07,19.390000
2010-12-08,19.350000
2010-12-09,19.700000
2010-12-10,19.700000
2010-12-13,19.580000
2010-12-14,19.540000
2010-12-15,19.470000
2010-12-16,19.750000
2010-12-17,19.550000
2010-12-20,19.620000
2010-12-21,19.530000
2010-12-22,19.560000
2010-12-23,19.690000
2010-12-27,20.160000
2010-12-28,20.350000
2010-12-29,20.250000
2010-12-30,20.230000
2010-12-31,20.230000
2011-01-04,20.520000
2011-01-05,20.770000
2011-01-06,20.950000
2011-01-07,20.970000
2011-01-10,20.790000
2011-01-11,20.880000
2011-01-12,21.120000
2011-01-13,21.080000
2011-01-14,21.210000
2011-01-18,21.215000
2011-01-19,20.820000
2011-01-20,20.770000
2011-01-21,20.725000
2011-01-24,21.170000
2011-01-25,21.540000
2011-01-26,21.420000
2011-01-27,21.440000
2011-01-28,20.930000
2011-01-31,21.150000
2011-02-01,21.470000
2011-02-02,21.620000
2011-02-03,21.910000
2011-02-04,22.050000
2011-02-07,22.030000
2011-02-08,21.990000
2011-02-09,22.040000
2011-02-10,18.920000
2011-02-11,18.700000
2011-02-14,18.810000
2011-02-15,18.670000
2011-02-16,18.580000
2011-02-17,18.680000
2011-02-18,18.850000
2011-02-22,18.590000
2011-02-23,18.400000
2011-02-24,18.360000
2011-02-25,18.640000
2011-02-28,18.560000
2011-03-01,18.560000
2011-03-02,18.500000
2011-03-03,18.530000
2011-03-04,18.400000
2011-03-07,18.200000
2011-03-08,18.220000
2011-03-09,18.120000
2011-03-10,17.920000
2011-03-11,17.950000
2011-03-14,17.850000
2011-03-15,17.390000
2011-03-16,17.050000
2011-03-17,17.000000
2011-03-18,17.140000
2011-03-21,17.387500
2011-03-22,17.450000
2011-03-23,17.580000
2011-03-24,17.360000
2011-03-25,17.280000
2011-03-28,17.190000
2011-03-29,17.440000
2011-03-30,17.330000
2011-03-31,17.150000
2011-04-01,17.040000
2011-04-04,17.060000
2011-04-05,17.220000
2011-04-06,18.070000
2011-04-07,17.910000
2011-04-08,17.650000
2011-04-11,17.470000
2011-04-12,17.440000
2011-04-13,17.250000
2011-04-14,17.170000
2011-04-15,17.030000
2011-04-18,16.730000
2011-04-19,16.610000
2011-04-20,16.930000
2011-04-21,16.940000
2011-04-25,17.100000
2011-04-26,17.520000
2011-04-27,17.190000
2011-04-28,17.290000
2011-04-29,17.520000
2011-05-02,17.580000
2011-05-03,17.410000
2011-05-04,17.470000
2011-05-05,17.480000
2011-05-06,17.560000
2011-05-09,17.600000
2011-05-10,17.790000
2011-05-11,17.780000
2011-05-12,16.930000
2011-05-13,16.880000
2011-05-16,16.600000
2011-05-17,16.640000
2011-05-18,16.650000
2011-05-19,16.660000
2011-05-20,16.530000
2011-05-23,16.350000
2011-05-24,16.270000
2011-05-25,16.190000
2011-05-26,16.250000
2011-05-27,16.460000
2011-05-31,16.800000
2011-06-01,16.380000
2011-06-02,16.250000
2011-06-03,16.010000
2011-06-06,15.990000
2011-06-07,15.510000
2011-06-08,15.300000
2011-06-09,15.310000
2011-06-10,15.120000
2011-06-13,15.060000
2011-06-14,15.080000
2011-06-15,14.840000
2011-06-16,15.050000
2011-06-17,14.970000
2011-06-20,15.140000
2011-06-21,15.510000
2011-06-22,15.360000
2011-06-23,15.470000
2011-06-24,14.930000
2011-06-27,15.050000
2011-06-28,15.130000
2011-06-29,15.335000
2011-06-30,15.610000
2011-07-01,15.860000
2011-07-05,15.670000
2011-07-06,15.560000
2011-07-07,15.900000
2011-07-08,15.740000
2011-07-11,15.430000
2011-07-12,15.600000
2011-07-13,15.570000
2011-07-14,15.430000
2011-07-15,15.590000
2011-07-18,15.435000
2011-07-19,15.660000
2011-07-20,15.820000
2011-07-21,16.350000
2011-07-22,16.460000
2011-07-25,16.280000
2011-07-26,16.290000
2011-07-27,15.690000
2011-07-28,16.010000
2011-07-29,15.970000
2011-08-01,15.830000
2011-08-02,15.460000
2011-08-03,15.490000
2011-08-04,14.820000
2011-08-05,14.940000
2011-08-08,13.940000
2011-08-09,14.055000
