d,c
2019-09-19,37.550000
2019-09-20,36.150000
2019-09-23,36.110000
2019-09-24,34.500000
2019-09-25,35.250000
2019-09-26,32.440000
2019-09-27,32.270000
2019-09-30,33.910000
2019-10-01,32.390000
2019-10-02,31.100000
2019-10-03,32.890000
2019-10-04,34.720000
2019-10-07,36.810000
2019-10-08,35.450000
2019-10-09,36.750000
2019-10-10,35.600000
2019-10-11,35.670000
2019-10-14,33.090000
2019-10-15,34.800000
2019-10-16,32.200000
2019-10-17,33.960000
2019-10-18,31.570000
2019-10-21,30.010000
2019-10-22,28.040000
2019-10-23,28.760000
2019-10-24,32.500000
2019-10-25,34.300000
2019-10-28,33.280000
2019-10-29,33.650000
2019-10-30,34.810000
2019-10-31,33.590000
2019-11-01,34.020000
2019-11-04,34.440000
2019-11-05,34.910000
2019-11-06,33.060000
2019-11-07,31.290000
2019-11-08,32.810000
2019-11-11,33.550000
2019-11-12,34.400000
2019-11-13,40.190000
2019-11-14,41.370000
2019-11-15,40.630000
2019-11-18,40.320000
2019-11-19,39.150000
2019-11-20,38.400000
2019-11-21,40.030000
2019-11-22,41.040000
2019-11-25,42.810000
2019-11-26,40.550000
2019-11-27,41.860000
2019-11-29,40.770000
2019-12-02,39.600000
2019-12-03,37.770000
2019-12-04,36.920000
2019-12-05,35.860000
2019-12-06,35.910000
2019-12-09,35.160000
2019-12-10,34.810000
2019-12-11,35.550000
2019-12-12,35.730000
2019-12-13,38.790000
2019-12-16,38.790000
2019-12-17,37.180000
2019-12-18,38.210000
2019-12-19,38.100000
2019-12-20,38.510000
2019-12-23,37.800000
2019-12-24,37.090000
2019-12-26,37.960000
2019-12-27,36.110000
2019-12-30,37.130000
2019-12-31,37.780000
2020-01-02,36.700000
2020-01-03,37.420000
2020-01-06,39.900000
2020-01-07,40.060000
2020-01-08,39.950000
2020-01-09,40.210000
2020-01-10,40.160000
2020-01-13,40.940000
2020-01-14,39.270000
2020-01-15,40.230000
2020-01-16,40.610000
2020-01-17,41.190000
2020-01-21,41.130000
2020-01-22,42.240000
2020-01-23,42.810000
2020-01-24,42.050000
2020-01-27,41.255000
2020-01-28,42.160000
2020-01-29,43.920000
2020-01-30,47.040000
2020-01-31,46.210000
2020-02-03,45.260000
2020-02-04,47.600000
2020-02-05,45.730000
2020-02-06,46.050000
2020-02-07,47.180000
2020-02-10,47.950000
2020-02-11,47.810000
2020-02-12,50.010000
2020-02-13,48.500000
2020-02-14,47.030000
2020-02-18,47.080000
2020-02-19,47.300000
2020-02-20,45.990000
2020-02-21,45.680000
