d,c
2009-01-02,41.510000
2009-01-05,42.890000
2009-01-06,44.570000
2009-01-07,42.650000
2009-01-08,45.180000
2009-01-09,45.990000
2009-01-12,41.560000
2009-01-13,40.780000
2009-01-14,39.500000
2009-01-15,39.640000
2009-01-16,39.880000
2009-01-20,37.290000
2009-01-21,39.290000
2009-01-22,37.470000
2009-01-23,36.620000
2009-01-26,35.320000
2009-01-27,35.900000
2009-01-28,37.850000
2009-01-29,36.000000
2009-01-30,34.740000
2009-02-02,35.100000
2009-02-03,36.010000
2009-02-04,37.500000
2009-02-05,39.640000
2009-02-06,41.810000
2009-02-09,40.620000
2009-02-10,38.400000
2009-02-11,38.280000
2009-02-12,37.300000
2009-02-13,36.110000
2009-02-17,33.490000
2009-02-18,32.230000
2009-02-19,30.380000
2009-02-20,28.890000
2009-02-23,26.990000
2009-02-24,28.450000
2009-02-25,27.010000
2009-02-26,27.180000
2009-02-27,27.490000
2009-03-02,24.830000
2009-03-03,25.290000
2009-03-04,26.920000
2009-03-05,25.320000
2009-03-06,25.510000
2009-03-09,25.780000
2009-03-10,27.840000
2009-03-11,28.680000
2009-03-12,29.900000
2009-03-13,29.650000
2009-03-16,30.100000
2009-03-17,30.740000
2009-03-18,31.060000
2009-03-19,31.830000
2009-03-20,30.720000
2009-03-23,34.400000
2009-03-24,34.970000
2009-03-25,34.670000
2009-03-26,35.920000
2009-03-27,35.070000
2009-03-30,32.400000
2009-03-31,32.870000
2009-04-01,34.260000
2009-04-02,36.070000
2009-04-03,37.300000
2009-04-06,36.960000
2009-04-07,34.980000
2009-04-08,34.430000
2009-04-09,37.470000
2009-04-13,37.470000
2009-04-14,37.020000
2009-04-15,39.140000
2009-04-16,40.210000
2009-04-17,39.440000
2009-04-20,36.720000
2009-04-21,37.900000
2009-04-22,39.190000
2009-04-23,38.830000
2009-04-24,40.520000
2009-04-27,39.310000
2009-04-28,38.450000
2009-04-29,40.210000
2009-04-30,41.260000
2009-05-01,42.880000
2009-05-04,45.080000
2009-05-05,45.400000
2009-05-06,47.050000
2009-05-07,43.800000
2009-05-08,44.910000
2009-05-11,43.820000
2009-05-12,43.710000
2009-05-13,41.060000
2009-05-14,41.780000
2009-05-15,41.910000
2009-05-18,44.470000
2009-05-19,43.820000
2009-05-20,44.330000
2009-05-21,41.570000
2009-05-22,41.900000
2009-05-26,42.790000
2009-05-27,42.790000
2009-05-28,41.850000
2009-05-29,43.470000
2009-06-01,46.960000
2009-06-02,46.390000
2009-06-03,44.730000
2009-06-04,46.420000
2009-06-05,46.470000
2009-06-08,45.800000
2009-06-09,45.940000
2009-06-10,45.710000
2009-06-11,45.080000
2009-06-12,44.770000
2009-06-15,43.100000
2009-06-16,41.620000
2009-06-17,40.950000
2009-06-18,40.480000
2009-06-19,40.060000
2009-06-22,38.930000
2009-06-23,39.250000
2009-06-24,39.990000
2009-06-25,42.110000
2009-06-26,41.780000
2009-06-29,42.150000
2009-06-30,39.950000
2009-07-01,40.370000
2009-07-02,38.530000
2009-07-06,38.020000
2009-07-07,35.980000
2009-07-08,35.840000
2009-07-09,35.670000
2009-07-10,35.310000
2009-07-13,36.590000
2009-07-14,36.880000
2009-07-15,38.670000
2009-07-16,39.000000
2009-07-17,38.380000
2009-07-20,39.790000
2009-07-21,40.540000
2009-07-22,40.170000
2009-07-23,42.100000
2009-07-24,42.360000
2009-07-27,42.720000
2009-07-28,42.140000
2009-07-29,41.180000
2009-07-30,42.870000
2009-07-31,43.740000
2009-08-03,45.440000
2009-08-04,45.640000
2009-08-05,45.450000
2009-08-06,45.360000
2009-08-07,46.310000
2009-08-10,45.520000
2009-08-11,44.860000
2009-08-12,45.800000
2009-08-13,45.630000
2009-08-14,44.530000
2009-08-17,42.470000
2009-08-18,45.090000
2009-08-19,43.780000
2009-08-20,43.990000
2009-08-21,44.800000
2009-08-24,45.350000
2009-08-25,46.310000
2009-08-26,45.130000
2009-08-27,45.070000
2009-08-28,44.430000
2009-08-31,43.600000
2009-09-01,42.490000
2009-09-02,41.220000
2009-09-03,41.220000
2009-09-04,42.180000
2009-09-08,42.780000
2009-09-09,43.010000
2009-09-10,43.030000
2009-09-11,43.000000
2009-09-14,43.260000
2009-09-15,45.170000
2009-09-16,45.200000
2009-09-17,45.920000
2009-09-18,45.070000
2009-09-21,44.880000
2009-09-22,46.180000
2009-09-23,45.390000
2009-09-24,44.430000
2009-09-25,43.940000
2009-09-28,42.570000
2009-09-29,43.200000
2009-09-30,42.920000
2009-10-01,41.400000
2009-10-02,41.130000
2009-10-05,42.120000
2009-10-06,43.110000
2009-10-07,42.630000
2009-10-08,43.120000
2009-10-09,42.970000
2009-10-12,42.610000
2009-10-13,42.650000
2009-10-14,43.750000
2009-10-15,44.050000
2009-10-16,44.040000
2009-10-19,46.040000
2009-10-20,46.010000
2009-10-21,48.100000
2009-10-22,48.380000
2009-10-23,48.080000
2009-10-26,48.040000
2009-10-27,46.920000
2009-10-28,45.420000
2009-10-29,47.510000
2009-10-30,45.550000
2009-11-02,46.300000
2009-11-03,47.210000
2009-11-04,46.760000
2009-11-05,48.110000
2009-11-06,47.160000
2009-11-09,48.480000
2009-11-10,48.350000
2009-11-11,48.010000
2009-11-12,47.410000
2009-11-13,47.580000
2009-11-16,48.910000
2009-11-17,49.150000
2009-11-18,51.460000
2009-11-19,50.890000
2009-11-20,50.830000
2009-11-23,51.850000
2009-11-24,52.290000
2009-11-25,53.700000
2009-11-27,52.360000
2009-11-30,53.510000
2009-12-01,54.050000
2009-12-02,54.000000
2009-12-03,54.400000
2009-12-04,54.240000
2009-12-07,53.610000
2009-12-08,52.270000
2009-12-09,52.640000
2009-12-10,52.400000
2009-12-11,52.440000
2009-12-14,53.260000
2009-12-15,53.510000
2009-12-16,54.530000
2009-12-17,54.140000
2009-12-18,54.830000
2009-12-21,55.580000
2009-12-22,56.590000
2009-12-23,56.060000
2009-12-24,56.330000
2009-12-28,55.930000
2009-12-29,54.930000
2009-12-30,54.770000
2009-12-31,54.090000
2010-01-04,56.060000
2010-01-05,55.850000
2010-01-06,55.700000
2010-01-07,56.100000
2010-01-08,57.630000
2010-01-11,59.950000
2010-01-12,57.390000
2010-01-13,58.290000
2010-01-14,58.350000
2010-01-15,56.330000
2010-01-19,57.660000
2010-01-20,56.110000
2010-01-21,55.450000
2010-01-22,53.020000
2010-01-25,53.690000
2010-01-26,53.410000
2010-01-27,52.390000
2010-01-28,51.110000
2010-01-29,49.950000
2010-02-01,51.350000
2010-02-02,52.450000
2010-02-03,51.840000
2010-02-04,49.870000
2010-02-05,49.820000
2010-02-08,48.960000
2010-02-09,50.320000
2010-02-10,50.050000
2010-02-11,52.320000
2010-02-12,53.110000
2010-02-16,53.780000
2010-02-17,56.480000
2010-02-18,57.260000
2010-02-19,57.280000
2010-02-22,56.700000
2010-02-23,56.090000
2010-02-24,56.180000
2010-02-25,56.960000
2010-02-26,57.300000
2010-03-01,58.290000
2010-03-02,58.210000
2010-03-03,58.660000
2010-03-04,58.500000
2010-03-05,59.540000
2010-03-08,59.200000
2010-03-09,59.280000
2010-03-10,58.490000
2010-03-11,57.730000
2010-03-12,58.640000
2010-03-15,58.130000
2010-03-16,58.920000
2010-03-17,59.590000
2010-03-18,59.250000
2010-03-19,58.990000
2010-03-22,60.020000
2010-03-23,61.960000
2010-03-24,60.490000
2010-03-25,60.200000
2010-03-26,60.560000
2010-03-29,61.350000
2010-03-30,61.110000
2010-03-31,59.460000
2010-04-01,59.740000
2010-04-05,60.640000
2010-04-06,60.680000
2010-04-07,60.400000
2010-04-08,60.620000
2010-04-09,61.680000
2010-04-12,62.040000
2010-04-13,61.540000
2010-04-14,61.770000
2010-04-15,61.760000
2010-04-16,60.510000
2010-04-19,60.470000
2010-04-20,60.200000
2010-04-21,60.500000
2010-04-22,60.960000
2010-04-23,61.790000
2010-04-26,62.210000
