d,c
2009-01-02,14.016667
2009-01-05,13.940000
2009-01-06,13.223333
2009-01-07,13.846667
2009-01-08,13.876667
2009-01-09,13.666667
2009-01-12,13.663333
2009-01-13,13.733333
2009-01-14,13.616667
2009-01-15,14.516667
2009-01-16,14.443333
2009-01-20,14.230000
2009-01-21,14.356667
2009-01-22,14.346667
2009-01-23,14.163333
2009-01-26,14.190000
2009-01-27,14.276667
2009-01-28,14.570000
2009-01-29,14.423333
2009-01-30,14.236667
2009-02-02,14.266667
2009-02-03,14.646667
2009-02-04,13.916667
2009-02-05,11.676667
2009-02-06,11.796667
2009-02-09,11.800000
2009-02-10,11.680000
2009-02-11,11.426667
2009-02-12,11.563333
2009-02-13,11.226667
2009-02-17,11.393333
2009-02-18,11.313333
2009-02-19,11.456667
2009-02-20,11.726667
2009-02-23,11.596667
2009-02-24,12.020000
2009-02-25,12.093333
2009-02-26,12.353333
2009-02-27,12.940000
2009-03-02,13.076667
2009-03-03,12.720000
2009-03-04,13.006667
2009-03-05,13.366667
2009-03-06,13.193333
2009-03-09,13.333333
2009-03-10,13.753333
2009-03-11,13.630000
2009-03-12,13.760000
2009-03-13,13.736667
2009-03-16,13.366667
2009-03-17,13.856667
2009-03-18,13.886667
2009-03-19,13.873333
2009-03-20,13.636667
2009-03-23,13.793333
2009-03-24,13.470000
2009-03-25,14.080000
2009-03-26,14.573333
2009-03-27,14.610000
2009-03-30,14.973333
2009-03-31,14.850000
2009-04-01,14.520000
2009-04-02,14.416667
2009-04-03,14.083333
2009-04-06,14.140000
2009-04-07,14.670000
2009-04-08,14.556667
2009-04-09,14.696667
2009-04-13,14.626667
2009-04-14,14.353333
2009-04-15,14.220000
2009-04-16,14.526667
2009-04-17,14.223333
2009-04-20,14.433333
2009-04-21,14.350000
2009-04-22,14.496667
2009-04-23,14.306667
2009-04-24,14.193333
2009-04-27,14.363333
2009-04-28,14.633333
2009-04-29,14.346667
2009-04-30,14.113333
2009-05-01,13.843333
2009-05-04,14.393333
2009-05-05,14.406667
2009-05-06,14.260000
2009-05-07,14.450000
2009-05-08,14.120000
2009-05-11,14.326667
2009-05-12,14.126667
2009-05-13,13.956667
2009-05-14,14.006667
2009-05-15,14.066667
2009-05-18,14.056667
2009-05-19,14.236667
2009-05-20,14.020000
2009-05-21,14.150000
2009-05-22,14.223333
2009-05-26,14.800000
2009-05-27,15.100000
2009-05-28,14.906667
2009-05-29,14.923333
2009-06-01,15.093333
2009-06-02,15.413333
2009-06-03,15.123333
2009-06-04,14.763333
2009-06-05,14.790000
2009-06-08,14.760000
2009-06-09,14.773333
2009-06-10,14.723333
2009-06-11,14.486667
2009-06-12,14.430000
2009-06-15,14.123333
2009-06-16,13.896667
2009-06-17,14.036667
2009-06-18,13.910000
2009-06-19,14.056667
2009-06-22,13.950000
2009-06-23,13.776667
2009-06-24,13.773333
2009-06-25,14.020000
2009-06-26,14.220000
2009-06-29,14.240000
2009-06-30,14.033333
2009-07-01,14.143333
2009-07-02,13.800000
2009-07-06,13.706667
2009-07-07,13.530000
2009-07-08,14.606667
2009-07-09,14.560000
2009-07-10,14.320000
2009-07-13,14.526667
2009-07-14,14.573333
2009-07-15,14.693333
2009-07-16,14.800000
2009-07-17,14.716667
2009-07-20,15.006667
2009-07-21,15.186667
2009-07-22,15.100000
2009-07-23,15.370000
2009-07-24,15.310000
2009-07-27,15.193333
2009-07-28,15.263333
2009-07-29,15.400000
2009-07-30,15.490000
2009-07-31,15.373333
2009-08-03,15.433333
2009-08-04,14.980000
2009-08-05,14.943333
2009-08-06,15.253333
2009-08-07,15.580000
2009-08-10,15.370000
2009-08-11,15.343333
2009-08-12,15.416667
2009-08-13,15.320000
2009-08-14,15.036667
2009-08-17,14.676667
2009-08-18,14.910000
2009-08-19,15.043333
2009-08-20,14.896667
2009-08-21,15.346667
2009-08-24,15.340000
2009-08-25,15.966667
2009-08-26,16.710000
2009-08-27,16.920000
2009-08-28,17.043333
2009-08-31,16.646667
2009-09-01,16.510000
2009-09-02,16.446667
2009-09-03,16.443333
2009-09-04,16.390000
2009-09-08,16.346667
2009-09-09,16.393333
2009-09-10,16.766667
2009-09-11,16.350000
2009-09-14,16.440000
2009-09-15,16.253333
2009-09-16,15.950000
2009-09-17,16.020000
2009-09-18,16.100000
2009-09-21,16.913333
2009-09-22,16.736667
2009-09-23,16.436667
2009-09-24,16.436667
2009-09-25,16.003333
2009-09-28,16.016667
2009-09-29,16.056667
2009-09-30,16.226667
2009-10-01,16.120000
2009-10-02,15.860000
2009-10-05,16.123333
2009-10-06,16.523333
2009-10-07,16.333333
2009-10-08,16.216667
2009-10-09,16.350000
2009-10-12,16.430000
2009-10-13,16.600000
2009-10-14,16.523333
2009-10-15,16.250000
2009-10-16,16.300000
2009-10-19,16.460000
2009-10-20,16.303333
2009-10-21,15.756667
2009-10-22,15.986667
2009-10-23,15.850000
2009-10-26,15.680000
2009-10-27,15.306667
2009-10-28,15.233333
2009-10-29,15.253333
2009-10-30,15.043333
2009-11-02,15.900000
2009-11-03,15.666667
2009-11-04,15.763333
2009-11-05,16.106667
2009-11-06,16.260000
2009-11-09,16.548667
2009-11-10,16.433333
2009-11-11,16.440000
2009-11-12,16.066667
2009-11-13,16.356667
2009-11-16,16.426667
2009-11-17,16.386667
2009-11-18,16.450000
2009-11-19,16.250000
2009-11-20,16.310000
2009-11-23,16.366667
2009-11-24,17.110000
2009-11-25,17.023333
2009-11-27,16.860000
2009-11-30,16.323333
2009-12-01,16.233333
2009-12-02,16.263333
2009-12-03,15.686667
2009-12-04,15.596667
2009-12-07,15.743333
2009-12-08,15.993333
2009-12-09,16.006667
2009-12-10,16.040000
2009-12-11,16.303333
2009-12-14,16.126667
2009-12-15,16.143333
2009-12-16,16.073333
2009-12-17,16.070000
2009-12-18,16.303333
2009-12-21,16.273333
2009-12-22,16.263333
2009-12-23,16.340000
2009-12-24,16.343333
2009-12-28,16.300000
2009-12-29,16.226667
2009-12-30,16.226667
2009-12-31,16.100000
2010-01-04,16.056667
2010-01-05,15.853333
2010-01-06,16.783333
2010-01-07,16.673333
2010-01-08,16.443333
2010-01-11,16.353333
2010-01-12,16.546667
2010-01-13,16.466667
2010-01-14,16.416667
2010-01-15,16.456667
2010-01-19,16.553333
2010-01-20,16.446667
2010-01-21,16.436667
2010-01-22,16.073333
2010-01-25,16.266667
2010-01-26,16.363333
2010-01-27,16.303333
2010-01-28,16.366667
2010-01-29,16.506667
2010-02-01,16.656667
2010-02-02,16.966667
2010-02-03,17.063333
2010-02-04,16.363333
2010-02-05,16.056667
2010-02-08,15.706667
2010-02-09,15.990000
2010-02-10,15.926667
2010-02-11,15.903333
2010-02-12,16.123333
2010-02-16,16.440000
2010-02-17,16.696667
2010-02-18,16.626667
2010-02-19,16.666667
2010-02-22,16.510000
2010-02-23,16.563333
2010-02-24,18.593333
2010-02-25,18.690000
2010-02-26,18.580000
2010-03-01,18.426667
2010-03-02,18.680000
2010-03-03,18.540000
2010-03-04,18.726667
2010-03-05,18.923333
2010-03-08,18.946667
2010-03-09,18.676667
2010-03-10,18.716667
2010-03-11,18.683333
2010-03-12,18.770000
2010-03-15,18.986667
2010-03-16,18.906667
2010-03-17,18.830000
2010-03-18,18.916667
2010-03-19,18.806667
2010-03-22,19.826667
2010-03-23,19.933333
2010-03-24,19.803333
2010-03-25,19.713333
2010-03-26,19.903333
2010-03-29,19.883333
2010-03-30,19.856667
2010-03-31,19.740000
2010-04-01,19.926667
2010-04-05,19.830000
2010-04-06,19.830000
2010-04-07,19.856667
2010-04-08,19.810000
2010-04-09,19.800000
2010-04-12,19.790000
2010-04-13,19.850000
2010-04-14,19.936667
2010-04-15,19.870000
2010-04-16,19.963333
2010-04-19,19.733333
2010-04-20,19.883333
2010-04-21,20.153333
2010-04-22,20.463333
2010-04-23,20.876667
2010-04-26,20.593333
2010-04-27,20.410000
2010-04-28,20.276667
2010-04-29,20.746667
2010-04-30,20.240000
2010-05-03,20.410000
2010-05-04,20.440000
2010-05-05,20.383333
2010-05-06,19.966667
2010-05-07,19.576667
2010-05-10,20.120000
2010-05-11,20.266667
2010-05-12,20.470000
2010-05-13,20.010000
2010-05-14,19.966667
2010-05-17,19.930000
2010-05-18,19.803333
2010-05-19,19.890000
2010-05-20,20.560000
2010-05-21,20.346667
2010-05-24,20.876667
2010-05-25,21.146667
2010-05-26,20.676667
2010-05-27,20.843333
2010-05-28,20.863333
2010-06-01,20.563333
2010-06-02,20.676667
2010-06-03,20.820000
2010-06-04,20.311667
2010-06-07,20.113333
2010-06-08,20.306667
2010-06-09,20.470000
2010-06-10,20.873333
2010-06-11,21.020000
2010-06-14,20.920000
2010-06-15,21.333333
2010-06-16,21.176667
2010-06-17,21.190000
2010-06-18,21.006667
2010-06-21,21.016667
2010-06-22,20.683333
2010-06-23,20.886667
2010-06-24,20.896667
2010-06-25,21.005000
2010-06-28,20.930000
2010-06-29,20.870000
2010-06-30,20.815000
2010-07-01,21.175000
2010-07-02,21.540000
2010-07-06,21.465000
2010-07-07,20.805000
2010-07-08,20.925000
2010-07-09,20.700000
2010-07-12,20.685000
2010-07-13,20.815000
2010-07-14,21.030000
2010-07-15,21.290000
2010-07-16,21.200000
2010-07-19,20.780000
2010-07-20,21.170000
2010-07-21,20.980000
2010-07-22,21.405000
2010-07-23,21.715000
2010-07-26,22.095000
2010-07-27,22.005000
2010-07-28,21.965000
2010-07-29,21.720000
2010-07-30,22.160000
2010-08-02,22.115000
2010-08-03,21.650000
2010-08-04,21.600000
2010-08-05,21.375000
2010-08-06,21.015000
2010-08-09,21.500000
2010-08-10,21.300000
2010-08-11,21.125000
2010-08-12,21.260000
2010-08-13,21.160000
2010-08-16,21.010000
2010-08-17,20.520000
2010-08-18,20.910000
2010-08-19,21.930000
2010-08-20,22.310000
2010-08-23,22.065000
2010-08-24,22.175000
2010-08-25,22.410000
2010-08-26,22.385000
2010-08-27,22.895000
2010-08-30,22.580000
2010-08-31,22.636250
2010-09-01,22.975000
2010-09-02,23.450000
2010-09-03,23.015000
2010-09-07,23.165000
2010-09-08,23.395000
2010-09-09,23.015000
2010-09-10,23.270000
2010-09-13,23.440000
2010-09-14,23.685000
2010-09-15,24.030000
2010-09-16,24.080000
2010-09-17,24.190000
2010-09-20,24.230000
2010-09-21,24.065000
2010-09-22,24.130000
2010-09-23,23.765000
2010-09-24,23.685000
2010-09-27,24.400000
2010-09-28,24.575000
2010-09-29,24.695000
2010-09-30,24.380000
2010-10-01,24.240000
2010-10-04,24.115000
2010-10-05,24.528750
2010-10-06,24.625000
2010-10-07,24.845000
2010-10-08,24.545000
2010-10-11,24.990000
2010-10-12,25.230000
2010-10-13,25.295000
2010-10-14,24.820000
2010-10-15,25.040000
2010-10-18,25.110000
2010-10-19,25.080000
2010-10-20,25.575000
2010-10-21,25.700000
2010-10-22,25.865000
2010-10-25,25.820000
2010-10-26,25.735000
2010-10-27,25.600000
2010-10-28,25.645000
2010-10-29,25.655000
2010-11-01,25.745000
2010-11-02,26.175000
2010-11-03,26.305000
2010-11-04,26.090000
2010-11-05,26.490000
2010-11-08,26.345000
2010-11-09,26.385000
2010-11-10,26.825000
2010-11-11,27.165000
2010-11-12,26.775000
2010-11-15,26.775000
2010-11-16,26.685000
2010-11-17,27.355000
2010-11-18,26.905000
2010-11-19,26.705000
2010-11-22,27.410000
2010-11-23,27.435000
2010-11-24,28.045000
2010-11-26,28.355000
2010-11-29,27.590000
2010-11-30,27.475000
2010-12-01,27.960000
2010-12-02,28.045000
2010-12-03,28.270000
2010-12-06,27.520000
2010-12-07,28.280000
2010-12-08,28.470000
2010-12-09,27.845000
2010-12-10,28.330000
2010-12-13,27.925000
2010-12-14,27.940000
2010-12-15,27.945000
2010-12-16,28.600000
2010-12-17,28.680000
2010-12-20,28.295000
2010-12-21,28.120000
2010-12-22,28.145000
2010-12-23,28.385000
2010-12-27,28.480000
2010-12-28,28.105000
2010-12-29,28.300000
2010-12-30,28.195000
2010-12-31,28.040000
2011-01-04,27.370000
2011-01-05,26.040000
2011-01-06,25.675000
2011-01-07,25.905000
2011-01-10,26.230000
2011-01-11,26.015000
2011-01-12,25.445000
2011-01-13,25.325000
2011-01-14,25.195000
2011-01-18,25.170000
2011-01-19,25.935000
2011-01-20,25.865000
2011-01-21,25.965000
2011-01-24,26.175000
2011-01-25,26.065000
2011-01-26,25.875000
2011-01-27,26.000000
2011-01-28,25.495000
2011-01-31,25.290000
2011-02-01,25.595000
2011-02-02,24.735000
2011-02-03,24.630000
2011-02-04,24.855000
2011-02-07,24.870000
2011-02-08,24.815000
2011-02-09,24.830000
2011-02-10,24.790000
2011-02-11,25.250000
2011-02-14,25.230000
2011-02-15,25.470000
2011-02-16,26.225000
2011-02-17,26.175000
2011-02-18,26.360000
2011-02-22,26.085000
2011-02-23,24.290000
2011-02-24,25.325000
2011-02-25,25.235000
2011-02-28,25.160000
2011-03-01,25.060000
2011-03-02,25.265000
2011-03-03,25.655000
2011-03-04,25.990000
2011-03-07,25.355000
2011-03-08,25.900000
2011-03-09,25.980000
2011-03-10,26.180000
2011-03-11,26.720000
2011-03-14,27.015000
2011-03-15,26.695000
2011-03-16,26.835000
2011-03-17,26.670000
2011-03-18,27.025000
2011-03-21,26.795000
2011-03-22,26.820000
2011-03-23,27.080000
2011-03-24,27.640000
2011-03-25,27.660000
2011-03-28,27.505000
2011-03-29,27.580000
2011-03-30,28.100000
2011-03-31,27.760000
2011-04-01,28.360000
2011-04-04,28.170000
2011-04-05,28.340000
2011-04-06,28.385000
2011-04-07,28.455000
2011-04-08,27.845000
2011-04-11,28.035000
2011-04-12,27.980000
2011-04-13,28.245000
2011-04-14,28.195000
2011-04-15,28.450000
2011-04-18,28.425000
2011-04-19,28.165000
2011-04-20,28.870000
2011-04-21,28.575000
2011-04-25,28.465000
2011-04-26,28.540000
2011-04-27,29.060000
2011-04-28,28.710000
