d,c
2019-04-02,56.250000
2019-04-03,56.880000
2019-04-04,59.710000
2019-04-05,57.240000
2019-04-08,57.150000
2019-04-09,56.270000
2019-04-10,55.710000
2019-04-11,54.890000
2019-04-12,58.300000
2019-04-15,57.780000
2019-04-16,58.500000
2019-04-17,58.320000
2019-04-18,57.770000
2019-04-22,57.890000
2019-04-23,57.640000
2019-04-24,55.980000
2019-04-25,55.330000
2019-04-26,55.250000
2019-04-29,55.500000
2019-04-30,56.730000
2019-05-01,56.130000
2019-05-02,52.700000
2019-05-03,53.300000
2019-05-06,53.460000
2019-05-07,52.950000
2019-05-08,52.480000
2019-05-09,52.930000
2019-05-10,53.070000
2019-05-13,50.950000
2019-05-14,52.480000
2019-05-15,52.950000
2019-05-16,52.980000
2019-05-17,50.800000
2019-05-20,50.080000
2019-05-21,50.630000
2019-05-22,50.210000
2019-05-23,48.710000
2019-05-24,49.200000
2019-05-28,48.560000
2019-05-29,48.710000
2019-05-30,48.470000
2019-05-31,46.760000
2019-06-03,47.960000
2019-06-04,49.930000
2019-06-05,50.340000
2019-06-06,51.060000
2019-06-07,51.300000
2019-06-10,51.620000
2019-06-11,52.040000
2019-06-12,52.490000
2019-06-13,52.880000
2019-06-14,51.150000
2019-06-17,49.350000
2019-06-18,49.610000
2019-06-19,48.500000
2019-06-20,48.930000
2019-06-21,48.360000
2019-06-24,49.580000
2019-06-25,49.690000
2019-06-26,50.450000
2019-06-27,50.910000
2019-06-28,49.310000
2019-07-01,50.160000
2019-07-02,49.400000
2019-07-03,49.330000
2019-07-05,49.310000
2019-07-08,48.520000
2019-07-09,47.870000
2019-07-10,47.550000
2019-07-11,47.780000
2019-07-12,49.710000
2019-07-15,50.930000
2019-07-16,52.320000
2019-07-17,51.600000
2019-07-18,51.750000
2019-07-19,51.520000
2019-07-22,50.880000
2019-07-23,52.620000
2019-07-24,52.790000
2019-07-25,50.770000
2019-07-26,49.110000
2019-07-29,48.050000
2019-07-30,48.400000
2019-07-31,48.440000
2019-08-01,46.850000
2019-08-02,45.600000
2019-08-05,44.770000
2019-08-06,44.430000
2019-08-07,44.890000
2019-08-08,46.790000
2019-08-09,46.640000
2019-08-12,45.690000
2019-08-13,46.850000
2019-08-14,44.080000
2019-08-15,43.380000
2019-08-16,44.510000
2019-08-19,45.600000
2019-08-20,43.160000
2019-08-21,43.280000
2019-08-22,42.050000
2019-08-23,40.710000
2019-08-26,40.820000
2019-08-27,41.170000
2019-08-28,42.520000
2019-08-29,42.370000
2019-08-30,42.630000
2019-09-03,41.800000
2019-09-04,42.540000
2019-09-05,43.360000
2019-09-06,43.240000
2019-09-09,44.450000
2019-09-10,46.320000
2019-09-11,46.880000
2019-09-12,46.970000
2019-09-13,48.200000
2019-09-16,49.010000
2019-09-17,48.000000
2019-09-18,47.510000
2019-09-19,47.640000
2019-09-20,48.210000
2019-09-23,47.910000
2019-09-24,46.600000
2019-09-25,47.680000
2019-09-26,47.230000
2019-09-27,47.070000
2019-09-30,47.650000
2019-10-01,45.970000
2019-10-02,44.930000
2019-10-03,45.310000
2019-10-04,45.340000
2019-10-07,45.170000
2019-10-08,43.850000
2019-10-09,44.010000
2019-10-10,44.920000
2019-10-11,47.130000
2019-10-14,46.820000
2019-10-15,47.200000
2019-10-16,47.120000
2019-10-17,47.810000
2019-10-18,47.960000
2019-10-21,47.120000
2019-10-22,46.820000
2019-10-23,47.230000
2019-10-24,49.470000
2019-10-25,50.480000
2019-10-28,51.210000
2019-10-29,51.490000
2019-10-30,51.030000
2019-10-31,50.490000
2019-11-01,52.310000
2019-11-04,54.170000
2019-11-05,54.200000
2019-11-06,54.280000
2019-11-07,55.800000
2019-11-08,55.990000
2019-11-11,55.810000
2019-11-12,55.160000
2019-11-13,53.660000
2019-11-14,53.950000
2019-11-15,54.860000
2019-11-18,54.320000
2019-11-19,53.390000
2019-11-20,52.670000
2019-11-21,53.880000
2019-11-22,54.200000
2019-11-25,55.200000
2019-11-26,55.370000
2019-11-27,54.280000
2019-11-29,53.370000
2019-12-02,53.160000
2019-12-03,51.820000
2019-12-04,52.280000
2019-12-05,52.000000
2019-12-06,53.220000
2019-12-09,53.270000
2019-12-10,53.130000
2019-12-11,53.100000
2019-12-12,54.450000
2019-12-13,53.280000
2019-12-16,54.170000
2019-12-17,54.660000
2019-12-18,54.250000
2019-12-19,54.520000
2019-12-20,54.610000
2019-12-23,54.930000
2019-12-24,54.900000
2019-12-26,55.220000
2019-12-27,54.830000
2019-12-30,54.340000
2019-12-31,54.730000
2020-01-02,53.750000
2020-01-03,52.420000
2020-01-06,52.210000
2020-01-07,52.190000
2020-01-08,52.730000
2020-01-09,52.190000
2020-01-10,51.500000
