d,c
2014-12-03,129.160000
2014-12-04,127.640000
2014-12-05,127.910000
2014-12-08,126.340000
2014-12-09,126.660000
2014-12-10,123.690000
2014-12-11,125.400000
2014-12-12,122.650000
2014-12-15,122.220000
2014-12-16,121.320000
2014-12-17,123.710000
2014-12-18,127.710000
2014-12-19,127.950000
2014-12-22,128.470000
2014-12-23,126.940000
2014-12-24,126.930000
2014-12-26,126.360000
2014-12-29,127.070000
2014-12-30,128.210000
2014-12-31,125.670000
2015-01-02,125.460000
2015-01-05,123.260000
2015-01-06,124.940000
2015-01-07,125.560000
2015-01-08,131.550000
2015-01-09,129.800000
2015-01-12,128.830000
2015-01-13,130.280000
2015-01-14,131.810000
2015-01-15,134.090000
2015-01-16,136.010000
2015-01-20,137.130000
2015-01-21,139.680000
2015-01-22,142.860000
2015-01-23,140.770000
2015-01-26,138.700000
2015-01-27,137.780000
2015-01-28,133.580000
2015-01-29,137.100000
2015-01-30,134.960000
2015-02-02,135.500000
2015-02-03,136.960000
2015-02-04,137.650000
2015-02-05,137.230000
2015-02-06,135.690000
2015-02-09,134.880000
2015-02-10,138.740000
2015-02-11,141.490000
2015-02-12,142.000000
2015-02-13,141.050000
2015-02-17,141.760000
2015-02-18,141.840000
2015-02-19,142.650000
2015-02-20,144.590000
2015-02-23,147.350000
2015-02-24,147.280000
2015-02-25,146.970000
2015-02-26,146.720000
2015-02-27,146.450000
2015-03-02,146.930000
2015-03-03,145.990000
2015-03-04,146.550000
2015-03-05,146.850000
2015-03-06,145.160000
2015-03-09,146.750000
2015-03-10,144.280000
2015-03-11,144.380000
2015-03-12,147.460000
2015-03-13,150.010000
2015-03-16,153.250000
2015-03-17,153.300000
2015-03-18,157.390000
2015-03-19,157.320000
2015-03-20,158.380000
2015-03-23,157.570000
2015-03-24,157.600000
2015-03-25,154.420000
2015-03-26,152.820000
2015-03-27,156.270000
2015-03-30,156.850000
2015-03-31,154.410000
2015-04-01,153.990000
2015-04-02,153.950000
2015-04-06,155.430000
2015-04-07,155.190000
2015-04-08,154.640000
2015-04-09,153.490000
2015-04-10,153.920000
2015-04-13,153.510000
2015-04-14,154.250000
2015-04-15,151.300000
2015-04-16,154.930000
2015-04-17,152.480000
2015-04-20,152.870000
2015-04-21,152.880000
2015-04-22,152.840000
2015-04-23,154.200000
2015-04-24,154.280000
2015-04-27,151.020000
2015-04-28,154.220000
2015-04-29,151.070000
2015-04-30,150.930000
2015-05-01,153.230000
2015-05-04,155.840000
2015-05-05,154.200000
2015-05-06,159.850000
2015-05-07,155.800000
2015-05-08,158.400000
2015-05-11,158.810000
2015-05-12,158.470000
2015-05-13,158.790000
2015-05-14,160.000000
2015-05-15,161.370000
2015-05-18,163.250000
2015-05-19,164.440000
2015-05-20,163.570000
2015-05-21,164.620000
2015-05-22,164.190000
2015-05-26,162.340000
2015-05-27,163.380000
2015-05-28,164.220000
2015-05-29,167.850000
2015-06-01,168.070000
2015-06-02,164.140000
2015-06-03,163.760000
2015-06-04,161.450000
2015-06-05,162.820000
2015-06-08,161.890000
2015-06-09,162.590000
2015-06-10,164.370000
2015-06-11,163.970000
2015-06-12,160.710000
2015-06-15,164.460000
2015-06-16,166.850000
2015-06-17,165.160000
2015-06-18,165.240000
2015-06-19,165.060000
2015-06-22,171.040000
2015-06-23,170.000000
2015-06-24,167.970000
2015-06-25,170.340000
2015-06-26,164.680000
2015-06-29,163.060000
2015-06-30,164.140000
2015-07-01,165.220000
2015-07-02,163.140000
2015-07-06,161.600000
2015-07-07,160.330000
2015-07-08,159.390000
2015-07-09,158.580000
2015-07-10,159.730000
2015-07-13,156.450000
2015-07-14,159.970000
2015-07-15,159.600000
2015-07-16,157.600000
2015-07-17,158.590000
2015-07-20,156.590000
2015-07-21,155.780000
2015-07-22,155.100000
2015-07-23,155.210000
2015-07-24,150.860000
2015-07-27,151.500000
2015-07-28,154.200000
2015-07-29,155.270000
2015-07-30,154.890000
2015-07-31,154.270000
2015-08-03,152.780000
2015-08-04,152.500000
2015-08-05,154.950000
2015-08-06,152.440000
2015-08-07,152.630000
2015-08-10,152.330000
2015-08-11,152.420000
2015-08-12,149.470000
2015-08-13,149.690000
2015-08-14,149.300000
2015-08-17,151.900000
2015-08-18,153.300000
2015-08-19,151.950000
2015-08-20,147.860000
2015-08-21,146.620000
2015-08-24,140.680000
2015-08-25,138.140000
2015-08-26,142.160000
2015-08-27,142.160000
2015-08-28,140.560000
2015-08-31,141.050000
2015-09-01,138.060000
2015-09-02,140.470000
2015-09-03,142.950000
2015-09-04,142.050000
2015-09-08,146.430000
2015-09-09,145.600000
2015-09-10,143.940000
2015-09-11,147.090000
2015-09-14,145.870000
2015-09-15,148.240000
2015-09-16,151.150000
2015-09-17,150.270000
2015-09-18,146.860000
2015-09-21,149.570000
2015-09-22,148.660000
2015-09-23,149.280000
2015-09-24,147.060000
2015-09-25,141.910000
2015-09-28,136.310000
2015-09-29,137.720000
2015-09-30,140.000000
2015-10-01,138.940000
2015-10-02,141.850000
2015-10-05,142.850000
2015-10-06,139.460000
2015-10-07,139.410000
2015-10-08,137.330000
2015-10-09,140.490000
2015-10-12,143.860000
2015-10-13,146.530000
2015-10-14,143.350000
2015-10-15,145.230000
2015-10-16,147.050000
2015-10-19,148.810000
2015-10-20,148.240000
2015-10-21,142.790000
2015-10-22,139.410000
2015-10-23,140.950000
2015-10-26,141.740000
2015-10-27,144.690000
2015-10-28,141.800000
