d,c
2009-01-02,37.800000
2009-01-05,37.400000
2009-01-06,38.240000
2009-01-07,37.250000
2009-01-08,37.820000
2009-01-09,37.040000
2009-01-12,36.350000
2009-01-13,37.290000
2009-01-14,36.120000
2009-01-15,36.600000
2009-01-16,37.840000
2009-01-20,36.130000
2009-01-21,38.670000
2009-01-22,37.100000
2009-01-23,37.340000
2009-01-26,36.220000
2009-01-27,37.310000
2009-01-28,38.330000
2009-01-29,36.210000
2009-01-30,35.450000
2009-02-02,36.120000
2009-02-03,36.700000
2009-02-04,35.670000
2009-02-05,36.280000
2009-02-06,36.980000
2009-02-09,36.690000
2009-02-10,35.240000
2009-02-11,36.800000
2009-02-12,36.530000
2009-02-13,35.840000
2009-02-17,34.840000
2009-02-18,34.430000
2009-02-19,33.490000
2009-02-20,32.710000
2009-02-23,31.090000
2009-02-24,32.830000
2009-02-25,32.000000
2009-02-26,31.040000
2009-02-27,30.040000
2009-03-02,30.070000
2009-03-03,29.390000
2009-03-04,29.480000
2009-03-05,28.570000
2009-03-06,29.290000
2009-03-09,28.980000
2009-03-10,30.370000
2009-03-11,29.750000
2009-03-12,31.340000
2009-03-13,32.290000
2009-03-16,31.650000
2009-03-17,32.830000
2009-03-18,34.190000
2009-03-19,33.120000
2009-03-20,32.940000
2009-03-23,35.540000
2009-03-24,33.200000
2009-03-25,33.840000
2009-03-26,34.660000
2009-03-27,33.850000
2009-03-30,33.150000
2009-03-31,34.180000
2009-04-01,33.880000
2009-04-02,33.950000
2009-04-03,34.220000
2009-04-06,33.820000
2009-04-07,33.120000
2009-04-08,33.660000
2009-04-09,34.750000
2009-04-13,35.290000
2009-04-14,33.180000
2009-04-15,34.300000
2009-04-16,35.200000
2009-04-17,34.520000
2009-04-20,32.720000
2009-04-21,34.880000
2009-04-22,33.890000
2009-04-23,33.980000
2009-04-24,33.880000
2009-04-27,34.000000
2009-04-28,34.230000
2009-04-29,35.360000
2009-04-30,35.320000
2009-05-01,34.110000
2009-05-04,34.160000
2009-05-05,33.400000
2009-05-06,34.270000
2009-05-07,33.980000
2009-05-08,35.780000
2009-05-11,34.670000
2009-05-12,34.900000
2009-05-13,34.040000
2009-05-14,34.670000
2009-05-15,34.130000
2009-05-18,35.240000
2009-05-19,34.400000
2009-05-20,34.010000
2009-05-21,33.880000
2009-05-22,34.000000
2009-05-26,34.650000
2009-05-27,33.880000
2009-05-28,33.990000
2009-05-29,34.600000
2009-06-01,35.880000
2009-06-02,36.360000
2009-06-03,35.930000
2009-06-04,36.430000
2009-06-05,36.470000
2009-06-08,36.410000
2009-06-09,36.280000
2009-06-10,36.200000
2009-06-11,36.290000
2009-06-12,36.260000
2009-06-15,35.220000
2009-06-16,34.770000
2009-06-17,34.850000
2009-06-18,35.340000
2009-06-19,35.720000
2009-06-22,34.730000
2009-06-23,34.640000
2009-06-24,34.670000
2009-06-25,34.860000
2009-06-26,35.260000
2009-06-29,35.750000
2009-06-30,35.760000
2009-07-01,35.710000
2009-07-02,35.010000
