d,c
2009-01-02,24.300000
2009-01-05,24.840000
2009-01-06,24.760000
2009-01-07,24.620000
2009-01-08,24.910000
2009-01-09,24.890000
2009-01-12,24.430000
2009-01-13,23.690000
2009-01-14,23.390000
2009-01-15,23.260000
2009-01-16,23.790000
2009-01-20,23.200000
2009-01-21,23.380000
2009-01-22,23.490000
2009-01-23,23.370000
2009-01-26,24.200000
2009-01-27,24.160000
2009-01-28,23.930000
2009-01-29,24.050000
2009-01-30,23.800000
2009-02-02,24.030000
2009-02-03,24.220000
2009-02-04,25.050000
2009-02-05,24.910000
2009-02-06,24.950000
2009-02-09,24.550000
2009-02-10,23.960000
2009-02-11,23.660000
2009-02-12,23.990000
2009-02-13,24.020000
2009-02-17,23.150000
2009-02-18,22.370000
2009-02-19,22.630000
2009-02-20,22.060000
2009-02-23,21.770000
2009-02-24,22.400000
2009-02-25,22.150000
2009-02-26,22.010000
2009-02-27,21.910000
2009-03-02,21.050000
2009-03-03,20.070000
2009-03-04,20.290000
2009-03-05,19.680000
2009-03-06,20.000000
2009-03-09,19.450000
2009-03-10,19.970000
2009-03-11,20.100000
2009-03-12,20.570000
2009-03-13,19.900000
2009-03-16,20.280000
2009-03-17,21.150000
2009-03-18,21.310000
2009-03-19,21.650000
2009-03-20,21.680000
2009-03-23,22.000000
2009-03-24,21.630000
2009-03-25,21.650000
2009-03-26,21.800000
2009-03-27,21.700000
2009-03-30,21.520000
2009-03-31,21.590000
2009-04-01,21.400000
2009-04-02,21.200000
2009-04-03,21.080000
2009-04-06,21.220000
2009-04-07,21.400000
2009-04-08,21.520000
2009-04-09,21.500000
2009-04-13,21.190000
2009-04-14,20.780000
2009-04-15,21.090000
2009-04-16,21.310000
2009-04-17,21.090000
2009-04-20,21.000000
2009-04-21,20.920000
2009-04-22,20.330000
2009-04-23,20.140000
2009-04-24,20.240000
2009-04-27,20.730000
2009-04-28,20.550000
2009-04-29,20.500000
2009-04-30,21.020000
2009-05-01,21.580000
2009-05-04,21.650000
2009-05-05,21.750000
2009-05-06,21.480000
2009-05-07,21.260000
2009-05-08,21.200000
2009-05-11,21.180000
2009-05-12,21.380000
2009-05-13,21.170000
2009-05-14,21.030000
2009-05-15,20.580000
2009-05-18,20.620000
2009-05-19,20.750000
2009-05-20,19.990000
2009-05-21,20.220000
2009-05-22,20.240000
2009-05-26,20.810000
2009-05-27,20.600000
2009-05-28,20.650000
2009-05-29,20.790000
2009-06-01,21.670000
2009-06-02,21.430000
2009-06-03,21.070000
2009-06-04,21.040000
2009-06-05,21.230000
2009-06-08,21.120000
2009-06-09,20.880000
2009-06-10,21.160000
2009-06-11,21.610000
2009-06-12,22.120000
2009-06-15,21.940000
2009-06-16,21.710000
2009-06-17,21.660000
2009-06-18,22.370000
2009-06-19,21.970000
2009-06-22,22.110000
2009-06-23,21.560000
2009-06-24,21.750000
2009-06-25,22.150000
2009-06-26,22.120000
2009-06-29,22.400000
2009-06-30,22.310000
2009-07-01,22.980000
2009-07-02,22.340000
2009-07-06,22.500000
2009-07-07,22.060000
2009-07-08,21.750000
2009-07-09,21.510000
2009-07-10,21.380000
2009-07-13,21.550000
2009-07-14,21.540000
2009-07-15,22.070000
2009-07-16,22.210000
2009-07-17,22.090000
2009-07-20,22.070000
2009-07-21,22.290000
2009-07-22,22.280000
2009-07-23,22.860000
2009-07-24,23.000000
2009-07-27,23.000000
2009-07-28,22.790000
2009-07-29,22.660000
2009-07-30,23.140000
2009-07-31,23.010000
2009-08-03,23.290000
2009-08-04,23.010000
2009-08-05,23.140000
2009-08-06,22.920000
2009-08-07,23.380000
2009-08-10,23.320000
2009-08-11,23.340000
2009-08-12,23.580000
