d,c
2021-02-10,44.990000
2021-02-11,42.800000
2021-02-12,42.510000
2021-02-16,43.550000
2021-02-17,44.260000
2021-02-18,43.000000
2021-02-19,44.000000
2021-02-22,43.840000
2021-02-23,43.660000
2021-02-24,45.000000
2021-02-25,44.750000
2021-02-26,44.180000
2021-03-01,44.670000
2021-03-02,45.300000
2021-03-03,47.250000
2021-03-04,46.180000
2021-03-05,45.030000
2021-03-08,44.370000
2021-03-09,44.280000
2021-03-10,44.750000
2021-03-11,45.340000
2021-03-12,45.750000
2021-03-15,45.750000
2021-03-16,44.810000
2021-03-17,45.280000
2021-03-18,43.500000
2021-03-19,43.310000
2021-03-22,42.750000
2021-03-23,41.700000
2021-03-24,41.600000
2021-03-25,42.160000
2021-03-26,43.330000
2021-03-29,42.520000
2021-03-30,43.140000
2021-03-31,43.390000
2021-04-01,44.930000
2021-04-05,44.660000
2021-04-06,45.210000
2021-04-07,45.100000
2021-04-08,45.330000
2021-04-09,45.540000
2021-04-12,45.450000
2021-04-13,45.510000
2021-04-14,46.190000
2021-04-15,46.190000
2021-04-16,45.650000
2021-04-19,45.970000
2021-04-20,45.710000
2021-04-21,46.240000
2021-04-22,46.080000
2021-04-23,46.460000
2021-04-26,46.880000
2021-04-27,46.870000
2021-04-28,46.180000
2021-04-29,46.950000
2021-04-30,45.570000
2021-05-03,46.360000
2021-05-04,46.000000
2021-05-05,46.740000
2021-05-06,47.510000
2021-05-07,49.170000
2021-05-10,49.570000
2021-05-11,49.060000
2021-05-12,49.480000
2021-05-13,49.500000
2021-05-14,48.870000
2021-05-17,49.990000
2021-05-18,51.300000
2021-05-19,51.000000
2021-05-20,50.490000
2021-05-21,50.430000
2021-05-24,50.550000
2021-05-25,50.440000
2021-05-26,52.800000
2021-05-27,52.950000
2021-05-28,52.800000
2021-06-01,54.880000
2021-06-02,53.420000
2021-06-03,53.480000
2021-06-04,54.430000
2021-06-07,55.540000
2021-06-08,55.510000
2021-06-09,55.430000
2021-06-10,55.580000
2021-06-11,56.220000
2021-06-14,55.830000
2021-06-15,55.960000
2021-06-16,54.090000
2021-06-17,53.760000
2021-06-18,53.110000
2021-06-21,55.080000
2021-06-22,53.610000
2021-06-23,52.930000
2021-06-24,53.090000
2021-06-25,53.130000
2021-06-28,51.000000
2021-06-29,49.550000
2021-06-30,51.920000
2021-07-01,53.990000
2021-07-02,54.590000
2021-07-06,53.860000
2021-07-07,54.260000
2021-07-08,54.610000
2021-07-09,54.810000
2021-07-12,54.740000
2021-07-13,53.810000
2021-07-14,50.840000
2021-07-15,50.720000
2021-07-16,50.140000
2021-07-19,48.900000
2021-07-20,50.810000
2021-07-21,52.960000
2021-07-22,53.980000
2021-07-23,54.790000
2021-07-26,55.180000
2021-07-27,54.960000
2021-07-28,55.440000
2021-07-29,55.340000
2021-07-30,54.050000
2021-08-02,53.300000
2021-08-03,54.570000
2021-08-04,54.480000
2021-08-05,54.210000
2021-08-06,55.040000
2021-08-09,54.060000
2021-08-10,55.500000
2021-08-11,56.940000
2021-08-12,58.810000
2021-08-13,56.790000
2021-08-16,55.830000
2021-08-17,54.770000
2021-08-18,52.420000
2021-08-19,51.970000
2021-08-20,52.670000
2021-08-23,52.250000
2021-08-24,52.700000
2021-08-25,53.030000
2021-08-26,53.110000
2021-08-27,55.380000
2021-08-30,54.790000
2021-08-31,55.810000
2021-09-01,56.610000
2021-09-02,58.290000
2021-09-03,59.030000
2021-09-07,59.830000
2021-09-08,60.880000
2021-09-09,60.570000
2021-09-10,59.540000
2021-09-13,62.660000
2021-09-14,61.690000
2021-09-15,62.980000
2021-09-16,61.190000
2021-09-17,61.070000
2021-09-20,59.720000
2021-09-21,58.260000
2021-09-22,58.560000
2021-09-23,60.470000
2021-09-24,58.590000
2021-09-27,62.480000
2021-09-28,62.100000
2021-09-29,60.860000
2021-09-30,61.590000
2021-10-01,62.080000
2021-10-04,64.640000
2021-10-05,66.920000
2021-10-06,63.970000
2021-10-07,64.750000
2021-10-08,65.780000
2021-10-11,62.730000
2021-10-12,62.100000
2021-10-13,62.050000
2021-10-14,64.010000
2021-10-15,62.750000
2021-10-18,63.190000
2021-10-19,61.820000
2021-10-20,62.310000
2021-10-21,61.430000
2021-10-22,62.070000
2021-10-25,67.750000
2021-10-26,67.580000
2021-10-27,66.210000
2021-10-28,66.280000
2021-10-29,63.740000
2021-11-01,65.790000
2021-11-02,65.370000
2021-11-03,67.550000
2021-11-04,65.600000
2021-11-05,65.820000
2021-11-08,66.220000
2021-11-09,67.370000
2021-11-10,63.100000
2021-11-11,64.440000
2021-11-12,62.920000
2021-11-15,62.410000
2021-11-16,62.290000
2021-11-17,63.750000
2021-11-18,64.230000
2021-11-19,61.740000
2021-11-22,61.220000
2021-11-23,63.940000
2021-11-24,64.680000
2021-11-26,63.920000
2021-11-29,61.370000
2021-11-30,59.540000
2021-12-01,57.000000
2021-12-02,60.880000
2021-12-03,60.330000
2021-12-06,59.790000
2021-12-07,63.180000
2021-12-08,64.460000
2021-12-09,63.320000
2021-12-10,63.800000
2021-12-13,61.910000
2021-12-14,61.730000
2021-12-15,60.940000
2021-12-16,61.360000
2021-12-17,60.760000
2021-12-20,60.100000
2021-12-21,61.630000
2021-12-22,62.410000
2021-12-23,63.180000
2021-12-27,65.850000
2021-12-28,65.960000
2021-12-29,65.570000
2021-12-30,64.350000
2021-12-31,64.520000
2022-01-03,66.550000
2022-01-04,66.780000
2022-01-05,65.190000
2022-01-06,66.740000
2022-01-07,69.300000
2022-01-10,70.200000
2022-01-11,69.890000
2022-01-12,73.110000
2022-01-13,70.100000
2022-01-14,71.520000
2022-01-18,69.470000
2022-01-19,67.530000
2022-01-20,64.790000
2022-01-21,63.040000
2022-01-24,63.760000
2022-01-25,67.130000
2022-01-26,68.430000
2022-01-27,69.120000
2022-01-28,68.390000
2022-01-31,68.170000
2022-02-01,68.470000
2022-02-02,69.500000
2022-02-03,67.690000
2022-02-04,66.980000
2022-02-07,66.790000
2022-02-08,65.720000
2022-02-09,65.680000
2022-02-10,65.620000
2022-02-11,69.150000
2022-02-14,67.770000
2022-02-15,68.270000
2022-02-16,66.570000
2022-02-17,66.820000
2022-02-18,65.780000
2022-02-22,66.350000
2022-02-23,68.500000
2022-02-24,70.910000
2022-02-25,75.080000
2022-02-28,77.250000
2022-03-01,79.270000
2022-03-02,79.370000
2022-03-03,80.280000
2022-03-04,85.000000
2022-03-07,85.890000
2022-03-08,82.460000
2022-03-09,80.880000
2022-03-10,80.860000
2022-03-11,80.550000
2022-03-14,76.260000
2022-03-15,75.460000
2022-03-16,77.010000
2022-03-17,79.010000
2022-03-18,78.510000
2022-03-21,81.060000
2022-03-22,80.510000
2022-03-23,84.060000
2022-03-24,87.000000
2022-03-25,89.320000
2022-03-28,87.950000
2022-03-29,86.810000
2022-03-30,88.110000
2022-03-31,87.000000
2022-04-01,90.000000
2022-04-04,88.980000
2022-04-05,88.670000
2022-04-06,90.030000
2022-04-07,90.610000
2022-04-08,92.170000
2022-04-11,91.600000
2022-04-12,91.200000
2022-04-13,93.600000
2022-04-14,94.360000
2022-04-18,94.920000
2022-04-19,91.650000
2022-04-20,92.880000
2022-04-21,91.140000
2022-04-22,86.530000
2022-04-25,84.090000
2022-04-26,83.100000
2022-04-27,84.000000
2022-04-28,84.460000
2022-04-29,82.020000
2022-05-02,82.760000
2022-05-03,88.590000
2022-05-04,94.980000
2022-05-05,95.570000
2022-05-06,93.150000
2022-05-09,84.700000
2022-05-10,83.800000
2022-05-11,86.230000
2022-05-12,84.490000
2022-05-13,85.890000
2022-05-16,89.030000
2022-05-17,90.480000
2022-05-18,86.630000
2022-05-19,87.120000
2022-05-20,91.130000
2022-05-23,95.870000
2022-05-24,97.870000
2022-05-25,99.250000
2022-05-26,100.200000
2022-05-27,103.150000
2022-05-31,97.380000
2022-06-01,100.000000
2022-06-02,98.040000
2022-06-03,98.790000
2022-06-06,99.750000
2022-06-07,102.560000
2022-06-08,99.540000
2022-06-09,97.980000
2022-06-10,98.170000
2022-06-13,93.370000
2022-06-14,87.650000
2022-06-15,88.250000
2022-06-16,84.350000
2022-06-17,80.280000
2022-06-21,83.550000
2022-06-22,82.790000
