d,c
2012-10-12,17.500000
2012-10-15,17.750000
2012-10-16,17.790000
2012-10-17,17.700000
2012-10-18,17.700000
2012-10-19,17.410000
2012-10-22,17.030000
2012-10-23,17.130000
2012-10-24,17.390000
2012-10-25,17.030000
2012-10-26,17.140000
2012-10-31,17.030000
2012-11-01,17.230000
2012-11-02,17.000000
2012-11-05,16.710000
2012-11-06,17.010000
2012-11-07,17.060000
2012-11-08,16.750000
2012-11-09,16.550000
2012-11-12,16.500000
2012-11-13,16.040000
2012-11-14,16.050000
2012-11-15,16.700000
2012-11-16,16.820000
2012-11-19,17.120000
2012-11-20,17.130000
2012-11-21,17.200000
2012-11-23,17.320000
2012-11-26,17.260000
2012-11-27,17.230000
2012-11-28,17.250000
2012-11-29,18.160000
2012-11-30,18.000000
2012-12-03,18.100000
2012-12-04,17.830000
2012-12-05,17.980000
2012-12-06,17.620000
2012-12-07,17.750000
2012-12-10,17.620000
2012-12-11,17.540000
2012-12-12,17.640000
2012-12-13,17.880000
2012-12-14,17.570000
2012-12-17,17.980000
2012-12-18,18.800000
2012-12-19,19.180000
2012-12-20,19.020000
2012-12-21,18.980000
2012-12-24,18.640000
2012-12-26,18.650000
2012-12-27,18.540000
2012-12-28,18.780000
2012-12-31,19.120000
2013-01-02,19.240000
2013-01-03,19.140000
2013-01-04,20.050000
2013-01-07,20.770000
2013-01-08,20.600000
2013-01-09,20.470000
2013-01-10,21.630000
2013-01-11,21.670000
2013-01-14,21.800000
2013-01-15,21.720000
2013-01-16,21.280000
2013-01-17,21.120000
2013-01-18,20.540000
2013-01-22,21.790000
2013-01-23,21.430000
2013-01-24,21.430000
2013-01-25,22.000000
2013-01-28,21.640000
2013-01-29,22.130000
2013-01-30,22.670000
2013-01-31,22.420000
2013-02-01,22.700000
2013-02-04,22.540000
2013-02-05,22.630000
2013-02-06,22.630000
2013-02-07,22.420000
2013-02-08,22.050000
2013-02-11,21.560000
2013-02-12,21.570000
2013-02-13,21.560000
2013-02-14,22.000000
2013-02-15,22.300000
2013-02-19,22.820000
2013-02-20,21.280000
2013-02-21,20.730000
2013-02-22,20.980000
2013-02-25,19.740000
2013-02-26,20.050000
2013-02-27,20.960000
2013-02-28,22.710000
2013-03-01,22.340000
2013-03-04,22.390000
2013-03-05,23.700000
2013-03-06,23.550000
2013-03-07,24.510000
2013-03-08,24.900000
2013-03-11,24.490000
2013-03-12,24.930000
2013-03-13,25.750000
2013-03-14,24.860000
2013-03-15,24.150000
2013-03-18,23.990000
2013-03-19,23.760000
2013-03-20,24.000000
2013-03-21,24.310000
2013-03-22,24.550000
2013-03-25,25.200000
2013-03-26,25.650000
2013-03-27,26.110000
2013-03-28,26.840000
2013-04-01,27.400000
2013-04-02,27.040000
2013-04-03,24.920000
2013-04-04,25.050000
2013-04-05,25.180000
2013-04-08,26.050000
2013-04-09,26.760000
2013-04-10,26.080000
2013-04-11,26.500000
2013-04-12,26.630000
2013-04-15,25.800000
2013-04-16,26.740000
2013-04-17,25.800000
2013-04-18,26.510000
2013-04-19,26.220000
2013-04-22,26.980000
2013-04-23,27.490000
2013-04-24,27.100000
2013-04-25,27.300000
2013-04-26,26.880000
2013-04-29,26.040000
2013-04-30,26.260000
2013-05-01,26.440000
2013-05-02,27.100000
2013-05-03,27.480000
2013-05-06,28.760000
2013-05-07,28.540000
2013-05-08,29.530000
2013-05-09,28.680000
2013-05-10,28.580000
2013-05-13,28.660000
2013-05-14,28.870000
2013-05-15,29.480000
2013-05-16,29.940000
2013-05-17,31.430000
2013-05-20,32.030000
2013-05-21,31.710000
2013-05-22,32.540000
2013-05-23,33.270000
2013-05-24,34.320000
2013-05-28,34.950000
2013-05-29,34.960000
2013-05-30,34.950000
2013-05-31,33.770000
2013-06-03,34.600000
2013-06-04,34.080000
2013-06-05,33.940000
2013-06-06,34.580000
2013-06-07,35.450000
2013-06-10,34.740000
2013-06-11,34.460000
2013-06-12,34.430000
2013-06-13,34.970000
2013-06-14,34.890000
2013-06-17,34.450000
2013-06-18,35.010000
2013-06-19,34.610000
2013-06-20,32.640000
2013-06-21,33.150000
2013-06-24,32.020000
2013-06-25,32.920000
2013-06-26,33.650000
2013-06-27,33.060000
2013-06-28,33.320000
2013-07-01,34.270000
2013-07-02,34.560000
2013-07-03,35.200000
2013-07-05,35.890000
2013-07-08,36.100000
2013-07-09,36.500000
2013-07-10,37.160000
2013-07-11,37.600000
2013-07-12,37.250000
2013-07-15,37.270000
2013-07-16,37.710000
2013-07-17,37.660000
2013-07-18,38.080000
2013-07-19,39.360000
2013-07-22,39.470000
2013-07-23,38.790000
2013-07-24,37.410000
2013-07-25,37.750000
2013-07-26,37.470000
2013-07-29,37.670000
2013-07-30,37.830000
2013-07-31,38.180000
2013-08-01,42.610000
2013-08-02,42.650000
2013-08-05,43.100000
2013-08-06,42.200000
2013-08-07,42.240000
2013-08-08,42.090000
2013-08-09,42.240000
2013-08-12,42.080000
2013-08-13,42.090000
2013-08-14,40.450000
2013-08-15,39.790000
2013-08-16,40.500000
2013-08-19,39.350000
2013-08-20,39.280000
2013-08-21,39.220000
2013-08-22,39.350000
2013-08-23,40.120000
2013-08-26,40.000000
2013-08-27,39.890000
2013-08-28,41.500000
2013-08-29,40.440000
2013-08-30,40.240000
2013-09-03,41.660000
2013-09-04,43.350000
2013-09-05,43.620000
2013-09-06,43.420000
2013-09-09,44.320000
2013-09-10,44.380000
2013-09-11,45.530000
2013-09-12,46.630000
2013-09-13,46.000000
2013-09-16,44.820000
2013-09-17,44.590000
2013-09-18,44.670000
2013-09-19,44.020000
2013-09-20,42.780000
2013-09-23,43.550000
2013-09-24,43.630000
2013-09-25,43.760000
2013-09-26,43.980000
2013-09-27,43.150000
2013-09-30,42.640000
2013-10-01,43.420000
2013-10-02,43.220000
2013-10-03,43.830000
2013-10-04,46.010000
2013-10-07,45.760000
2013-10-08,44.560000
2013-10-09,43.380000
2013-10-10,43.680000
2013-10-11,44.700000
2013-10-14,46.520000
2013-10-15,46.850000
2013-10-16,49.520000
2013-10-17,50.180000
2013-10-18,52.180000
2013-10-21,52.750000
2013-10-22,50.320000
2013-10-23,49.100000
2013-10-24,54.000000
2013-10-25,53.320000
2013-10-28,53.520000
2013-10-29,54.070000
2013-10-30,53.710000
2013-10-31,51.650000
2013-11-01,50.640000
2013-11-04,53.160000
2013-11-05,55.140000
2013-11-06,53.460000
2013-11-07,54.000000
2013-11-08,53.470000
2013-11-11,53.290000
2013-11-12,52.500000
2013-11-13,53.150000
2013-11-14,53.124000
2013-11-15,53.530000
2013-11-18,50.214000
2013-11-19,48.820000
2013-11-20,48.760000
2013-11-21,51.740000
2013-11-22,51.530000
2013-11-25,50.880000
2013-11-26,51.610000
2013-11-27,50.060000
2013-11-29,49.740000
2013-12-02,50.370000
2013-12-03,50.230000
2013-12-04,50.450000
2013-12-05,49.200000
2013-12-06,46.180000
2013-12-09,45.070000
2013-12-10,46.000000
2013-12-11,45.110000
2013-12-12,44.960000
2013-12-13,44.730000
2013-12-16,45.490000
2013-12-17,46.118000
2013-12-18,46.340000
2013-12-19,49.800000
2013-12-20,50.790000
2013-12-23,52.100000
2013-12-24,52.020000
2013-12-26,52.730000
2013-12-27,53.340000
2013-12-30,51.930000
2013-12-31,52.882000
2014-01-02,51.160000
2014-01-03,49.180000
2014-01-06,48.570000
2014-01-07,48.390000
2014-01-08,47.610000
2014-01-09,45.520000
2014-01-10,46.970000
2014-01-13,44.430000
2014-01-14,47.010000
2014-01-15,48.020000
2014-01-16,48.610000
2014-01-17,48.510000
2014-01-21,49.080000
2014-01-22,51.220000
2014-01-23,50.440000
2014-01-24,48.870000
2014-01-27,47.540000
2014-01-28,49.800000
2014-01-29,48.590000
2014-01-30,51.370000
2014-01-31,51.980000
2014-02-03,50.080000
2014-02-04,51.640000
2014-02-05,52.960000
2014-02-06,53.770000
2014-02-07,56.720000
2014-02-10,57.520000
2014-02-11,58.910000
2014-02-12,57.970000
2014-02-13,58.890000
2014-02-14,59.650000
2014-02-18,61.020000
2014-02-19,61.040000
2014-02-20,62.670000
2014-02-21,63.990000
2014-02-24,64.800000
2014-02-25,63.740000
2014-02-26,64.540000
2014-02-27,63.890000
2014-02-28,64.330000
2014-03-03,64.410000
2014-03-04,65.480000
2014-03-05,64.040000
2014-03-06,62.760000
2014-03-07,63.880000
2014-03-10,63.030000
2014-03-11,62.010000
2014-03-12,63.160000
