d,c
2009-01-02,59.420000
2009-01-05,57.870000
2009-01-06,60.310000
2009-01-07,58.450000
2009-01-08,59.520000
2009-01-09,56.410000
2009-01-12,52.450000
2009-01-13,54.120000
2009-01-14,52.070000
2009-01-15,50.520000
2009-01-16,52.830000
2009-01-20,48.400000
2009-01-21,51.070000
2009-01-22,48.550000
2009-01-23,49.920000
2009-01-26,49.710000
2009-01-27,51.510000
2009-01-28,56.220000
2009-01-29,52.850000
2009-01-30,50.630000
2009-02-02,51.110000
2009-02-03,50.920000
2009-02-04,50.490000
2009-02-05,48.710000
2009-02-06,51.930000
2009-02-09,53.310000
2009-02-10,48.830000
2009-02-11,49.460000
2009-02-12,48.690000
2009-02-13,46.190000
2009-02-17,43.480000
2009-02-18,42.570000
2009-02-19,42.180000
2009-02-20,45.610000
2009-02-23,42.370000
2009-02-24,44.800000
2009-02-25,44.030000
2009-02-26,42.200000
2009-02-27,41.130000
2009-03-02,38.820000
2009-03-03,39.670000
2009-03-04,40.540000
2009-03-05,39.440000
2009-03-06,39.900000
2009-03-09,40.200000
2009-03-10,44.690000
2009-03-11,43.690000
2009-03-12,47.410000
2009-03-13,46.800000
2009-03-16,43.200000
2009-03-17,45.120000
2009-03-18,46.430000
2009-03-19,45.310000
2009-03-20,41.620000
2009-03-23,47.490000
2009-03-24,43.700000
2009-03-25,44.550000
2009-03-26,45.280000
2009-03-27,43.720000
2009-03-30,42.560000
2009-03-31,46.000000
2009-04-01,45.510000
2009-04-02,48.810000
2009-04-03,50.810000
2009-04-06,51.740000
2009-04-07,47.000000
2009-04-08,48.660000
2009-04-09,57.090000
2009-04-13,57.230000
2009-04-14,51.220000
2009-04-15,55.710000
2009-04-16,59.220000
2009-04-17,59.280000
2009-04-20,51.550000
2009-04-21,53.690000
2009-04-22,51.760000
2009-04-23,53.950000
2009-04-24,56.370000
2009-04-27,54.080000
2009-04-28,54.020000
2009-04-29,56.330000
2009-04-30,55.200000
2009-05-01,52.870000
2009-05-04,56.570000
2009-05-05,55.790000
2009-05-06,57.420000
2009-05-07,53.800000
2009-05-08,58.020000
2009-05-11,54.580000
2009-05-12,54.370000
2009-05-13,50.960000
2009-05-14,52.310000
2009-05-15,50.570000
2009-05-18,53.750000
2009-05-19,51.330000
2009-05-20,50.790000
2009-05-21,51.070000
2009-05-22,49.980000
2009-05-26,52.630000
2009-05-27,50.960000
2009-05-28,51.750000
2009-05-29,52.650000
2009-06-01,54.370000
2009-06-02,53.940000
2009-06-03,54.740000
2009-06-04,54.970000
2009-06-05,54.990000
2009-06-08,54.990000
2009-06-09,55.160000
2009-06-10,54.000000
2009-06-11,53.510000
2009-06-12,55.980000
2009-06-15,53.070000
2009-06-16,52.500000
2009-06-17,52.250000
2009-06-18,52.130000
2009-06-19,52.810000
2009-06-22,49.170000
2009-06-23,49.370000
2009-06-24,49.840000
2009-06-25,50.180000
2009-06-26,51.600000
2009-06-29,51.430000
2009-06-30,51.520000
2009-07-01,52.230000
2009-07-02,49.430000
2009-07-06,51.630000
2009-07-07,49.350000
2009-07-08,49.160000
2009-07-09,48.240000
2009-07-10,48.530000
2009-07-13,50.040000
2009-07-14,50.770000
2009-07-15,52.680000
2009-07-16,53.740000
2009-07-17,51.070000
2009-07-20,52.490000
2009-07-21,52.510000
2009-07-22,52.950000
2009-07-23,54.770000
2009-07-24,55.230000
2009-07-27,55.670000
2009-07-28,55.930000
2009-07-29,55.430000
2009-07-30,57.480000
2009-07-31,57.050000
2009-08-03,57.320000
2009-08-04,59.520000
2009-08-05,59.260000
2009-08-06,57.230000
2009-08-07,61.440000
2009-08-10,60.120000
2009-08-11,59.750000
2009-08-12,59.580000
2009-08-13,60.570000
2009-08-14,60.230000
2009-08-17,57.440000
2009-08-18,57.750000
2009-08-19,56.900000
2009-08-20,59.160000
2009-08-21,60.860000
2009-08-24,60.530000
2009-08-25,61.270000
2009-08-26,61.290000
2009-08-27,61.830000
2009-08-28,62.690000
2009-08-31,62.370000
2009-09-01,59.720000
2009-09-02,58.010000
2009-09-03,59.400000
2009-09-04,59.090000
2009-09-08,60.890000
2009-09-09,62.140000
2009-09-10,62.130000
2009-09-11,61.410000
2009-09-14,62.190000
2009-09-15,63.000000
2009-09-16,66.030000
2009-09-17,65.240000
2009-09-18,65.410000
2009-09-21,63.690000
2009-09-22,65.860000
2009-09-23,63.420000
2009-09-24,60.430000
2009-09-25,60.350000
2009-09-28,62.470000
2009-09-29,61.570000
2009-09-30,61.370000
2009-10-01,59.350000
2009-10-02,58.650000
2009-10-05,60.540000
2009-10-06,60.540000
2009-10-07,60.670000
2009-10-08,61.110000
2009-10-09,61.240000
2009-10-12,60.910000
2009-10-13,60.200000
2009-10-14,61.710000
2009-10-15,60.940000
2009-10-16,60.100000
2009-10-19,60.400000
2009-10-20,59.320000
2009-10-21,58.440000
2009-10-22,58.640000
2009-10-23,59.200000
2009-10-26,59.220000
2009-10-27,59.290000
2009-10-28,57.490000
2009-10-29,59.900000
2009-10-30,59.030000
2009-11-02,59.850000
2009-11-03,61.570000
2009-11-04,60.680000
2009-11-05,64.340000
2009-11-06,63.420000
2009-11-09,66.980000
2009-11-10,65.870000
2009-11-11,66.190000
2009-11-12,65.890000
2009-11-13,65.630000
2009-11-16,66.800000
2009-11-17,64.860000
2009-11-18,66.180000
2009-11-19,65.030000
2009-11-20,64.560000
2009-11-23,64.520000
2009-11-24,63.520000
2009-11-25,63.490000
2009-11-27,62.140000
2009-11-30,64.320000
2009-12-01,64.460000
2009-12-02,65.140000
2009-12-03,64.790000
2009-12-04,65.860000
2009-12-07,64.760000
2009-12-08,64.620000
2009-12-09,64.660000
2009-12-10,65.000000
2009-12-11,65.530000
2009-12-14,66.190000
2009-12-15,65.000000
2009-12-16,64.950000
2009-12-17,64.100000
2009-12-18,66.130000
2009-12-21,67.290000
2009-12-22,68.450000
2009-12-23,69.840000
2009-12-24,70.160000
2009-12-28,70.490000
2009-12-29,69.230000
2009-12-30,68.500000
2009-12-31,67.720000
2010-01-04,67.030000
2010-01-05,66.950000
2010-01-06,66.770000
2010-01-07,66.750000
2010-01-08,66.330000
2010-01-11,67.160000
2010-01-12,66.010000
2010-01-13,67.320000
2010-01-14,67.050000
2010-01-15,67.590000
2010-01-19,69.260000
2010-01-20,68.360000
2010-01-21,66.980000
2010-01-22,65.500000
2010-01-25,65.630000
2010-01-26,65.370000
2010-01-27,65.070000
2010-01-28,64.540000
2010-01-29,64.380000
2010-02-01,65.880000
2010-02-02,67.810000
2010-02-03,66.750000
2010-02-04,63.730000
2010-02-05,65.020000
2010-02-08,63.580000
2010-02-09,63.100000
2010-02-10,63.070000
2010-02-11,63.740000
2010-02-12,64.460000
2010-02-16,66.220000
2010-02-17,67.130000
2010-02-18,68.080000
2010-02-19,68.490000
2010-02-22,68.580000
2010-02-23,68.270000
2010-02-24,68.620000
2010-02-25,69.050000
2010-02-26,68.960000
2010-03-01,69.570000
2010-03-02,69.960000
2010-03-03,69.780000
2010-03-04,69.910000
2010-03-05,71.450000
2010-03-08,72.210000
2010-03-09,71.810000
2010-03-10,71.870000
2010-03-11,71.780000
2010-03-12,72.360000
2010-03-15,71.600000
2010-03-16,73.090000
2010-03-17,73.670000
2010-03-18,73.500000
2010-03-19,72.780000
2010-03-22,73.550000
2010-03-23,73.560000
2010-03-24,73.820000
2010-03-25,74.110000
2010-03-26,73.430000
2010-03-29,73.600000
2010-03-30,72.910000
2010-03-31,72.810000
2010-04-01,72.670000
2010-04-05,74.590000
2010-04-06,76.070000
2010-04-07,74.070000
2010-04-08,74.060000
2010-04-09,75.150000
2010-04-12,74.530000
2010-04-13,75.870000
2010-04-14,75.150000
2010-04-15,73.620000
2010-04-16,73.280000
2010-04-19,73.430000
2010-04-20,74.560000
2010-04-21,76.070000
2010-04-22,77.830000
2010-04-23,78.550000
2010-04-26,78.600000
2010-04-27,76.070000
2010-04-28,76.170000
2010-04-29,78.800000
2010-04-30,77.390000
2010-05-03,79.520000
2010-05-04,77.960000
2010-05-05,76.840000
2010-05-06,74.250000
2010-05-07,73.530000
2010-05-10,78.300000
2010-05-11,78.240000
2010-05-12,78.860000
2010-05-13,77.430000
2010-05-14,75.490000
2010-05-17,74.870000
2010-05-18,72.790000
2010-05-19,71.890000
2010-05-20,68.350000
2010-05-21,70.720000
2010-05-24,69.670000
2010-05-25,70.570000
2010-05-26,70.450000
2010-05-27,74.230000
2010-05-28,73.700000
2010-06-01,72.530000
2010-06-02,74.270000
2010-06-03,73.580000
2010-06-04,70.080000
2010-06-07,70.320000
2010-06-08,70.930000
2010-06-09,71.470000
2010-06-10,73.700000
2010-06-11,74.500000
2010-06-14,75.260000
2010-06-15,76.470000
2010-06-16,75.990000
2010-06-17,76.150000
2010-06-18,75.310000
2010-06-21,74.650000
2010-06-22,72.090000
2010-06-23,72.760000
2010-06-24,71.390000
2010-06-25,73.550000
2010-06-28,72.900000
2010-06-29,71.030000
2010-06-30,70.270000
2010-07-01,70.540000
2010-07-02,69.890000
2010-07-06,68.910000
2010-07-07,72.270000
2010-07-08,73.080000
2010-07-09,73.410000
2010-07-12,73.430000
2010-07-13,74.530000
2010-07-14,73.900000
2010-07-15,73.870000
2010-07-16,72.350000
2010-07-19,73.220000
2010-07-20,74.590000
2010-07-21,73.120000
2010-07-22,75.640000
2010-07-23,77.140000
2010-07-26,78.880000
2010-07-27,78.160000
2010-07-28,78.680000
2010-07-29,77.910000
2010-07-30,78.190000
2010-08-02,81.350000
2010-08-03,80.960000
2010-08-04,81.540000
2010-08-05,79.280000
2010-08-06,78.990000
2010-08-09,80.320000
2010-08-10,79.730000
2010-08-11,78.040000
2010-08-12,77.490000
2010-08-13,77.560000
2010-08-16,78.060000
2010-08-17,79.870000
