d,c
2009-01-02,26.090000
2009-01-05,25.500000
2009-01-06,24.815000
2009-01-07,24.360000
2009-01-08,24.435000
2009-01-09,23.885000
2009-01-12,23.825000
2009-01-13,24.205000
2009-01-14,23.810000
2009-01-15,24.015000
2009-01-16,24.140000
2009-01-20,23.600000
2009-01-21,24.700000
2009-01-22,24.350000
2009-01-23,24.125000
2009-01-26,24.195000
2009-01-27,24.115000
2009-01-28,25.270000
2009-01-29,25.320000
2009-01-30,25.385000
2009-02-02,25.935000
2009-02-03,26.400000
2009-02-04,25.980000
2009-02-05,26.115000
2009-02-06,26.225000
2009-02-09,25.755000
2009-02-10,24.885000
2009-02-11,24.980000
2009-02-12,25.250000
2009-02-13,25.125000
2009-02-17,24.360000
2009-02-18,24.795000
2009-02-19,24.520000
2009-02-20,25.000000
2009-02-23,24.475000
2009-02-24,25.170000
2009-02-25,24.770000
2009-02-26,23.535000
2009-02-27,22.400000
2009-03-02,22.135000
2009-03-03,22.510000
2009-03-04,22.685000
2009-03-05,21.890000
2009-03-06,22.005000
2009-03-09,21.855000
2009-03-10,22.255000
2009-03-11,22.020000
2009-03-12,22.215000
2009-03-13,22.715000
2009-03-16,22.095000
2009-03-17,23.050000
2009-03-18,22.570000
2009-03-19,22.150000
2009-03-20,22.155000
2009-03-23,22.840000
2009-03-24,22.280000
2009-03-25,21.940000
2009-03-26,21.970000
2009-03-27,22.185000
2009-03-30,22.810000
2009-03-31,23.160000
2009-04-01,22.590000
2009-04-02,22.350000
2009-04-03,23.490000
2009-04-06,24.185000
2009-04-07,23.715000
2009-04-08,23.695000
2009-04-09,23.815000
2009-04-13,23.765000
2009-04-14,23.325000
2009-04-15,22.270000
2009-04-16,22.425000
2009-04-17,22.345000
2009-04-20,21.885000
2009-04-21,21.865000
2009-04-22,23.110000
2009-04-23,22.950000
2009-04-24,22.900000
2009-04-27,23.765000
2009-04-28,23.800000
2009-04-29,23.480000
2009-04-30,22.900000
2009-05-01,22.405000
2009-05-04,22.450000
2009-05-05,22.260000
2009-05-06,22.015000
2009-05-07,22.715000
2009-05-08,22.005000
2009-05-11,22.325000
2009-05-12,22.270000
2009-05-13,22.200000
2009-05-14,22.100000
2009-05-15,21.875000
2009-05-18,21.680000
2009-05-19,21.345000
2009-05-20,21.160000
2009-05-21,21.280000
2009-05-22,21.165000
2009-05-26,21.235000
2009-05-27,20.720000
2009-05-28,21.010000
2009-05-29,21.550000
2009-06-01,21.385000
2009-06-02,21.545000
2009-06-03,22.365000
2009-06-04,22.460000
2009-06-05,22.290000
2009-06-08,22.245000
2009-06-09,22.290000
2009-06-10,22.140000
2009-06-11,22.095000
2009-06-12,22.470000
2009-06-15,21.965000
2009-06-16,22.080000
2009-06-17,22.765000
2009-06-18,23.250000
2009-06-19,23.510000
2009-06-22,23.160000
2009-06-23,23.330000
2009-06-24,23.265000
2009-06-25,23.940000
2009-06-26,23.760000
2009-06-29,23.685000
2009-06-30,23.420000
2009-07-01,23.415000
2009-07-02,22.950000
2009-07-06,22.875000
2009-07-07,22.595000
2009-07-08,22.460000
2009-07-09,22.355000
2009-07-10,22.220000
2009-07-13,22.645000
2009-07-14,22.455000
2009-07-15,22.910000
2009-07-16,23.435000
2009-07-17,23.915000
2009-07-20,23.985000
2009-07-21,24.275000
2009-07-22,23.930000
2009-07-23,24.170000
2009-07-24,24.215000
2009-07-27,24.475000
2009-07-28,24.865000
2009-07-29,24.905000
2009-07-30,24.790000
2009-07-31,24.465000
2009-08-03,24.640000
2009-08-04,23.915000
2009-08-05,23.420000
2009-08-06,22.725000
2009-08-07,22.880000
2009-08-10,23.000000
2009-08-11,22.825000
2009-08-12,22.925000
2009-08-13,22.595000
2009-08-14,22.475000
2009-08-17,22.120000
2009-08-18,22.160000
2009-08-19,22.612000
2009-08-20,22.985000
2009-08-21,23.045000
2009-08-24,23.000000
2009-08-25,23.125000
2009-08-26,23.115000
2009-08-27,22.910000
2009-08-28,22.625000
2009-08-31,22.530000
2009-09-01,22.560000
2009-09-02,22.645000
2009-09-03,22.730000
2009-09-04,23.065000
2009-09-08,23.415000
2009-09-09,23.605000
2009-09-10,23.170000
2009-09-11,23.050000
2009-09-14,23.265000
2009-09-15,23.040000
2009-09-16,23.155000
2009-09-17,22.915000
2009-09-18,22.880000
2009-09-21,23.315000
2009-09-22,23.065000
2009-09-23,22.940000
2009-09-24,23.000000
2009-09-25,23.100000
2009-09-28,23.539950
2009-09-29,23.240000
2009-09-30,23.250000
2009-10-01,22.650000
2009-10-02,22.255000
2009-10-05,22.500000
2009-10-06,22.860000
2009-10-07,22.655000
2009-10-08,22.610000
2009-10-09,22.650000
2009-10-12,22.590000
2009-10-13,22.785000
2009-10-14,23.025000
2009-10-15,23.315000
2009-10-16,23.085000
2009-10-19,23.405000
2009-10-20,23.060000
2009-10-21,22.665000
2009-10-22,22.300000
2009-10-23,21.915000
2009-10-26,21.715000
2009-10-27,21.560000
2009-10-28,21.290000
2009-10-29,21.470000
2009-10-30,21.275000
2009-11-02,21.335000
2009-11-03,21.900000
2009-11-04,21.935000
2009-11-05,22.750000
2009-11-06,23.130000
2009-11-09,23.290000
2009-11-10,23.405000
2009-11-11,23.570000
2009-11-12,23.440000
2009-11-13,23.525000
2009-11-16,23.715000
2009-11-17,23.745000
2009-11-18,23.390000
2009-11-19,23.260000
2009-11-20,23.195000
2009-11-23,23.505000
2009-11-24,23.480000
2009-11-25,23.490000
2009-11-27,23.280000
2009-11-30,23.055000
2009-12-01,23.200000
2009-12-02,23.270000
2009-12-03,23.130000
2009-12-04,23.295000
2009-12-07,23.310000
2009-12-08,23.060000
2009-12-09,23.000000
2009-12-10,23.145000
2009-12-11,23.210000
2009-12-14,23.480000
2009-12-15,22.655000
2009-12-16,21.615000
2009-12-17,21.600000
2009-12-18,21.415000
2009-12-21,21.580000
2009-12-22,21.620000
2009-12-23,21.505000
2009-12-24,21.500000
2009-12-28,21.630000
2009-12-29,21.735000
2009-12-30,21.900000
2009-12-31,21.635000
2010-01-04,21.650000
2010-01-05,21.630000
2010-01-06,22.380000
2010-01-07,22.435000
2010-01-08,22.270000
2010-01-11,22.445000
2010-01-12,22.475000
2010-01-13,22.755000
2010-01-14,22.730000
2010-01-15,22.760000
2010-01-19,23.140000
2010-01-20,23.025000
2010-01-21,22.890000
2010-01-22,23.040000
2010-01-25,22.855000
2010-01-26,22.435000
2010-01-27,24.020000
2010-01-28,23.755000
2010-01-29,24.135000
2010-02-01,23.905000
2010-02-02,24.280000
2010-02-03,23.770000
2010-02-04,23.235000
2010-02-05,23.190000
2010-02-08,23.045000
2010-02-09,23.150000
2010-02-10,22.985000
2010-02-11,23.380000
2010-02-12,23.505000
2010-02-16,23.435000
2010-02-17,24.325000
2010-02-18,24.725000
2010-02-19,24.420000
2010-02-22,23.940000
2010-02-23,23.675000
2010-02-24,23.780000
2010-02-25,23.705000
2010-02-26,23.805000
2010-03-01,23.755000
2010-03-02,23.770000
2010-03-03,23.785000
2010-03-04,23.530000
2010-03-05,23.805000
2010-03-08,23.505000
2010-03-09,23.720000
2010-03-10,23.640000
2010-03-11,23.550000
2010-03-12,23.710000
2010-03-15,23.760000
2010-03-16,23.735000
2010-03-17,23.590000
2010-03-18,23.710000
2010-03-19,23.935000
2010-03-22,24.075000
2010-03-23,23.880000
2010-03-24,23.645000
2010-03-25,22.975000
2010-03-26,22.670000
2010-03-29,22.940000
2010-03-30,22.805000
2010-03-31,22.735000
2010-04-01,22.820000
2010-04-05,22.920000
2010-04-06,22.755000
2010-04-07,22.725000
2010-04-08,22.910000
2010-04-09,22.898750
2010-04-12,22.935000
2010-04-13,23.175000
2010-04-14,23.030000
