d,c
2009-01-02,10.050000
2009-01-05,10.580000
2009-01-06,11.550000
2009-01-07,11.140000
2009-01-08,11.120000
2009-01-09,10.590000
2009-01-12,9.960000
2009-01-13,9.640000
2009-01-14,9.190000
2009-01-15,9.620000
2009-01-16,9.700000
2009-01-20,9.130000
2009-01-21,9.520000
2009-01-22,9.500000
2009-01-23,10.000000
2009-01-26,9.950000
2009-01-27,9.990000
2009-01-28,10.870000
2009-01-29,10.480000
2009-01-30,10.110000
2009-02-02,10.250000
2009-02-03,10.320000
2009-02-04,10.750000
2009-02-05,10.970000
2009-02-06,11.730000
2009-02-09,11.910000
2009-02-10,11.180000
2009-02-11,11.170000
2009-02-12,11.360000
2009-02-13,11.560000
2009-02-17,10.790000
2009-02-18,10.750000
2009-02-19,10.180000
2009-02-20,9.810000
2009-02-23,9.460000
2009-02-24,10.140000
2009-02-25,10.410000
2009-02-26,10.470000
2009-02-27,10.550000
2009-03-02,9.460000
2009-03-03,9.740000
2009-03-04,10.480000
2009-03-05,10.090000
2009-03-06,10.140000
2009-03-09,9.990000
2009-03-10,11.200000
2009-03-11,11.390000
2009-03-12,11.850000
2009-03-13,11.710000
2009-03-16,11.370000
2009-03-17,12.410000
2009-03-18,12.500000
2009-03-19,12.940000
2009-03-20,12.430000
2009-03-23,12.980000
2009-03-24,13.170000
2009-03-25,13.520000
2009-03-26,14.230000
2009-03-27,13.560000
2009-03-30,12.870000
2009-03-31,13.270000
2009-04-01,14.150000
2009-04-02,15.240000
2009-04-03,15.960000
2009-04-06,15.720000
2009-04-07,14.440000
2009-04-08,14.920000
2009-04-09,15.100000
2009-04-13,14.790000
2009-04-14,14.590000
2009-04-15,14.700000
2009-04-16,15.060000
2009-04-17,15.270000
2009-04-20,14.590000
2009-04-21,15.080000
2009-04-22,14.750000
2009-04-23,15.120000
2009-04-24,15.330000
2009-04-27,15.840000
2009-04-28,14.690000
2009-04-29,14.850000
2009-04-30,14.620000
2009-05-01,14.290000
2009-05-04,14.900000
2009-05-05,15.300000
2009-05-06,15.710000
2009-05-07,14.660000
2009-05-08,14.570000
2009-05-11,14.070000
2009-05-12,13.910000
2009-05-13,13.460000
2009-05-14,14.080000
2009-05-15,13.880000
2009-05-18,14.150000
2009-05-19,14.230000
2009-05-20,14.550000
2009-05-21,14.060000
2009-05-22,14.240000
2009-05-26,14.780000
2009-05-27,14.620000
2009-05-28,14.180000
2009-05-29,14.700000
2009-06-01,15.620000
2009-06-02,15.510000
2009-06-03,15.250000
2009-06-04,15.630000
2009-06-05,15.580000
2009-06-08,15.530000
2009-06-09,16.120000
2009-06-10,16.090000
2009-06-11,15.960000
2009-06-12,15.890000
2009-06-15,15.740000
2009-06-16,15.450000
2009-06-17,15.280000
2009-06-18,15.360000
2009-06-19,15.300000
2009-06-22,15.160000
2009-06-23,15.330000
2009-06-24,15.420000
2009-06-25,16.130000
2009-06-26,16.370000
2009-06-29,16.270000
2009-06-30,16.060000
2009-07-01,15.580000
2009-07-02,15.140000
2009-07-06,15.190000
2009-07-07,14.370000
2009-07-08,14.220000
2009-07-09,14.440000
2009-07-10,14.760000
2009-07-13,15.070000
2009-07-14,15.410000
2009-07-15,16.010000
2009-07-16,16.410000
2009-07-17,16.630000
2009-07-20,16.900000
2009-07-21,16.710000
2009-07-22,16.450000
2009-07-23,16.790000
2009-07-24,17.000000
2009-07-27,16.500000
2009-07-28,16.870000
2009-07-29,16.780000
2009-07-30,16.910000
2009-07-31,17.000000
2009-08-03,16.830000
2009-08-04,16.760000
2009-08-05,16.580000
2009-08-06,16.610000
2009-08-07,16.950000
2009-08-10,16.380000
2009-08-11,16.010000
2009-08-12,16.230000
2009-08-13,16.480000
2009-08-14,15.870000
2009-08-17,15.160000
2009-08-18,15.880000
2009-08-19,15.740000
2009-08-20,15.890000
2009-08-21,16.090000
2009-08-24,15.920000
2009-08-25,16.170000
2009-08-26,16.050000
2009-08-27,15.910000
2009-08-28,15.910000
2009-08-31,15.080000
2009-09-01,14.840000
2009-09-02,15.080000
2009-09-03,15.200000
2009-09-04,15.320000
2009-09-08,15.380000
2009-09-09,15.810000
2009-09-10,16.170000
2009-09-11,16.050000
2009-09-14,15.820000
2009-09-15,15.800000
2009-09-16,15.780000
2009-09-17,15.550000
2009-09-18,15.270000
2009-09-21,15.590000
2009-09-22,15.560000
2009-09-23,15.480000
2009-09-24,14.930000
2009-09-25,14.840000
2009-09-28,15.080000
2009-09-29,15.180000
2009-09-30,15.310000
2009-10-01,14.940000
2009-10-02,14.560000
2009-10-05,14.810000
2009-10-06,15.500000
2009-10-07,15.380000
2009-10-08,15.480000
2009-10-09,15.680000
2009-10-12,15.750000
2009-10-13,15.360000
2009-10-14,15.970000
2009-10-15,15.500000
2009-10-16,15.370000
2009-10-19,15.540000
2009-10-20,15.550000
2009-10-21,15.510000
2009-10-22,15.600000
2009-10-23,15.650000
2009-10-26,15.510000
2009-10-27,15.100000
2009-10-28,14.790000
2009-10-29,15.140000
2009-10-30,14.610000
2009-11-02,14.520000
2009-11-03,14.590000
2009-11-04,14.870000
2009-11-05,15.270000
2009-11-06,15.300000
2009-11-09,15.800000
2009-11-10,15.800000
2009-11-11,16.290000
2009-11-12,16.440000
2009-11-13,16.650000
2009-11-16,16.850000
2009-11-17,16.960000
2009-11-18,16.850000
2009-11-19,16.570000
2009-11-20,16.410000
2009-11-23,16.490000
2009-11-24,16.530000
2009-11-25,16.860000
2009-11-27,16.580000
2009-11-30,16.680000
2009-12-01,17.200000
2009-12-02,17.820000
2009-12-03,17.590000
2009-12-04,18.330000
2009-12-07,18.390000
2009-12-08,17.890000
2009-12-09,18.080000
2009-12-10,18.210000
2009-12-11,18.470000
2009-12-14,18.830000
2009-12-15,18.850000
2009-12-16,18.730000
2009-12-17,18.460000
2009-12-18,18.470000
2009-12-21,18.980000
2009-12-22,19.240000
2009-12-23,19.260000
2009-12-24,19.290000
2009-12-28,19.240000
2009-12-29,19.210000
2009-12-30,19.340000
2009-12-31,19.310000
2010-01-04,19.560000
2010-01-05,19.630000
2010-01-06,19.380000
2010-01-07,19.570000
2010-01-08,19.890000
2010-01-11,20.490000
2010-01-12,20.170000
2010-01-13,20.310000
2010-01-14,20.200000
2010-01-15,19.660000
2010-01-19,19.790000
2010-01-20,19.770000
2010-01-21,19.610000
2010-01-22,18.560000
2010-01-25,18.720000
2010-01-26,18.650000
2010-01-27,19.140000
2010-01-28,18.610000
2010-01-29,18.080000
2010-02-01,18.160000
2010-02-02,18.710000
2010-02-03,18.950000
2010-02-04,18.250000
2010-02-05,18.050000
2010-02-08,17.840000
2010-02-09,17.760000
2010-02-10,17.520000
2010-02-11,17.950000
2010-02-12,17.890000
2010-02-16,18.150000
2010-02-17,18.010000
2010-02-18,17.990000
2010-02-19,18.290000
2010-02-22,17.760000
2010-02-23,17.210000
2010-02-24,17.500000
2010-02-25,17.500000
2010-02-26,17.630000
2010-03-01,17.770000
2010-03-02,17.610000
2010-03-03,17.610000
2010-03-04,17.510000
2010-03-05,18.100000
2010-03-08,18.350000
2010-03-09,18.400000
2010-03-10,18.480000
2010-03-11,18.350000
2010-03-12,18.040000
2010-03-15,18.080000
2010-03-16,18.480000
2010-03-17,18.880000
2010-03-18,19.240000
2010-03-19,19.390000
2010-03-22,19.420000
2010-03-23,19.680000
2010-03-24,19.460000
2010-03-25,19.690000
2010-03-26,19.790000
2010-03-29,20.100000
2010-03-30,20.170000
2010-03-31,20.210000
2010-04-01,20.380000
2010-04-05,20.660000
2010-04-06,20.450000
2010-04-07,20.070000
2010-04-08,19.820000
2010-04-09,19.670000
2010-04-12,19.980000
2010-04-13,20.030000
2010-04-14,20.310000
2010-04-15,20.220000
2010-04-16,19.900000
2010-04-19,19.980000
2010-04-20,20.100000
2010-04-21,20.400000
2010-04-22,20.690000
2010-04-23,20.840000
2010-04-26,20.920000
2010-04-27,20.120000
2010-04-28,20.070000
2010-04-29,19.940000
2010-04-30,19.250000
2010-05-03,19.810000
2010-05-04,18.940000
2010-05-05,18.670000
2010-05-06,17.500000
2010-05-07,17.540000
2010-05-10,18.410000
2010-05-11,18.220000
2010-05-12,18.530000
2010-05-13,18.520000
2010-05-14,17.960000
2010-05-17,18.320000
2010-05-18,18.040000
2010-05-19,17.540000
2010-05-20,16.810000
2010-05-21,16.980000
2010-05-24,16.860000
2010-05-25,16.950000
2010-05-26,16.840000
2010-05-27,17.520000
2010-05-28,17.430000
2010-06-01,16.400000
2010-06-02,16.830000
2010-06-03,16.810000
2010-06-04,16.230000
2010-06-07,16.000000
2010-06-08,17.050000
2010-06-09,17.290000
2010-06-10,17.810000
2010-06-11,18.140000
2010-06-14,18.370000
2010-06-15,18.740000
2010-06-16,18.260000
2010-06-17,18.310000
2010-06-18,18.230000
2010-06-21,18.420000
2010-06-22,18.130000
2010-06-23,18.140000
2010-06-24,17.690000
2010-06-25,17.330000
2010-06-28,17.250000
2010-06-29,16.460000
2010-06-30,16.150000
2010-07-01,16.150000
2010-07-02,16.330000
2010-07-06,16.380000
2010-07-07,17.080000
2010-07-08,17.400000
2010-07-09,17.510000
2010-07-12,17.310000
2010-07-13,17.730000
2010-07-14,17.700000
2010-07-15,17.620000
2010-07-16,16.960000
2010-07-19,16.980000
2010-07-20,16.660000
2010-07-21,16.800000
2010-07-22,18.100000
2010-07-23,18.010000
2010-07-26,17.900000
2010-07-27,18.000000
2010-07-28,17.660000
2010-07-29,18.160000
2010-07-30,18.120000
2010-08-02,19.150000
2010-08-03,19.040000
2010-08-04,19.240000
2010-08-05,19.220000
2010-08-06,18.800000
2010-08-09,18.940000
2010-08-10,18.550000
2010-08-11,18.050000
2010-08-12,17.500000
2010-08-13,16.870000
2010-08-16,16.550000
2010-08-17,16.570000
2010-08-18,16.720000
2010-08-19,16.030000
2010-08-20,16.100000
2010-08-23,15.940000
2010-08-24,15.720000
2010-08-25,16.180000
2010-08-26,15.810000
2010-08-27,15.980000
2010-08-30,15.950000
2010-08-31,15.680000
2010-09-01,16.320000
2010-09-02,16.450000
2010-09-03,16.810000
2010-09-07,16.850000
2010-09-08,16.700000
2010-09-09,16.300000
2010-09-10,16.080000
2010-09-13,16.810000
2010-09-14,17.610000
2010-09-15,17.140000
2010-09-16,17.030000
2010-09-17,17.000000
2010-09-20,17.610000
2010-09-21,17.610000
2010-09-22,17.160000
2010-09-23,17.400000
2010-09-24,17.750000
2010-09-27,17.760000
2010-09-28,18.270000
2010-09-29,18.380000
2010-09-30,18.280000
2010-10-01,18.230000
2010-10-04,17.920000
2010-10-05,18.509000
2010-10-06,18.360000
2010-10-07,18.220000
2010-10-08,18.370000
2010-10-11,18.310000
2010-10-12,18.450000
2010-10-13,18.700000
2010-10-14,18.390000
2010-10-15,18.780000
2010-10-18,18.860000
2010-10-19,18.290000
2010-10-20,18.540000
2010-10-21,18.530000
2010-10-22,18.600000
2010-10-25,18.710000
2010-10-26,18.460000
2010-10-27,18.430000
2010-10-28,18.490000
2010-10-29,18.280000
2010-11-01,18.500000
2010-11-02,18.330000
2010-11-03,18.590000
2010-11-04,18.920000
2010-11-05,18.880000
2010-11-08,18.980000
2010-11-09,18.970000
2010-11-10,18.790000
2010-11-11,18.610000
2010-11-12,18.370000
2010-11-15,18.150000
2010-11-16,17.450000
2010-11-17,17.440000
2010-11-18,17.730000
2010-11-19,17.830000
2010-11-22,18.000000
2010-11-23,17.740000
2010-11-24,18.150000
2010-11-26,18.110000
2010-11-29,17.830000
2010-11-30,17.660000
2010-12-01,18.040000
2010-12-02,18.720000
2010-12-03,18.740000
2010-12-06,18.690000
2010-12-07,18.640000
2010-12-08,18.860000
2010-12-09,19.000000
2010-12-10,18.830000
2010-12-13,19.300000
2010-12-14,18.870000
2010-12-15,18.640000
2010-12-16,18.751000
2010-12-17,18.990000
2010-12-20,18.920000
2010-12-21,19.240000
2010-12-22,19.430000
2010-12-23,19.390000
2010-12-27,19.410000
2010-12-28,19.340000
2010-12-29,19.270000
2010-12-30,19.350000
2010-12-31,19.320000
2011-01-04,19.070000
2011-01-05,18.980000
2011-01-06,19.510000
2011-01-07,19.460000
2011-01-10,19.500000
2011-01-11,19.480000
2011-01-12,19.930000
2011-01-13,19.850000
2011-01-14,19.810000
2011-01-18,19.840000
2011-01-19,19.660000
2011-01-20,19.380000
2011-01-21,19.330000
2011-01-24,19.640000
2011-01-25,21.210000
2011-01-26,21.780000
2011-01-27,22.160000
2011-01-28,21.800000
2011-01-31,22.210000
2011-02-01,22.690000
2011-02-02,22.790000
2011-02-03,22.570000
2011-02-04,23.370000
2011-02-07,22.690000
2011-02-08,22.610000
2011-02-09,22.800000
2011-02-10,22.160000
2011-02-11,22.360000
2011-02-14,22.240000
2011-02-15,21.850000
2011-02-16,22.280000
2011-02-17,22.960000
2011-02-18,23.230000
2011-02-22,22.600000
2011-02-23,22.380000
2011-02-24,22.760000
2011-02-25,22.600000
2011-02-28,23.060000
2011-03-01,22.027500
2011-03-02,22.320000
2011-03-03,22.850000
2011-03-04,22.920000
2011-03-07,22.590000
2011-03-08,22.690000
2011-03-09,22.170000
2011-03-10,21.320000
2011-03-11,21.310000
2011-03-14,21.420000
2011-03-15,21.090000
2011-03-16,20.530000
2011-03-17,20.710000
2011-03-18,20.750000
2011-03-21,20.770000
2011-03-22,20.800000
2011-03-23,20.850000
2011-03-24,21.350000
2011-03-25,21.460000
2011-03-28,21.450000
2011-03-29,21.110000
2011-03-30,20.800000
2011-03-31,20.630000
2011-04-01,20.610000
2011-04-04,20.580000
2011-04-05,20.400000
2011-04-06,20.390000
2011-04-07,20.200000
2011-04-08,19.580000
2011-04-11,19.600000
2011-04-12,19.180000
2011-04-13,19.340000
2011-04-14,19.620000
2011-04-15,19.770000
2011-04-18,19.490000
2011-04-19,19.690000
2011-04-20,20.470000
2011-04-21,20.390000
2011-04-25,20.270000
2011-04-26,20.600000
2011-04-27,21.080000
2011-04-28,21.040000
2011-04-29,20.940000
2011-05-02,20.760000
2011-05-03,20.610000
2011-05-04,20.390000
2011-05-05,20.110000
2011-05-06,20.300000
2011-05-09,20.830000
2011-05-10,20.950000
2011-05-11,20.770000
2011-05-12,21.050000
2011-05-13,20.730000
2011-05-16,20.570000
2011-05-17,20.280000
2011-05-18,20.310000
2011-05-19,20.230000
2011-05-20,19.950000
2011-05-23,19.480000
2011-05-24,19.550000
2011-05-25,19.580000
2011-05-26,19.730000
2011-05-27,19.870000
2011-05-31,20.150000
2011-06-01,19.720000
2011-06-02,19.470000
2011-06-03,19.030000
2011-06-06,18.860000
2011-06-07,18.890000
2011-06-08,18.660000
2011-06-09,18.710000
2011-06-10,18.370000
2011-06-13,18.280000
2011-06-14,18.530000
2011-06-15,17.980000
2011-06-16,17.950000
2011-06-17,17.800000
2011-06-20,17.920000
2011-06-21,17.660000
2011-06-22,17.730000
2011-06-23,17.790000
2011-06-24,17.550000
2011-06-27,17.370000
2011-06-28,17.550000
2011-06-29,17.670000
2011-06-30,18.150000
2011-07-01,18.540000
2011-07-05,18.310000
2011-07-06,18.240000
2011-07-07,18.190000
2011-07-08,17.860000
2011-07-11,17.250000
2011-07-12,16.890000
2011-07-13,16.910000
2011-07-14,16.560000
