d,c
2014-03-27,27.922233
2014-03-28,27.998731
2014-03-31,27.847735
2014-04-01,28.357221
2014-04-02,28.349222
2014-04-03,28.410000
2014-04-04,27.080000
2014-04-07,26.907500
2014-04-08,27.745000
2014-04-09,28.207000
2014-04-10,27.047500
2014-04-11,26.530000
2014-04-14,26.626000
2014-04-15,26.822000
2014-04-16,27.827000
2014-04-17,26.805000
2014-04-21,26.431000
2014-04-22,26.740500
2014-04-23,26.347000
2014-04-24,26.258000
2014-04-25,25.809000
2014-04-28,25.857500
2014-04-29,26.385000
2014-04-30,26.333000
2014-05-01,26.567500
2014-05-02,26.396500
2014-05-05,26.390500
2014-05-06,25.757000
2014-05-07,25.498000
2014-05-08,25.550000
2014-05-09,25.936500
2014-05-12,26.496000
2014-05-13,26.654500
2014-05-14,26.332500
2014-05-15,25.999000
2014-05-16,26.031500
2014-05-19,26.443000
2014-05-20,26.488500
2014-05-21,26.947000
2014-05-22,27.253000
2014-05-23,27.635000
2014-05-27,28.297500
2014-05-28,28.084000
2014-05-29,28.004000
2014-05-30,27.994500
2014-06-02,27.696500
2014-06-03,27.247000
2014-06-04,27.233000
2014-06-05,27.695000
2014-06-06,27.816500
2014-06-09,28.106000
2014-06-10,28.027500
2014-06-11,27.942000
2014-06-12,27.567500
2014-06-13,27.588000
2014-06-16,27.214000
2014-06-17,27.150500
2014-06-18,27.668500
2014-06-19,27.745000
2014-06-20,27.818000
2014-06-23,28.247500
2014-06-24,28.231000
2014-06-25,28.932500
2014-06-26,28.800000
2014-06-27,28.862000
2014-06-30,28.764000
2014-07-01,29.133500
2014-07-02,29.116750
2014-07-03,29.236500
2014-07-07,29.112500
2014-07-08,28.554500
2014-07-09,28.804000
2014-07-10,28.555000
2014-07-11,28.959000
2014-07-14,29.243500
2014-07-15,29.239000
2014-07-16,29.133000
2014-07-17,28.686495
2014-07-18,29.754000
2014-07-21,29.473500
2014-07-22,29.737000
2014-07-23,29.799000
2014-07-24,29.667500
2014-07-25,29.451000
2014-07-28,29.530000
2014-07-29,29.280500
2014-07-30,29.371000
2014-07-31,28.580000
2014-08-01,28.303500
2014-08-04,28.657500
2014-08-05,28.253500
2014-08-06,28.318700
2014-08-07,28.168000
2014-08-08,28.438500
2014-08-11,28.394000
2014-08-12,28.136500
2014-08-13,28.739000
2014-08-14,28.732500
2014-08-15,28.674000
2014-08-18,29.108000
2014-08-19,29.343000
2014-08-20,29.224500
2014-08-21,29.168500
2014-08-22,29.128000
2014-08-25,29.010000
2014-08-26,28.893000
2014-08-27,28.550000
2014-08-28,28.460000
2014-08-29,28.580000
2014-09-02,28.866500
2014-09-03,28.897000
2014-09-04,29.099000
2014-09-05,29.304000
2014-09-08,29.486000
2014-09-09,29.050500
2014-09-10,29.155000
2014-09-11,29.067500
2014-09-12,28.781000
2014-09-15,28.655000
2014-09-16,28.997500
2014-09-17,29.238500
2014-09-18,29.463500
2014-09-19,29.804000
2014-09-22,29.368500
2014-09-23,29.056500
2014-09-24,29.399500
2014-09-25,28.753000
2014-09-26,28.855000
2014-09-29,28.818000
2014-09-30,28.868000
2014-10-01,28.413500
2014-10-02,28.504000
2014-10-03,28.764000
2014-10-06,28.867500
2014-10-07,28.187000
2014-10-08,28.625000
2014-10-09,28.044000
2014-10-10,27.224500
2014-10-13,26.660500
2014-10-14,26.897000
2014-10-15,26.501500
2014-10-16,26.225500
2014-10-17,25.558500
2014-10-20,26.042000
2014-10-21,26.327000
2014-10-22,26.635500
2014-10-23,27.199000
2014-10-24,26.989000
2014-10-27,27.038500
2014-10-28,27.445000
2014-10-29,27.466500
2014-10-30,27.515500
2014-10-31,27.954000
2014-11-03,27.761000
2014-11-04,27.705500
2014-11-05,27.296000
2014-11-06,27.102000
2014-11-07,27.050500
2014-11-10,27.374500
2014-11-11,27.514500
2014-11-12,27.365500
2014-11-13,27.269000
2014-11-14,27.220000
2014-11-17,26.825500
2014-11-18,26.751500
2014-11-19,26.849500
2014-11-20,26.741500
2014-11-21,26.875000
2014-11-24,26.963500
2014-11-25,27.054000
2014-11-26,27.018500
2014-11-28,27.091500
2014-12-01,26.690000
2014-12-02,26.687500
2014-12-03,26.566000
2014-12-04,26.865500
2014-12-05,26.263000
2014-12-08,26.349000
2014-12-09,26.668500
2014-12-10,26.303000
2014-12-11,26.417000
2014-12-12,25.933000
2014-12-15,25.690000
2014-12-16,24.769500
2014-12-17,25.244500
2014-12-18,25.555000
2014-12-19,25.817500
2014-12-22,26.243500
2014-12-23,26.529500
2014-12-24,26.438500
2014-12-26,26.701500
2014-12-29,26.516500
2014-12-30,26.521000
2014-12-31,26.320000
2015-01-02,26.240500
2015-01-05,25.693500
2015-01-06,25.098000
2015-01-07,25.055000
2015-01-08,25.134000
2015-01-09,24.808500
2015-01-12,24.627500
2015-01-13,24.809000
2015-01-14,25.043500
2015-01-15,25.089500
2015-01-16,25.404000
2015-01-20,25.345000
2015-01-21,25.902000
2015-01-22,26.719500
2015-01-23,26.997500
2015-01-26,26.760500
2015-01-27,25.931500
2015-01-28,25.500000
2015-01-29,25.533000
2015-01-30,26.726000
2015-02-02,26.424000
2015-02-03,26.462000
2015-02-04,26.138000
2015-02-05,26.379000
2015-02-06,26.550000
2015-02-09,26.391500
2015-02-10,26.847000
2015-02-11,26.798500
2015-02-12,27.146500
2015-02-13,27.450500
2015-02-17,27.142000
2015-02-18,26.985000
2015-02-19,27.143500
2015-02-20,26.947500
2015-02-23,26.595500
2015-02-24,26.804500
2015-02-25,27.193500
2015-02-26,27.774000
2015-02-27,27.920000
2015-03-02,28.567000
2015-03-03,28.682000
2015-03-04,28.668500
2015-03-05,28.766500
2015-03-06,28.384250
2015-03-09,28.442500
2015-03-10,27.750500
2015-03-11,27.559000
2015-03-12,27.775500
2015-03-13,27.366000
2015-03-16,27.725500
2015-03-17,27.542000
2015-03-18,27.975000
2015-03-19,27.899500
2015-03-20,28.018000
2015-03-23,27.940500
2015-03-24,28.509500
2015-03-25,27.939250
