d,c
2009-01-02,17.090000
2009-01-05,16.750000
2009-01-06,17.390000
2009-01-07,17.475000
2009-01-08,17.615000
2009-01-09,17.500000
2009-01-12,17.625000
2009-01-13,17.715000
2009-01-14,17.275000
2009-01-15,17.360000
2009-01-16,17.310000
2009-01-20,16.335000
2009-01-21,16.790000
2009-01-22,16.450000
2009-01-23,16.350000
2009-01-26,16.190000
2009-01-27,16.790000
2009-01-28,17.600000
2009-01-29,17.315000
2009-01-30,17.355000
2009-02-02,17.510000
2009-02-03,17.615000
2009-02-04,17.475000
2009-02-05,17.840000
2009-02-06,18.150000
2009-02-09,17.875000
2009-02-10,17.400000
2009-02-11,17.480000
2009-02-12,17.760000
2009-02-13,17.625000
2009-02-17,16.990000
2009-02-18,17.085000
2009-02-19,16.465000
2009-02-20,16.400000
2009-02-23,15.650000
2009-02-24,16.350000
2009-02-25,15.935000
2009-02-26,15.480000
2009-02-27,15.340000
2009-03-02,14.480000
2009-03-03,14.940000
2009-03-04,14.765000
2009-03-05,14.335000
2009-03-06,14.170000
2009-03-09,13.795000
2009-03-10,14.515000
2009-03-11,14.675000
2009-03-12,14.805000
2009-03-13,15.340000
2009-03-16,15.350000
2009-03-17,15.740000
2009-03-18,16.060000
2009-03-19,15.785000
2009-03-20,15.955000
2009-03-23,16.700000
2009-03-24,16.175000
2009-03-25,16.385000
2009-03-26,16.955000
2009-03-27,16.550000
2009-03-30,16.345000
2009-03-31,16.705000
2009-04-01,16.675000
2009-04-02,16.910000
2009-04-03,16.000000
2009-04-06,15.945000
2009-04-07,16.185000
2009-04-08,16.545000
2009-04-09,16.700000
2009-04-13,16.385000
2009-04-14,16.115000
2009-04-15,16.345000
2009-04-16,16.770000
2009-04-17,16.700000
2009-04-20,16.270000
2009-04-21,16.105000
2009-04-22,16.000000
2009-04-23,15.820000
2009-04-24,15.485000
2009-04-27,15.635000
2009-04-28,15.665000
2009-04-29,16.030000
2009-04-30,16.030000
2009-05-01,16.185000
2009-05-04,16.530000
2009-05-05,16.250000
2009-05-06,16.545000
2009-05-07,16.515000
2009-05-08,16.815000
2009-05-11,16.525000
2009-05-12,16.645000
2009-05-13,15.970000
2009-05-14,15.680000
2009-05-15,15.595000
2009-05-18,15.685000
2009-05-19,16.090000
2009-05-20,16.455000
2009-05-21,17.210000
2009-05-22,17.035000
2009-05-26,17.565000
2009-05-27,17.500000
2009-05-28,17.730000
2009-05-29,17.980000
2009-06-01,18.305000
2009-06-02,18.580000
2009-06-03,18.495000
2009-06-04,18.635000
2009-06-05,18.880000
2009-06-08,18.665000
2009-06-09,18.730000
2009-06-10,18.800000
2009-06-11,18.725000
2009-06-12,19.250000
2009-06-15,18.900000
2009-06-16,18.655000
2009-06-17,18.910000
2009-06-18,18.940000
2009-06-19,19.250000
2009-06-22,18.660000
2009-06-23,18.725000
2009-06-24,18.790000
2009-06-25,18.965000
2009-06-26,18.880000
2009-06-29,18.925000
2009-06-30,18.730000
2009-07-01,18.995000
2009-07-02,18.400000
2009-07-06,18.550000
2009-07-07,18.115000
2009-07-08,17.970000
2009-07-09,18.110000
2009-07-10,17.970000
2009-07-13,18.645000
2009-07-14,18.900000
2009-07-15,19.585000
2009-07-16,19.940000
2009-07-17,19.960000
2009-07-20,20.195000
2009-07-21,20.255000
2009-07-22,20.115000
2009-07-23,20.150000
2009-07-24,21.165000
2009-07-27,21.145000
2009-07-28,21.305000
2009-07-29,21.090000
2009-07-30,21.355000
2009-07-31,21.150000
2009-08-03,21.005000
2009-08-04,21.325000
2009-08-05,21.155000
2009-08-06,21.095000
2009-08-07,21.460000
2009-08-10,21.275000
2009-08-11,21.140000
2009-08-12,21.420000
2009-08-13,21.290000
2009-08-14,21.250000
2009-08-17,21.045000
2009-08-18,21.345000
2009-08-19,21.535000
2009-08-20,21.500000
2009-08-21,21.475000
2009-08-24,21.590000
2009-08-25,21.740000
2009-08-26,21.920000
2009-08-27,21.750000
2009-08-28,21.630000
2009-08-31,21.220000
2009-09-01,21.175000
2009-09-02,21.225000
2009-09-03,21.505000
2009-09-04,21.760000
2009-09-08,21.800000
2009-09-09,21.605000
2009-09-10,21.875000
2009-09-11,22.040000
2009-09-14,22.240000
2009-09-15,22.330000
2009-09-16,22.695000
2009-09-17,22.775000
2009-09-18,22.735000
2009-09-21,22.845000
2009-09-22,22.900000
2009-09-23,22.885000
2009-09-24,22.730000
2009-09-25,22.380000
2009-09-28,23.090000
2009-09-29,23.330000
2009-09-30,23.350000
2009-10-01,23.080000
2009-10-02,22.785000
2009-10-05,23.865000
2009-10-06,24.420000
2009-10-07,24.260000
2009-10-08,24.335000
2009-10-09,24.190000
2009-10-12,24.285000
2009-10-13,24.280000
2009-10-14,24.585000
2009-10-15,24.915000
2009-10-16,25.250000
2009-10-19,25.525000
2009-10-20,25.430000
2009-10-21,25.305000
2009-10-22,25.265000
2009-10-23,25.415000
2009-10-26,25.265000
2009-10-27,24.770000
2009-10-28,24.530000
2009-10-29,24.685000
2009-10-30,24.615000
2009-11-02,24.790000
2009-11-03,24.780000
2009-11-04,25.175000
2009-11-05,26.195000
2009-11-06,26.250000
2009-11-09,26.590000
2009-11-10,26.935000
2009-11-11,26.915000
2009-11-12,26.540000
2009-11-13,26.520000
2009-11-16,26.935000
2009-11-17,26.880000
2009-11-18,25.945000
2009-11-19,24.920000
2009-11-20,24.935000
2009-11-23,25.720000
2009-11-24,26.030000
2009-11-25,26.130000
2009-11-27,25.610000
2009-11-30,25.630000
2009-12-01,25.800000
2009-12-02,25.365000
2009-12-03,25.070000
2009-12-04,25.490000
2009-12-07,25.480000
2009-12-08,25.340000
2009-12-09,25.370000
2009-12-10,25.495000
2009-12-11,25.345000
2009-12-14,25.710000
2009-12-15,25.905000
2009-12-16,26.155000
2009-12-17,25.805000
2009-12-18,26.090000
2009-12-21,26.260000
2009-12-22,26.375000
2009-12-23,26.440000
2009-12-24,26.695000
2009-12-28,26.665000
2009-12-29,26.720000
2009-12-30,27.075000
2009-12-31,26.930000
2010-01-04,26.335000
2010-01-05,26.280000
2010-01-06,26.185000
2010-01-07,26.020000
2010-01-08,24.485000
2010-01-11,23.910000
2010-01-12,23.885000
2010-01-13,23.905000
2010-01-14,23.490000
2010-01-15,23.240000
2010-01-19,23.380000
2010-01-20,23.345000
2010-01-21,22.935000
2010-01-22,22.700000
2010-01-25,22.650000
2010-01-26,22.620000
2010-01-27,22.755000
2010-01-28,22.640000
2010-01-29,22.250000
2010-02-01,22.500000
2010-02-02,22.660000
2010-02-03,22.630000
2010-02-04,22.610000
2010-02-05,22.565000
2010-02-08,22.490000
2010-02-09,22.740000
2010-02-10,22.600000
2010-02-11,22.795000
2010-02-12,22.245000
2010-02-16,22.295000
2010-02-17,21.850000
2010-02-18,21.920000
2010-02-19,21.795000
2010-02-22,21.510000
2010-02-23,21.360000
2010-02-24,21.545000
2010-02-25,21.470000
2010-02-26,21.405000
2010-03-01,21.885000
2010-03-02,21.755000
2010-03-03,21.410000
2010-03-04,21.375000
2010-03-05,21.825000
2010-03-08,21.980000
2010-03-09,22.515000
2010-03-10,22.705000
2010-03-11,22.630000
2010-03-12,22.600000
2010-03-15,22.310000
2010-03-16,22.500000
2010-03-17,23.030000
2010-03-18,23.220000
2010-03-19,23.010000
2010-03-22,23.370000
2010-03-23,23.190000
2010-03-24,22.555000
2010-03-25,22.725000
2010-03-26,22.800000
2010-03-29,22.935000
2010-03-30,23.160000
2010-03-31,22.775000
2010-04-01,22.820000
2010-04-05,22.345000
2010-04-06,22.610000
2010-04-07,22.105000
2010-04-08,21.825000
2010-04-09,21.635000
2010-04-12,21.960000
2010-04-13,21.775000
2010-04-14,22.130000
2010-04-15,22.815000
2010-04-16,22.935000
2010-04-19,22.925000
2010-04-20,22.685000
2010-04-21,22.745000
2010-04-22,22.630000
2010-04-23,22.955000
2010-04-26,22.650000
2010-04-27,22.295000
2010-04-28,22.210000
2010-04-29,22.140000
2010-04-30,21.405000
2010-05-03,21.610000
2010-05-04,21.435000
2010-05-05,21.500000
2010-05-06,21.460000
2010-05-07,20.240000
2010-05-10,20.805000
2010-05-11,20.575000
2010-05-12,20.990000
2010-05-13,21.430000
2010-05-14,20.805000
2010-05-17,21.170000
2010-05-18,21.255000
2010-05-19,21.165000
2010-05-20,20.510000
2010-05-21,21.015000
2010-05-24,20.645000
2010-05-25,20.590000
2010-05-26,20.610000
2010-05-27,21.150000
2010-05-28,21.095000
2010-06-01,20.720000
2010-06-02,20.790000
2010-06-03,21.150000
2010-06-04,20.435000
2010-06-07,20.030000
2010-06-08,20.050000
2010-06-09,20.000000
2010-06-10,20.745000
2010-06-11,20.785000
2010-06-14,20.730000
2010-06-15,21.320000
2010-06-16,21.275000
2010-06-17,21.280000
2010-06-18,21.305000
2010-06-21,19.445000
2010-06-22,19.700000
2010-06-23,19.455000
2010-06-24,19.075000
2010-06-25,19.325000
2010-06-28,19.295000
2010-06-29,18.590000
2010-06-30,18.270000
2010-07-01,18.050000
2010-07-02,18.085000
2010-07-06,18.125000
2010-07-07,18.715000
2010-07-08,18.545000
2010-07-09,18.800000
2010-07-12,18.780000
2010-07-13,19.130000
2010-07-14,19.195000
2010-07-15,19.120000
2010-07-16,18.475000
2010-07-19,18.615000
2010-07-20,18.695000
2010-07-21,18.695000
2010-07-22,19.395000
2010-07-23,19.840000
2010-07-26,20.035000
2010-07-27,19.965000
2010-07-28,18.275000
2010-07-29,18.700000
2010-07-30,18.865000
2010-08-02,19.265000
2010-08-03,19.145000
2010-08-04,19.115000
2010-08-05,19.075000
2010-08-06,19.295000
2010-08-09,19.570000
2010-08-10,19.400000
2010-08-11,18.955000
2010-08-12,18.750000
2010-08-13,18.595000
2010-08-16,18.675000
2010-08-17,18.860000
2010-08-18,18.995000
2010-08-19,18.800000
2010-08-20,18.945000
2010-08-23,18.730000
2010-08-24,18.700000
2010-08-25,18.845000
2010-08-26,18.890000
2010-08-27,19.175000
2010-08-30,18.965000
2010-08-31,18.815000
2010-09-01,19.395000
2010-09-02,19.530000
2010-09-03,19.750000
2010-09-07,19.425000
2010-09-08,19.510000
2010-09-09,19.785000
2010-09-10,19.945000
2010-09-13,20.275000
2010-09-14,20.210000
2010-09-15,20.320000
2010-09-16,20.440000
2010-09-17,20.390000
2010-09-20,20.665000
2010-09-21,20.460000
2010-09-22,20.370000
2010-09-23,20.185000
2010-09-24,20.710000
2010-09-27,20.960000
2010-09-28,20.995000
2010-09-29,21.235000
2010-09-30,21.445000
2010-10-01,21.035000
2010-10-04,20.825000
2010-10-05,20.950000
2010-10-06,20.885000
2010-10-07,20.890000
2010-10-08,21.015000
2010-10-11,21.170000
2010-10-12,19.450000
2010-10-13,19.380000
2010-10-14,19.295000
2010-10-15,19.450000
2010-10-18,19.535000
2010-10-19,19.185000
2010-10-20,19.205000
2010-10-21,19.220000
2010-10-22,19.650000
2010-10-25,19.920000
2010-10-26,19.930000
2010-10-27,19.650000
2010-10-28,19.505000
2010-10-29,19.480000
2010-11-01,19.480000
2010-11-02,19.840000
2010-11-03,19.830000
2010-11-04,20.120000
2010-11-05,20.165000
2010-11-08,20.465000
2010-11-09,20.440000
2010-11-10,20.715000
2010-11-11,20.695000
2010-11-12,20.625000
2010-11-15,20.550000
2010-11-16,20.150000
2010-11-17,20.110000
2010-11-18,20.595000
2010-11-19,20.520000
2010-11-22,20.515000
2010-11-23,20.235000
2010-11-24,20.655000
2010-11-26,20.780000
2010-11-29,20.600000
2010-11-30,20.780000
2010-12-01,21.150000
2010-12-02,21.180000
2010-12-03,21.380000
2010-12-06,21.080000
2010-12-07,21.505000
2010-12-08,21.705000
2010-12-09,22.020000
2010-12-10,22.040000
2010-12-13,21.985000
2010-12-14,22.155000
2010-12-15,22.215000
2010-12-16,21.955000
2010-12-17,22.360000
2010-12-20,22.405000
2010-12-21,22.600000
2010-12-22,22.945000
2010-12-23,22.915000
2010-12-27,23.065000
2010-12-28,23.265000
2010-12-29,23.105000
2010-12-30,23.320000
2010-12-31,23.105000
2011-01-04,22.935000
2011-01-05,23.090000
2011-01-06,22.960000
2011-01-07,23.735000
2011-01-10,23.870000
2011-01-11,23.755000
2011-01-12,23.760000
2011-01-13,23.560000
2011-01-14,23.645000
