d,c
2009-01-02,21.770000
2009-01-05,22.000000
2009-01-06,21.090000
2009-01-07,21.030000
2009-01-08,21.030000
2009-01-09,20.370000
2009-01-12,18.270000
2009-01-13,18.870000
2009-01-14,17.630000
2009-01-15,17.790000
2009-01-16,17.880000
2009-01-20,16.600000
2009-01-21,17.750000
2009-01-22,17.270000
2009-01-23,17.710000
2009-01-26,17.900000
2009-01-27,18.260000
2009-01-28,19.370000
2009-01-29,18.420000
2009-01-30,17.530000
2009-02-02,17.120000
2009-02-03,17.190000
2009-02-04,17.440000
2009-02-05,17.440000
2009-02-06,17.550000
2009-02-09,17.780000
2009-02-10,17.060000
2009-02-11,16.950000
2009-02-12,17.650000
2009-02-13,17.200000
2009-02-17,16.300000
2009-02-18,16.290000
2009-02-19,15.920000
2009-02-20,15.170000
2009-02-23,16.280000
2009-02-24,17.070000
2009-02-25,17.090000
2009-02-26,17.100000
2009-02-27,17.120000
2009-03-02,16.190000
2009-03-03,16.490000
2009-03-04,17.020000
2009-03-05,16.670000
2009-03-06,16.880000
2009-03-09,16.780000
2009-03-10,18.060000
2009-03-11,18.860000
2009-03-12,20.140000
2009-03-13,19.780000
2009-03-16,19.720000
2009-03-17,20.440000
2009-03-18,20.770000
2009-03-19,20.960000
2009-03-20,20.050000
2009-03-23,21.820000
2009-03-24,21.520000
2009-03-25,21.940000
2009-03-26,23.480000
2009-03-27,22.490000
2009-03-30,21.020000
2009-03-31,21.210000
2009-04-01,22.070000
2009-04-02,23.020000
2009-04-03,23.100000
2009-04-06,22.120000
2009-04-07,21.270000
2009-04-08,21.390000
2009-04-09,22.210000
2009-04-13,21.870000
2009-04-14,22.010000
2009-04-15,21.670000
2009-04-16,22.120000
2009-04-17,22.000000
2009-04-20,21.390000
2009-04-21,21.860000
2009-04-22,22.100000
2009-04-23,22.160000
2009-04-24,23.660000
2009-04-27,23.410000
2009-04-28,22.800000
2009-04-29,24.180000
2009-04-30,25.190000
2009-05-01,25.450000
2009-05-04,25.990000
2009-05-05,25.660000
2009-05-06,21.830000
2009-05-07,21.840000
2009-05-08,22.480000
2009-05-11,22.260000
2009-05-12,21.270000
2009-05-13,20.050000
2009-05-14,20.740000
2009-05-15,20.740000
2009-05-18,20.290000
2009-05-19,20.140000
2009-05-20,20.190000
2009-05-21,19.840000
2009-05-22,19.740000
2009-05-26,20.860000
2009-05-27,20.360000
2009-05-28,20.580000
2009-05-29,20.860000
2009-06-01,21.700000
2009-06-02,22.950000
2009-06-03,22.170000
2009-06-04,23.290000
2009-06-05,23.090000
2009-06-08,22.760000
2009-06-09,23.730000
2009-06-10,23.570000
2009-06-11,23.250000
2009-06-12,22.940000
2009-06-15,22.020000
2009-06-16,21.810000
2009-06-17,22.140000
2009-06-18,21.460000
2009-06-19,22.270000
2009-06-22,21.780000
2009-06-23,21.900000
2009-06-24,22.280000
2009-06-25,22.670000
2009-06-26,23.640000
2009-06-29,24.160000
2009-06-30,23.820000
2009-07-01,24.050000
2009-07-02,23.720000
2009-07-06,23.320000
2009-07-07,22.670000
2009-07-08,22.890000
2009-07-09,22.740000
2009-07-10,23.090000
2009-07-13,23.140000
2009-07-14,22.950000
2009-07-15,23.650000
2009-07-16,24.770000
2009-07-17,24.600000
2009-07-20,24.700000
2009-07-21,24.610000
2009-07-22,26.390000
2009-07-23,27.710000
2009-07-24,27.650000
2009-07-27,27.420000
2009-07-28,27.210000
2009-07-29,26.930000
2009-07-30,27.220000
2009-07-31,27.660000
2009-08-03,27.980000
2009-08-04,27.180000
2009-08-05,33.660000
2009-08-06,31.640000
2009-08-07,32.310000
2009-08-10,32.890000
2009-08-11,32.450000
2009-08-12,31.270000
2009-08-13,30.760000
2009-08-14,28.720000
2009-08-17,27.950000
2009-08-18,29.040000
2009-08-19,29.250000
2009-08-20,29.470000
2009-08-21,29.780000
2009-08-24,29.880000
2009-08-25,30.450000
2009-08-26,31.840000
2009-08-27,32.240000
2009-08-28,32.320000
2009-08-31,32.870000
2009-09-01,31.760000
2009-09-02,31.860000
2009-09-03,31.550000
2009-09-04,32.860000
2009-09-08,33.910000
2009-09-09,35.980000
2009-09-10,36.060000
2009-09-11,36.180000
2009-09-14,36.810000
2009-09-15,36.820000
2009-09-16,37.230000
2009-09-17,36.820000
2009-09-18,36.660000
2009-09-21,36.800000
2009-09-22,37.230000
2009-09-23,36.390000
2009-09-24,35.170000
2009-09-25,35.270000
2009-09-28,36.850000
2009-09-29,37.570000
2009-09-30,37.740000
2009-10-01,36.040000
2009-10-02,34.990000
2009-10-05,35.870000
2009-10-06,36.810000
2009-10-07,37.110000
2009-10-08,37.370000
2009-10-09,37.640000
2009-10-12,38.430000
2009-10-13,38.420000
2009-10-14,39.580000
2009-10-15,39.280000
2009-10-16,37.540000
2009-10-19,38.840000
2009-10-20,38.170000
2009-10-21,38.660000
2009-10-22,38.980000
2009-10-23,37.920000
2009-10-26,38.340000
2009-10-27,37.780000
2009-10-28,31.590000
2009-10-29,30.850000
2009-10-30,30.260000
2009-11-02,30.460000
2009-11-03,31.410000
2009-11-04,26.840000
2009-11-05,28.140000
2009-11-06,28.430000
2009-11-09,28.120000
2009-11-10,28.830000
2009-11-11,29.510000
2009-11-12,29.910000
2009-11-13,30.370000
2009-11-16,31.800000
2009-11-17,32.330000
2009-11-18,32.480000
2009-11-19,31.500000
2009-11-20,30.860000
2009-11-23,31.740000
2009-11-24,31.620000
2009-11-25,31.830000
2009-11-27,31.010000
2009-11-30,29.880000
2009-12-01,29.620000
2009-12-02,29.980000
2009-12-03,30.400000
2009-12-04,30.730000
2009-12-07,30.200000
2009-12-08,30.030000
2009-12-09,31.330000
2009-12-10,30.710000
2009-12-11,30.450000
2009-12-14,30.700000
2009-12-15,30.540000
2009-12-16,30.900000
2009-12-17,31.360000
2009-12-18,31.140000
2009-12-21,30.700000
2009-12-22,30.260000
2009-12-23,30.400000
2009-12-24,30.980000
2009-12-28,30.900000
2009-12-29,31.150000
2009-12-30,31.520000
2009-12-31,30.700000
2010-01-04,32.180000
2010-01-05,32.260000
2010-01-06,32.020000
2010-01-07,32.170000
2010-01-08,33.790000
2010-01-11,34.290000
2010-01-12,33.810000
2010-01-13,34.670000
2010-01-14,35.190000
2010-01-15,35.130000
2010-01-19,37.100000
2010-01-20,36.150000
2010-01-21,34.160000
2010-01-22,33.420000
2010-01-25,33.480000
2010-01-26,33.150000
2010-01-27,33.560000
2010-01-28,32.810000
2010-01-29,32.310000
2010-02-01,32.530000
2010-02-02,33.280000
2010-02-03,33.070000
2010-02-04,32.220000
2010-02-05,32.390000
2010-02-08,31.900000
2010-02-09,31.920000
2010-02-10,31.900000
2010-02-11,32.420000
2010-02-12,31.950000
2010-02-16,32.790000
2010-02-17,33.000000
2010-02-18,33.790000
2010-02-19,33.720000
2010-02-22,34.920000
2010-02-23,34.450000
2010-02-24,32.450000
2010-02-25,31.920000
2010-02-26,31.950000
2010-03-01,32.470000
2010-03-02,32.990000
2010-03-03,33.820000
2010-03-04,33.860000
2010-03-05,34.680000
2010-03-08,35.110000
2010-03-09,35.380000
2010-03-10,35.700000
2010-03-11,35.910000
2010-03-12,35.910000
2010-03-15,35.590000
2010-03-16,35.300000
2010-03-17,37.270000
2010-03-18,36.740000
2010-03-19,36.130000
2010-03-22,36.230000
2010-03-23,37.240000
2010-03-24,38.050000
2010-03-25,39.020000
2010-03-26,39.940000
2010-03-29,39.140000
2010-03-30,38.100000
2010-03-31,38.630000
2010-04-01,37.990000
2010-04-05,37.890000
2010-04-06,38.580000
2010-04-07,38.640000
2010-04-08,38.140000
2010-04-09,38.120000
2010-04-12,37.610000
2010-04-13,36.390000
2010-04-14,37.120000
2010-04-15,37.190000
2010-04-16,36.120000
2010-04-19,36.650000
2010-04-20,36.710000
2010-04-21,36.890000
2010-04-22,37.530000
2010-04-23,37.520000
2010-04-26,37.700000
