d,c
2009-01-02,7.980000
2009-01-05,7.790000
2009-01-06,7.700000
2009-01-07,7.150000
2009-01-08,7.020000
2009-01-09,6.640000
2009-01-12,6.010000
2009-01-13,5.910000
2009-01-14,4.950000
2009-01-15,4.290000
2009-01-16,4.560000
2009-01-20,3.810000
2009-01-21,4.610000
2009-01-22,3.200000
2009-01-23,3.270000
2009-01-26,3.110000
2009-01-27,3.130000
2009-01-28,3.690000
2009-01-29,3.430000
2009-01-30,2.880000
2009-02-02,2.020000
2009-02-03,1.810000
2009-02-04,1.440000
2009-02-05,1.790000
2009-02-06,2.360000
2009-02-09,2.610000
2009-02-10,1.960000
2009-02-11,1.880000
2009-02-12,1.810000
2009-02-13,1.690000
2009-02-17,1.310000
2009-02-18,1.310000
2009-02-19,1.030000
2009-02-20,1.360000
2009-02-23,1.160000
2009-02-24,1.410000
2009-02-25,1.660000
2009-02-26,1.980000
2009-02-27,1.460000
2009-03-02,1.280000
2009-03-03,1.200000
2009-03-04,1.180000
2009-03-05,1.060000
2009-03-06,1.020000
2009-03-09,1.080000
2009-03-10,1.340000
2009-03-11,1.250000
2009-03-12,1.680000
2009-03-13,1.560000
2009-03-16,1.760000
2009-03-17,1.740000
2009-03-18,2.020000
2009-03-19,1.800000
2009-03-20,1.760000
2009-03-23,2.100000
2009-03-24,1.740000
2009-03-25,1.620000
2009-03-26,1.590000
2009-03-27,1.680000
2009-03-30,1.440000
2009-03-31,1.660000
2009-04-01,1.900000
2009-04-02,1.960000
2009-04-03,2.010000
2009-04-06,1.940000
2009-04-07,1.750000
2009-04-08,1.710000
2009-04-09,2.150000
2009-04-13,2.860000
2009-04-14,2.590000
2009-04-15,3.060000
2009-04-16,3.310000
2009-04-17,3.890000
2009-04-20,3.110000
2009-04-21,3.450000
2009-04-22,3.350000
2009-04-23,3.470000
2009-04-24,3.240000
2009-04-27,2.970000
2009-04-28,2.780000
2009-04-29,2.940000
2009-04-30,2.790000
2009-05-01,2.690000
2009-05-04,2.920000
2009-05-05,3.000000
2009-05-06,3.450000
2009-05-07,3.890000
2009-05-08,5.200000
2009-05-11,5.710000
2009-05-12,5.180000
2009-05-13,4.410000
2009-05-14,4.720000
2009-05-15,4.630000
2009-05-18,4.990000
2009-05-19,4.610000
2009-05-20,4.820000
2009-05-21,4.300000
2009-05-22,4.240000
2009-05-26,4.250000
2009-05-27,4.030000
2009-05-28,4.030000
2009-05-29,3.920000
2009-06-01,4.040000
2009-06-02,4.150000
2009-06-03,3.960000
2009-06-04,4.050000
2009-06-05,4.080000
2009-06-08,4.140000
2009-06-09,4.130000
2009-06-10,4.030000
2009-06-11,4.130000
2009-06-12,4.150000
2009-06-15,4.520000
