d,c
2011-03-10,31.020000
2011-03-11,31.120000
2011-03-14,30.910000
2011-03-15,31.340000
2011-03-16,31.250000
2011-03-17,31.910000
2011-03-18,33.060000
2011-03-21,32.250000
2011-03-22,31.870000
2011-03-23,32.680000
2011-03-24,32.690000
2011-03-25,32.950000
2011-03-28,33.040000
2011-03-29,33.890000
2011-03-30,34.240000
2011-03-31,33.870000
2011-04-01,33.740000
2011-04-04,33.670000
2011-04-05,34.020000
2011-04-06,33.300000
2011-04-07,33.660000
2011-04-08,33.170000
2011-04-11,32.120000
2011-04-12,31.530000
2011-04-13,32.060000
2011-04-14,32.140000
2011-04-15,31.980000
2011-04-18,32.080000
2011-04-19,31.740000
2011-04-20,31.650000
2011-04-21,31.400000
2011-04-25,31.400000
2011-04-26,32.000000
2011-04-27,32.650000
2011-04-28,32.570000
2011-04-29,32.800000
2011-05-02,33.440000
2011-05-03,32.610000
2011-05-04,33.550000
2011-05-05,34.340000
2011-05-06,34.250000
2011-05-09,34.490000
2011-05-10,34.590000
2011-05-11,34.540000
2011-05-12,34.510000
2011-05-13,34.600000
2011-05-16,34.250000
2011-05-17,34.540000
2011-05-18,35.070000
2011-05-19,35.050000
2011-05-20,34.630000
2011-05-23,34.410000
2011-05-24,34.490000
2011-05-25,34.680000
2011-05-26,34.830000
2011-05-27,34.740000
2011-05-31,34.890000
2011-06-01,34.770000
2011-06-02,34.360000
2011-06-03,34.140000
2011-06-06,33.740000
2011-06-07,34.520000
2011-06-08,34.760000
2011-06-09,35.240000
2011-06-10,33.900000
2011-06-13,33.650000
2011-06-14,33.540000
2011-06-15,33.150000
2011-06-16,33.870000
2011-06-17,34.590000
2011-06-20,34.230000
2011-06-21,33.900000
2011-06-22,33.420000
2011-06-23,33.210000
2011-06-24,32.250000
2011-06-27,32.480000
2011-06-28,32.750000
2011-06-29,32.760000
2011-06-30,33.000000
2011-07-01,33.060000
2011-07-05,33.170000
2011-07-06,33.990000
2011-07-07,34.290000
2011-07-08,33.830000
2011-07-11,33.060000
2011-07-12,32.800000
2011-07-13,33.240000
2011-07-14,33.220000
2011-07-15,33.220000
2011-07-18,32.590000
2011-07-19,33.030000
2011-07-20,33.250000
2011-07-21,34.430000
2011-07-22,34.610000
2011-07-25,27.970000
2011-07-26,28.040000
2011-07-27,27.370000
2011-07-28,27.220000
2011-07-29,26.680000
2011-08-01,24.940000
2011-08-02,24.640000
2011-08-03,24.760000
2011-08-04,22.900000
2011-08-05,21.990000
2011-08-08,18.190000
2011-08-09,18.350000
2011-08-10,18.580000
2011-08-11,19.470000
2011-08-12,21.220000
2011-08-15,22.580000
2011-08-16,21.770000
2011-08-17,20.990000
2011-08-18,19.960000
2011-08-19,19.270000
2011-08-22,19.060000
2011-08-23,19.580000
2011-08-24,20.040000
2011-08-25,19.060000
2011-08-26,19.500000
2011-08-29,19.980000
2011-08-30,19.860000
2011-08-31,20.030000
2011-09-01,19.190000
2011-09-02,18.650000
2011-09-06,18.760000
2011-09-07,19.840000
2011-09-08,19.490000
2011-09-09,18.300000
2011-09-12,18.400000
2011-09-13,17.660000
2011-09-14,18.610000
2011-09-15,20.840000
2011-09-16,21.230000
2011-09-19,19.810000
2011-09-20,19.900000
2011-09-21,19.820000
2011-09-22,19.920000
2011-09-23,19.460000
2011-09-26,19.850000
