d,c
2013-12-12,64.500000
2013-12-13,66.300000
2013-12-16,64.560000
2013-12-17,65.430000
2013-12-18,65.490000
2013-12-19,66.840000
2013-12-20,65.790000
2013-12-23,64.680000
2013-12-24,64.530000
2013-12-26,65.100000
2013-12-27,64.800000
2013-12-30,65.670000
2013-12-31,66.750000
2014-01-02,65.580000
2014-01-03,66.030000
2014-01-06,66.000000
2014-01-07,66.000000
2014-01-08,66.090000
2014-01-09,65.610000
2014-01-10,65.070000
2014-01-13,65.160000
2014-01-14,66.300000
2014-01-15,65.730000
2014-01-16,65.880000
2014-01-17,66.750000
2014-01-21,65.760000
2014-01-22,67.380000
2014-01-23,67.980000
2014-01-24,67.350000
2014-01-27,65.970000
2014-01-28,65.700000
2014-01-29,64.980000
2014-01-30,64.980000
2014-01-31,64.950000
2014-02-03,62.850000
2014-02-04,63.090000
2014-02-05,62.400000
2014-02-06,63.600000
2014-02-07,64.950000
2014-02-10,64.230000
2014-02-11,65.070000
2014-02-12,65.670000
2014-02-13,65.850000
2014-02-14,66.000000
2014-02-18,65.280000
2014-02-19,64.590000
2014-02-20,64.470000
2014-02-21,66.450000
2014-02-24,66.780000
2014-02-25,67.110000
2014-02-26,67.620000
2014-02-27,67.470000
2014-02-28,67.080000
2014-03-03,67.470000
2014-03-04,67.680000
2014-03-05,68.310000
2014-03-06,67.440000
2014-03-07,68.130000
2014-03-10,67.140000
2014-03-11,66.330000
2014-03-12,67.050000
2014-03-13,66.150000
2014-03-14,66.090000
2014-03-17,66.360000
2014-03-18,67.710000
2014-03-19,66.780000
2014-03-20,66.510000
2014-03-21,68.970000
2014-03-24,68.280000
2014-03-25,67.440000
2014-03-26,67.020000
2014-03-27,66.690000
2014-03-28,66.750000
2014-03-31,66.720000
2014-04-01,67.650000
2014-04-02,67.410000
2014-04-03,66.060000
2014-04-04,64.770000
2014-04-07,64.110000
2014-04-08,64.080000
2014-04-09,64.530000
2014-04-10,63.540000
2014-04-11,63.750000
2014-04-14,64.050000
2014-04-15,64.140000
2014-04-16,64.800000
2014-04-17,65.310000
2014-04-21,64.380000
2014-04-22,64.530000
2014-04-23,64.470000
2014-04-24,64.500000
2014-04-25,63.990000
2014-04-28,64.110000
2014-04-29,63.270000
2014-04-30,65.490000
2014-05-01,66.240000
2014-05-02,66.150000
2014-05-05,66.480000
2014-05-06,66.480000
2014-05-07,67.980000
2014-05-08,67.920000
2014-05-09,69.210000
2014-05-12,68.940000
2014-05-13,69.000000
2014-05-14,67.650000
2014-05-15,65.700000
2014-05-16,65.610000
2014-05-19,65.730000
2014-05-20,64.230000
2014-05-21,65.550000
2014-05-22,65.970000
2014-05-23,66.150000
2014-05-27,66.720000
2014-05-28,66.030000
2014-05-29,66.540000
2014-05-30,67.860000
2014-06-02,68.340000
2014-06-03,68.130000
2014-06-04,68.310000
2014-06-05,69.060000
2014-06-06,69.840000
2014-06-09,69.870000
2014-06-10,70.290000
2014-06-11,68.430000
2014-06-12,67.440000
2014-06-13,66.870000
2014-06-16,66.630000
2014-06-17,67.020000
2014-06-18,67.050000
2014-06-19,66.990000
2014-06-20,66.780000
2014-06-23,67.020000
2014-06-24,67.500000
2014-06-25,68.880000
2014-06-26,68.580000
2014-06-27,68.430000
2014-06-30,69.900000
2014-07-01,70.890000
2014-07-02,71.580000
2014-07-03,74.400000
2014-07-07,73.500000
2014-07-08,72.570000
