d,c
2021-07-29,34.820000
2021-07-30,35.150000
2021-08-02,37.680000
2021-08-03,46.800000
2021-08-04,70.390000
2021-08-05,50.970000
2021-08-06,55.010000
2021-08-09,56.830000
2021-08-10,53.940000
2021-08-11,51.190000
2021-08-12,48.100000
2021-08-13,50.630000
2021-08-16,47.190000
2021-08-17,46.670000
2021-08-18,49.800000
2021-08-19,44.690000
2021-08-20,42.640000
2021-08-23,45.290000
2021-08-24,49.380000
2021-08-25,48.980000
2021-08-26,46.860000
2021-08-27,46.870000
2021-08-30,43.640000
2021-08-31,44.320000
2021-09-01,44.570000
2021-09-02,44.490000
2021-09-03,43.350000
2021-09-07,42.130000
2021-09-08,40.050000
2021-09-09,41.280000
2021-09-10,41.170000
2021-09-13,40.600000
2021-09-14,40.020000
2021-09-15,41.870000
2021-09-16,41.950000
2021-09-17,42.380000
2021-09-20,40.700000
2021-09-21,42.290000
2021-09-22,46.880000
2021-09-23,45.940000
2021-09-24,44.910000
2021-09-27,44.760000
2021-09-28,44.620000
2021-09-29,43.130000
2021-09-30,42.080000
2021-10-01,41.900000
2021-10-04,40.930000
2021-10-05,42.010000
2021-10-06,42.060000
2021-10-07,41.840000
2021-10-08,41.780000
2021-10-11,42.070000
2021-10-12,40.530000
2021-10-13,40.520000
2021-10-14,40.930000
2021-10-15,41.030000
2021-10-18,40.650000
2021-10-19,41.700000
2021-10-20,41.830000
2021-10-21,41.280000
2021-10-22,39.590000
2021-10-25,39.010000
2021-10-26,39.570000
2021-10-27,35.440000
2021-10-28,35.470000
2021-10-29,34.970000
2021-11-01,34.850000
2021-11-02,34.990000
2021-11-03,37.040000
2021-11-04,37.070000
2021-11-05,37.010000
2021-11-08,37.980000
2021-11-09,36.700000
2021-11-10,34.490000
2021-11-11,34.170000
2021-11-12,35.210000
2021-11-15,34.960000
2021-11-16,33.870000
2021-11-17,32.880000
2021-11-18,30.530000
2021-11-19,28.990000
2021-11-22,27.840000
2021-11-23,27.650000
2021-11-24,27.980000
2021-11-26,27.920000
2021-11-29,27.070000
2021-11-30,25.940000
2021-12-01,23.930000
2021-12-02,24.200000
2021-12-03,21.550000
2021-12-06,21.900000
2021-12-07,22.730000
2021-12-08,23.720000
2021-12-09,21.910000
2021-12-10,20.130000
2021-12-13,19.700000
2021-12-14,19.130000
2021-12-15,19.500000
2021-12-16,18.140000
2021-12-17,19.100000
2021-12-20,18.030000
2021-12-21,18.930000
2021-12-22,18.380000
2021-12-23,18.900000
2021-12-27,18.440000
2021-12-28,17.450000
2021-12-29,17.110000
2021-12-30,18.200000
2021-12-31,17.760000
2022-01-03,18.440000
2022-01-04,17.400000
2022-01-05,15.980000
2022-01-06,15.580000
2022-01-07,15.890000
2022-01-10,15.610000
2022-01-11,16.410000
2022-01-12,16.250000
2022-01-13,15.300000
2022-01-14,15.170000
2022-01-18,14.400000
2022-01-19,13.890000
2022-01-20,13.690000
2022-01-21,12.980000
2022-01-24,13.120000
2022-01-25,13.050000
2022-01-26,12.410000
2022-01-27,11.610000
2022-01-28,12.730000
2022-01-31,14.150000
2022-02-01,14.650000
2022-02-02,14.020000
2022-02-03,14.150000
2022-02-04,15.180000
2022-02-07,13.910000
2022-02-08,13.380000
2022-02-09,13.910000
2022-02-10,13.520000
2022-02-11,13.320000
2022-02-14,13.350000
2022-02-15,13.670000
2022-02-16,13.510000
2022-02-17,12.250000
2022-02-18,11.810000
2022-02-22,11.310000
2022-02-23,10.860000
