d,c
2009-01-02,7.730000
2009-01-05,7.400000
2009-01-06,8.100000
2009-01-07,7.480000
2009-01-08,7.640000
2009-01-09,7.220000
2009-01-12,6.700000
2009-01-13,6.590000
2009-01-14,6.180000
2009-01-15,6.340000
2009-01-16,6.770000
2009-01-20,5.580000
2009-01-21,6.290000
2009-01-22,5.740000
2009-01-23,5.890000
2009-01-26,5.960000
2009-01-27,5.880000
2009-01-28,6.240000
2009-01-29,5.760000
2009-01-30,5.380000
2009-02-02,5.470000
2009-02-03,5.460000
2009-02-04,5.140000
2009-02-05,5.090000
2009-02-06,5.490000
2009-02-09,5.570000
2009-02-10,4.830000
2009-02-11,4.690000
2009-02-12,4.730000
2009-02-13,4.380000
2009-02-17,4.200000
2009-02-18,4.110000
2009-02-19,3.860000
2009-02-20,4.150000
2009-02-23,3.830000
2009-02-24,4.280000
2009-02-25,4.120000
2009-02-26,3.830000
2009-02-27,3.700000
2009-03-02,3.410000
2009-03-03,3.500000
2009-03-04,3.650000
2009-03-05,3.400000
2009-03-06,3.540000
2009-03-09,3.580000
2009-03-10,4.260000
2009-03-11,4.200000
2009-03-12,4.820000
2009-03-13,4.650000
2009-03-16,4.070000
2009-03-17,4.690000
2009-03-18,4.990000
2009-03-19,4.370000
2009-03-20,3.780000
2009-03-23,4.800000
2009-03-24,4.380000
2009-03-25,4.730000
2009-03-26,4.810000
2009-03-27,4.250000
2009-03-30,3.720000
2009-03-31,3.920000
2009-04-01,3.910000
2009-04-02,4.430000
2009-04-03,5.010000
2009-04-06,5.120000
2009-04-07,4.490000
2009-04-08,4.650000
2009-04-09,5.500000
2009-04-13,5.600000
2009-04-14,5.480000
2009-04-15,5.860000
2009-04-16,6.500000
2009-04-17,6.460000
2009-04-20,5.550000
2009-04-21,6.400000
2009-04-22,6.080000
2009-04-23,7.100000
2009-04-24,7.800000
2009-04-27,6.640000
2009-04-28,7.110000
2009-04-29,7.540000
2009-04-30,7.690000
2009-05-01,7.540000
2009-05-04,8.380000
2009-05-05,8.730000
2009-05-06,9.440000
2009-05-07,8.470000
2009-05-08,9.560000
2009-05-11,8.830000
2009-05-12,8.450000
2009-05-13,7.650000
2009-05-14,8.190000
2009-05-15,7.670000
2009-05-18,8.620000
2009-05-19,8.400000
2009-05-20,8.360000
2009-05-21,8.410000
2009-05-22,8.200000
2009-05-26,9.010000
2009-05-27,8.610000
2009-05-28,8.970000
2009-05-29,9.380000
2009-06-01,9.610000
2009-06-02,9.580000
2009-06-03,9.360000
2009-06-04,9.690000
2009-06-05,9.560000
2009-06-08,9.520000
2009-06-09,9.700000
2009-06-10,9.120000
2009-06-11,8.930000
2009-06-12,9.180000
2009-06-15,8.390000
2009-06-16,8.500000
2009-06-17,8.070000
2009-06-18,7.870000
2009-06-19,7.660000
2009-06-22,7.240000
2009-06-23,7.460000
2009-06-24,7.690000
2009-06-25,7.990000
2009-06-26,8.090000
2009-06-29,8.220000
2009-06-30,8.390000
2009-07-01,8.180000
2009-07-02,7.590000
2009-07-06,8.050000
2009-07-07,7.710000
2009-07-08,7.300000
2009-07-09,7.470000
2009-07-10,7.440000
2009-07-13,7.600000
2009-07-14,7.940000
2009-07-15,8.490000
2009-07-16,8.330000
2009-07-17,8.030000
2009-07-20,8.570000
2009-07-21,8.360000
2009-07-22,8.050000
2009-07-23,8.680000
2009-07-24,8.600000
2009-07-27,9.000000
2009-07-28,8.760000
2009-07-29,8.650000
2009-07-30,9.030000
2009-07-31,9.080000
2009-08-03,9.150000
2009-08-04,9.920000
2009-08-05,10.350000
2009-08-06,9.940000
2009-08-07,10.860000
2009-08-10,10.500000
2009-08-11,10.100000
2009-08-12,10.430000
2009-08-13,10.420000
2009-08-14,10.390000
2009-08-17,9.560000
2009-08-18,9.980000
2009-08-19,9.670000
2009-08-20,10.230000
2009-08-21,10.580000
2009-08-24,10.420000
2009-08-25,10.400000
2009-08-26,10.080000
2009-08-27,10.120000
2009-08-28,10.210000
2009-08-31,9.970000
2009-09-01,9.370000
2009-09-02,9.070000
2009-09-03,9.330000
2009-09-04,9.530000
2009-09-08,10.000000
2009-09-09,10.180000
2009-09-10,10.380000
2009-09-11,10.550000
2009-09-14,10.910000
2009-09-15,11.050000
2009-09-16,11.470000
2009-09-17,11.810000
2009-09-18,11.550000
2009-09-21,11.140000
2009-09-22,11.840000
2009-09-23,11.650000
2009-09-24,11.060000
2009-09-25,11.030000
2009-09-28,11.710000
2009-09-29,11.830000
2009-09-30,11.770000
2009-10-01,11.070000
2009-10-02,10.690000
2009-10-05,11.260000
2009-10-06,11.470000
2009-10-07,11.520000
2009-10-08,11.550000
2009-10-09,11.430000
2009-10-12,11.510000
2009-10-13,11.280000
2009-10-14,12.130000
2009-10-15,11.750000
2009-10-16,11.190000
2009-10-19,11.480000
2009-10-20,10.980000
2009-10-21,10.620000
2009-10-22,10.840000
2009-10-23,10.570000
2009-10-26,10.410000
2009-10-27,10.210000
2009-10-28,9.680000
2009-10-29,10.540000
2009-10-30,10.110000
2009-11-02,9.900000
2009-11-03,10.250000
2009-11-04,9.840000
2009-11-05,10.040000
2009-11-06,9.780000
2009-11-09,10.570000
2009-11-10,10.520000
2009-11-11,10.650000
2009-11-12,10.640000
2009-11-13,10.620000
2009-11-16,10.970000
2009-11-17,10.710000
2009-11-18,10.550000
2009-11-19,10.160000
2009-11-20,10.060000
2009-11-23,10.170000
2009-11-24,10.020000
2009-11-25,10.310000
2009-11-27,10.060000
2009-11-30,10.520000
2009-12-01,10.580000
2009-12-02,10.940000
2009-12-03,10.570000
2009-12-04,10.950000
2009-12-07,10.490000
2009-12-08,10.270000
2009-12-09,10.290000
2009-12-10,10.310000
2009-12-11,10.560000
2009-12-14,10.970000
2009-12-15,10.750000
2009-12-16,11.050000
2009-12-17,11.070000
2009-12-18,11.310000
2009-12-21,11.670000
2009-12-22,11.770000
2009-12-23,11.770000
2009-12-24,12.020000
2009-12-28,11.960000
2009-12-29,11.890000
2009-12-30,12.040000
2009-12-31,11.670000
2010-01-04,11.820000
2010-01-05,12.090000
2010-01-06,12.160000
2010-01-07,12.610000
2010-01-08,12.490000
2010-01-11,12.380000
2010-01-12,11.980000
2010-01-13,12.470000
2010-01-14,12.410000
2010-01-15,11.980000
2010-01-19,12.420000
2010-01-20,12.250000
2010-01-21,11.630000
2010-01-22,11.080000
2010-01-25,11.270000
2010-01-26,10.930000
2010-01-27,10.970000
2010-01-28,10.870000
2010-01-29,10.600000
2010-02-01,10.940000
2010-02-02,11.370000
2010-02-03,11.340000
2010-02-04,10.690000
2010-02-05,10.900000
2010-02-08,10.780000
2010-02-09,10.770000
