d,c
2009-01-02,35.810000
2009-01-05,35.490000
2009-01-06,35.970000
2009-01-07,35.420000
2009-01-08,35.140000
2009-01-09,34.420000
2009-01-12,34.870000
2009-01-13,34.870000
2009-01-14,34.110000
2009-01-15,34.450000
2009-01-16,35.030000
2009-01-20,33.880000
2009-01-21,33.880000
2009-01-22,35.050000
2009-01-23,34.940000
2009-01-26,35.100000
2009-01-27,37.480000
2009-01-28,37.350000
2009-01-29,37.840000
2009-01-30,37.280000
2009-02-02,36.490000
2009-02-03,37.000000
2009-02-04,36.460000
2009-02-05,36.470000
2009-02-06,37.480000
2009-02-09,36.700000
2009-02-10,35.800000
2009-02-11,35.960000
2009-02-12,36.540000
2009-02-13,36.870000
2009-02-17,34.890000
2009-02-18,34.790000
2009-02-19,35.030000
2009-02-20,34.640000
2009-02-23,33.720000
2009-02-24,34.130000
2009-02-25,34.140000
2009-02-26,33.400000
2009-02-27,33.690000
2009-03-02,33.520000
2009-03-03,33.090000
2009-03-04,33.420000
2009-03-05,31.490000
2009-03-06,31.990000
2009-03-09,30.900000
2009-03-10,30.750000
2009-03-11,30.940000
2009-03-12,32.200000
2009-03-13,33.210000
2009-03-16,33.290000
2009-03-17,35.040000
2009-03-18,35.200000
2009-03-19,34.940000
2009-03-20,34.930000
2009-03-23,36.220000
2009-03-24,35.410000
2009-03-25,34.970000
2009-03-26,35.100000
2009-03-27,34.950000
2009-03-30,34.740000
2009-03-31,34.750000
2009-04-01,35.330000
2009-04-02,35.620000
2009-04-03,36.140000
2009-04-06,35.950000
2009-04-07,35.260000
2009-04-08,36.170000
2009-04-09,36.580000
2009-04-13,36.090000
2009-04-14,35.560000
2009-04-15,35.890000
2009-04-16,35.990000
2009-04-17,35.840000
2009-04-20,35.840000
2009-04-21,35.600000
2009-04-22,36.060000
2009-04-23,37.450000
2009-04-24,36.180000
2009-04-27,35.860000
2009-04-28,35.960000
2009-04-29,36.220000
2009-04-30,36.140000
2009-05-01,35.710000
2009-05-04,36.230000
2009-05-05,35.830000
2009-05-06,35.360000
2009-05-07,35.130000
2009-05-08,35.220000
2009-05-11,35.380000
2009-05-12,35.710000
2009-05-13,35.220000
2009-05-14,35.200000
2009-05-15,35.280000
2009-05-18,35.490000
2009-05-19,35.740000
2009-05-20,35.110000
2009-05-21,34.870000
2009-05-22,34.880000
2009-05-26,35.290000
2009-05-27,34.750000
2009-05-28,34.950000
2009-05-29,35.220000
2009-06-01,35.440000
2009-06-02,35.750000
2009-06-03,35.640000
2009-06-04,35.140000
2009-06-05,34.870000
2009-06-08,35.230000
2009-06-09,35.330000
2009-06-10,35.030000
2009-06-11,35.210000
2009-06-12,35.390000
2009-06-15,34.480000
2009-06-16,33.860000
2009-06-17,34.110000
2009-06-18,34.600000
2009-06-19,34.770000
2009-06-22,34.700000
2009-06-23,34.840000
2009-06-24,35.420000
2009-06-25,36.250000
2009-06-26,35.990000
2009-06-29,36.030000
2009-06-30,36.000000
2009-07-01,36.840000
2009-07-02,36.480000
2009-07-06,37.160000
2009-07-07,36.620000
2009-07-08,37.010000
2009-07-09,36.880000
2009-07-10,36.680000
2009-07-13,36.870000
2009-07-14,37.550000
2009-07-15,37.930000
2009-07-16,38.230000
2009-07-17,38.170000
2009-07-20,38.310000
2009-07-21,38.600000
2009-07-22,38.950000
2009-07-23,41.800000
2009-07-24,40.970000
2009-07-27,40.890000
2009-07-28,41.130000
2009-07-29,40.500000
2009-07-30,40.190000
2009-07-31,39.950000
2009-08-03,39.850000
2009-08-04,39.530000
2009-08-05,38.980000
2009-08-06,38.890000
2009-08-07,39.140000
2009-08-10,38.900000
2009-08-11,38.840000
2009-08-12,38.380000
2009-08-13,38.790000
2009-08-14,38.940000
2009-08-17,38.480000
2009-08-18,39.010000
2009-08-19,39.270000
2009-08-20,39.370000
2009-08-21,39.660000
2009-08-24,39.370000
2009-08-25,39.210000
2009-08-26,39.210000
2009-08-27,38.960000
2009-08-28,38.950000
2009-08-31,39.230000
2009-09-01,38.410000
2009-09-02,38.470000
2009-09-03,38.600000
2009-09-04,38.630000
2009-09-08,39.130000
2009-09-09,40.490000
2009-09-10,40.480000
2009-09-11,40.240000
2009-09-14,39.760000
2009-09-15,39.550000
2009-09-16,39.390000
2009-09-17,38.900000
2009-09-18,39.610000
2009-09-21,39.380000
2009-09-22,39.250000
2009-09-23,39.210000
2009-09-24,39.050000
2009-09-25,39.000000
2009-09-28,39.220000
2009-09-29,39.050000
2009-09-30,38.860000
2009-10-01,39.840000
2009-10-02,39.540000
2009-10-05,39.310000
2009-10-06,39.480000
2009-10-07,39.380000
2009-10-08,39.670000
2009-10-09,39.900000
2009-10-12,39.720000
2009-10-13,39.400000
2009-10-14,39.570000
2009-10-15,39.740000
2009-10-16,39.630000
2009-10-19,39.610000
2009-10-20,40.880000
2009-10-21,40.670000
2009-10-22,39.330000
2009-10-23,38.060000
2009-10-26,37.980000
2009-10-27,38.260000
2009-10-28,38.060000
2009-10-29,38.450000
2009-10-30,37.790000
2009-11-02,37.910000
2009-11-03,37.370000
2009-11-04,37.280000
2009-11-05,37.280000
2009-11-06,37.620000
2009-11-09,37.850000
2009-11-10,38.070000
2009-11-11,38.100000
2009-11-12,37.780000
2009-11-13,38.220000
2009-11-16,38.710000
2009-11-17,38.410000
2009-11-18,37.630000
2009-11-19,37.140000
2009-11-20,37.180000
2009-11-23,36.390000
2009-11-24,36.660000
2009-11-25,35.940000
2009-11-27,35.600000
2009-11-30,35.370000
2009-12-01,35.880000
2009-12-02,36.050000
2009-12-03,35.900000
2009-12-04,35.990000
2009-12-07,35.920000
2009-12-08,35.580000
2009-12-09,35.330000
2009-12-10,35.580000
2009-12-11,36.020000
2009-12-14,36.130000
2009-12-15,36.080000
2009-12-16,36.090000
2009-12-17,35.670000
2009-12-18,35.290000
2009-12-21,35.550000
2009-12-22,36.190000
2009-12-23,36.360000
2009-12-24,36.480000
2009-12-28,36.570000
2009-12-29,36.380000
2009-12-30,36.490000
2009-12-31,35.790000
2010-01-04,36.220000
2010-01-05,37.170000
2010-01-06,36.850000
2010-01-07,36.490000
2010-01-08,36.380000
2010-01-11,36.180000
2010-01-12,37.750000
2010-01-13,36.610000
2010-01-14,36.960000
2010-01-15,36.250000
2010-01-19,37.350000
2010-01-20,37.080000
2010-01-21,36.190000
2010-01-22,36.280000
2010-01-25,36.450000
2010-01-26,36.500000
2010-01-27,37.290000
2010-01-28,37.130000
2010-01-29,36.430000
2010-02-01,36.810000
