d,c
2009-01-02,87.370000
2009-01-05,86.820000
2009-01-06,89.230000
2009-01-07,87.790000
2009-01-08,87.180000
2009-01-09,84.700000
2009-01-12,85.710000
2009-01-13,85.340000
2009-01-14,83.190000
2009-01-15,84.120000
2009-01-16,84.920000
2009-01-20,81.980000
2009-01-21,91.420000
2009-01-22,90.070000
2009-01-23,89.490000
2009-01-26,91.600000
2009-01-27,91.660000
2009-01-28,94.820000
2009-01-29,92.510000
2009-01-30,91.650000
2009-02-02,90.930000
2009-02-03,93.480000
2009-02-04,92.830000
2009-02-05,92.410000
2009-02-06,96.140000
2009-02-09,96.820000
2009-02-10,93.270000
2009-02-11,95.160000
2009-02-12,95.070000
2009-02-13,93.840000
2009-02-17,90.670000
2009-02-18,91.510000
2009-02-19,88.930000
2009-02-20,88.790000
2009-02-23,84.370000
2009-02-24,86.400000
2009-02-25,85.900000
2009-02-26,88.970000
2009-02-27,92.030000
2009-03-02,89.050000
2009-03-03,87.770000
2009-03-04,89.490000
2009-03-05,87.480000
2009-03-06,85.810000
2009-03-09,83.480000
2009-03-10,87.250000
2009-03-11,88.620000
2009-03-12,90.400000
2009-03-13,90.360000
2009-03-16,91.220000
2009-03-17,92.910000
2009-03-18,91.950000
2009-03-19,92.660000
2009-03-20,92.510000
2009-03-23,98.710000
2009-03-24,98.300000
2009-03-25,97.950000
2009-03-26,98.780000
2009-03-27,94.150000
2009-03-30,94.520000
2009-03-31,96.890000
2009-04-01,97.610000
2009-04-02,100.820000
2009-04-03,102.220000
2009-04-06,101.560000
2009-04-07,98.750000
2009-04-08,101.190000
2009-04-09,101.700000
2009-04-13,99.950000
2009-04-14,99.270000
2009-04-15,98.850000
2009-04-16,101.430000
2009-04-17,101.270000
2009-04-20,100.430000
2009-04-21,102.310000
2009-04-22,102.550000
2009-04-23,101.420000
2009-04-24,100.080000
2009-04-27,99.950000
2009-04-28,101.940000
2009-04-29,104.040000
2009-04-30,103.210000
2009-05-01,104.610000
2009-05-04,106.190000
2009-05-05,105.850000
2009-05-06,104.620000
2009-05-07,102.590000
2009-05-08,101.490000
2009-05-11,102.900000
2009-05-12,103.940000
2009-05-13,102.260000
2009-05-14,101.050000
2009-05-15,101.370000
2009-05-18,104.580000
2009-05-19,105.510000
2009-05-20,104.050000
2009-05-21,102.820000
