d,c
2009-01-02,25.990000
2009-01-05,25.140000
2009-01-06,25.690000
2009-01-07,24.650000
2009-01-08,24.680000
2009-01-09,23.900000
2009-01-12,23.380000
2009-01-13,22.900000
2009-01-14,22.350000
2009-01-15,22.570000
2009-01-16,22.880000
2009-01-20,21.690000
2009-01-21,22.620000
2009-01-22,22.900000
2009-01-23,22.690000
2009-01-26,22.740000
2009-01-27,23.280000
2009-01-28,24.540000
2009-01-29,23.570000
2009-01-30,22.610000
2009-02-02,22.920000
2009-02-03,22.930000
2009-02-04,23.070000
2009-02-05,21.510000
2009-02-06,22.620000
2009-02-09,22.270000
2009-02-10,21.390000
2009-02-11,21.330000
2009-02-12,21.970000
2009-02-13,22.250000
2009-02-17,21.440000
2009-02-18,20.850000
2009-02-19,20.500000
2009-02-20,20.540000
2009-02-23,19.240000
2009-02-24,19.980000
2009-02-25,19.520000
2009-02-26,19.080000
2009-02-27,19.320000
2009-03-02,17.770000
2009-03-03,17.820000
2009-03-04,18.570000
2009-03-05,17.260000
2009-03-06,17.530000
2009-03-09,16.740000
2009-03-10,17.990000
2009-03-11,18.720000
2009-03-12,19.060000
2009-03-13,19.260000
2009-03-16,19.410000
2009-03-17,19.960000
2009-03-18,20.940000
2009-03-19,21.130000
2009-03-20,20.770000
2009-03-23,22.460000
2009-03-24,22.010000
2009-03-25,22.210000
2009-03-26,23.510000
2009-03-27,22.640000
2009-03-30,21.560000
2009-03-31,21.870000
2009-04-01,22.460000
2009-04-02,23.860000
2009-04-03,24.300000
2009-04-06,22.900000
2009-04-07,22.340000
2009-04-08,22.320000
2009-04-09,23.920000
2009-04-13,23.250000
2009-04-14,22.720000
2009-04-15,22.720000
2009-04-16,23.340000
2009-04-17,23.270000
2009-04-20,22.020000
2009-04-21,21.930000
2009-04-22,23.580000
2009-04-23,23.670000
2009-04-24,24.490000
2009-04-27,24.130000
2009-04-28,23.960000
2009-04-29,24.500000
2009-04-30,25.250000
2009-05-01,24.780000
2009-05-04,25.690000
2009-05-05,25.410000
2009-05-06,25.510000
2009-05-07,24.900000
2009-05-08,25.880000
2009-05-11,25.500000
2009-05-12,25.000000
2009-05-13,23.690000
2009-05-14,23.670000
2009-05-15,23.770000
2009-05-18,24.270000
2009-05-19,24.330000
2009-05-20,23.780000
2009-05-21,23.170000
2009-05-22,23.100000
2009-05-26,23.670000
2009-05-27,23.500000
2009-05-28,23.300000
2009-05-29,23.350000
2009-06-01,24.220000
2009-06-02,24.330000
2009-06-03,24.390000
2009-06-04,24.720000
2009-06-05,25.430000
2009-06-08,25.380000
2009-06-09,25.310000
2009-06-10,25.430000
2009-06-11,25.290000
2009-06-12,25.240000
2009-06-15,24.580000
2009-06-16,24.690000
2009-06-17,24.500000
2009-06-18,24.730000
2009-06-19,24.250000
2009-06-22,23.040000
2009-06-23,22.980000
2009-06-24,23.760000
2009-06-25,24.800000
2009-06-26,24.940000
2009-06-29,25.100000
2009-06-30,24.570000
2009-07-01,24.600000
2009-07-02,24.040000
2009-07-06,23.800000
2009-07-07,22.880000
2009-07-08,22.590000
2009-07-09,22.680000
2009-07-10,22.680000
2009-07-13,23.350000
2009-07-14,23.640000
2009-07-15,24.630000
2009-07-16,25.070000
2009-07-17,25.340000
2009-07-20,26.130000
2009-07-21,26.030000
2009-07-22,25.920000
2009-07-23,26.790000
2009-07-24,27.590000
2009-07-27,27.330000
2009-07-28,27.540000
2009-07-29,27.200000
2009-07-30,27.640000
2009-07-31,27.280000
2009-08-03,27.980000
2009-08-04,28.250000
2009-08-05,27.480000
2009-08-06,27.600000
2009-08-07,28.410000
2009-08-10,28.130000
2009-08-11,27.370000
2009-08-12,27.410000
2009-08-13,27.230000
2009-08-14,26.730000
2009-08-17,25.840000
2009-08-18,25.900000
2009-08-19,26.610000
2009-08-20,27.020000
2009-08-21,27.600000
2009-08-24,27.620000
2009-08-25,27.620000
2009-08-26,27.300000
2009-08-27,27.070000
2009-08-28,27.180000
2009-08-31,26.440000
2009-09-01,26.260000
2009-09-02,26.410000
2009-09-03,27.310000
2009-09-04,27.660000
2009-09-08,28.140000
2009-09-09,29.250000
2009-09-10,29.140000
2009-09-11,29.120000
2009-09-14,29.330000
2009-09-15,29.510000
2009-09-16,28.700000
2009-09-17,28.660000
2009-09-18,28.670000
2009-09-21,28.280000
2009-09-22,28.250000
2009-09-23,28.200000
2009-09-24,27.560000
2009-09-25,27.300000
2009-09-28,27.450000
2009-09-29,28.290000
2009-09-30,27.950000
2009-10-01,26.820000
2009-10-02,26.260000
2009-10-05,26.920000
2009-10-06,27.380000
2009-10-07,27.430000
2009-10-08,28.580000
2009-10-09,29.270000
2009-10-12,29.490000
2009-10-13,28.870000
2009-10-14,29.470000
2009-10-15,29.330000
2009-10-16,29.190000
2009-10-19,29.760000
2009-10-20,30.240000
2009-10-21,31.020000
2009-10-22,31.170000
2009-10-23,30.690000
2009-10-26,30.400000
2009-10-27,29.620000
2009-10-28,28.640000
2009-10-29,29.100000
2009-10-30,28.430000
2009-11-02,28.440000
2009-11-03,29.030000
2009-11-04,29.180000
2009-11-05,29.960000
2009-11-06,29.730000
2009-11-09,30.340000
2009-11-10,30.270000
2009-11-11,30.210000
2009-11-12,29.610000
2009-11-13,30.460000
2009-11-16,31.250000
2009-11-17,30.910000
2009-11-18,30.470000
2009-11-19,30.130000
2009-11-20,30.020000
2009-11-23,30.380000
2009-11-24,30.450000
2009-11-25,30.520000
2009-11-27,29.980000
2009-11-30,29.630000
2009-12-01,30.020000
2009-12-02,30.380000
2009-12-03,30.280000
2009-12-04,30.850000
2009-12-07,30.860000
2009-12-08,30.620000
2009-12-09,30.570000
2009-12-10,30.960000
2009-12-11,31.130000
2009-12-14,31.630000
2009-12-15,31.960000
2009-12-16,31.550000
2009-12-17,31.480000
2009-12-18,31.820000
2009-12-21,32.030000
2009-12-22,32.420000
2009-12-23,32.170000
2009-12-24,32.240000
2009-12-28,32.000000
2009-12-29,31.670000
2009-12-30,31.460000
2009-12-31,31.150000
2010-01-04,31.650000
2010-01-05,31.430000
2010-01-06,31.810000
2010-01-07,31.750000
2010-01-08,32.240000
2010-01-11,32.240000
2010-01-12,31.770000
2010-01-13,31.770000
2010-01-14,31.650000
2010-01-15,31.230000
2010-01-19,31.590000
2010-01-20,31.340000
2010-01-21,30.510000
2010-01-22,29.980000
2010-01-25,29.570000
2010-01-26,29.390000
2010-01-27,29.280000
2010-01-28,28.800000
2010-01-29,28.220000
2010-02-01,28.780000
2010-02-02,29.330000
2010-02-03,29.320000
2010-02-04,29.300000
2010-02-05,29.020000
2010-02-08,29.230000
2010-02-09,29.300000
2010-02-10,29.020000
2010-02-11,29.550000
2010-02-12,29.940000
2010-02-16,30.320000
2010-02-17,30.600000
2010-02-18,31.240000
2010-02-19,31.480000
2010-02-22,31.520000
2010-02-23,30.820000
2010-02-24,30.900000
2010-02-25,31.050000
2010-02-26,31.000000
2010-03-01,31.560000
2010-03-02,31.770000
2010-03-03,31.590000
2010-03-04,31.330000
2010-03-05,32.170000
2010-03-08,32.300000
2010-03-09,32.430000
2010-03-10,32.660000
2010-03-11,33.000000
2010-03-12,32.800000
2010-03-15,32.710000
2010-03-16,32.570000
2010-03-17,32.800000
2010-03-18,32.290000
2010-03-19,32.090000
2010-03-22,32.470000
2010-03-23,33.130000
2010-03-24,32.560000
2010-03-25,32.200000
2010-03-26,32.820000
2010-03-29,33.210000
2010-03-30,33.420000
2010-03-31,33.100000
2010-04-01,33.160000
2010-04-05,33.610000
2010-04-06,33.670000
2010-04-07,33.530000
2010-04-08,33.390000
2010-04-09,33.680000
2010-04-12,34.000000
2010-04-13,34.110000
2010-04-14,34.360000
2010-04-15,34.510000
2010-04-16,34.140000
2010-04-19,33.580000
2010-04-20,34.210000
2010-04-21,34.760000
2010-04-22,34.940000
2010-04-23,34.830000
2010-04-26,35.020000
2010-04-27,34.330000
2010-04-28,34.060000
2010-04-29,34.620000
2010-04-30,33.600000
2010-05-03,34.410000
2010-05-04,33.210000
2010-05-05,33.390000
2010-05-06,31.930000
2010-05-07,30.880000
2010-05-10,32.890000
2010-05-11,32.970000
2010-05-12,33.720000
2010-05-13,33.790000
2010-05-14,32.770000
2010-05-17,32.970000
2010-05-18,32.520000
2010-05-19,31.660000
2010-05-20,30.060000
2010-05-21,30.090000
2010-05-24,30.000000
2010-05-25,29.700000
2010-05-26,29.910000
2010-05-27,31.080000
2010-05-28,30.540000
2010-06-01,29.880000
2010-06-02,30.780000
2010-06-03,31.520000
2010-06-04,29.720000
2010-06-07,29.060000
2010-06-08,28.970000
2010-06-09,29.020000
2010-06-10,30.360000
2010-06-11,30.850000
2010-06-14,31.330000
2010-06-15,32.490000
2010-06-16,32.140000
2010-06-17,31.750000
2010-06-18,31.570000
2010-06-21,31.450000
2010-06-22,30.500000
2010-06-23,30.450000
2010-06-24,30.520000
2010-06-25,30.650000
2010-06-28,30.160000
2010-06-29,28.910000
2010-06-30,28.570000
2010-07-01,28.200000
2010-07-02,27.850000
2010-07-06,27.970000
2010-07-07,28.750000
2010-07-08,28.990000
2010-07-09,29.280000
2010-07-12,29.420000
2010-07-13,30.450000
2010-07-14,30.430000
2010-07-15,30.270000
2010-07-16,28.960000
2010-07-19,29.770000
2010-07-20,30.630000
2010-07-21,31.110000
2010-07-22,31.800000
2010-07-23,32.430000
2010-07-26,32.640000
2010-07-27,32.060000
2010-07-28,31.650000
2010-07-29,31.800000
2010-07-30,32.170000
2010-08-02,32.780000
2010-08-03,32.590000
2010-08-04,32.850000
2010-08-05,33.010000
2010-08-06,32.890000
2010-08-09,33.100000
2010-08-10,32.650000
2010-08-11,31.500000
2010-08-12,31.210000
2010-08-13,30.940000
2010-08-16,30.820000
2010-08-17,31.580000
2010-08-18,32.150000
2010-08-19,31.270000
2010-08-20,31.290000
2010-08-23,31.010000
2010-08-24,30.130000
2010-08-25,30.200000
2010-08-26,29.920000
