d,c
2009-01-02,18.470000
2009-01-05,17.800000
2009-01-06,18.190000
2009-01-07,17.280000
2009-01-08,17.240000
2009-01-09,16.290000
2009-01-12,16.430000
2009-01-13,16.520000
2009-01-14,15.390000
2009-01-15,15.320000
2009-01-16,14.880000
2009-01-20,14.330000
2009-01-21,14.950000
2009-01-22,14.730000
2009-01-23,14.510000
2009-01-26,14.730000
2009-01-27,14.720000
2009-01-28,15.000000
2009-01-29,14.490000
2009-01-30,14.160000
2009-02-02,14.600000
2009-02-03,14.740000
2009-02-04,14.960000
2009-02-05,11.130000
2009-02-06,11.720000
2009-02-09,11.700000
2009-02-10,11.010000
2009-02-11,11.110000
2009-02-12,11.510000
2009-02-13,11.510000
2009-02-17,11.130000
2009-02-18,11.000000
2009-02-19,10.670000
2009-02-20,10.410000
2009-02-23,10.060000
2009-02-24,10.390000
2009-02-25,10.000000
2009-02-26,9.970000
2009-02-27,10.110000
2009-03-02,9.590000
2009-03-03,9.480000
2009-03-04,9.390000
2009-03-05,9.010000
2009-03-06,8.940000
2009-03-09,8.380000
2009-03-10,9.140000
2009-03-11,9.060000
2009-03-12,9.530000
2009-03-13,9.590000
2009-03-16,9.400000
2009-03-17,9.720000
2009-03-18,9.920000
2009-03-19,9.620000
2009-03-20,9.600000
2009-03-23,10.380000
2009-03-24,10.370000
2009-03-25,10.980000
2009-03-26,11.540000
2009-03-27,10.840000
2009-03-30,10.750000
2009-03-31,11.010000
2009-04-01,10.980000
2009-04-02,11.750000
2009-04-03,11.800000
2009-04-06,11.480000
2009-04-07,11.120000
2009-04-08,11.650000
2009-04-09,12.510000
2009-04-13,12.410000
2009-04-14,11.700000
2009-04-15,11.900000
2009-04-16,12.220000
2009-04-17,12.460000
2009-04-20,11.770000
2009-04-21,12.190000
2009-04-22,12.490000
2009-04-23,12.370000
2009-04-24,12.480000
2009-04-27,12.750000
2009-04-28,12.890000
2009-04-29,13.250000
2009-04-30,13.510000
2009-05-01,13.110000
2009-05-04,13.630000
2009-05-05,13.300000
2009-05-06,13.380000
2009-05-07,13.260000
2009-05-08,14.240000
2009-05-11,14.300000
2009-05-12,14.090000
2009-05-13,13.260000
2009-05-14,13.310000
2009-05-15,13.290000
2009-05-18,14.170000
2009-05-19,14.740000
2009-05-20,14.460000
2009-05-21,14.290000
2009-05-22,14.760000
2009-05-26,15.020000
2009-05-27,15.580000
2009-05-28,15.580000
2009-05-29,15.350000
2009-06-01,16.060000
2009-06-02,16.440000
2009-06-03,15.860000
2009-06-04,16.130000
2009-06-05,16.080000
2009-06-08,15.860000
2009-06-09,15.960000
2009-06-10,15.820000
2009-06-11,15.280000
2009-06-12,15.560000
2009-06-15,15.050000
2009-06-16,14.830000
2009-06-17,15.190000
2009-06-18,15.080000
2009-06-19,15.300000
2009-06-22,14.860000
2009-06-23,14.770000
2009-06-24,14.770000
2009-06-25,15.270000
2009-06-26,15.410000
2009-06-29,15.350000
2009-06-30,15.260000
2009-07-01,15.810000
2009-07-02,15.120000
2009-07-06,15.130000
2009-07-07,14.960000
2009-07-08,14.650000
2009-07-09,14.480000
2009-07-10,14.410000
2009-07-13,14.860000
2009-07-14,14.970000
2009-07-15,15.770000
2009-07-16,16.320000
2009-07-17,16.260000
2009-07-20,16.510000
2009-07-21,16.490000
2009-07-22,16.490000
2009-07-23,17.230000
2009-07-24,17.270000
2009-07-27,16.990000
2009-07-28,17.200000
2009-07-29,17.170000
2009-07-30,17.350000
2009-07-31,17.100000
2009-08-03,17.470000
2009-08-04,17.500000
2009-08-05,17.620000
2009-08-06,17.320000
2009-08-07,17.660000
2009-08-10,17.330000
2009-08-11,17.050000
2009-08-12,16.740000
2009-08-13,16.250000
2009-08-14,16.200000
2009-08-17,16.270000
2009-08-18,16.510000
2009-08-19,16.650000
2009-08-20,16.640000
2009-08-21,17.110000
2009-08-24,17.180000
2009-08-25,17.100000
2009-08-26,17.030000
2009-08-27,17.040000
2009-08-28,17.000000
2009-08-31,16.660000
2009-09-01,16.470000
2009-09-02,16.660000
2009-09-03,16.700000
2009-09-04,16.930000
2009-09-08,16.960000
2009-09-09,17.260000
2009-09-10,17.590000
2009-09-11,17.320000
2009-09-14,17.500000
2009-09-15,17.400000
2009-09-16,17.680000
2009-09-17,18.010000
2009-09-18,17.750000
2009-09-21,17.750000
2009-09-22,17.830000
2009-09-23,18.000000
2009-09-24,18.040000
2009-09-25,18.010000
2009-09-28,18.330000
2009-09-29,18.260000
2009-09-30,18.270000
2009-10-01,17.650000
2009-10-02,17.540000
2009-10-05,17.730000
2009-10-06,18.210000
2009-10-07,18.490000
2009-10-08,19.200000
2009-10-09,19.380000
2009-10-12,19.510000
2009-10-13,19.390000
2009-10-14,19.710000
2009-10-15,19.670000
2009-10-16,19.470000
2009-10-19,19.950000
2009-10-20,19.930000
2009-10-21,19.170000
2009-10-22,18.990000
