d,c
2015-07-06,72.960000
2015-07-07,74.630000
2015-07-08,75.400000
2015-07-09,74.800000
2015-07-10,77.310000
2015-07-13,78.830000
2015-07-14,78.000000
2015-07-15,76.710000
2015-07-16,78.750000
2015-07-17,79.630000
2015-07-20,80.110000
2015-07-21,80.220000
2015-07-22,78.640000
2015-07-23,76.740000
2015-07-24,76.410000
2015-07-27,77.380000
2015-07-28,78.320000
2015-07-29,77.910000
2015-07-30,79.210000
2015-07-31,79.470000
2015-08-03,80.370000
2015-08-04,79.810000
2015-08-05,80.480000
2015-08-06,79.760000
2015-08-07,78.460000
2015-08-10,78.810000
2015-08-11,77.970000
2015-08-12,76.690000
2015-08-13,75.990000
2015-08-14,76.420000
2015-08-17,75.800000
2015-08-18,75.190000
2015-08-19,74.780000
2015-08-20,74.250000
2015-08-21,72.270000
2015-08-24,70.870000
2015-08-25,70.210000
2015-08-26,73.910000
2015-08-27,75.180000
2015-08-28,74.690000
2015-08-31,72.660000
2015-09-01,70.120000
2015-09-02,72.070000
2015-09-03,72.160000
2015-09-04,70.570000
2015-09-08,74.070000
2015-09-09,72.170000
2015-09-10,72.160000
2015-09-11,73.760000
2015-09-14,74.550000
2015-09-15,75.390000
2015-09-16,76.370000
2015-09-17,76.430000
2015-09-18,75.440000
2015-09-21,75.200000
2015-09-22,74.310000
2015-09-23,73.310000
2015-09-24,72.920000
2015-09-25,73.350000
2015-09-28,69.990000
2015-09-29,69.200000
2015-09-30,70.580000
2015-10-01,70.830000
2015-10-02,71.410000
2015-10-05,72.240000
2015-10-06,72.470000
2015-10-07,73.150000
2015-10-08,74.430000
2015-10-09,74.390000
2015-10-12,73.720000
2015-10-13,73.380000
2015-10-14,73.770000
2015-10-15,75.220000
2015-10-16,77.390000
2015-10-19,76.800000
2015-10-20,76.870000
2015-10-21,77.050000
2015-10-22,79.940000
2015-10-23,77.980000
2015-10-26,76.810000
2015-10-27,77.170000
2015-10-28,79.180000
2015-10-29,78.650000
2015-10-30,77.970000
2015-11-02,78.270000
2015-11-03,76.430000
2015-11-04,75.820000
2015-11-05,75.420000
2015-11-06,72.010000
2015-11-09,71.240000
2015-11-10,72.080000
2015-11-11,72.110000
2015-11-12,70.900000
2015-11-13,70.770000
2015-11-16,71.655000
2015-11-17,71.450000
2015-11-18,72.585000
2015-11-19,73.340000
2015-11-20,73.650000
2015-11-23,74.070000
2015-11-24,74.470000
2015-11-25,74.640000
2015-11-27,74.610000
2015-11-30,73.690000
2015-12-01,74.470000
2015-12-02,73.040000
2015-12-03,71.460000
2015-12-04,72.220000
2015-12-07,71.430000
2015-12-08,71.530000
2015-12-09,70.900000
2015-12-10,70.840000
2015-12-11,69.690000
2015-12-14,70.975000
2015-12-15,72.010000
2015-12-16,73.010000
2015-12-17,71.920000
2015-12-18,70.670000
2015-12-21,71.380000
2015-12-22,72.930000
2015-12-23,74.510000
2015-12-24,73.960000
2015-12-28,73.420000
2015-12-29,74.690000
2015-12-30,73.750000
2015-12-31,72.760000
2016-01-04,72.700000
2016-01-05,73.390000
2016-01-06,73.530000
2016-01-07,71.900000
2016-01-08,71.180000
2016-01-11,72.270000
2016-01-12,73.230000
2016-01-13,70.810000
2016-01-14,70.740000
2016-01-15,69.200000
2016-01-19,70.170000
2016-01-20,71.170000
2016-01-21,73.050000
2016-01-22,74.390000
2016-01-25,74.030000
2016-01-26,75.980000
2016-01-27,75.970000
2016-01-28,76.160000
2016-01-29,78.060000
2016-02-01,77.010000
2016-02-02,75.970000
2016-02-03,74.890000
2016-02-04,74.150000
2016-02-05,72.780000
2016-02-08,71.220000
2016-02-09,71.510000
2016-02-10,72.110000
2016-02-11,71.440000
2016-02-12,71.920000
2016-02-16,72.310000
2016-02-17,74.240000
2016-02-18,73.450000
2016-02-19,73.520000
