d,c
2010-07-15,10.200000
2010-07-16,9.690000
2010-07-19,9.790000
2010-07-20,9.250000
2010-07-21,8.740000
2010-07-22,9.300000
2010-07-23,9.500000
2010-07-26,9.690000
2010-07-27,9.850000
2010-07-28,9.590000
2010-07-29,9.480000
2010-07-30,9.050000
2010-08-02,9.440000
2010-08-03,9.530000
2010-08-04,9.540000
2010-08-05,9.900000
2010-08-06,9.860000
2010-08-09,9.890000
2010-08-10,9.830000
2010-08-11,9.820000
2010-08-12,10.060000
2010-08-13,10.160000
2010-08-16,9.990000
2010-08-17,10.390000
2010-08-18,10.540000
2010-08-19,10.420000
2010-08-20,10.300000
2010-08-23,10.110000
2010-08-24,10.170000
2010-08-25,10.120000
2010-08-26,10.060000
2010-08-27,10.230000
2010-08-30,10.040000
2010-08-31,10.020000
2010-09-01,10.240000
2010-09-02,10.210000
2010-09-03,10.250000
2010-09-07,10.250000
2010-09-08,10.250000
2010-09-09,10.190000
2010-09-10,10.160000
2010-09-13,10.280000
2010-09-14,10.110000
2010-09-15,10.180000
2010-09-16,10.200000
2010-09-17,10.200000
2010-09-20,10.110000
2010-09-21,10.100000
2010-09-22,10.260000
2010-09-23,10.260000
2010-09-24,10.640000
2010-09-27,10.680000
2010-09-28,10.490000
2010-09-29,10.600000
2010-09-30,10.600000
2010-10-01,10.820000
2010-10-04,10.730000
2010-10-05,10.830000
2010-10-06,10.500000
2010-10-07,10.580000
2010-10-08,11.100000
2010-10-11,11.000000
2010-10-12,11.290000
2010-10-13,11.360000
2010-10-14,11.200000
2010-10-15,10.980000
2010-10-18,11.180000
2010-10-19,10.950000
2010-10-20,11.370000
2010-10-21,11.800000
2010-10-22,11.760000
2010-10-25,11.960000
2010-10-26,11.930000
2010-10-27,12.110000
2010-10-28,12.360000
2010-10-29,12.680000
2010-11-01,12.500000
2010-11-02,12.650000
2010-11-03,12.700000
2010-11-04,13.390000
2010-11-05,13.250000
2010-11-08,13.220000
2010-11-09,12.760000
2010-11-10,12.930000
2010-11-11,13.270000
2010-11-12,13.200000
2010-11-15,13.040000
2010-11-16,12.740000
2010-11-17,12.650000
2010-11-18,12.750000
2010-11-19,12.800000
2010-11-22,12.780000
2010-11-23,12.760000
2010-11-24,12.875000
2010-11-26,12.830000
2010-11-29,12.740000
2010-11-30,12.580000
2010-12-01,12.650000
2010-12-02,12.780000
2010-12-03,12.790000
2010-12-06,12.890000
2010-12-07,13.070000
2010-12-08,13.280000
2010-12-09,13.380000
2010-12-10,13.410000
2010-12-13,13.437500
2010-12-14,13.470000
