d,c
2009-01-02,28.900000
2009-01-05,29.500000
2009-01-06,30.510000
2009-01-07,29.460000
2009-01-08,27.900000
2009-01-09,28.530000
2009-01-12,27.700000
2009-01-13,26.340000
2009-01-14,25.590000
2009-01-15,24.500000
2009-01-16,25.600000
2009-01-20,24.180000
2009-01-21,23.980000
2009-01-22,25.180000
2009-01-23,23.430000
2009-01-26,24.900000
2009-01-27,24.860000
2009-01-28,26.950000
2009-01-29,25.800000
2009-01-30,24.820000
2009-02-02,23.570000
2009-02-03,23.360000
2009-02-04,23.650000
2009-02-05,23.010000
2009-02-06,24.190000
2009-02-09,23.660000
2009-02-10,24.700000
2009-02-11,23.380000
2009-02-12,22.860000
2009-02-13,23.230000
2009-02-17,22.000000
2009-02-18,21.360000
2009-02-19,21.450000
2009-02-20,20.150000
2009-02-23,21.200000
2009-02-24,19.800000
2009-02-25,21.070000
2009-02-26,21.410000
2009-02-27,19.940000
2009-03-02,19.340000
2009-03-03,19.430000
2009-03-04,19.400000
2009-03-05,19.130000
2009-03-06,18.440000
2009-03-09,17.800000
2009-03-10,18.500000
2009-03-11,19.330000
2009-03-12,18.280000
2009-03-13,19.900000
2009-03-16,20.630000
2009-03-17,20.140000
2009-03-18,21.480000
2009-03-19,22.560000
2009-03-20,23.540000
2009-03-23,22.820000
2009-03-24,22.550000
2009-03-25,22.720000
2009-03-26,23.680000
2009-03-27,22.810000
2009-03-30,21.810000
2009-03-31,21.780000
2009-04-01,21.630000
2009-04-02,23.250000
2009-04-03,22.850000
2009-04-06,23.160000
2009-04-07,22.150000
2009-04-08,22.450000
2009-04-09,23.330000
2009-04-13,24.140000
2009-04-14,24.280000
2009-04-15,24.050000
2009-04-16,25.500000
2009-04-17,25.200000
2009-04-20,24.480000
2009-04-21,22.980000
2009-04-22,24.580000
2009-04-23,24.260000
2009-04-24,25.060000
2009-04-27,24.500000
2009-04-28,24.020000
2009-04-29,24.180000
2009-04-30,25.650000
2009-05-01,24.870000
2009-05-04,24.850000
2009-05-05,27.100000
2009-05-06,27.100000
2009-05-07,28.110000
2009-05-08,26.810000
2009-05-11,28.180000
2009-05-12,27.310000
2009-05-13,26.320000
2009-05-14,25.610000
2009-05-15,26.050000
2009-05-18,25.680000
2009-05-19,26.760000
2009-05-20,27.000000
2009-05-21,25.730000
2009-05-22,25.790000
2009-05-26,25.570000
2009-05-27,26.350000
2009-05-28,25.270000
2009-05-29,26.270000
2009-06-01,27.200000
2009-06-02,28.520000
2009-06-03,28.220000
2009-06-04,27.730000
2009-06-05,28.800000
2009-06-08,27.530000
2009-06-09,27.900000
2009-06-10,28.530000
2009-06-11,28.080000
2009-06-12,28.200000
2009-06-15,27.880000
2009-06-16,27.660000
2009-06-17,26.850000
2009-06-18,26.890000
2009-06-19,27.700000
2009-06-22,27.100000
2009-06-23,26.680000
2009-06-24,26.810000
2009-06-25,26.790000
2009-06-26,27.510000
2009-06-29,27.280000
2009-06-30,27.470000
2009-07-01,27.520000
2009-07-02,26.790000
2009-07-06,26.000000
2009-07-07,26.260000
2009-07-08,26.090000
2009-07-09,25.880000
2009-07-10,25.540000
2009-07-13,25.860000
2009-07-14,26.710000
2009-07-15,26.660000
2009-07-16,27.470000
2009-07-17,27.530000
2009-07-20,27.560000
2009-07-21,27.900000
2009-07-22,27.560000
2009-07-23,28.080000
2009-07-24,28.910000
2009-07-27,29.300000
2009-07-28,29.510000
2009-07-29,29.190000
2009-07-30,29.320000
2009-07-31,29.580000
2009-08-03,30.250000
2009-08-04,31.880000
2009-08-05,32.350000
2009-08-06,32.440000
2009-08-07,31.650000
2009-08-10,31.680000
2009-08-11,31.770000
2009-08-12,30.740000
2009-08-13,32.140000
2009-08-14,32.390000
2009-08-17,31.180000
2009-08-18,31.150000
2009-08-19,30.820000
2009-08-20,31.450000
2009-08-21,32.280000
2009-08-24,33.400000
2009-08-25,33.750000
2009-08-26,34.010000
2009-08-27,33.910000
2009-08-28,34.110000
2009-08-31,33.840000
2009-09-01,33.930000
2009-09-02,32.700000
2009-09-03,32.500000
2009-09-04,32.920000
2009-09-08,33.000000
2009-09-09,33.440000
2009-09-10,33.870000
2009-09-11,34.080000
2009-09-14,33.570000
2009-09-15,34.080000
2009-09-16,34.450000
2009-09-17,35.250000
2009-09-18,34.970000
2009-09-21,34.220000
2009-09-22,34.900000
2009-09-23,34.650000
2009-09-24,34.480000
2009-09-25,33.500000
2009-09-28,33.580000
2009-09-29,34.530000
2009-09-30,34.490000
2009-10-01,33.960000
2009-10-02,32.890000
2009-10-05,33.550000
2009-10-06,34.350000
