d,c
2013-09-30,45.520000
2013-10-01,47.280000
2013-10-02,46.930000
2013-10-03,45.970000
2013-10-04,46.090000
2013-10-07,45.300000
2013-10-08,45.450000
2013-10-09,45.310000
2013-10-10,45.990000
2013-10-11,46.310000
2013-10-14,46.270000
2013-10-15,45.670000
2013-10-16,46.350000
2013-10-17,45.820000
2013-10-18,46.780000
2013-10-21,47.240000
2013-10-22,47.030000
2013-10-23,47.040000
2013-10-24,47.510000
2013-10-25,47.330000
2013-10-28,47.250000
2013-10-29,47.370000
2013-10-30,47.250000
2013-10-31,47.090000
2013-11-01,47.410000
2013-11-04,47.120000
2013-11-05,46.930000
2013-11-06,46.960000
2013-11-07,46.780000
2013-11-08,47.420000
2013-11-11,47.670000
2013-11-12,47.680000
2013-11-13,48.690000
2013-11-14,48.510000
2013-11-15,48.900000
2013-11-18,48.420000
2013-11-19,48.720000
2013-11-20,48.350000
2013-11-21,49.020000
2013-11-22,48.770000
2013-11-25,48.380000
2013-11-26,48.800000
2013-11-27,48.430000
2013-11-29,48.630000
2013-12-02,48.880000
2013-12-03,41.710000
2013-12-04,41.430000
2013-12-05,41.390000
2013-12-06,41.570000
2013-12-09,41.570000
2013-12-10,42.420000
2013-12-11,41.420000
2013-12-12,40.600000
2013-12-13,43.140000
2013-12-16,42.850000
2013-12-17,43.650000
2013-12-18,44.440000
2013-12-19,44.280000
2013-12-20,45.130000
2013-12-23,45.310000
2013-12-24,45.940000
2013-12-26,46.240000
2013-12-27,46.510000
2013-12-30,46.420000
2013-12-31,46.490000
2014-01-02,46.250000
2014-01-03,46.940000
2014-01-06,46.400000
2014-01-07,47.510000
2014-01-08,47.590000
2014-01-09,47.800000
2014-01-10,47.770000
2014-01-13,46.510000
2014-01-14,46.820000
2014-01-15,47.440000
2014-01-16,46.740000
2014-01-17,46.490000
2014-01-21,46.380000
2014-01-22,46.000000
2014-01-23,45.930000
2014-01-24,45.480000
2014-01-27,45.180000
2014-01-28,45.640000
2014-01-29,44.990000
2014-01-30,45.270000
2014-01-31,45.340000
2014-02-03,44.000000
2014-02-04,44.370000
2014-02-05,44.440000
2014-02-06,44.750000
2014-02-07,44.760000
2014-02-10,44.890000
2014-02-11,45.030000
2014-02-12,44.690000
2014-02-13,45.300000
2014-02-14,45.360000
2014-02-18,46.070000
2014-02-19,45.530000
2014-02-20,45.730000
2014-02-21,45.510000
2014-02-24,45.050000
2014-02-25,44.940000
2014-02-26,45.040000
2014-02-27,44.650000
2014-02-28,44.660000
2014-03-03,44.670000
2014-03-04,45.270000
2014-03-05,44.800000
2014-03-06,44.430000
2014-03-07,44.390000
2014-03-10,44.120000
2014-03-11,43.200000
2014-03-12,42.800000
2014-03-13,42.400000
2014-03-14,42.230000
2014-03-17,42.490000
2014-03-18,42.890000
2014-03-19,42.630000
2014-03-20,42.100000
2014-03-21,42.310000
2014-03-24,42.350000
2014-03-25,42.980000
2014-03-26,43.140000
2014-03-27,35.200000
2014-03-28,34.640000
2014-03-31,35.370000
2014-04-01,37.050000
2014-04-02,36.710000
2014-04-03,36.850000
2014-04-04,36.970000
2014-04-07,36.950000
2014-04-08,37.210000
2014-04-09,37.060000
2014-04-10,37.090000
2014-04-11,36.830000
2014-04-14,36.910000
2014-04-15,37.320000
2014-04-16,37.370000
2014-04-17,37.360000
2014-04-21,37.250000
2014-04-22,37.600000
2014-04-23,37.570000
2014-04-24,37.120000
2014-04-25,36.850000
2014-04-28,37.110000
2014-04-29,37.250000
2014-04-30,37.240000
2014-05-01,37.290000
2014-05-02,36.980000
2014-05-05,37.040000
2014-05-06,36.990000
2014-05-07,37.480000
2014-05-08,37.450000
2014-05-09,37.880000
2014-05-12,38.320000
2014-05-13,38.260000
2014-05-14,37.860000
2014-05-15,36.950000
2014-05-16,37.070000
2014-05-19,37.500000
2014-05-20,36.840000
2014-05-21,36.900000
2014-05-22,37.130000
2014-05-23,37.740000
2014-05-27,37.740000
2014-05-28,38.030000
2014-05-29,38.270000
2014-05-30,38.150000
2014-06-02,38.490000
2014-06-03,37.940000
2014-06-04,40.040000
2014-06-05,40.380000
2014-06-06,40.720000
2014-06-09,40.040000
2014-06-10,39.700000
2014-06-11,39.350000
2014-06-12,39.030000
2014-06-13,39.410000
2014-06-16,38.940000
2014-06-17,38.980000
2014-06-18,38.800000
2014-06-19,38.560000
2014-06-20,38.470000
2014-06-23,38.550000
2014-06-24,37.920000
2014-06-25,38.100000
2014-06-26,37.850000
2014-06-27,38.000000
2014-06-30,38.340000
2014-07-01,38.680000
2014-07-02,38.380000
2014-07-03,38.550000
2014-07-07,38.280000
2014-07-08,37.790000
2014-07-09,37.760000
2014-07-10,37.220000
2014-07-11,36.990000
2014-07-14,37.300000
2014-07-15,37.280000
2014-07-16,37.460000
2014-07-17,37.350000
2014-07-18,37.620000
2014-07-21,37.590000
2014-07-22,37.620000
2014-07-23,37.740000
2014-07-24,37.880000
2014-07-25,37.510000
2014-07-28,37.270000
2014-07-29,37.050000
2014-07-30,37.490000
2014-07-31,36.940000
2014-08-01,36.660000
2014-08-04,36.940000
2014-08-05,37.000000
2014-08-06,36.850000
2014-08-07,36.580000
2014-08-08,36.600000
2014-08-11,36.720000
2014-08-12,36.610000
2014-08-13,36.900000
2014-08-14,37.090000
2014-08-15,36.810000
2014-08-18,37.150000
2014-08-19,37.500000
2014-08-20,37.510000
2014-08-21,37.870000
2014-08-22,38.180000
2014-08-25,37.790000
2014-08-26,37.990000
2014-08-27,37.950000
2014-08-28,37.750000
